ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.2244	-2.149440579377228	-9.9453	0.3501	-9.966	287.0	22.268	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.6929	-0.5272003281921028	-9.9408	0.4273	-9.966	287.0	22.03	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.1008	-3.2961905334737542	-9.9462	0.3349	-9.966	287.0	19.857	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.1161	-3.0941870190482343	-9.9453	0.3501	-9.966	287.0	19.569	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.1536	-2.6933877756246023	-9.9439	0.3742	-9.966	287.0	19.376	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2455	-2.0203404482841756	-9.9408	0.4273	-9.966	287.0	18.536	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.2482	-2.0046240265254474	-9.9405	0.4327	-9.966	287.0	18.34	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	17.1515	4.100346961358104	-9.8007	0.8388	-9.966	287.0	16.573	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.292	2.866512394087798	-9.8805	0.8416	-9.966	287.0	15.146	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.0369	-4.721658341378357	-9.9354	0.366	-9.966	287.0	14.245	100.0	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	29.3178	4.873754150968987	-9.654	1.0271	-9.966	287.0	14.144	99.9	OVER
ENSG00000133703	KRAS	3845	KRAS proto-oncogene, GTPase	protein_coding	700.3336	9.45190055529801	3.5106	0.4369	3.482	287.0	13.599	99.9	OVER
ENSG00000174970	OR10AG1	282770	olfactory receptor family 10 subfamily AG member 1	protein_coding	0.1233	-3.0081017984969645	-9.9227	0.5188	-9.966	287.0	13.328	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.3985	-1.3237325917341103	-9.8885	0.6541	-9.966	287.0	13.094	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0191	-5.636660688370521	-9.9462	0.3349	-9.966	287.0	12.868	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.1656	-2.5855396941839017	-9.8895	0.5756	-9.966	287.0	12.689	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.4847	-1.0418626085257272	-9.8795	0.7304	-9.966	287.0	12.1	99.9	OVER
ENSG00000057019	DCBLD2	131566	discoidin, CUB and LCCL domain containing 2	protein_coding	314.4721	8.296792804156269	3.1534	0.4262	3.183	287.0	12.068	99.9	OVER
ENSG00000133704	IPO8	10526	importin 8	protein_coding	277.0547	8.114032238379636	3.8391	0.3545	3.861	287.0	12.059	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	3.3887	1.7611575955845644	-9.8209	0.9975	-9.966	287.0	11.611	99.9	OVER
ENSG00000176798	OR51L1	119682	olfactory receptor family 51 subfamily L member 1	protein_coding	0.0158	-5.895394956770689	-9.9453	0.3501	-9.966	287.0	11.568	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1952	-2.3496030533302106	-9.8875	0.6628	-9.966	287.0	11.373	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0444	-4.461163892258535	-9.8937	0.4959	-9.966	287.0	10.955	99.9	OVER
ENSG00000205707	ETFRF1	144363	electron transfer flavoprotein regulatory factor 1	protein_coding	617.7094	9.270786810416052	3.8819	0.5093	3.936	287.0	10.581	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	58.5293	5.871111768180489	1.5417	0.421	1.566	287.0	10.284	99.9	OVER
ENSG00000204703	OR2B3	442184	olfactory receptor family 2 subfamily B member 3	protein_coding	0.1046	-3.243318260190996	-9.8864	0.6718	-9.966	287.0	9.888	99.9	OVER
ENSG00000175065	DSG4	147409	desmoglein 4	protein_coding	1.478	0.5646220524369805	-9.6526	1.0545	-9.966	287.0	9.689	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.2073	-2.2632652555088026	-9.8844	0.7965	-9.966	287.0	9.568	99.9	OVER
