ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2896	-1.7828933919166081	-9.9408	0.4273	-9.966	287.0	19.092	100.0	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	1.457	0.54399071966485	-9.8975	0.5786	-9.966	287.0	18.046	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.0853	-3.534495630370494	-9.9439	0.3742	-9.966	287.0	17.128	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	9.3811	3.229910878017355	-9.8805	0.8416	-9.966	287.0	15.578	100.0	OVER
ENSG00000125533	BHLHE23	128408	basic helix-loop-helix family member e23	protein_coding	0.0579	-4.085588555718989	-9.9248	0.493	-9.966	287.0	11.844	100.0	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	0.4244	-1.233108061588777	-9.872	0.7923	-9.966	287.0	10.904	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0106	-6.429731384421878	-9.9462	0.3349	-9.966	287.0	10.5	100.0	OVER
ENSG00000101193	GID8	54994	GID complex subunit 8 homolog	protein_coding	170.2578	7.411585557106101	3.8782	0.3377	3.922	287.0	10.463	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0183	-5.695255342281369	-9.9408	0.4273	-9.966	287.0	9.936	100.0	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0342	-4.828280760912152	-9.9225	0.5205	-9.966	287.0	9.787	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.4111	1.2702897192253566	-9.8303	1.1477	-9.966	287.0	9.672	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	11.8217	3.563487642398251	-9.4554	1.3777	-9.966	287.0	9.45	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.2706	-1.8804446153047176	-9.7845	0.8461	-9.966	287.0	9.342	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0306	-4.9839316313723465	-9.8895	0.5756	-9.966	287.0	8.523	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0668	-3.8825709164131057	-9.8822	0.7085	-9.966	287.0	8.468	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	1.1122	0.15471281378215795	-9.6296	1.2076	-9.966	287.0	8.102	99.9	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0258	-5.221623189091677	-9.9039	0.6087	-9.966	287.0	7.692	99.9	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	80.5819	6.33240182070565	3.1724	0.4162	3.227	287.0	7.593	99.9	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.0611	-4.009262921328968	-9.8634	0.7734	-9.966	287.0	7.569	99.9	OVER
ENSG00000187005	KRTAP21-1	337977	keratin associated protein 21-1	protein_coding	0.1551	-2.6794575575715407	-9.8279	0.9474	-9.966	287.0	7.545	99.9	OVER
ENSG00000146433	TMEM181	57583	transmembrane protein 181	protein_coding	86.6586	6.437287672377041	3.8195	0.3519	3.827	287.0	7.439	99.9	OVER
ENSG00000149679	CABLES2	81928	Cdk5 and Abl enzyme substrate 2	protein_coding	28.4599	4.830909378853197	1.6027	0.4377	1.623	287.0	7.375	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0276	-5.12784104277106	-9.8885	0.6541	-9.966	287.0	7.278	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0191	-5.636660688370521	-9.905	0.5987	-9.966	287.0	7.129	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.1514	-2.714065192056127	-9.8325	1.006	-9.966	287.0	7.076	99.9	OVER
ENSG00000149658	YTHDF1	54915	YTH N6-methyladenosine RNA binding protein F1	protein_coding	175.8682	7.458359035302125	4.6444	0.401	4.653	287.0	7.017	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.0567	0.08093048767298362	-9.5576	1.3755	-9.966	287.0	7.007	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	189.3729	7.565093698325176	3.5934	0.5726	3.541	287.0	6.936	99.9	OVER
