ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000180205	WFDC9	259240	WAP four-disulfide core domain 9	protein_coding	1.9914	0.9945073161231378	-9.9433	0.3842	-9.966	287.0	28.469	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.1108	-3.1610079067062595	-9.9507	0.2593	-9.966	287.0	26.185	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1956	-2.346664773208869	-9.9453	0.3501	-9.966	287.0	21.704	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5573	-0.8408875387691417	-9.9408	0.4273	-9.966	287.0	21.296	100.0	OVER
ENSG00000116996	ZP4	57829	zona pellucida glycoprotein 4	protein_coding	0.0679	-3.859352206845158	-9.9334	0.3901	-9.966	287.0	15.57	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.8213	-0.282263266002518	-9.8795	0.7304	-9.966	287.0	13.14	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0479	-4.3540217245972155	-9.9408	0.4273	-9.966	287.0	13.075	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.3618	-1.4627536390209268	-9.8885	0.6541	-9.966	287.0	12.881	100.0	OVER
ENSG00000204007	GLT6D1	360203	glycosyltransferase 6 domain containing 1	protein_coding	0.0548	-4.163591067720262	-9.9267	0.471	-9.966	287.0	12.236	100.0	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.1316	-2.914847319436862	-9.9063	0.5927	-9.966	287.0	11.796	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.9629	-0.05304461335688118	-9.8805	0.8416	-9.966	287.0	11.677	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.6546	-0.6091122404499907	-9.8339	0.8384	-9.966	287.0	11.003	99.9	OVER
ENSG00000115488	NEU2	4759	neuraminidase 2	protein_coding	0.147	-2.7563309190331373	-9.8885	0.6541	-9.966	287.0	10.904	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.0068	0.011209361420303036	-9.8209	0.9975	-9.966	287.0	9.857	99.9	OVER
ENSG00000163254	CRYGC	1420	crystallin gamma C	protein_coding	0.402	-1.3111482561341197	-9.8495	0.8816	-9.966	287.0	9.685	99.9	OVER
ENSG00000268629	TEX13A	56157	testis expressed 13A	protein_coding	0.1203	-3.043348544428939	-9.8721	0.7079	-9.966	287.0	9.646	99.9	OVER
ENSG00000174970	OR10AG1	282770	olfactory receptor family 10 subfamily AG member 1	protein_coding	0.0299	-5.016249351645075	-9.9227	0.5188	-9.966	287.0	9.457	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0709	-3.7978644191101516	-9.8875	0.6628	-9.966	287.0	9.188	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	38.8941	5.281516510999331	1.5417	0.421	1.566	287.0	8.883	99.9	OVER
ENSG00000181965	NEUROG1	4762	neurogenin 1	protein_coding	0.0499	-4.296190533473754	-9.8907	0.6355	-9.966	287.0	8.803	99.9	OVER
ENSG00000165527	ARF6	382	ADP ribosylation factor 6	protein_coding	275.2774	8.104747601613616	4.8996	0.3716	4.928	287.0	8.625	99.9	OVER
ENSG00000257046	SLCO1B3-SLCO1B7	115072896	SLCO1B3-SLCO1B7 readthrough	protein_coding	0.3339	-1.5781977188427339	-9.7748	0.9806	-9.966	287.0	8.359	99.9	OVER
ENSG00000204928	GRXCR2	643226	glutaredoxin and cysteine rich domain containing 2	protein_coding	0.1917	-2.3755715232537282	-9.836	0.8931	-9.966	287.0	8.353	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0161	-5.869859864663551	-9.8937	0.4959	-9.966	287.0	8.114	99.9	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.08	-3.6259342817774622	-9.8634	0.7734	-9.966	287.0	8.065	99.9	OVER
ENSG00000057019	DCBLD2	131566	discoidin, CUB and LCCL domain containing 2	protein_coding	95.0125	6.570060608323946	3.1534	0.4262	3.183	287.0	8.017	99.9	OVER
ENSG00000104827	CGB3	1082	chorionic gonadotropin subunit beta 3	protein_coding	0.3832	-1.3800705758839222	-9.7861	1.066	-9.966	287.0	7.886	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.0702	-3.8119789485830515	-9.8195	0.7757	-9.966	287.0	7.745	99.9	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	64.7932	6.017792772106262	3.4319	0.3368	3.446	287.0	7.678	99.9	OVER
ENSG00000163568	AIM2	9447	absent in melanoma 2	protein_coding	111.4481	6.800241156028923	0.5708	0.8197	0.5069	287.0	7.6	99.8	OVER
