ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	3.3487	1.7440318932143177	-9.9162	0.4864	-9.966	287.0	23.973	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.9621	-0.054242492027372385	-9.9309	0.4228	-9.966	287.0	23.36	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.8612	-0.21390553237095683	-9.9408	0.4273	-9.966	287.0	22.764	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0324	-4.904008087075397	-9.9507	0.2593	-9.966	287.0	19.463	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0487	-4.330610337987163	-9.9462	0.3349	-9.966	287.0	16.768	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	18.0381	4.173055456877189	-9.8805	0.8416	-9.966	287.0	16.699	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0382	-4.673002535434241	-9.9453	0.3501	-9.966	287.0	15.059	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.1002	-3.3047188048551392	-9.9384	0.4671	-9.966	287.0	14.202	100.0	OVER
ENSG00000275663	H4C7	8369	H4 clustered histone 7	protein_coding	0.2548	-1.9669118306678122	-9.9088	0.6848	-9.966	287.0	11.597	100.0	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.1225	-3.0174170530774096	-9.8955	0.594	-9.966	287.0	11.579	100.0	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	38.3224	5.260153655584182	-9.5542	1.3409	-9.966	287.0	11.048	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.2748	-1.858305638035469	-9.8795	0.7304	-9.966	287.0	10.982	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.1953	-2.3488679220832784	-9.8822	0.7085	-9.966	287.0	10.633	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0378	-4.687799537362322	-9.8937	0.4959	-9.966	287.0	10.498	99.9	OVER
