ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	4.2399	2.084370464729913	-9.9162	0.4864	-9.966	287.0	24.672	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.1735	-2.518701058452435	-9.9439	0.3742	-9.966	287.0	19.843	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.2422	-2.039784866105864	-9.9408	0.4273	-9.966	287.0	18.491	100.0	OVER
ENSG00000254658	OR8J2	81169	olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	protein_coding	0.068	-3.857259827883918	-9.9462	0.3349	-9.966	287.0	18.181	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.4838	-1.0445383960764985	-9.9357	0.5125	-9.966	287.0	17.349	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0215	-5.473931188332412	-9.9507	0.2593	-9.966	287.0	17.265	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1386	-2.840629153339797	-9.9408	0.4273	-9.966	287.0	16.616	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	1.5472	0.6305918541504835	-9.8885	0.6541	-9.966	287.0	16.082	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	9.1708	3.197204895896237	-9.8805	0.8416	-9.966	287.0	15.539	100.0	OVER
ENSG00000205884	DEFB136	613210	defensin beta 136	protein_coding	0.2756	-1.8541269383989551	-9.9296	0.617	-9.966	287.0	13.088	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	1.1478	0.20012765427360174	-9.8007	0.8388	-9.966	287.0	11.923	99.9	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.021	-5.50635266602479	-9.9439	0.3742	-9.966	287.0	11.859	99.9	OVER
