ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.6212	-0.6845497000150675	-9.9408	0.4273	-9.966	287.0	21.662	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.153	-2.6989977439671855	-9.9462	0.3349	-9.966	287.0	21.64	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	3.1294	1.6463470153513446	-9.8895	0.5756	-9.966	287.0	20.041	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.105	-3.237863830098888	-9.9462	0.3349	-9.966	287.0	20.031	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.6111	-0.7081607267428854	-9.9162	0.4864	-9.966	287.0	18.931	100.0	OVER
ENSG00000225396	FAM236D	105373251	family with sequence similarity 236 member D	protein_coding	0.1264	-2.972562817293149	-9.9415	0.4152	-9.966	287.0	16.785	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0227	-5.39896913065119	-9.9453	0.3501	-9.966	287.0	12.986	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0193	-5.622376462364273	-9.9462	0.3349	-9.966	287.0	12.911	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0337	-4.848920526971188	-9.9309	0.4228	-9.966	287.0	12.02	100.0	OVER
ENSG00000186795	KCNK18	338567	potassium two pore domain channel subfamily K member 18	protein_coding	0.1014	-3.287712379549449	-9.9092	0.5546	-9.966	287.0	11.939	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1976	-2.3320624720210756	-9.8875	0.6628	-9.966	287.0	11.399	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.6709	-0.573681564620666	-9.8805	0.8416	-9.966	287.0	11.058	99.9	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	1.7602	0.8165587493874438	-9.7497	1.0005	-9.966	287.0	10.561	99.9	OVER
ENSG00000223614	ZNF735	730291	zinc finger protein 735	protein_coding	0.0373	-4.706511797624493	-9.9134	0.5152	-9.966	287.0	10.107	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1008	-3.2961905334737542	-9.8885	0.6541	-9.966	287.0	10.078	99.9	OVER
ENSG00000086619	ERO1B	56605	endoplasmic reticulum oxidoreductase 1 beta	protein_coding	175.9035	7.458648580172104	2.3814	0.504	2.404	287.0	10.074	99.9	OVER
ENSG00000179600	GPHB5	122876	glycoprotein hormone subunit beta 5	protein_coding	0.3909	-1.3514425219472397	-9.8634	0.8656	-9.966	287.0	9.834	99.9	OVER
ENSG00000177888	ZBTB41	360023	zinc finger and BTB domain containing 41	protein_coding	38.8896	5.281349587575328	1.3324	0.4056	1.34	287.0	9.736	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	14.7947	3.887106048441086	-9.4554	1.3777	-9.966	287.0	9.685	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.1986	1.1372411917115923	-9.8303	1.1477	-9.966	287.0	9.556	99.9	OVER
ENSG00000038210	PI4K2B	55300	phosphatidylinositol 4-kinase type 2 beta	protein_coding	152.0684	7.2485860672972535	3.1032	0.4341	3.123	287.0	9.549	99.9	OVER
ENSG00000126821	SGPP1	81537	sphingosine-1-phosphate phosphatase 1	protein_coding	114.8801	6.843997658088606	2.9068	0.4139	2.951	287.0	9.512	99.9	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	138.9685	7.118624475406725	3.1724	0.4162	3.227	287.0	9.482	99.9	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	520.8542	9.0247385425528	5.7393	0.3488	5.736	287.0	9.419	99.9	OVER
ENSG00000140548	ZNF710	374655	zinc finger protein 710	protein_coding	348.1906	8.443737588672638	3.4394	0.5399	3.484	287.0	9.269	99.9	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.051	-4.265344566520995	-9.9034	0.6108	-9.966	287.0	9.231	99.9	OVER
ENSG00000244020	MT1HL1	645745	metallothionein 1H like 1	protein_coding	2.7628	1.4666532201227473	-9.788	1.222	-9.966	287.0	9.21	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.225	-2.145605322246899	-9.8007	0.8388	-9.966	287.0	9.126	99.9	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	2.1328	1.093424959419103	-9.6021	1.1741	-9.966	287.0	9.11	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2172	-2.196276993225842	-9.8339	0.8384	-9.966	287.0	9.11	99.9	OVER
ENSG00000069206	ADAM7	8756	ADAM metallopeptidase domain 7	protein_coding	0.1045	-3.244685095954902	-9.8515	0.7321	-9.966	287.0	9.024	99.8	OVER
ENSG00000137364	TPMT	7172	thiopurine S-methyltransferase	protein_coding	90.8937	6.506124269321741	2.7065	0.4261	2.727	287.0	8.917	99.8	OVER
ENSG00000185821	OR6C76	390326	olfactory receptor family 6 subfamily C member 76	protein_coding	0.187	-2.41119543298445	-9.8545	0.8434	-9.966	287.0	8.825	99.8	OVER
ENSG00000109814	UGDH	7358	UDP-glucose 6-dehydrogenase	protein_coding	771.3468	9.591237706457905	4.0194	0.632	3.951	287.0	8.816	99.8	OVER
ENSG00000163515	RETNLB	84666	resistin like beta	protein_coding	4.3929	2.1355020360912356	-9.6857	1.3482	-9.966	287.0	8.768	99.8	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.185	-2.4266254735540556	-9.7845	0.8461	-9.966	287.0	8.696	99.8	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	616.8419	9.268759294627209	4.8475	0.5091	4.859	287.0	8.684	99.8	OVER
