ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.2904	-1.7789272174849369	-9.9507	0.2593	-9.966	287.0	31.515	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4507	-1.1465631811119334	-9.9408	0.4273	-9.966	287.0	20.581	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.1603	-2.6321816563938065	-9.9433	0.3842	-9.966	287.0	19.029	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.5712	-0.8054085972262663	-9.9162	0.4864	-9.966	287.0	18.731	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.0836	-3.5631985264295	-9.9439	0.3742	-9.966	287.0	17.052	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	3.7653	1.9131479206304187	-9.8236	0.7189	-9.966	287.0	16.326	100.0	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	840.077	9.714379475986236	0.3222	0.7761	0.4125	287.0	12.102	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.7211	-0.46972945235379643	-9.8805	0.8416	-9.966	287.0	11.182	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0901	-3.456405135747399	-9.8895	0.5756	-9.966	287.0	11.176	100.0	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.0865	-3.5145731728297585	-9.8975	0.5786	-9.966	287.0	11.032	100.0	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.7071	-0.4979749784823046	-9.7845	0.8461	-9.966	287.0	10.976	99.9	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.6397	-0.6422791043851898	-9.7933	0.8383	-9.966	287.0	10.916	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0403	-4.597714408130004	-9.9225	0.5205	-9.966	287.0	10.23	99.9	OVER
ENSG00000149679	CABLES2	81928	Cdk5 and Abl enzyme substrate 2	protein_coding	64.5097	6.011466566379212	1.6027	0.4377	1.623	287.0	10.073	99.9	OVER
ENSG00000182447	OTOL1	131149	otolin 1	protein_coding	0.2194	-2.1818038709782916	-9.8528	0.7797	-9.966	287.0	9.838	99.9	OVER
