ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0914	-3.435963338133392	-9.9453	0.3501	-9.966	287.0	18.593	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	37.3768	5.22410975165116	-9.8007	0.8388	-9.966	287.0	17.912	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	1.0117	0.01820685665331186	-9.8895	0.5756	-9.966	287.0	17.213	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.3207	-1.636212158896711	-9.9162	0.4864	-9.966	287.0	17.023	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1458	-2.7680761267062364	-9.9408	0.4273	-9.966	287.0	16.786	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.2908	-1.7769482116315585	-9.9357	0.5125	-9.966	287.0	15.92	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.4743	1.307603386720961	-9.8805	0.8416	-9.966	287.0	13.294	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0452	-4.435963338133392	-9.9309	0.4228	-9.966	287.0	12.997	100.0	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0253	-5.248793390257147	-9.9439	0.3742	-9.966	287.0	12.547	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	5.3683	2.424734015146326	-9.7475	0.9772	-9.966	287.0	12.456	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	5.8538	2.549619889097734	-9.8209	0.9975	-9.966	287.0	12.402	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.2705	-1.8809758968577255	-9.8885	0.6541	-9.966	287.0	12.242	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.013	-6.158429362604483	-9.9462	0.3349	-9.966	287.0	11.31	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0503	-4.284897363942395	-9.9225	0.5205	-9.966	287.0	10.831	99.9	OVER
ENSG00000161807	OR7G1	125962	olfactory receptor family 7 subfamily G member 1	protein_coding	0.0839	-3.5580916359964108	-9.9055	0.5914	-9.966	287.0	10.733	99.9	OVER
ENSG00000221840	OR4A5	81318	olfactory receptor family 4 subfamily A member 5	protein_coding	0.0733	-3.750493979010853	-9.9069	0.5765	-9.966	287.0	10.679	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	34.504	5.108733527866266	-9.4554	1.3777	-9.966	287.0	10.571	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	1.2171	0.28463257625082955	-9.8146	1.0421	-9.966	287.0	9.691	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2913	-1.7744782657433966	-9.8339	0.8384	-9.966	287.0	9.613	99.9	OVER
ENSG00000204612	FOXB2	442425	forkhead box B2	protein_coding	0.0604	-4.02561753417927	-9.893	0.6158	-9.966	287.0	9.528	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	3.3406	1.7405390486133432	-9.7749	1.215	-9.966	287.0	9.478	99.9	OVER
ENSG00000204479	PRAMEF17	391004	PRAME family member 17	protein_coding	0.4975	-1.0043345902638912	-9.8	0.9289	-9.966	287.0	9.469	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	2.7222	1.4453029421365131	-9.709	1.2335	-9.966	287.0	9.043	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0662	-3.8953949567706894	-9.8875	0.6628	-9.966	287.0	9.041	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	120.1852	6.909127442441748	3.8348	0.3454	3.88	287.0	8.901	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1407	-2.819088336631431	-9.8844	0.7965	-9.966	287.0	8.87	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.4166	-1.2598063829795647	-9.8325	1.006	-9.966	287.0	8.522	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.7371	-0.43811180471196864	-9.8303	1.1477	-9.966	287.0	8.183	99.9	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.0536	-4.194955238629597	-9.8727	0.7042	-9.966	287.0	8.063	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	480.2094	8.907522838378355	4.8475	0.5091	4.859	287.0	7.975	99.8	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	364.5037	8.509793606859107	5.7393	0.3488	5.736	287.0	7.943	99.8	OVER
ENSG00000257046	SLCO1B3-SLCO1B7	115072896	SLCO1B3-SLCO1B7 readthrough	protein_coding	0.2496	-1.9965416802275888	-9.7748	0.9806	-9.966	287.0	7.932	99.8	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.022	-5.442222328605074	-9.908	0.566	-9.966	287.0	7.89	99.8	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.0363	-4.744680559294212	-9.8732	0.6551	-9.966	287.0	7.829	99.8	OVER
ENSG00000112238	PRDM13	59336	PR/SET domain 13	protein_coding	0.5101	-0.9683225035492398	-9.6705	1.1241	-9.966	287.0	7.741	99.8	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.0656	-3.908334012478187	-9.8195	0.7757	-9.966	287.0	7.62	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	26.848	4.746796450438557	1.5417	0.421	1.566	287.0	7.613	99.8	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.3019	-1.723086516754077	-9.8093	1.0747	-9.966	287.0	7.524	99.8	OVER
ENSG00000124089	MC3R	4159	melanocortin 3 receptor	protein_coding	0.0724	-3.7680761267062364	-9.8605	0.8169	-9.966	287.0	7.458	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.5319	0.6162635846615587	-9.5576	1.3755	-9.966	287.0	7.396	99.8	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	50.2317	5.650554916620641	3.1803	0.3367	3.199	287.0	7.337	99.8	OVER
ENSG00000123388	HOXC11	3227	homeobox C11	protein_coding	9.6177	3.26584192203193	-9.2833	1.7255	-9.966	287.0	7.273	99.8	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	74.576	6.22065885804646	3.0556	0.4353	3.052	287.0	7.271	99.8	OVER
ENSG00000143776	CDC42BPA	8476	CDC42 binding protein kinase alpha	protein_coding	97.9083	6.613373996867961	3.7533	0.3939	3.76	287.0	7.261	99.8	OVER
ENSG00000172742	OR4D9	390199	olfactory receptor family 4 subfamily D member 9	protein_coding	0.0125	-6.210896782498619	-9.9232	0.5116	-9.966	287.0	7.256	99.8	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	256.4702	8.002653019700768	5.5015	0.3448	5.526	287.0	7.254	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.3514	-1.504714170629036	-9.83	1.1479	-9.966	287.0	7.253	99.8	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	78.4112	6.29300623277612	3.4078	0.4011	3.416	287.0	7.193	99.8	OVER
ENSG00000143368	SF3B4	10262	splicing factor 3b subunit 4	protein_coding	294.1146	8.200239497106681	5.0091	0.4521	5.098	287.0	7.058	99.7	OVER
ENSG00000243364	EFNA4	1945	ephrin A4	protein_coding	74.8195	6.22536170184948	2.2971	0.5596	2.316	287.0	7.02	99.7	OVER
ENSG00000230657	PRB4	5545	proline rich protein BstNI subfamily 4	protein_coding	241.8068	7.917716972160862	-9.1561	2.4414	-9.966	287.0	6.993	99.7	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	33.1955	5.052959237097464	-0.5099	0.7959	-0.4131	287.0	6.989	99.7	OVER
ENSG00000138068	SULT6B1	391365	sulfotransferase family 6B member 1	protein_coding	0.0592	-4.054092702789747	-9.8452	0.8308	-9.966	287.0	6.971	99.7	OVER
ENSG00000176490	DIRAS1	148252	DIRAS family GTPase 1	protein_coding	29.1281	4.864389222194828	-1.1338	0.8615	-1.149	287.0	6.962	99.7	OVER
ENSG00000146618	FERD3L	222894	Fer3 like bHLH transcription factor	protein_coding	0.1227	-3.0150825945730797	-9.8233	0.9787	-9.966	287.0	6.956	99.7	OVER
ENSG00000105131	EPHX3	79852	epoxide hydrolase 3	protein_coding	59.2803	5.889505180233348	0.8536	0.7253	0.8805	287.0	6.943	99.7	OVER
ENSG00000096696	DSP	1832	desmoplakin	protein_coding	187.4633	7.550472070093733	2.2317	0.7675	2.281	287.0	6.93	99.7	OVER
ENSG00000113300	CNOT6	57472	CCR4-NOT transcription complex subunit 6	protein_coding	33.7693	5.077683090536863	2.9385	0.3142	2.911	287.0	6.808	99.7	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.0425	-4.522840788813359	-9.8999	0.7903	-9.966	287.0	6.804	99.7	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	128.9636	7.01083129873177	0.9907	0.887	1.112	287.0	6.787	99.7	OVER
ENSG00000133985	TTC9	23508	tetratricopeptide repeat domain 9	protein_coding	38.7744	5.277069758806106	1.5676	0.5505	1.561	287.0	6.738	99.7	OVER
ENSG00000091844	RGS17	26575	regulator of G protein signaling 17	protein_coding	12.4209	3.634813953705985	-2.0021	0.8428	-2.053	287.0	6.688	99.7	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	82.6807	6.369496146886764	1.2184	0.7739	1.299	287.0	6.656	99.7	OVER
ENSG00000143320	CRABP2	1382	cellular retinoic acid binding protein 2	protein_coding	985.0037	9.94398679825289	2.1308	1.1849	1.997	287.0	6.594	99.7	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	22.4601	4.4893566782663346	2.6615	0.2775	2.678	287.0	6.587	99.7	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0157	-5.904008087075397	-9.9039	0.6087	-9.966	287.0	6.571	99.7	OVER
ENSG00000182968	SOX1	6656	SRY-box transcription factor 1	protein_coding	0.7406	-0.43128685092391855	-9.4664	1.379	-9.966	287.0	6.552	99.7	OVER
ENSG00000176595	KBTBD11	9920	kelch repeat and BTB domain containing 11	protein_coding	34.1234	5.092731774630198	1.4892	0.5507	1.501	287.0	6.544	99.7	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	63.5713	5.990326379929712	2.9104	0.4736	2.917	287.0	6.503	99.6	OVER
ENSG00000197479	PCDHB11	56125	protocadherin beta 11	protein_coding	19.7484	4.303736918801234	-0.5304	0.7446	-0.5125	287.0	6.492	99.6	OVER
