ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	1.0434	0.06267436276339249	-9.9507	0.2593	-9.966	287.0	38.617	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	1.3524	0.4365882936601177	-9.9423	0.4011	-9.966	287.0	25.876	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.6004	-0.7336032269754464	-9.9439	0.3742	-9.966	287.0	24.613	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.2632	-1.9202976283026219	-9.9453	0.3501	-9.966	287.0	22.922	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.9932	-0.008391991606841414	-9.9402	0.4379	-9.966	287.0	22.681	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2099	-2.2453689997557578	-9.9408	0.4273	-9.966	287.0	18.009	100.0	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.1644	-2.595968860378175	-9.923	0.5154	-9.966	287.0	14.216	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0645	-3.932361283124637	-9.9408	0.4273	-9.966	287.0	14.061	100.0	OVER
ENSG00000260734	TLE7	102723796	TLE family member 7	protein_coding	4.2305	2.081169166644641	-9.8495	0.8779	-9.966	287.0	13.59	100.0	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.2956	-1.753409497094819	-9.9034	0.6108	-9.966	287.0	13.343	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.3894	-1.356975041986563	-9.8885	0.6541	-9.966	287.0	13.043	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0187	-5.665660560093073	-9.9462	0.3349	-9.966	287.0	12.782	99.9	OVER
ENSG00000204703	OR2B3	442184	olfactory receptor family 2 subfamily B member 3	protein_coding	0.3066	-1.7008725915876228	-9.8864	0.6718	-9.966	287.0	12.184	99.9	OVER
