ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0895	-3.465938397578882	-9.9507	0.2593	-9.966	287.0	25.009	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1184	-3.0661252582846443	-9.9453	0.3501	-9.966	287.0	19.649	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.288	-1.7908586021614084	-9.9408	0.4273	-9.966	287.0	19.073	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1739	-2.5153978056277966	-9.9423	0.4011	-9.966	287.0	18.516	100.0	OVER
ENSG00000188877	POTEA	340441	POTE ankyrin domain family member A	protein_coding	0.015	-5.965784284662087	-9.9507	0.2593	-9.966	287.0	15.368	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	1.0078	0.012640180778770332	-9.8885	0.6541	-9.966	287.0	15.137	100.0	OVER
ENSG00000259009	TPRX2	503627	tetrapeptide repeat homeobox 2	protein_coding	0.0385	-4.662003536484984	-9.9446	0.363	-9.966	287.0	14.553	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.1232	-3.009262921328968	-9.9162	0.4864	-9.966	287.0	14.2	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.4295	1.2812531341264946	-9.8805	0.8416	-9.966	287.0	13.263	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	7.6773	2.9407869290383393	-9.8209	0.9975	-9.966	287.0	12.794	100.0	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	5.3765	2.4269356196483365	-9.654	1.0271	-9.966	287.0	11.762	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.2003	-2.3125809226281095	-9.8875	0.6628	-9.966	287.0	11.429	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.7047	-0.5028730848963002	-9.8339	0.8384	-9.966	287.0	11.13	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0112	-6.356975041986563	-9.9462	0.3349	-9.966	287.0	10.717	99.9	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0147	-5.993091630657823	-9.9439	0.3742	-9.966	287.0	10.558	99.9	OVER
ENSG00000174564	IL20RB	53833	interleukin 20 receptor subunit beta	protein_coding	147.852	7.208019706423446	0.0531	0.7212	0.0718	287.0	9.921	99.9	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	586.2647	9.1954108428123	5.7393	0.3488	5.736	287.0	9.909	99.9	OVER
ENSG00000205495	OR52J3	119679	olfactory receptor family 52 subfamily J member 3	protein_coding	0.0725	-3.7661119398257226	-9.9023	0.6262	-9.966	287.0	9.799	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0486	-4.333516069162574	-9.8895	0.5756	-9.966	287.0	9.653	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	142.0766	7.150535306520889	3.8348	0.3454	3.88	287.0	9.6	99.9	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	104.2552	6.70398937146176	3.2377	0.367	3.254	287.0	9.445	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.5923	0.6720179352645318	-9.8303	1.1477	-9.966	287.0	9.151	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.0423	-4.529489164822724	-9.8955	0.594	-9.966	287.0	9.034	99.9	OVER
ENSG00000196099	OR6M1	390261	olfactory receptor family 6 subfamily M member 1	protein_coding	0.0322	-4.912672948202524	-9.9089	0.5568	-9.966	287.0	8.973	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	134.367	7.07004578817293	0.3222	0.7761	0.4125	287.0	8.695	99.9	OVER
