ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	1.7325	0.7936878365407461	-9.9507	0.2593	-9.966	287.0	41.436	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.3097	-1.6864058534276087	-9.9453	0.3501	-9.966	287.0	23.59	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.7209	-0.4701290908718335	-9.9408	0.4273	-9.966	287.0	22.164	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5647	-0.8218909239056749	-9.9408	0.4273	-9.966	287.0	21.341	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0579	-4.085588555718989	-9.9462	0.3349	-9.966	287.0	17.5	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	18.4868	4.208501652894635	-9.8805	0.8416	-9.966	287.0	16.741	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.0847	-3.5445609854369495	-9.9433	0.3842	-9.966	287.0	16.655	100.0	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.4639	-1.1050076690304853	-9.9034	0.6108	-9.966	287.0	14.405	100.0	OVER
ENSG00000123576	ESX1	80712	ESX homeobox 1	protein_coding	8.0974	3.0176369030494983	-9.8159	0.8945	-9.966	287.0	14.347	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0418	-4.546245393148302	-9.9315	0.4128	-9.966	287.0	13.046	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0894	-3.4675334171342618	-9.8937	0.4959	-9.966	287.0	12.959	99.9	OVER
ENSG00000260734	TLE7	102723796	TLE family member 7	protein_coding	1.6722	0.7426099030945855	-9.8495	0.8779	-9.966	287.0	12.065	99.9	OVER
