ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	1.9472	0.9621417904577948	-9.9408	0.4273	-9.966	287.0	25.516	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.256	-1.960159735468209	-9.9423	0.4011	-9.966	287.0	19.901	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.4079	-1.2901800320230838	-9.9162	0.4864	-9.966	287.0	17.734	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.5547	-0.8476218545989607	-9.9357	0.5125	-9.966	287.0	17.733	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	3.8623	1.9498337126998504	-9.8805	0.8416	-9.966	287.0	14.057	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0247	-5.282087830355572	-9.9462	0.3349	-9.966	287.0	13.927	100.0	OVER
ENSG00000197674	OR51C1P	401661	olfactory receptor family 51 subfamily C member 1 pseudogene	protein_coding	0.1037	-3.255666652618641	-9.9205	0.5455	-9.966	287.0	12.218	100.0	OVER
ENSG00000253148	RGS21	431704	regulator of G protein signaling 21	protein_coding	0.2505	-1.99136969485656	-9.8797	0.6493	-9.966	287.0	12.149	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1935	-2.362157939675895	-9.8885	0.6541	-9.966	287.0	11.506	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.0722	-3.772012541265407	-9.9036	0.5342	-9.966	287.0	11.478	100.0	OVER
ENSG00000173335	CST9	128822	cystatin 9	protein_coding	0.0917	-3.4312868509239185	-9.9083	0.5686	-9.966	287.0	11.391	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.5757	-0.7941070724923293	-9.8007	0.8388	-9.966	287.0	10.737	99.9	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.1385	-2.8416629728328995	-9.8732	0.6551	-9.966	287.0	10.734	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1264	-2.972562817293149	-9.8875	0.6628	-9.966	287.0	10.433	99.9	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.2708	-1.8793826387820582	-9.8689	0.8183	-9.966	287.0	9.764	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	138.0272	7.1088192382555295	3.0556	0.4353	3.052	287.0	9.311	99.9	OVER
