ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	1.2346	0.3052117760781881	-9.9507	0.2593	-9.966	287.0	39.552	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	4.5915	2.199279721336625	-9.9354	0.366	-9.966	287.0	33.155	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	4.6534	2.2185952015508574	-9.9162	0.4864	-9.966	287.0	24.948	100.0	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.6332	-0.6569902174456103	-9.9439	0.3742	-9.966	287.0	24.818	100.0	OVER
ENSG00000176774	MAGEB18	286514	MAGE family member B18	protein_coding	0.1319	-2.911586990273275	-9.9487	0.2924	-9.966	287.0	24.067	100.0	OVER
ENSG00000180205	WFDC9	259240	WAP four-disulfide core domain 9	protein_coding	0.4328	-1.2048980418771753	-9.9433	0.3842	-9.966	287.0	22.744	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.1667	-2.576045405985103	-9.9462	0.3349	-9.966	287.0	22.007	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	116.4263	6.863285572390931	-9.8007	0.8388	-9.966	287.0	19.866	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.28	-1.8313579644411608	-9.9402	0.4379	-9.966	287.0	18.518	100.0	OVER
ENSG00000177689	MAGEB10	139422	MAGE family member B10	protein_coding	2.6789	1.4221791677741853	-9.893	0.6158	-9.966	287.0	18.375	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.0657	-3.9061694283648647	-9.9446	0.363	-9.966	287.0	16.635	99.9	OVER
ENSG00000176798	OR51L1	119682	olfactory receptor family 51 subfamily L member 1	protein_coding	0.0473	-4.371833000713676	-9.9453	0.3501	-9.966	287.0	15.92	99.9	OVER
ENSG00000123584	MAGEA9	4108	MAGE family member A9	protein_coding	2.1814	1.125915549474723	-9.8752	0.6914	-9.966	287.0	15.911	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.5705	-0.8071745964476088	-9.8895	0.5756	-9.966	287.0	15.779	99.9	OVER
ENSG00000167346	MMP26	56547	matrix metallopeptidase 26	protein_coding	3.3908	1.7620511028271237	-9.8782	0.7453	-9.966	287.0	15.618	99.9	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0986	-3.3277104474813686	-9.9408	0.4273	-9.966	287.0	15.476	99.9	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.1082	-3.1949552386295967	-9.9384	0.4671	-9.966	287.0	14.437	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	4.7941	2.2615609024174907	-9.8805	0.8416	-9.966	287.0	14.427	99.9	OVER
ENSG00000176925	OR51F2	119694	olfactory receptor family 51 subfamily F member 2	protein_coding	0.1403	-2.82316662921551	-9.9248	0.493	-9.966	287.0	14.405	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.1172	-3.080698059371917	-9.8937	0.4959	-9.966	287.0	13.739	99.9	OVER
ENSG00000189023	MAGEB16	139604	MAGE family member B16	protein_coding	0.4279	-1.221286778913893	-9.8822	0.6323	-9.966	287.0	13.697	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.1361	-2.8666995237702233	-9.9225	0.5205	-9.966	287.0	13.556	99.9	OVER
ENSG00000176922	OR51S1	119692	olfactory receptor family 51 subfamily S member 1	protein_coding	0.1062	-3.221623189091677	-9.9241	0.5013	-9.966	287.0	13.37	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.1862	-2.417347659966045	-9.908	0.566	-9.966	287.0	13.234	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	10.1493	3.343450462900396	-9.8209	0.9975	-9.966	287.0	13.197	99.9	OVER
ENSG00000197674	OR51C1P	401661	olfactory receptor family 51 subfamily C member 1 pseudogene	protein_coding	0.1471	-2.7553564542606015	-9.9205	0.5455	-9.966	287.0	13.135	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.4003	-1.317246938769454	-9.8885	0.6541	-9.966	287.0	13.104	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.1677	-2.567468121261884	-9.9187	0.567	-9.966	287.0	12.965	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	6.5706	2.716244669031325	-9.7475	0.9772	-9.966	287.0	12.755	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0175	-5.756330919033137	-9.9462	0.3349	-9.966	287.0	12.511	99.8	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.5564	-0.8432150924456403	-9.8795	0.7304	-9.966	287.0	12.372	99.8	OVER
ENSG00000189186	DCAF8L2	347442	DDB1 and CUL4 associated factor 8 like 2	protein_coding	1.6177	0.6948356301019758	-9.805	0.854	-9.966	287.0	12.295	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	157.2759	7.297162980663627	-9.4554	1.3777	-9.966	287.0	12.16	99.8	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.2249	-2.146243824156365	-9.8891	0.648	-9.966	287.0	11.949	99.8	OVER
ENSG00000069018	TRPC7	57113	transient receptor potential cation channel subfamily C member 7	protein_coding	0.4018	-1.3118644115426648	-9.8548	0.7175	-9.966	287.0	11.907	99.8	OVER
ENSG00000173673	HES3	390992	hes family bHLH transcription factor 3	protein_coding	0.5237	-0.9304353049066404	-9.8767	0.7539	-9.966	287.0	11.867	99.8	OVER
ENSG00000124089	MC3R	4159	melanocortin 3 receptor	protein_coding	0.7595	-0.3949798469375905	-9.8605	0.8169	-9.966	287.0	11.587	99.8	OVER
ENSG00000241224	C3orf85	401081	chromosome 3 open reading frame 85	protein_coding	0.8585	-0.21843045518402593	-9.8811	0.8491	-9.966	287.0	11.38	99.8	OVER
ENSG00000175065	DSG4	147409	desmoglein 4	protein_coding	4.3886	2.1340894809204234	-9.6526	1.0545	-9.966	287.0	11.178	99.8	OVER
ENSG00000180269	GPR139	124274	G protein-coupled receptor 139	protein_coding	0.0377	-4.69152262340504	-9.9259	0.4806	-9.966	287.0	10.891	99.8	OVER
ENSG00000126550	HTN1	3346	histatin 1	protein_coding	0.1404	-2.8221459747400504	-9.9106	0.6634	-9.966	287.0	10.685	99.8	OVER
ENSG00000270601	PRAMEF5	343068	PRAME family member 5	protein_coding	0.0154	-5.930160374931366	-9.9353	0.3759	-9.966	287.0	10.655	99.8	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	7.2373	2.8556509031709396	-9.654	1.2021	-9.966	287.0	10.406	99.8	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	2.2205	1.1515341413479168	-9.7782	1.0515	-9.966	287.0	10.394	99.8	OVER
ENSG00000205327	OR6C68	403284	olfactory receptor family 6 subfamily C member 68	protein_coding	0.0283	-5.092955525127201	-9.9267	0.471	-9.966	287.0	10.263	99.8	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.059	-4.058893689053568	-9.9182	0.5714	-9.966	287.0	10.254	99.8	OVER
ENSG00000177504	VCX2	51480	variable charge X-linked 2	protein_coding	2.5417	1.3463612559550031	-9.7831	1.0856	-9.966	287.0	10.252	99.8	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	59.7798	5.90161029849939	-9.623	1.5205	-9.966	287.0	10.21	99.8	OVER
ENSG00000171936	OR10H3	26532	olfactory receptor family 10 subfamily H member 3	protein_coding	0.0258	-5.221623189091677	-9.9267	0.471	-9.966	287.0	9.99	99.7	OVER
ENSG00000182070	OR52A1	23538	olfactory receptor family 52 subfamily A member 1	protein_coding	0.0407	-4.583808806104786	-9.9114	0.5365	-9.966	287.0	9.93	99.7	OVER
ENSG00000186795	KCNK18	338567	potassium two pore domain channel subfamily K member 18	protein_coding	0.046	-4.411195432984449	-9.9092	0.5546	-9.966	287.0	9.913	99.7	OVER
