ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	5.2461	2.3915202853360347	-9.9162	0.4864	-9.966	287.0	25.304	100.0	OVER
ENSG00000188877	POTEA	340441	POTE ankyrin domain family member A	protein_coding	0.0315	-4.943416471633633	-9.9507	0.2593	-9.966	287.0	19.311	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2461	-2.0168330842206648	-9.9408	0.4273	-9.966	287.0	18.544	100.0	OVER
ENSG00000205649	HTN3	3347	histatin 3	protein_coding	2.5942	1.3758457246678235	-9.9137	0.625	-9.966	287.0	18.063	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.1531	-2.698061233034664	-9.9405	0.4327	-9.966	287.0	16.738	100.0	OVER
ENSG00000176290	OR4K3	283617	olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)	protein_coding	0.0753	-3.712173132714919	-9.9408	0.4273	-9.966	287.0	14.577	100.0	OVER
ENSG00000126550	HTN1	3346	histatin 1	protein_coding	0.5467	-0.8685422145209122	-9.9106	0.6634	-9.966	287.0	13.63	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	6.7148	2.747559266709643	-9.7475	0.9772	-9.966	287.0	12.787	100.0	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	3.3163	1.7300094881407555	-9.654	1.0271	-9.966	287.0	11.084	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0118	-6.28771237954945	-9.9462	0.3349	-9.966	287.0	10.924	100.0	OVER
