ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.9522	-0.06914914335917836	-9.9446	0.363	-9.966	287.0	27.205	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.5406	-0.8847003559744527	-9.9354	0.366	-9.966	287.0	24.729	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.395	-1.3364276645824773	-9.9423	0.4011	-9.966	287.0	21.456	100.0	OVER
ENSG00000169484	OR4K14	122740	olfactory receptor family 4 subfamily K member 14	protein_coding	1.2374	0.30847737659496083	-9.9248	0.493	-9.966	287.0	20.757	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.2046	-2.282087830355571	-9.9439	0.3742	-9.966	287.0	20.475	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1431	-2.7948577593747017	-9.9408	0.4273	-9.966	287.0	16.723	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.1318	-2.9126729482025246	-9.9408	0.4273	-9.966	287.0	16.448	100.0	OVER
ENSG00000176230	OR4K17	390436	olfactory receptor family 4 subfamily K member 17	protein_coding	0.152	-2.7083964419694353	-9.9248	0.493	-9.966	287.0	14.638	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.0588	-4.063710705351345	-9.9415	0.4152	-9.966	287.0	14.157	100.0	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.1494	-2.733123527871812	-9.923	0.5154	-9.966	287.0	13.95	100.0	OVER
ENSG00000226372	DCAF8L1	139425	DDB1 and CUL4 associated factor 8 like 1	protein_coding	0.3341	-1.5773364083449783	-9.8778	0.6204	-9.966	287.0	13.379	99.9	OVER
ENSG00000176246	OR4L1	122742	olfactory receptor family 4 subfamily L member 1	protein_coding	0.2461	-2.0168330842206648	-9.9049	0.5956	-9.966	287.0	13.244	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.3981	-1.3251778160381777	-9.8885	0.6541	-9.966	287.0	13.092	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.7531	-0.40717224521571527	-9.8795	0.7304	-9.966	287.0	12.969	99.9	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0443	-4.464345139503214	-9.9309	0.4228	-9.966	287.0	12.929	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.1144	-3.1152848709039667	-9.905	0.5987	-9.966	287.0	11.341	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0127	-6.189680296588922	-9.9462	0.3349	-9.966	287.0	11.217	99.9	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.0855	-3.5311560570253624	-9.9182	0.5714	-9.966	287.0	11.178	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	54.1467	5.758828153513844	-9.4554	1.3777	-9.966	287.0	11.043	99.9	OVER
ENSG00000176253	OR4K13	390433	olfactory receptor family 4 subfamily K member 13	protein_coding	0.0515	-4.251538766995965	-9.9225	0.5205	-9.966	287.0	10.895	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0493	-4.313297789743922	-9.9225	0.5205	-9.966	287.0	10.777	99.9	OVER
ENSG00000171014	OR4D5	219875	olfactory receptor family 4 subfamily D member 5	protein_coding	0.0703	-3.809954113105561	-9.9072	0.5741	-9.966	287.0	10.621	99.9	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.1684	-2.561494220217251	-9.884	0.6921	-9.966	287.0	10.58	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.031	-4.965784284662087	-9.9259	0.4806	-9.966	287.0	10.321	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	3.6165	1.854993016757	-9.8303	1.1477	-9.966	287.0	10.181	99.9	OVER
ENSG00000198681	MAGEA1	4100	MAGE family member A1	protein_coding	21.25	4.40945882607164	-9.5408	1.4554	-9.966	287.0	9.585	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0432	-4.499809820158018	-9.908	0.566	-9.966	287.0	9.555	99.9	OVER
ENSG00000173285	OR10K1	391109	olfactory receptor family 10 subfamily K member 1	protein_coding	0.0196	-5.601211852366231	-9.9276	0.4598	-9.966	287.0	9.409	99.9	OVER
ENSG00000255223	OR5M11	219487	olfactory receptor family 5 subfamily M member 11	protein_coding	0.6042	-0.7245161073327123	-9.8017	0.9735	-9.966	287.0	9.324	99.9	OVER
ENSG00000187714	SLC18A3	6572	solute carrier family 18 member A3	protein_coding	4.473	2.161565256397032	-9.5629	1.2861	-9.966	287.0	9.116	99.8	OVER
ENSG00000153779	TGIF2LX	90316	TGFB induced factor homeobox 2 like X-linked	protein_coding	0.3946	-1.3378856687903387	-9.8169	0.9477	-9.966	287.0	8.947	99.8	OVER
ENSG00000166351	POTED	317754	POTE ankyrin domain family member D	protein_coding	0.0584	-4.073393258748683	-9.8797	0.6493	-9.966	287.0	8.942	99.8	OVER
