ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	37.5197	5.229614838441829	-9.8805	0.8416	-9.966	287.0	17.954	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.154	-2.6896598793878495	-9.9408	0.4273	-9.966	287.0	16.97	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	49.5592	5.631110104368015	-9.8209	0.9975	-9.966	287.0	15.491	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0213	-5.486812479629145	-9.9462	0.3349	-9.966	287.0	13.316	100.0	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.0171	-5.787866492466244	-9.9353	0.3759	-9.966	287.0	11.033	100.0	OVER
ENSG00000126550	HTN1	3346	histatin 1	protein_coding	0.0682	-3.853084151912725	-9.9106	0.6634	-9.966	287.0	9.131	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0544	-4.173970213500261	-9.8875	0.6628	-9.966	287.0	8.62	100.0	OVER
ENSG00000196240	OR2T2	401992	olfactory receptor family 2 subfamily T member 2	protein_coding	0.0365	-4.7369655941662066	-9.9156	0.603	-9.966	287.0	8.588	100.0	OVER
ENSG00000173673	HES3	390992	hes family bHLH transcription factor 3	protein_coding	0.0909	-3.443791328260415	-9.8767	0.7539	-9.966	287.0	8.533	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.9085	-0.13685445701060073	-9.8303	1.1477	-9.966	287.0	8.446	100.0	OVER
ENSG00000181965	NEUROG1	4762	neurogenin 1	protein_coding	0.0383	-4.6693268772908425	-9.8907	0.6355	-9.966	287.0	8.216	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.3043	-1.7117005053426693	-9.8325	1.006	-9.966	287.0	8.072	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	296.7076	8.212902933234432	3.5934	0.5726	3.541	287.0	8.068	99.9	OVER
ENSG00000205649	HTN3	3347	histatin 3	protein_coding	0.0317	-4.934565554051367	-9.9137	0.625	-9.966	287.0	7.967	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0172	-5.779917739350753	-9.9225	0.5205	-9.966	287.0	7.959	99.9	OVER
