sample_id	n_genes
TCGA-05-4244	42282
TCGA-05-4245	42282
TCGA-05-4249	42282
TCGA-05-4250	42282
TCGA-05-4382	42282
TCGA-05-4384	42282
TCGA-05-4389	42282
TCGA-05-4390	42282
TCGA-05-4395	42282
TCGA-05-4396	42282
TCGA-05-4397	42282
TCGA-05-4398	42282
TCGA-05-4402	42282
TCGA-05-4403	42282
TCGA-05-4405	42282
TCGA-05-4410	42282
TCGA-05-4415	42282
TCGA-05-4417	42282
TCGA-05-4418	42282
TCGA-05-4420	42282
TCGA-05-4422	42282
TCGA-05-4424	42282
TCGA-05-4425	42282
TCGA-05-4426	42282
TCGA-05-4427	42282
TCGA-05-4430	42282
TCGA-05-4432	42282
TCGA-05-4433	42282
TCGA-05-4434	42282
TCGA-05-5420	42282
TCGA-05-5423	42282
TCGA-05-5425	42282
TCGA-05-5428	42282
TCGA-05-5429	42282
TCGA-05-5715	42282
TCGA-35-3615	42282
TCGA-35-4122	42282
TCGA-35-4123	42282
TCGA-35-5375	42282
TCGA-38-4625	42282
TCGA-38-4626	42282
TCGA-38-4627	42282
TCGA-38-4628	42282
TCGA-38-4629	42282
TCGA-38-4630	42282
TCGA-38-4631	42282
TCGA-38-4632	42282
TCGA-38-6178	42282
TCGA-38-7271	42282
TCGA-38-A44F	42282
TCGA-44-2655	42282
TCGA-44-2656	42282
TCGA-44-2657	42282
TCGA-44-2659	42282
TCGA-44-2661	42282
TCGA-44-2662	42282
TCGA-44-2665	42282
TCGA-44-2666	42282
TCGA-44-2668	42282
TCGA-44-3396	42282
TCGA-44-3398	42282
TCGA-44-3917	42282
TCGA-44-3918	42282
TCGA-44-3919	42282
TCGA-44-4112	42282
TCGA-44-5643	42282
TCGA-44-5644	42282
TCGA-44-5645	42282
TCGA-44-6145	42282
TCGA-44-6146	42282
TCGA-44-6147	42282
TCGA-44-6148	42282
TCGA-44-6774	42282
TCGA-44-6775	42282
TCGA-44-6776	42282
TCGA-44-6777	42282
TCGA-44-6778	42282
TCGA-44-6779	42282
TCGA-44-7659	42282
TCGA-44-7660	42282
TCGA-44-7661	42282
TCGA-44-7662	42282
TCGA-44-7667	42282
TCGA-44-7669	42282
TCGA-44-7670	42282
TCGA-44-7671	42282
TCGA-44-7672	42282
TCGA-44-8117	42282
TCGA-44-8119	42282
TCGA-44-8120	42282
TCGA-44-A479	42282
TCGA-44-A47A	42282
TCGA-44-A47B	42282
TCGA-44-A47G	42282
TCGA-44-A4SS	42282
TCGA-44-A4SU	42282
TCGA-49-4486	42282
TCGA-49-4487	42282
TCGA-49-4488	42282
TCGA-49-4490	42282
TCGA-49-4494	42282
TCGA-49-4501	42282
TCGA-49-4505	42282
TCGA-49-4506	42282
TCGA-49-4507	42282
TCGA-49-4510	42282
TCGA-49-4512	42282
TCGA-49-4514	42282
TCGA-49-6742	42282
TCGA-49-6743	42282
TCGA-49-6744	42282
TCGA-49-6745	42282
TCGA-49-6761	42282
TCGA-49-6767	42282
TCGA-49-AAQV	42282
TCGA-49-AAR0	42282
TCGA-49-AAR2	42282
TCGA-49-AAR3	42282
TCGA-49-AAR4	42282
TCGA-49-AAR9	42282
TCGA-49-AARE	42282
TCGA-49-AARN	42282
TCGA-49-AARO	42282
TCGA-49-AARQ	42282
TCGA-49-AARR	42282
TCGA-4B-A93V	42282
TCGA-50-5044	42282
TCGA-50-5045	42282
TCGA-50-5049	42282
TCGA-50-5051	42282
TCGA-50-5055	42282
TCGA-50-5066	42282
TCGA-50-5068	42282
TCGA-50-5072	42282
TCGA-50-5930	42282
TCGA-50-5931	42282
TCGA-50-5932	42282
TCGA-50-5933	42282
TCGA-50-5935	42282
TCGA-50-5936	42282
TCGA-50-5939	42282
TCGA-50-5941	42282
TCGA-50-5942	42282
TCGA-50-5944	42282
TCGA-50-5946	42282
TCGA-50-6590	42282
TCGA-50-6591	42282
TCGA-50-6592	42282
TCGA-50-6593	42282
TCGA-50-6594	42282
TCGA-50-6595	42282
TCGA-50-6597	42282
TCGA-50-6673	42282
TCGA-50-7109	42282
TCGA-50-8457	42282
TCGA-50-8459	42282
TCGA-50-8460	42282
TCGA-53-7624	42282
TCGA-53-7626	42282
TCGA-53-7813	42282
TCGA-53-A4EZ	42282
TCGA-55-1592	42282
TCGA-55-1594	42282
TCGA-55-1595	42282
TCGA-55-1596	42282
TCGA-55-5899	42282
TCGA-55-6543	42282
TCGA-55-6642	42282
TCGA-55-6712	42282
TCGA-55-6968	42282
TCGA-55-6969	42282
TCGA-55-6970	42282
TCGA-55-6971	42282
TCGA-55-6972	42282
TCGA-55-6975	42282
TCGA-55-6978	42282
TCGA-55-6979	42282
