	mean	std	min	median	max
cd8_fraction	0.0715	0.0636	0.0116	0.043	0.2307
treg_fraction	0.0358	0.0154	0.0067	0.0331	0.0578
exhausted_cd8_frac	0.0397	0.05	0.0046	0.0159	0.1667
cytotoxic_cd8_frac	0.0095	0.008	0.0011	0.0085	0.0245
cd8_treg_ratio	2.3197	2.4429	0.731	1.14	8.942
macrophage_frac	0.1347	0.0829	0.0377	0.1582	0.3003
immunosupp_myeloid	0.0159	0.0174	0.0021	0.0122	0.0636
b_cell_frac	0.1132	0.1154	0.0113	0.0746	0.3838
nk_frac	0.0155	0.0115	0.0037	0.0125	0.0375
tumor_frac	0.1526	0.2098	0.0013	0.051	0.7238
immune_frac	0.6364	0.1805	0.1824	0.6331	0.831
exhaustion_index	0.443	0.1839	0.1878	0.3966	0.7226
