Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
KEGG_2021_Human	Primary immunodeficiency	1/38	0.0075788470742876	0.0211172442525521	0	0	179.8108108108108	877.9072583460236	RAG1	KEGG_2021_Human
KEGG_2021_Human	Cysteine and methionine metabolism	1/50	0.0099632044032962	0.0211172442525521	0	0	135.69387755102042	625.3936138885244	DNMT1	KEGG_2021_Human
KEGG_2021_Human	Glycosaminoglycan biosynthesis	1/53	0.010558622126276	0.0211172442525521	0	0	127.84615384615384	581.8038736810901	HS3ST1	KEGG_2021_Human
KEGG_2021_Human	RNA degradation	1/79	0.015707669790035	0.0235615046850525	0	0	85.11965811965813	353.5535366652988	TTC37	KEGG_2021_Human
KEGG_2021_Human	FoxO signaling pathway	1/131	0.0259454614657023	0.0311345537588427	0	0	50.93846153846154	186.0149639758345	RAG1	KEGG_2021_Human
Reactome_2022	PRC2 Methylates Histones And DNA R-HSA-212300	1/42	0.008374110589681	0.0362878125552843	0	0	162.2357723577236	775.9104929668098	DNMT1	Reactome_2022
Reactome_2022	Defective Pyroptosis R-HSA-9710421	1/42	0.008374110589681	0.0362878125552843	0	0	162.2357723577236	775.9104929668098	DNMT1	Reactome_2022
Reactome_2022	DNA Methylation R-HSA-5334118	1/34	0.0067831056106472	0.0362878125552843	0	0	201.64646464646464	1006.8853706700452	DNMT1	Reactome_2022
Reactome_2022	Interleukin-7 Signaling R-HSA-1266695	1/25	0.0049909390908039	0.0362878125552843	0	0	277.3888888888889	1470.1975024182984	RAG1	Reactome_2022
Reactome_2022	SUMOylation Of DNA Methylation Proteins R-HSA-4655427	1/16	0.0031963509494465	0.0362878125552843	0	0	444.02222222222224	2551.238662207853	DNMT1	Reactome_2022
Reactome_2022	HS-GAG Biosynthesis R-HSA-2022928	1/30	0.0059868860535258	0.0362878125552843	0	0	229.5057471264368	1174.6526106132212	HS3ST1	Reactome_2022
Reactome_2022	Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091	1/53	0.010558622126276	0.0392177393261683	0	0	127.84615384615384	581.8038736810901	HS3ST1	Reactome_2022
Reactome_2022	Diseases Of Programmed Cell Death R-HSA-9645723	1/71	0.0141254925238032	0.0398119906489689	0	0	94.88571428571429	404.19171136393726	DNMT1	Reactome_2022
Reactome_2022	NoRC Negatively Regulates rRNA Expression R-HSA-427413	1/74	0.0147190322987359	0.0398119906489689	0	0	90.97260273972604	383.7782872027407	DNMT1	Reactome_2022
Reactome_2022	Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941	1/77	0.0153123040957573	0.0398119906489689	0	0	87.36842105263158	365.1212447515326	DNMT1	Reactome_2022
Reactome_2022	MAPK6/MAPK4 Signaling R-HSA-5687128	1/90	0.0178800538322201	0.0422619454216113	0	0	74.55805243445693	300.0267846683708	RAG1	Reactome_2022
Reactome_2022	Epigenetic Regulation Of Gene Expression R-HSA-212165	1/116	0.0230004870518633	0.0475729310480886	0	0	57.62608695652174	217.379423755416	DNMT1	Reactome_2022
Reactome_2022	Glycosaminoglycan Metabolism R-HSA-1630316	1/120	0.0237864655240443	0.0475729310480886	0	0	55.67787114845938	208.15943465147257	HS3ST1	Reactome_2022
