Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	VEGF signaling pathway	0.6666641210610432	5.034875872663264	0.0	0.0	0.0	46/59	22.30%	HSPB1;RAC1;MAPKAPK2;RAC2;PTGS2;VEGFA;MAPKAPK3;MAPK1;MAP2K1;CDC42;MAPK13;MAP2K2;PPP3CA;SRC;MAPK3;NRAS;PPP3R1;SHC2;MAPK14;HRAS;KRAS;PTK2;PPP3CB;AKT1;PXN;KDR;NFATC2;PRKCA;PLCG1;PIK3R1;SPHK1;PPP3CC;PIK3CD;AKT2;PLA2G4A;PIK3CB;RAC3;MAPK11;RAF1;SH2D2A;BAD;PRKCB;PLA2G4F;PLCG2;CASP9;PIK3R3	KEGG_2021_Human	False
prerank	Pertussis	0.6429739239907312	4.847718510751884	0.0	0.0	0.0	42/76	10.44%	SFTPA2;SFTPA1;C1QA;C1QB;C1QC;C3;RHOA;CALM2;JUN;CFL1;C1R;CD14;C1S;ITGB2;FOS;GNAI2;SERPING1;IRAK1;CALM1;CALM3;MYD88;C4BPA;IRF3;MAPK1;LY96;ITGB1;ITGA5;NFKB1;MAPK13;RELA;PYCARD;CASP3;CXCL8;ITGAM;MAPK3;TICAM1;CASP7;MAPK14;IRF8;IRF1;GNAI3;CASP1	KEGG_2021_Human	False
prerank	Non-small cell lung cancer	0.6580604610075739	4.764547196289997	0.0	0.0	0.0	56/72	23.29%	MET;GADD45A;GRB2;GADD45B;CCND1;CDKN1A;STAT3;KIF5B;ERBB2;BAX;EML4;MAPK1;ARAF;MAP2K1;MAP2K2;BAK1;TGFA;MAPK3;NRAS;GADD45G;CDK4;RXRB;EGFR;TP53;HRAS;STAT5B;KRAS;FOXO3;RASSF1;STAT5A;JAK3;AKT1;STK4;RASSF5;RB1;PRKCA;RXRA;SOS1;PLCG1;PIK3R1;PIK3CD;SOS2;AKT2;E2F3;PIK3CB;CDKN2A;RAF1;DDB2;E2F1;BAD;PRKCB;PLCG2;CASP9;PIK3R3;PDPK1;POLK	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7212429276296791	4.723253003883888	0.0	0.0	0.0	52/57	23.94%	CBX3;NPM1;HSPD1;GNL3;SRM;NOLC1;HK2;FARSA;WDR43;IMP4;MAP3K6;PA2G4;MRTO4;RRP9;DDX18;HSPE1;DCTPP1;NOP56;TBRG4;DUSP2;CDK4;PES1;MYC;MCM4;BYSL;MYBBP1A;MPHOSPH10;EXOSC5;PPRC1;TFB2M;NOC4L;UNG;TMEM97;MCM5;GRWD1;SLC29A2;RRP12;NIP7;AIMP2;SUPV3L1;RABEPK;NOP16;TCOF1;NDUFAF4;WDR74;PUS1;LAS1L;RCL1;SLC19A1;PRMT3;PLK1;UTP20	MSigDB_Hallmark_2020	True
prerank	TGF-beta Signaling	0.7612631807615086	4.630526225052993	0.0	0.0	0.0	48/54	19.04%	RHOA;CTNNB1;SERPINE1;JUNB;THBS1;CDH1;TGFB1;SLC20A1;IFNGR2;FURIN;HDAC1;ENG;FKBP1A;UBE2D3;CDK9;LTBP2;RAB31;SPTBN1;PPP1CA;PPP1R15A;ID2;SKI;ACVR1;ID1;KLF10;PMEPA1;SKIL;SMURF1;NCOR2;ID3;WWTR1;TGIF1;TJP1;TGFBR1;SMURF2;SMAD3;BMPR2;SMAD7;XIAP;MAP3K7;FNTA;HIPK2;ARID4B;TRIM33;CDKN1C;SMAD1;PPM1A;BMP2	MSigDB_Hallmark_2020	True
prerank	Ferroptosis	0.7334854134669027	4.629854366213211	0.0	0.0	0.0	31/41	13.37%	FTL;SAT1;FTH1;GPX4;CP;SLC40A1;CYBB;ACSL1;PRNP;NCOA4;STEAP3;HMOX1;TFRC;VDAC3;PCBP2;ACSL4;MAP1LC3B;SAT2;SLC3A2;GCLM;VDAC2;ACSL5;GCLC;MAP1LC3A;SLC39A8;TP53;GSS;ACSL3;SLC39A14;SLC11A2;ATG5	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.7050034438647588	4.389867890617192	0.0	0.0	0.0	41/48	23.69%	UGP2;HEXB;UGDH;CYB5R3;CHIT1;GFUS;GPI;HK1;GFPT1;HK2;CYB5R1;UAP1;PGM1;CMAS;GALE;UXS1;GFPT2;GNPDA1;GALK1;GMPPA;HK3;RENBP;PGM2;NAGK;HKDC1;NPL;NANS;PGM3;GMDS;GMPPB;MPI;GNE;FCSK;GALT;UAP1L1;GNPNAT1;PMM1;CYB5R4;AMDHD2;FPGT;GNPDA2	KEGG_2021_Human	False
prerank	Proteasome	0.7634427003739185	4.381270861286101	0.0	0.0	0.0	37/46	13.44%	PSME1;PSMB3;PSMB4;PSMA7;PSMD2;POMP;PSMB6;PSMB1;PSMB5;PSME2;PSMB7;PSMD4;PSMB2;PSMD8;PSMB8;PSMC3;PSMB9;PSMD3;PSMC4;PSMD13;PSME3;PSMA3;PSMC5;ADRM1;PSMD11;PSMD12;PSMA5;PSMB10;PSMA4;PSMD14;PSME4;PSMF1;PSMC2;PSMD1;PSMD7;PSMC6;PSMD6	KEGG_2021_Human	False
prerank	Fc epsilon RI signaling pathway	0.639506031024443	4.374083522349012	0.0	0.0	0.0	43/67	16.63%	RAC1;FCER1G;ALOX5AP;GRB2;RAC2;ALOX5;LYN;MAPK1;MAP2K1;MAP2K3;MAPK13;MAP2K2;SYK;MAPK3;NRAS;FYN;LCP2;MAPK14;CSF2;VAV2;HRAS;KRAS;INPP5D;AKT1;VAV1;PRKCA;MAP2K7;MAPK9;SOS1;PLCG1;PIK3R1;MAP2K4;FCER1A;PIK3CD;SOS2;AKT2;PLA2G4A;GAB2;PIK3CB;BTK;RAC3;MAPK11;RAF1	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6687440727427726	4.317030630478768	0.0	0.0	0.0	52/70	22.82%	RAC1;ATP6V0E1;NFKBIA;MET;JUN;ATP6V1F;CCL5;TCIRG1;CXCL2;ATP6V0B;F11R;ATP6AP1;ATP6V1E1;LYN;ATP6V1G1;ATP6V1A;ATP6V1B2;CDC42;NFKB1;MAPK13;CSK;RELA;GIT1;CASP3;CXCL8;SRC;PAK1;CXCL1;ATP6V1C1;ATP6V1D;ATP6V1H;MAPK14;PTPN11;ATP6V0D1;HBEGF;EGFR;TJP1;IKBKB;ADAM10;MAPK9;ATP6V0A1;PLCG1;MAP2K4;MAPK11;MAP3K14;ADAM17;CHUK;NOD1;ATP6V0E2;CXCL3;PLCG2;MAPK8	KEGG_2021_Human	False
