Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Spliceosome	0.6414143789766121	5.155338595228514	0.0	0.0	0.0	116/148	17.99%	SF3B5;SNRPB;HSPA8;HNRNPK;SF3B4;SNRPC;SNRPD2;PRPF6;DDX5;HNRNPA1;SF3B6;HNRNPC;PRPF19;FUS;SNRNP70;ZMAT2;SNRPE;SNU13;PUF60;LSM2;SRSF5;HNRNPA3;LSM4;HNRNPM;LSM7;SRSF2;MAGOH;BCAS2;U2AF2;ALYREF;DDX23;PQBP1;SRSF7;TRA2A;SNRPG;RBMX;SRSF3;SF3B2;SRSF6;SF3A3;SNRNP200;SART1;SNW1;NCBP2;PPIL1;HSPA1B;HSPA1A;ACIN1;SF3B1;SNRPA;SF3A2;RBM8A;HNRNPU;PHF5A;XAB2;DDX42;PLRG1;PRPF8;SRSF4;SF3A1;USP39;EFTUD2;DHX15;CWC15;DHX16;PRPF31;SNRPF;EIF4A3;DDX39B;SYF2;SNRPB2;SRSF9;BUD31;PRPF3;SNRPA1;CTNNBL1;SF3B3;SNRPD1;DHX38;SRSF8;RBM17;LSM5;PRPF40A;SLU7;THOC2;RBM22;TXNL4A;SRSF1;SNRPD3;SNRNP27;HSPA6;PRPF38A;RBM25;SNRNP40;WBP11;PRPF38B;U2SURP;SRSF10;CRNKL1;CDC5L;CCDC12;TRA2B;LSM3;PRPF4;TCERG1;SMNDC1;DHX8;NCBP1;CHERP;PPIE;DDX46;LSM6;THOC3;RP9;ISY1;PPIH	KEGG_2021_Human	False
prerank	Sphingolipid signaling pathway	0.6253835629961831	4.791076513203785	0.0	0.0	0.0	90/119	25.15%	RAC1;CTSD;RHOA;RAC2;DEGS1;CERS2;FCER1G;MAP2K2;TRADD;SGPP2;GNAI2;CERS4;PPP2R5A;MAPK3;RELA;PPP2CA;TNFRSF1A;MAPK13;MAP2K1;PPP2R1A;BAX;TP53;AKT1;GNA12;MAPK1;SMPD1;HRAS;SGPL1;NRAS;ADORA1;PLCB3;PPP2CB;ASAH1;GNAI3;MAP3K5;PPP2R5B;NFKB1;MAPK9;PPP2R5C;GNA13;SPTLC2;MAPK14;PIK3R3;S1PR2;PLD2;SGPP1;SPTLC1;NSMAF;PPP2R5E;ABCC1;SGMS1;TRAF2;SGMS2;CERS5;PPP2R2D;MAPK11;PPP2R5D;BID;GNAQ;KRAS;S1PR4;PTEN;PPP2R3A;AKT2;PIK3CB;SMPD2;ROCK2;PLCB2;PIK3CD;PIK3R1;PPP2R2A;SPHK1;ROCK1;BDKRB2;FYN;DEGS2;PPP2R1B;FCER1A;PPP2R3C;PRKCA;RAC3;RAF1;SPTLC3;MAPK8;PDPK1;PPP2R3B;CERS6;S1PR1;SPHK2;NOS3	KEGG_2021_Human	False
prerank	Osteoclast differentiation	0.6167015819338308	4.766204449671268	0.0	0.0	0.0	97/126	28.62%	NFKBIA;RAC1;JUND;JUN;JUNB;TYROBP;FOS;IFNGR1;ACP5;SOCS3;CYBA;IFNGR2;SQSTM1;IL1R1;STAT1;GRB2;MAPK3;RELA;TNFRSF1A;MAPK13;MAP2K1;IFNAR1;STAT2;SPI1;TGFB1;TYK2;NFKB2;NCF4;CSF1;AKT1;TREM2;RELB;FHL2;FCGR3A;MAPK1;FOSL2;TAB2;PPP3CA;CSF1R;JAK1;PPP3R1;NFKB1;MAPK9;SYK;TGFBR2;FCGR2A;NCF2;TAB1;CTSK;MAPK14;PIK3R3;MAP2K7;PPP3CB;FOSL1;SIRPA;SOCS1;NOX1;FOSB;TRAF2;IKBKG;MAPK11;IKBKB;TGFBR1;LCK;AKT2;MAP3K7;LCP2;PIK3CB;CYLD;PIK3CD;PIK3R1;OSCAR;FYN;CHUK;LILRB2;LILRB4;CREB1;MAPK8;PPP3CC;MAP3K14;NFATC2;BTK;ITGB3;FCGR2B;PLCG2;TNFRSF11A;SIRPG;NFATC1;PPARG;TEC;GAB2;BLNK;TRAF6;LILRB1;FCGR2C;MITF;IRF9	KEGG_2021_Human	False
prerank	Viral myocarditis	0.7055392795193632	4.558146414734649	0.0	0.0	0.0	45/57	21.99%	ACTB;HLA-DRA;HLA-B;HLA-C;ACTG1;HLA-DRB1;HLA-A;HLA-DRB5;HLA-E;RAC1;HLA-DMA;HLA-DPA1;HLA-DPB1;EIF4G2;HLA-DQB1;HLA-DQA2;EIF4G1;ICAM1;RAC2;HLA-F;CD55;CYCS;HLA-DQA1;ITGB2;CCND1;CD40;DAG1;CASP3;CXADR;HLA-DOA;HLA-DMB;ABL1;CASP8;CAV1;EIF4G3;HLA-G;BID;CD86;CASP9;ITGAL;HLA-DOB;FYN;RAC3;SGCB;ABL2	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6814233329433462	4.443857697830405	0.0	0.0	0.0	53/69	19.75%	ELOB;RAC1;JUN;FH;HIF1A;ARAF;MAP2K2;GRB2;CDKN1A;EPAS1;ELOC;RBX1;MAPK3;VEGFA;TFE3;PRCC;MAP2K1;TGFB1;AKT1;CDC42;SLC2A1;MAPK1;HRAS;PAK2;PTPN11;EGLN3;CRKL;NRAS;CRK;RAP1A;MET;PAK1;ETS1;BAD;RAPGEF1;ARNT;PAK4;PAK6;PIK3R3;EP300;SOS2;ARNT2;VHL;CUL2;CREBBP;PDGFB;KRAS;AKT2;PIK3CB;SOS1;PIK3CD;PIK3R1;TGFA	KEGG_2021_Human	False
prerank	Vibrio cholerae infection	0.6717213285532548	4.309689844646592	0.0	0.0	0.0	30/50	11.78%	ACTB;ACTG1;ARF1;ATP6V0E1;PDIA4;ATP6V1F;SEC61A1;KDELR2;ATP6AP1;GNAS;KDELR1;SEC61B;ATP6V0B;SEC61G;ATP6V1G1;ATP6V1E1;TCIRG1;ERO1A;ATP6V1C1;ATP6V0D1;ATP6V1D;ATP6V1H;ATP6V1A;KDELR3;ATP6V0A1;PRKACA;ATP6V0E2;ATP6V1B2;PLCG1;TJP1	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7246599585819861	4.297905096029547	0.0	0.0	0.0	50/57	22.16%	NPM1;CBX3;SRM;HSPD1;NOLC1;FARSA;PES1;CDK4;MRTO4;IMP4;NOP56;GNL3;TMEM97;DCTPP1;NOC4L;TBRG4;BYSL;MCM4;PA2G4;RRP9;EXOSC5;NOP16;MAP3K6;TFB2M;UNG;AIMP2;MYBBP1A;HSPE1;MPHOSPH10;WDR43;PPRC1;MCM5;RRP12;DDX18;NIP7;SUPV3L1;HK2;WDR74;LAS1L;PUS1;SLC29A2;RABEPK;TCOF1;GRWD1;SLC19A1;DUSP2;PLK1;UTP20;NDUFAF4;MYC	MSigDB_Hallmark_2020	True
prerank	VEGF signaling pathway	0.6208840151108881	4.2267698394544135	0.0	0.0	0.0	46/59	25.15%	HSPB1;RAC1;MAPKAPK2;RAC2;MAP2K2;PLA2G4A;MAPK3;VEGFA;MAPK13;MAP2K1;MAPKAPK3;AKT1;CDC42;MAPK1;HRAS;KDR;NRAS;PPP3CA;PTK2;SHC2;SRC;BAD;PPP3R1;PTGS2;PLCG1;MAPK14;PIK3R3;PPP3CB;MAPK11;PXN;KRAS;AKT2;PIK3CB;PIK3CD;PIK3R1;CASP9;SPHK1;PRKCA;RAC3;PLA2G4F;RAF1;PPP3CC;NFATC2;SH2D2A;SPHK2;NOS3	KEGG_2021_Human	False
prerank	Glycerophospholipid metabolism	0.533195478332171	4.175997586325833	0.0	0.0	0.0	69/97	29.21%	LYPLA2;PLD3;PLPP2;PLA2G4A;AGPAT2;CDIPT;LPCAT1;GNPAT;PLAAT3;GPCPD1;LPIN2;LPGAT1;PTDSS1;LYPLA1;MBOAT7;AGPAT3;PNPLA6;DGKQ;GPD2;LPIN1;DGKD;CDS1;AGPAT1;LPIN3;PLPP1;MBOAT1;PCYT1A;PLD2;PLPP3;PISD;PLA2G12A;SELENOI;DGKZ;LPCAT4;GPD1L;PLPP5;PGS1;CHKA;PTDSS2;GPAT4;MBOAT2;PLA2G2F;ACHE;PCYT2;PEMT;PLA2G15;CDS2;PLA1A;DGKA;PLA2G6;GPAT2;ETNK1;PLA2G4F;CEPT1;LCLAT1;AGPAT5;LCAT;PLD4;GPAT3;LPCAT2;PLD1;ADPRM;PLA2G2D;PLA2G2C;LPCAT3;ETNK2;GPAM;PLA2G12B;CHPT1	KEGG_2021_Human	False
prerank	RNA degradation	0.6554112995062953	4.157820239925703	0.0	0.0	0.0	66/76	25.39%	ENO1;PABPC1;BTG3;HSPD1;HSPA9;LSM2;LSM4;LSM7;XRN2;PFKL;EXOSC4;CNOT8;BTG2;BTG1;PFKP;EXOSC5;TOB1;PABPC4;PATL1;LSM5;CNOT6;TOB2;DDX6;CNOT9;PABPC1L;PNPT1;MTREX;ENO2;NUDT16;MPHOSPH6;EXOSC1;EDC3;EDC4;CNOT1;PFKM;DIS3L;EXOSC10;LSM3;TENT4A;EXOSC9;ZCCHC7;EXOSC2;CNOT3;PARN;LSM6;LSM1;EXOSC7;EXOSC6;CNOT7;DHX36;EXOSC8;C1D;CNOT2;CNOT6L;CNOT4;PAN2;PAN3;CNOT10;DCPS;ENO3;LSM8;XRN1;TENT4B;DCP2;DIS3;DCP1A	KEGG_2021_Human	False
