Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Myc Targets V2	0.7321810495440272	5.520513272887993	0.0	0.0	0.0	48/57	18.99%	NPM1;HK2;UNG;HSPD1;SRM;PA2G4;CDK4;NOLC1;MCM4;GNL3;MRTO4;CBX3;NOP56;RRP9;FARSA;WDR43;DCTPP1;BYSL;PES1;HSPE1;IMP4;DDX18;TFB2M;GRWD1;PPRC1;SLC29A2;NOC4L;MPHOSPH10;PLK1;EXOSC5;TMEM97;MAP3K6;NIP7;SUPV3L1;MCM5;RABEPK;MYC;MYBBP1A;AIMP2;TBRG4;RRP12;UTP20;NOP16;PLK4;TCOF1;WDR74;LAS1L;RCL1	MSigDB_Hallmark_2020	True
prerank	Non-small cell lung cancer	0.6331011644036446	5.507086268990793	0.0	0.0	0.0	54/72	24.11%	KRAS;CCND1;CDKN1A;GRB2;MET;GADD45A;KIF5B;BAX;ERBB2;ARAF;TGFA;CDK4;MAPK3;CDKN2A;NRAS;MAP2K1;STAT3;BAK1;MAP2K2;E2F1;MAPK1;HRAS;PIK3CB;RXRB;EML4;GADD45B;AKT1;RAF1;AKT2;PIK3R3;RXRA;PRKCA;STAT5B;E2F3;BAD;PLCG1;FOXO3;DDB2;SOS1;TP53;STK4;RASSF1;GADD45G;CASP9;RB1;SOS2;CDK6;EGFR;JAK3;PIK3CD;STAT5A;PIK3CA;PDPK1;RASSF5	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.6969974337502768	5.03030877642639	0.0	0.0	0.0	65/76	23.54%	SHC1;KRAS;NFKBIA;CCND1;CDKN1A;GRB2;BCL2L1;GADD45A;HDAC1;BAX;ARAF;PTPN11;SMAD3;CDK4;MAPK3;CDKN2A;NRAS;MAP2K1;BAK1;MAP2K2;RELA;CDKN1B;NFKB1;E2F1;TGFB1;ABL1;MAPK1;HRAS;CTBP1;PIK3CB;TGFBR2;CRK;GADD45B;CRKL;AKT1;RAF1;CTBP2;AKT2;PIK3R3;STAT5B;E2F3;BAD;CHUK;DDB2;SOS1;HDAC2;RUNX1;MYC;TP53;MDM2;BCR;TGFBR1;GADD45G;TGFB3;RB1;IKBKB;SOS2;CBL;CDK6;SHC2;SMAD4;PIK3CD;STAT5A;TGFB2;PIK3CA	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6011014911092748	4.954426993309863	0.0	0.0	0.0	51/87	19.82%	TNFRSF12A;SOCS3;TNFRSF1A;TNFRSF21;CXCL9;CD9;IFNGR2;GRB2;IL13RA1;LTBR;PIM1;JUN;STAT1;HAX1;PTPN11;OSMR;IL4R;CD44;PTPN1;IFNGR1;HMOX1;STAT2;STAT3;BAK1;CXCL1;IL6ST;A2M;CD14;TGFB1;CXCL10;ACVR1B;MYD88;TNFRSF1B;CSF2RA;IFNAR1;PDGFC;PTPN2;MAP3K8;TYK2;CXCL13;IL1R1;IRF1;CSF1;STAM2;IL15RA;LTB;CXCL3;IL1R2;IL18R1;CBL;ACVRL1	MSigDB_Hallmark_2020	False
prerank	Proteasome	0.7564857238484239	4.6225198628298845	0.0	0.0	0.0	39/46	14.66%	PSMA7;PSMB4;POMP;PSMB3;PSMB5;PSMD2;PSMB7;PSMD8;PSMC4;PSMB6;PSMD4;ADRM1;PSMC3;PSME1;PSMB1;PSMB2;PSMD3;PSMC5;PSMA3;PSME2;PSMD11;PSMD13;PSME3;PSMA5;PSMA4;PSMD12;PSME4;PSMB8;PSMD7;PSMC6;PSMD14;PSMD6;PSMD1;PSMB9;PSMF1;PSMA1;SEM1;PSMC2;PSMB10	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.6417588375230631	4.610299744553732	0.0	0.0	0.0	42/48	26.05%	CMAS;UGDH;HK2;GALE;GPI;HK1;PGM1;HKDC1;UGP2;GFUS;CYB5R1;GFPT1;GNE;UXS1;UAP1;HEXB;CYB5R3;GNPDA1;NANS;GALK1;PGM2;GMPPA;GNPNAT1;NAGK;FCSK;FPGT;GMDS;AMDHD2;NANP;CYB5R2;MPI;GMPPB;UAP1L1;HEXA;PGM3;GNPDA2;NPL;GFPT2;RENBP;PMM2;GALT;CYB5R4	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.7639123823869775	4.597697957996076	0.0	0.0	0.0	60/74	16.56%	ACTG1;S100A11;SCD;TNFRSF12A;FASN;LGALS3;ANXA5;MAL2;CD9;FDFT1;ECH1;JAG1;LGMN;CTNNB1;PMVK;DHCR7;FADS2;HMGCS1;PPARG;CXCL16;EBP;CLU;ETHE1;PLAUR;ERRFI1;FDPS;PLSCR1;FBXO6;SREBF2;SQLE;NSDHL;ALCAM;LDLR;MVD;GUSB;PCYT2;HMGCR;ATF5;IDI1;TRIB3;TM7SF2;STX5;ACSS2;NFIL3;PNRC1;ALDOC;TMEM97;CHKA;ACAT2;PDK3;SC5D;GPX8;MVK;STARD4;SEMA3B;ANTXR2;ABCA2;ATXN2;HSD17B7;FABP5	MSigDB_Hallmark_2020	False
prerank	Renal cell carcinoma	0.6494182526252781	4.519132124470341	0.0	0.0	0.0	48/69	14.00%	ELOB;SLC2A1;KRAS;RAC1;CDKN1A;GRB2;MET;TFE3;JUN;EPAS1;ARAF;HIF1A;FH;TGFA;PTPN11;PDGFB;MAPK3;PAK1;PRCC;PAK2;PAK4;NRAS;MAP2K1;ETS1;MAP2K2;CDC42;EGLN3;VHL;RAPGEF1;VEGFA;TGFB1;MAPK1;HRAS;PIK3CB;CRK;CRKL;AKT1;ELOC;RAF1;AKT2;RAP1A;RBX1;ARNT;PIK3R3;CUL2;BAD;CREBBP;SOS1	KEGG_2021_Human	False
prerank	Prostate cancer	0.6473412916869105	4.49095296331983	0.0	0.0	0.0	74/97	24.12%	HSP90AB1;PLAU;HSP90B1;GSTP1;HSP90AA1;SPINT1;KRAS;NFKBIA;CCND1;CDKN1A;GRB2;MMP9;CTNNB1;ATF4;ERBB2;ARAF;TGFA;PDGFB;MAPK3;NRAS;MAP2K1;PDGFRB;MAP2K2;RELA;CDKN1B;ETV5;NFKB1;E2F1;MAPK1;HRAS;CREB3;TCF7L1;PIK3CB;CDK2;CREB3L2;AKT1;RAF1;AKT2;CREB3L1;TCF7L2;PIK3R3;IGF1R;GSK3B;E2F3;MTOR;BAD;CCNE1;PDGFC;CREBBP;CHUK;PTEN;SOS1;TP53;PDGFA;MDM2;EP300;CREB1;CASP9;CREB3L4;IL1R2;PLAT;RB1;IKBKB;SOS2;EGFR;FGFR2;FOXO1;PIK3CD;ZEB1;FGFR1;PIK3CA;NKX3-1;PDPK1;TMPRSS2	KEGG_2021_Human	False
prerank	ErbB signaling pathway	0.5893761306461585	4.476810569958469	0.0	0.0	0.0	63/85	23.54%	SHC1;KRAS;CDKN1A;GRB2;EIF4EBP1;JUN;ERBB2;ARAF;TGFA;ERBB3;MAPK3;SRC;PAK1;PAK2;ELK1;PAK4;NRAS;MAP2K1;MAP2K2;CDKN1B;CAMK2D;ABL1;MAPK1;HRAS;PIK3CB;NCK2;CRK;CRKL;AKT1;RAF1;AKT2;PIK3R3;PRKCA;MAPK9;STAT5B;PTK2;GSK3B;RPS6KB2;CAMK2G;MTOR;BAD;AREG;PLCG1;SOS1;MYC;MAP2K7;NCK1;ABL2;RPS6KB1;EREG;MAP2K4;MAPK8;SOS2;CBL;EGFR;GAB1;PAK6;HBEGF;SHC2;PIK3CD;STAT5A;BTC;PIK3CA	KEGG_2021_Human	False
