Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	p53 signaling pathway	0.7025228680141125	5.652874323906338	0.0	0.0	0.0	55/73	20.83%	SFN;IGFBP3;BCL2L1;TP53I3;SHISA5;CDKN2A;CYCS;EI24;PERP;GADD45B;GADD45G;CDKN1A;BAX;CDK4;CCND1;TNFRSF10B;CCNB1;CASP3;SERPINE1;TP53;SIVA1;COP1;GADD45A;THBS1;SESN2;RRM2;CCNE1;CCND3;CCNG1;CDK1;BID;AIFM2;CCNB2;CDK2;DDB2;CD82;PMAIP1;CHEK2;BBC3;CASP9;PIDD1;CASP8;RRM2B;MDM4;TSC2;GTSE1;TNFRSF10A;CCNG2;STEAP3;MDM2;CHEK1;GORAB;PTEN;CCND2;SESN1	KEGG_2021_Human	True
prerank	Adherens junction	0.6717495614102184	5.263317473881616	0.0	0.0	0.0	58/71	25.05%	ACTB;ACTG1;ACTN4;RAC1;NECTIN2;CDH1;RHOA;CTNNA1;CTNNB1;NECTIN4;ACP1;PTPRF;MAPK3;IQGAP1;LMO7;ERBB2;MAPK1;WASF2;ACTN1;RAC2;SRC;PTPN6;WASL;CDC42;PARD3;YES1;PTPN1;TCF7L1;VCL;TJP1;WAS;EP300;MET;AFDN;NLK;TGFBR2;TGFBR1;RAC3;CSNK2B;CSNK2A1;PTPRJ;FGFR1;MAP3K7;BAIAP2;SNAI1;SMAD3;CREBBP;INSR;FYN;SNAI2;CSNK2A2;TCF7L2;CTNND1;NECTIN1;FARP2;LEF1;IGF1R;SSX2IP	KEGG_2021_Human	False
prerank	Proteasome	0.7978141415307409	5.215659179800683	0.0	0.0	0.0	38/46	13.19%	PSMB3;PSMB4;PSMD8;POMP;PSMB5;PSMB7;PSMB6;PSMA7;PSMC4;PSMB1;PSMC3;PSMD4;PSME1;PSMD2;PSMD3;PSMD13;PSME2;PSMC5;ADRM1;PSMB2;PSMA3;PSMD11;PSMA4;PSMB8;PSME3;PSMA5;PSMF1;SEM1;PSMD7;PSMD14;PSMD12;PSMC2;PSME4;PSMC6;PSMB9;PSMB10;PSMA1;PSMD1	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7191992271381363	5.0901321548381535	0.0	0.0	0.0	44/54	21.26%	ID1;IFNGR2;CDH1;JUNB;RHOA;PPP1CA;FURIN;CTNNB1;FKBP1A;PPP1R15A;CDK9;HDAC1;ENG;SPTBN1;TGIF1;SERPINE1;KLF10;SMURF1;LTBP2;UBE2D3;ID3;SLC20A1;PMEPA1;RAB31;TGFB1;SKIL;THBS1;NCOR2;SKI;TJP1;ID2;FNTA;XIAP;ACVR1;TGFBR1;BMPR2;MAP3K7;ARID4B;SMAD3;WWTR1;PPM1A;SMURF2;TRIM33;SMAD7	MSigDB_Hallmark_2020	True
prerank	Reactive Oxygen Species Pathway	0.7928120433368419	4.63105008363097	0.0	0.0	0.0	38/48	12.70%	FTL;TXN;PRDX1;G6PD;NQO1;TXNRD1;PRDX6;SOD1;GPX4;PDLIM1;GSR;NDUFB4;JUNB;GCLC;PRDX4;NDUFA6;PTPA;PFKP;PRDX2;PRNP;MGST1;SBNO2;SELENOS;LAMTOR5;ABCC1;STK25;GCLM;NDUFS2;HMOX2;GPX3;CDKN2D;OXSR1;SCAF4;ATOX1;GLRX;CAT;LSP1;TXNRD2	MSigDB_Hallmark_2020	False
prerank	Bladder cancer	0.7266176257825901	4.5916415526106835	0.0	0.0	0.0	31/41	19.89%	MMP2;CDH1;TYMP;CDKN2A;MMP9;MAPK3;CDKN1A;ERBB2;MAPK1;CDK4;CCND1;MAP2K2;HRAS;DAPK3;TP53;MMP1;SRC;ARAF;E2F1;MAP2K1;THBS1;VEGFA;NRAS;RASSF1;E2F3;MYC;KRAS;E2F2;RB1;RAF1;MDM2	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6167457413090189	4.589946823736046	0.0	0.0	0.0	66/90	27.18%	HLA-DRA;HLA-DRB1;IFNGR2;JUN;HLA-DRB5;NFKBIA;MAPK3;NFKBIB;FOS;MAPK1;STAT6;NOTCH3;HLA-DQB1;HLA-DPA1;HLA-DPB1;STAT1;HLA-DMA;IFNGR1;RELA;CD4;PPP3R1;HLA-DQA1;TYK2;IL4R;CD3D;MAPK13;NFKB1;CD3E;IKBKB;MAPK14;NFKBIE;STAT5B;RBPJ;MAML1;JAK1;PLCG1;JAK3;JAG2;PPP3CA;PPP3CC;IL2RG;HLA-DMB;HLA-DOA;MAPK11;MAPK9;PPP3CB;STAT5A;IKBKG;IL2RB;ZAP70;LCK;CHUK;RUNX3;MAF;MAPK8;MAML2;NOTCH1;CD247;HLA-DOB;DLL4;DLL1;NOTCH2;STAT4;JAG1;GATA3;JAK2	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.6671030216286912	4.529196861906894	0.0	0.0	0.0	47/70	19.51%	CD74;HLA-DRA;HLA-B;CALR;HLA-DRB1;HLA-A;HSP90AB1;B2M;HLA-C;HSPA5;HSP90AA1;HLA-E;PDIA3;CTSB;HSPA8;CTSL;HSPA1B;PSME1;HLA-DRB5;TAPBP;CANX;PSME2;LGMN;CTSS;HLA-DQB1;HLA-DPA1;HLA-DPB1;HLA-DMA;RFXANK;HSPA4;HLA-F;PSME3;CD4;HLA-DQA1;TAP1;NFYC;RFX5;HSPA1A;NFYA;NFYB;HSPA6;HSPA2;HLA-DMB;HLA-DOA;TAP2;CD8A;RFXAP	KEGG_2021_Human	False
prerank	Glioma	0.6200463205710649	4.255045243237834	0.0	0.0	0.0	48/75	20.38%	CALM2;CDKN2A;SHC1;MAPK3;CALM1;GRB2;GADD45B;CALM3;GADD45G;CDKN1A;BAX;MAPK1;CDK4;CCND1;MAP2K2;HRAS;TP53;SHC2;AKT2;PDGFRB;ARAF;CAMK1D;TGFA;E2F1;GADD45A;MAP2K1;BAK1;NRAS;AKT1;CAMK2G;DDB2;PLCG1;PDGFB;E2F3;SOS1;PIK3R3;CAMK2D;SOS2;KRAS;E2F2;MTOR;RB1;RAF1;MDM2;PIK3CB;PIK3R1;PTEN;PIK3CD	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7400356509528556	4.215998000986294	0.0	0.0	0.0	53/57	23.08%	CBX3;NPM1;HSPD1;SRM;EXOSC5;NOLC1;PA2G4;NOP56;PES1;GNL3;CDK4;UNG;FARSA;HSPE1;RRP9;MPHOSPH10;MCM4;HK2;TBRG4;IMP4;DCTPP1;MRTO4;MYBBP1A;PPRC1;NOC4L;AIMP2;WDR43;MAP3K6;PLK1;TFB2M;SLC29A2;BYSL;DDX18;MCM5;RABEPK;TMEM97;RRP12;GRWD1;NIP7;TCOF1;SUPV3L1;LAS1L;NOP16;DUSP2;PUS1;MYC;NDUFAF4;WDR74;PRMT3;RCL1;UTP20;SORD;SLC19A1	MSigDB_Hallmark_2020	True
