Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Non-small cell lung cancer	0.6457946815534426	5.299826819543084	0.0	0.0	0.0	53/72	23.02%	CCND1;ERBB2;CDKN1A;MAPK3;GRB2;MET;GADD45A;STAT3;ARAF;BAX;KIF5B;GADD45B;MAP2K2;BAK1;HRAS;EML4;CDK4;NRAS;RXRB;MAPK1;TP53;MAP2K1;PLCG1;AKT1;CDKN2A;GADD45G;STAT5B;EGFR;E2F1;RASSF5;RXRA;PIK3CD;AKT2;RASSF1;TGFA;PIK3CB;BAD;SOS2;JAK3;DDB2;RB1;E2F3;STK4;SOS1;STAT5A;FOXO3;KRAS;RAF1;CASP9;PRKCA;PIK3R1;PDPK1;PIK3R3	KEGG_2021_Human	False
prerank	Colorectal cancer	0.6814424172655331	4.861674682612898	0.0	0.0	0.0	70/86	23.79%	FOS;RAC1;RHOA;CTNNB1;JUN;CCND1;CDKN1A;MAPK3;RAC2;TGFB1;GRB2;RALB;GADD45A;ARAF;BAX;AREG;GADD45B;MAP2K2;TGFBR2;BAK1;HRAS;CYCS;NRAS;RALA;MAPK1;TP53;MYC;MAP2K1;CASP3;AKT1;AXIN1;GADD45G;SMAD3;RPS6KB2;EGFR;EREG;PMAIP1;PIK3CD;AKT2;RAC3;TCF7L2;TGFA;TGFBR1;PIK3CB;BAD;TCF7L1;SOS2;DDB2;BIRC5;MAPK9;SOS1;MTOR;APPL1;BBC3;KRAS;RPS6KB1;RAF1;BCL2L11;MSH6;GSK3B;TGFB3;CASP9;MLH1;PIK3R1;SMAD4;MAPK8;PIK3R3;MSH3;MSH2;LEF1	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.6794252745085458	4.648836562248639	0.0	0.0	0.0	60/76	23.02%	RAC1;BCL2L1;CCND1;ERBB2;STAT1;CDKN1A;MAPK3;RAC2;TGFB1;RALB;GADD45A;STAT3;ARAF;BAX;GADD45B;RELA;TGFBR2;BAK1;VEGFA;CDK4;RALA;MAPK1;CDC42;TP53;MAP2K1;JAK1;AKT1;NFKB1;CDKN2A;IKBKB;GADD45G;SMAD3;RPS6KB2;EGFR;E2F1;PIK3CD;AKT2;RAC3;TGFA;TGFBR1;PIK3CB;BAD;PLD2;RALBP1;DDB2;MAPK9;RB1;E2F3;MTOR;KRAS;CHUK;RPS6KB1;RAF1;TGFB3;CASP9;PIK3R1;SMAD4;MAPK8;ARHGEF6;PIK3R3	KEGG_2021_Human	False
prerank	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.6018550632156441	4.640529976111339	0.0	0.0	0.0	73/89	29.85%	FOS;IFNGR2;JUN;NFKBIA;STAT1;MAPK3;BATF;HIF1A;STAT3;MAPK13;MAP2K2;RELA;MAP2K3;MYD88;HRAS;IFNGR1;EML4;PPP3CA;PTPN6;TICAM1;NRAS;MAPK1;TLR2;CD4;MAP2K1;JAK1;NFKBIB;NFKBIE;PLCG1;AKT1;NFKB1;BATF2;IKBKB;PPP3R1;PTPN11;MAPK14;CD3D;RPS6KB2;EGFR;PPP3CB;PIK3CD;AKT2;PTEN;PIK3CB;CD3E;MAP3K3;MTOR;CSNK2B;KRAS;MAPK11;CHUK;NFATC2;RPS6KB1;RAF1;CSNK2A1;PPP3CC;CSNK2A2;LCK;PIK3R1;CD274;PIK3R3;JAK2;MAP2K6;NFATC3;BATF3;TRAF6;CD247;IKBKG;ZAP70;AKT3;NFATC1;PIK3CA;MAPK12	KEGG_2021_Human	True
prerank	Fatty acid degradation	0.6670959640467164	4.459907618181424	0.0	0.0	0.0	30/43	22.19%	ECHS1;ACSL5;ACADVL;HADHA;ACSL1;HADHB;ALDH9A1;ADH5;ALDH2;ECI1;CPT1A;ACOX1;ADH1C;ACADS;ALDH1B1;ALDH3A2;ACSL3;ACAA2;ACSL4;ACADM;GCDH;ACOX3;ACAA1;ACADSB;ECI2;ACAT1;ALDH7A1;HADH;EHHADH;ACAT2	KEGG_2021_Human	False
prerank	DNA replication	0.6449957393869737	4.453003791474138	0.0	0.0	0.0	34/36	31.57%	PCNA;MCM3;RPA2;POLD2;POLE3;MCM7;RFC2;FEN1;POLE4;SSBP1;MCM6;MCM4;RPA1;RFC1;RPA3;MCM5;RFC4;RNASEH2C;POLD4;POLD1;POLD3;RNASEH1;MCM2;LIG1;RFC5;RFC3;POLE;PRIM2;POLA2;POLE2;DNA2;POLA1;PRIM1;RNASEH2B	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6599581944903221	4.399348592952833	0.0	0.0	0.0	90/100	30.65%	COL1A1;COL3A1;COL1A2;ICAM1;RAC1;EGR1;FN1;MMP2;JUN;CCND1;VEGFB;STAT1;MAPK3;TGFB1;PRKCD;DIAPH1;STAT3;BAX;COL4A1;MAPK13;F3;RELA;TGFBR2;HRAS;CDKN1B;COL4A2;PIM1;VEGFA;CDK4;PLCB3;NRAS;MAPK1;CDC42;SERPINE1;CASP3;PLCG1;AKT1;NFKB1;CCL2;EDN1;AGT;MAPK14;SMAD3;STAT5B;CYBB;AGER;PIK3CD;AKT2;TGFBR1;PIK3CB;THBD;PLCD1;CXCL8;MAPK9;PLCD3;STAT5A;PLCB2;KRAS;VCAM1;MAPK11;COL4A3;COL4A4;TGFB3;PRKCA;FOXO1;PIK3R1;SMAD4;MAPK8;PIK3R3;PRKCZ;PLCG2;JAK2;IL1B;PRKCE;VEGFC;PLCB4;PLCE1;TNF;NOS3;AKT3;NFATC1;COL4A5;PIK3CA;SMAD2;VEGFD;MAPK12;TGFB2;PRKCB;IL6;NOX1	KEGG_2021_Human	False
prerank	Adherens junction	0.6829369762028245	4.292518138267363	0.0	0.0	0.0	61/71	25.07%	ACTG1;ACTB;RAC1;CDH1;RHOA;CTNNB1;ACTN4;CTNNA1;NECTIN2;PTPRF;ERBB2;NECTIN4;MAPK3;RAC2;MET;IQGAP1;SRC;TGFBR2;ACTN1;LMO7;WASF2;ACP1;PTPN1;PTPN6;NECTIN1;WASL;MAPK1;CDC42;VCL;TJP1;INSR;SMAD3;EGFR;BAIAP2;AFDN;WAS;PARD3;RAC3;CREBBP;TCF7L2;YES1;TGFBR1;EP300;FYN;TCF7L1;NLK;PTPRJ;CSNK2B;MAP3K7;IGF1R;PTPRM;CSNK2A1;CSNK2A2;SNAI1;SMAD4;CTNND1;LEF1;FARP2;SSX2IP;FGFR1;SORBS1	KEGG_2021_Human	False
prerank	TGF-beta signaling pathway	0.5883432188619625	4.239085521922368	0.0	0.0	0.0	72/94	30.06%	RHOA;ID1;NBL1;MAPK3;TGFB1;PPP2R1A;E2F4;PPP2CA;TGFBR2;TFDP1;ID3;FMOD;DCN;SP1;THBS1;CUL1;RBX1;ACVR1B;PPP2CB;CDKN2B;MAPK1;MYC;ID2;SKP1;ACVR1;TGIF2;SMURF1;SMAD3;RPS6KB2;INHBB;BMP4;SMURF2;BMPR2;BAMBI;CREBBP;TGIF1;TGFBR1;SMAD5;EP300;SMAD1;SMAD7;NEO1;PPP2R1B;LTBP1;FBN1;BMP7;RPS6KB1;TGFB3;ROCK1;INHBA;BMP2;BMPR1A;SMAD4;RBL1;GREM2;ACVR2A;AMH;GREM1;ZFYVE9;RGMB;CHRD;GDF5;ID4;BMP8B;ZFYVE16;BMP8A;SMAD6;TNF;E2F5;SMAD2;TGFB2;RGMA	KEGG_2021_Human	True
prerank	Legionellosis	0.5901089645018781	4.232729249310209	0.0	0.0	0.0	35/57	15.13%	EEF1A1;C3;ARF1;HSPA8;RAB1A;NFKBIA;RAB1B;HSPA1B;HSPD1;VCP;EEF1A2;CD14;CXCL1;RELA;MYD88;HSPA1A;ITGB2;BNIP3;NFKB2;CXCL2;CLK1;CYCS;SAR1A;HSF1;TLR2;CASP3;NFKB1;CASP7;CASP1;SAR1B;PYCARD;BCL2L13;CASP8;CXCL8;IL18	KEGG_2021_Human	False
