Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	C-type lectin receptor signaling pathway	0.6081897496385654	5.232154970623408	0.0	0.0	0.0	72/104	24.31%	RHOA;JUN;CALM2;NFKBIA;MAPKAPK2;ITPR3;MAPK13;PTGS2;RRAS;STAT1;CALM1;FCER1G;MAPK3;CALM3;PRKCD;STAT2;RELA;MAPK1;SYK;NRAS;BCL3;NFKB2;SRC;LSP1;PAK1;AKT1;PPP3CA;NFKB1;IKBKB;HRAS;MAPK14;RELB;PIK3CD;PYCARD;PTPN11;ARHGEF12;PPP3R1;KRAS;CASP1;BCL10;RRAS2;PPP3CB;IRF1;AKT2;CASP8;PLK3;IKBKE;PIK3R1;MAPK9;PIK3R3;CYLD;CLEC7A;PPP3CC;RAF1;PLCG2;MAP3K14;NFATC4;CBLB;MALT1;NFATC2;CCL22;PIK3CB;MAPK11;MDM2;CALML5;MRAS;CHUK;NFATC1;IKBKG;ITPR2;MAPK8;KSR1	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6952762303848617	5.0638409307892385	0.0	0.0	0.0	54/77	15.41%	ACTB;ACTG1;FN1;RHOA;RAC1;ACTR2;CDH1;CTNNA1;CTTN;SEPTIN2;CLTC;CTNNB1;ARPC2;SEPTIN9;RHOG;ARPC3;WASF2;SHC1;CLTB;CLTA;MET;ARPC4;ARPC5;CD2AP;ACTR3;HCLS1;WASL;ITGB1;ARPC5L;ELMO3;CDC42;SRC;CRKL;CRK;CAV1;SEPTIN6;VCL;DNM2;SHC2;PIK3CD;SEPTIN11;PTK2;MAD2L2;CAV2;ARPC1A;SEPTIN8;BCAR1;DOCK1;ITGA5;ELMO2;SEPTIN1;PIK3R1;PIK3R3;PXN	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.6770539694129831	4.781127424637312	0.0	0.0	0.0	76/101	22.44%	ICAM1;CCL21;CCL19;IRAK1;NFKBIA;BCL2L1;CD14;PTGS2;GADD45A;LTB;PLAU;TNFRSF1A;IL1R1;GADD45B;RELA;LY96;SYK;LYN;MYD88;TRADD;CARD11;LTBR;NFKB2;BIRC3;GADD45G;BIRC2;TNFAIP3;PARP1;NFKB1;IKBKB;CD40;TAB2;RELB;CXCL12;PLCG1;CCL13;CFLAR;TNFRSF13C;CXCL2;TICAM1;CXCL8;CXCL1;TAB1;LCK;XIAP;CARD10;TRAF2;RIPK1;BCL10;VCAM1;TRAF1;BCL2A1;UBE2I;MAP3K7;TRAF3;TRAF5;TNFSF13B;PIAS4;IRAK4;CYLD;BTK;PIDD1;ZAP70;TRIM25;PLCG2;MAP3K14;MALT1;PRKCB;CCL4;ERC1;TAB3;CSNK2A1;CHUK;ATM;IKBKG;BLNK	KEGG_2021_Human	False
prerank	Leishmaniasis	0.712869705444953	4.7252641904825925	0.0	0.0	0.0	46/74	11.36%	HLA-DRA;HLA-DRB1;EEF1A1;MARCKSL1;HLA-DRB5;C3;HLA-DPA1;JUN;IRAK1;HLA-DPB1;HLA-DMA;HLA-DQB1;NFKBIA;FOS;MAPK13;PTGS2;STAT1;CYBA;HLA-DQA2;IFNGR2;MAPK3;IFNGR1;ITGB2;HLA-DQA1;CYBB;HLA-DOA;PTPN6;TGFB1;RELA;MAPK1;JAK1;MYD88;FCGR3A;ITGB1;FCGR2A;HLA-DMB;EEF1A2;TLR2;NFKB1;TAB2;NCF4;MAPK14;ELK1;NCF2;NFKBIB;TAB1	KEGG_2021_Human	False
prerank	N-Glycan biosynthesis	0.6720610803512573	4.540972233325737	0.0	0.0	0.0	38/50	21.55%	RPN2;DDOST;RPN1;GANAB;DAD1;B4GALT1;DPM3;MGAT4B;DPM2;MOGS;STT3B;B4GALT3;DPM1;STT3A;MAN1B1;ALG3;ALG5;MGAT1;ST6GAL1;DOLK;DOLPP1;ALG2;B4GALT2;MGAT5;TUSC3;MAN1A1;DPAGT1;ALG8;SRD5A3;MAN1A2;FUT8;MAN2A1;MGAT4A;MAN2A2;ALG1;ALG6;ALG12;ALG13	KEGG_2021_Human	False
prerank	Proteasome	0.7464143660292789	4.454013805048945	0.0	0.0	0.0	37/46	15.63%	PSMB4;PSMB3;PSMA7;PSME1;PSMB7;PSMD2;PSMD4;POMP;PSMC3;PSMB8;PSMB6;PSMB1;PSMB5;PSMD13;PSMC4;PSMD3;PSMB2;PSMD8;PSMA3;PSME2;PSMC5;PSME3;PSMB9;ADRM1;PSMD11;PSMF1;PSMA5;PSMB10;PSMD12;PSMA4;PSMC2;PSME4;PSMC6;PSMD14;PSMD7;PSMD1;SEM1	KEGG_2021_Human	False
prerank	Pertussis	0.6646937381302642	4.434237253725926	0.0	0.0	0.0	52/76	21.38%	SFTPA1;SFTPA2;C3;CFL1;RHOA;C1QA;JUN;C1QC;C1QB;IRAK1;C4BPA;C1S;CALM2;FOS;C1R;SERPING1;GNAI2;CD14;MAPK13;CALM1;MAPK3;CALM3;ITGB2;RELA;MAPK1;LY96;IRF3;MYD88;ITGB1;CASP3;NFKB1;GNAI3;MAPK14;IRF8;PYCARD;TICAM1;CXCL8;CASP7;CASP1;ITGA5;IRF1;C4B;C4A;MAPK9;IRAK4;ITGAM;MAPK11;NOD1;C5;C2;CALML5;CFL2	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7597817915125225	4.430988551947702	0.0	0.0	0.0	46/54	17.26%	RHOA;CDH1;JUNB;CTNNB1;PPP1CA;LTBP2;ENG;FURIN;FKBP1A;IFNGR2;HDAC1;CDK9;PMEPA1;TGFB1;UBE2D3;SKI;SPTBN1;NCOR2;PPP1R15A;ID3;ID1;THBS1;RAB31;KLF10;SLC20A1;SMURF1;ID2;SERPINE1;ACVR1;CDKN1C;SKIL;TJP1;SMURF2;WWTR1;SMAD3;XIAP;BMPR2;TGIF1;SMAD7;TGFBR1;ARID4B;MAP3K7;TRIM33;PPM1A;HIPK2;FNTA	MSigDB_Hallmark_2020	True
prerank	Notch signaling pathway	0.6416210477812648	4.360695385861523	0.0	0.0	0.0	46/59	22.57%	APH1A;NCSTN;LFNG;HDAC1;DTX4;DTX3L;NOTCH3;DVL1;DVL3;KAT2A;SNW1;TLE2;NCOR2;HES1;PSENEN;CIR1;RFNG;MAML1;CTBP1;NOTCH2;PSEN1;EP300;CREBBP;RBPJ;NUMB;NOTCH1;DTX2;MFNG;ATXN1L;TLE3;DTX3;JAG2;DVL2;MAML2;TLE1;HDAC2;KAT2B;CTBP2;ADAM17;DLL4;HEYL;JAG1;APH1B;ATXN1;TLE4;NUMBL	KEGG_2021_Human	True
prerank	Myc Targets V2	0.7085568019097052	4.353767328810963	0.0	0.0	0.0	52/57	24.67%	NPM1;CBX3;SRM;NOLC1;HSPD1;FARSA;MAP3K6;GNL3;PES1;NOP56;PA2G4;MRTO4;IMP4;DDX18;DCTPP1;TMEM97;BYSL;RRP9;TFB2M;CDK4;UNG;HK2;NOC4L;MYBBP1A;MCM5;MCM4;MPHOSPH10;PPRC1;EXOSC5;WDR43;TBRG4;SLC29A2;MYC;DUSP2;GRWD1;TCOF1;AIMP2;NIP7;RABEPK;HSPE1;SUPV3L1;WDR74;LAS1L;RRP12;NOP16;SLC19A1;UTP20;PUS1;PRMT3;RCL1;PLK1;NDUFAF4	MSigDB_Hallmark_2020	True
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6901439504836498	4.352480803941553	0.0	0.0	0.0	51/70	22.16%	JUN;ATP6V0E1;RAC1;NFKBIA;F11R;ATP6V1F;ATP6AP1;TCIRG1;CCL5;MAPK13;ATP6V0B;ATP6V1E1;ATP6V1G1;MET;RELA;LYN;CSK;ATP6V1A;GIT1;CDC42;SRC;EGFR;PAK1;ATP6V1B2;CASP3;NFKB1;ATP6V1D;IKBKB;MAPK14;PLCG1;ATP6V0D1;PTPN11;ATP6V1C1;CXCL2;CXCL8;CXCL1;TJP1;ATP6V1H;ATP6V0A1;MAPK9;ADAM10;MAP2K4;PLCG2;MAP3K14;ADAM17;MAPK11;NOD1;ATP6V0E2;HBEGF;CHUK;IKBKG	KEGG_2021_Human	False
prerank	PI3K/AKT/mTOR  Signaling	0.6875878682543899	4.273055804623843	0.0	0.0	0.0	81/105	21.01%	CALR;ARF1;PFN1;HSP90B1;SFN;CFL1;CXCR4;RAC1;ACTR2;AP2M1;ARHGDIA;CLTC;PPP1CA;CDKN1A;GRB2;YWHAB;MKNK2;ARPC3;TNFRSF1A;GRK2;RALB;STAT2;SQSTM1;CDKN1B;CAB39;UBE2D3;MAPK1;MAP2K3;DUSP3;ACTR3;RPS6KA1;MYD88;EGFR;RIT1;AKT1;HRAS;RPS6KA3;PLCG1;PTPN11;MAPKAP1;CDK4;UBE2N;SLC2A1;DAPP1;NFKBIB;PRKAG1;ECSIT;PAK4;TSC2;LCK;TRIB3;TRAF2;RIPK1;PRKAR2A;ACACA;PIN1;IL2RG;MAP3K7;MAPK9;AKT1S1;PIK3R3;E2F1;PPP2R1B;IRAK4;PLA2G12A;PTEN;MKNK1;SLA;THEM4;GNA14;RAF1;ATF1;PIKFYVE;PRKCB;RPTOR;GSK3B;CDK2;NCK1;CDK1;NOD1;DDIT3	MSigDB_Hallmark_2020	True
prerank	Protein export	0.8178711409420918	4.234540980784293	0.0	0.0	0.0	19/23	12.09%	HSPA5;SEC61A1;SRP9;SRP14;SEC61B;SRPRA;SPCS3;SEC62;SEC61G;OXA1L;SRP72;SPCS2;SRP68;SEC11A;SPCS1;SRPRB;SEC11C;SEC63;SRP54	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.667631620287706	4.232455386608218	0.0	0.0	0.0	43/48	29.41%	CYB5R3;GFUS;HEXB;HK1;CYB5R1;GPI;GALE;PGM1;GNPDA1;UGP2;UAP1;GFPT1;UXS1;UGDH;CMAS;GMPPA;HK2;NAGK;GALK1;GMDS;PMM1;PGM2;RENBP;NANS;FCSK;UAP1L1;FPGT;NPL;GMPPB;MPI;GNE;AMDHD2;GNPNAT1;PGM3;GFPT2;GALT;NANP;HK3;GNPDA2;CYB5R4;PMM2;HEXA;CYB5RL	KEGG_2021_Human	False
