Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Leishmaniasis	0.7113173844068085	5.222551032320643	0.0	0.0	0.0	62/74	24.57%	HLA-DRA;HLA-DRB1;EEF1A1;MARCKSL1;IRAK1;NFKBIA;STAT1;HLA-DPA1;HLA-DRB5;FOS;HLA-DMA;FCGR3A;HLA-DQA2;HLA-DPB1;C3;CYBB;JUN;HLA-DQA1;ITGB2;CYBA;HLA-DOA;IFNGR1;HLA-DMB;IFNGR2;TAB2;MAPK1;NCF2;MAPK3;MYD88;RELA;MAPK13;PTPN6;ITGB1;MAPK14;NOS2;HLA-DQB1;TGFB1;ELK1;JAK1;FCGR2A;ITGAM;MAP3K7;NFKB1;TLR2;NFKBIB;IRAK4;TAB1;NCF4;FCGR2C;PTGS2;TRAF6;MAPK12;PRKCB;JAK2;HLA-DOB;MAPK11;FCGR1A;NCF1;IL1B;IFNG;TGFB3;TNF	KEGG_2021_Human	False
prerank	ErbB signaling pathway	0.6176721410908155	4.800684303649575	0.0	0.0	0.0	62/85	24.46%	CDKN1B;JUN;CDKN1A;PAK2;EIF4EBP1;GRB2;ERBB3;ARAF;MAPK1;MAPK3;HRAS;MAP2K2;AKT1;NRAS;MAP2K1;CRK;CRKL;SHC1;ERBB2;KRAS;ABL1;SRC;PIK3CB;STAT5B;PLCG1;SOS2;PAK1;CBL;ELK1;NCK1;PTK2;CAMK2D;MTOR;SOS1;PIK3R3;NCK2;MAPK9;HBEGF;TGFA;RAF1;MAP2K4;STAT5A;SHC2;AKT3;RPS6KB2;PIK3CA;EGF;BAD;PIK3CD;AKT2;MAP2K7;RPS6KB1;PAK4;PRKCB;CAMK2G;MAPK8;MYC;PIK3R1;PAK6;GSK3B;PLCG2;ABL2	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.7169587287320187	4.635424514117265	0.0	0.0	0.0	71/76	26.36%	RAC1;STAT1;CDKN1A;CDKN2A;VEGFA;STAT3;RALA;E2F1;ARAF;BCL2L1;RALB;RAC2;MAPK1;CDC42;MAPK3;BAX;CDK4;AKT1;TP53;RELA;MAP2K1;ERBB2;KRAS;GADD45B;RALBP1;DDB2;PIK3CB;BAK1;TGFB1;TGFBR1;SMAD4;JAK1;TGFBR2;GADD45G;E2F2;MTOR;NFKB1;PLD2;PIK3R3;IKBKB;MAPK9;TGFA;GADD45A;E2F3;RAC3;RAF1;IKBKG;AKT3;RPS6KB2;PIK3CA;EGF;BAD;PIK3CD;ARHGEF6;AKT2;CHUK;RPS6KB1;SMAD3;RB1;PLD1;CCND1;MAPK8;RAD51;PIK3R1;CDK6;CASP9;TGFB3;SMAD2;POLK;EGFR;RALGDS	KEGG_2021_Human	False
prerank	Thyroid hormone signaling pathway	0.598479622380941	4.417333417960909	0.0	0.0	0.0	87/121	24.23%	ACTB;ACTG1;ATP1B1;ATP1B3;STAT1;HDAC1;SLC2A1;HIF1A;ATP1A1;RHEB;CTNNB1;ATP2A2;ITGAV;PFKP;MAPK1;MAPK3;HRAS;PFKL;MAP2K2;AKT1;TP53;NRAS;MAP2K1;KAT2A;MED24;RXRB;KRAS;MED4;HDAC2;HDAC3;SRC;PIK3CB;MED16;PLCG1;NCOA3;PLCB3;PRKACA;ATP2A3;PFKFB2;NOTCH3;MED14;MED12;EP300;NCOA1;CREBBP;MED30;PLCB2;MED13;THRA;MED1;MTOR;PIK3R3;NOTCH2;NCOR1;PLCB4;SLC9A1;TBC1D4;RAF1;MED27;MDM2;NCOA2;ITGB3;KAT2B;PRKACB;AKT3;PIK3CA;PFKM;BAD;PIK3CD;AKT2;BMP4;RXRA;PLCB1;TSC2;SIN3A;NOTCH1;PRKCB;RCAN1;CCND1;MYC;FOXO1;PIK3R1;MED13L;GSK3B;PLCG2;PDPK1;CASP9	KEGG_2021_Human	False
prerank	Th17 cell differentiation	0.6563496446859083	4.387930677943113	0.0	0.0	0.0	85/105	24.68%	HLA-DRA;HLA-DRB1;HSP90AA1;HSP90AB1;NFKBIA;STAT1;HLA-DPA1;HLA-DRB5;FOS;HLA-DMA;HLA-DQA2;HLA-DPB1;HIF1A;JUN;HLA-DQA1;STAT3;CD4;HLA-DOA;IFNGR1;STAT6;HLA-DMB;IFNGR2;MAPK1;MAPK3;RELA;MAPK13;CD3D;PPP3R1;RXRB;MAPK14;IL6ST;NFKBIE;TYK2;HLA-DQB1;PPP3CA;STAT5B;PLCG1;TGFB1;CD3E;IL4R;TGFBR1;RUNX1;SMAD4;JAK1;TGFBR2;PPP3CB;AHR;LCK;MTOR;NFKB1;IL27RA;JAK3;IL1R1;NFKBIB;IKBKB;MAPK9;IL2RG;IL2RB;STAT5A;IKBKG;CHUK;RXRA;IL2RA;IRF4;SMAD3;PPP3CC;CD3G;ZAP70;IL1RAP;MAPK12;NFATC3;MAPK8;JAK2;HLA-DOB;IL6;RARA;MAPK11;CD247;NFATC2;IL1B;RORC;IL6R;IFNG;RORA;SMAD2	KEGG_2021_Human	False
prerank	Proteasome	0.7920583778559014	4.358172585545374	0.0	0.0	0.0	39/46	12.93%	PSME1;PSMA7;PSMA3;PSMD2;PSMC3;PSMD8;PSMB4;POMP;PSMB3;PSMB5;PSMB1;PSME2;PSMB6;PSMD4;PSMD13;PSMB8;PSMB2;PSMB9;PSMB7;PSMD11;PSMD3;ADRM1;PSMC4;PSME3;PSMA4;PSMC6;PSMD7;PSMC5;PSMF1;PSMB10;PSMA5;PSMD12;PSME4;PSMC2;PSMD14;PSMD6;SEM1;PSMD1;PSMA1	KEGG_2021_Human	False
prerank	Inositol phosphate metabolism	0.6352204084121066	4.353997285577426	0.0	0.0	0.0	57/73	26.75%	TPI1;IMPA2;PIP4K2C;PI4K2B;CDIPT;PIP4K2A;PIP5K1A;PI4KB;INPPL1;MTMR1;PIK3CB;PIP4K2B;PIK3C2A;PLCG1;MTMR4;PLCB3;MTM1;ISYNA1;OCRL;ITPKC;MINPP1;ITPK1;PLCB2;PI4KA;ALDH6A1;MTMR14;INPP5K;PLCB4;INPP5D;ITPKB;PIP5K1C;PI4K2A;MTMR6;SACM1L;PIK3CA;IMPA1;PIK3CD;PLCB1;PTEN;PIKFYVE;IPMK;INPP5B;SYNJ2;INPP4A;INPP5E;INPP1;INPP5F;MTMR2;PLCG2;PIK3C3;INPP5A;PLCE1;PLCD1;PIK3C2G;PIK3C2B;SYNJ1;PLCH1	KEGG_2021_Human	False
prerank	Neurotrophin signaling pathway	0.6428777323163761	4.324671869863853	0.0	0.0	0.0	89/119	24.87%	YWHAE;IRAK1;NFKBIA;RAC1;ARHGDIB;RHOA;ATF4;CALM2;BEX3;CALM3;JUN;CALM1;GRB2;MAPKAPK2;ARHGDIA;MAGED1;RAPGEF1;PRKCD;PTPN11;MAPK1;CDC42;MAPK3;HRAS;BAX;PSEN1;MAP2K2;AKT1;TP53;RELA;NRAS;MAPK13;MAP2K1;CRK;CRKL;SHC1;KRAS;MAPK14;ABL1;SORT1;RPS6KA3;PIK3CB;RAP1A;RPS6KA1;NFKBIE;RIPK2;PLCG1;SOS2;FOXO3;CAMK2D;NFKB1;SOS1;SH2B1;PIK3R3;NFKBIB;IKBKB;MAPK9;KIDINS220;MAP3K5;IRAK4;PRDM4;MAP3K1;RAF1;SHC2;AKT3;PIK3CA;ZNF274;BAD;PIK3CD;AKT2;MAP3K3;MAP2K7;MAPK7;SH2B3;CALML5;TRAF6;MAPK12;IRS1;IRAK3;CAMK2G;FRS2;RAP1B;MAPK8;MAPK11;PIK3R1;GSK3B;PLCG2;PDPK1;RPS6KA2;BCL2	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6770710866988255	4.249553083342823	0.0	0.0	0.0	52/69	17.87%	RAC1;SLC2A1;ELOB;HIF1A;JUN;EGLN3;CDKN1A;FH;PAK2;GRB2;VEGFA;ARAF;RAPGEF1;TFE3;PTPN11;MAPK1;CDC42;MAPK3;HRAS;MAP2K2;AKT1;ETS1;NRAS;MAP2K1;CRK;CRKL;RBX1;KRAS;EPAS1;PRCC;PIK3CB;RAP1A;ARNT;TGFB1;SOS2;PAK1;ELOC;CUL2;VHL;EP300;CREBBP;SOS1;MET;PIK3R3;TGFA;RAF1;FLCN;AKT3;PIK3CA;BAD;PIK3CD;AKT2	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.658874160070021	4.243638998342328	0.0	0.0	0.0	80/100	26.79%	COL3A1;COL1A1;FN1;RAC1;STAT1;COL1A2;CDKN1B;VEGFB;EGR1;CYBB;MMP2;JUN;DIAPH1;SERPINE1;PIM1;ICAM1;VEGFA;STAT3;PRKCD;MAPK1;CDC42;MAPK3;HRAS;BAX;CDK4;AKT1;RELA;NRAS;MAPK13;CASP3;F3;KRAS;MAPK14;PIK3CB;AGER;STAT5B;PLCG1;TGFB1;CCL2;CXCL8;TGFBR1;COL4A1;PLCB3;SMAD4;TGFBR2;PLCB2;COL4A2;NFKB1;PIK3R3;MAPK9;PLCB4;STAT5A;AKT3;PIK3CA;PIK3CD;AKT2;PLCB1;SMAD3;MAPK12;VCAM1;PRKCB;CCND1;MAPK8;JAK2;EDN1;IL6;MAPK11;FOXO1;PIK3R1;IL1B;PLCG2;TGFB3;TNF;SMAD2;BCL2;AGT;PLCE1;PLCD1;THBD;COL4A4	KEGG_2021_Human	False
