Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Mitophagy	0.7248188263020573	5.68716604360962	0.0	0.0	0.0	57/68	20.51%	UBC;RPS27A;GABARAPL1;ATF4;UBB;TOMM7;UBA52;BNIP3;TFE3;RAB7A;TAX1BP1;NRAS;FIS1;HIF1A;SP1;CITED2;RELA;BCL2L13;CALCOCO2;KRAS;ULK1;SQSTM1;NBR1;GABARAPL2;E2F1;FUNDC1;BCL2L1;RRAS;PGAM5;RHOT2;BNIP3L;SRC;ATG5;MFN2;TBC1D15;MAPK9;ATG9A;MFN1;RRAS2;RHOT1;BECN1;OPTN;EIF2AK3;JUN;USP15;FOXO3;MAPK8;USP8;HRAS;TBK1;USP30;MRAS;PINK1;TBC1D17;TP53;CSNK2A1;CSNK2B	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7305809899546065	5.275803047183321	0.0	0.0	0.0	82/97	21.65%	B2M;ISG15;ADAR;OAS1;HLA-C;IFITM3;TXNIP;PSME1;STAT2;LAP3;MX1;LY6E;PARP9;EIF2AK2;PLSCR1;PSMA3;TENT5A;PARP14;PSME2;IFI35;CD74;GBP2;WARS1;ELF1;IFI44;LGALS3BP;PARP12;IFIH1;MOV10;USP18;CMTR1;NMI;PNPT1;UBE2L6;TRIM26;NCOA7;NUB1;DDX60;TMEM140;TRIM21;SLC25A28;RIPK2;IRF7;CD47;LAMP3;EPSTI1;SP110;IL4R;IFITM1;TRIM14;CMPK2;TRIM25;TRAFD1;CNP;TAP1;BST2;TDRD7;PSMB8;IFI27;IRF2;IFIT3;C1S;PROCR;MVB12A;SAMD9;HELZ2;CASP8;RSAD2;LPAR6;IFITM2;IFI44L;OGFR;TRIM5;IRF1;SAMD9L;IFIT2;HERC6;DHX58;BATF2;GMPR;ISG20;CXCL10	MSigDB_Hallmark_2020	True
prerank	Pancreatic cancer	0.6762816168928252	5.161176610554778	0.0	0.0	0.0	64/76	25.77%	MAPK1;RAC1;TGFBR1;RALB;STAT1;ARAF;GADD45B;JAK1;CASP9;MAPK3;RELA;RALA;STAT3;CDKN1A;MAP2K1;KRAS;CDC42;EGFR;E2F1;BCL2L1;RPS6KB1;ERBB2;TGFBR2;AKT2;CDK4;RAD51;MAPK9;PIK3CB;MTOR;RALBP1;AKT1;VEGFA;CCND1;BAK1;E2F3;BAX;RB1;RPS6KB2;RAF1;CHUK;NFKB1;PLD2;SMAD3;TGFB1;MAPK8;E2F2;EGF;DDB2;RAC3;PLD1;TP53;CDK6;SMAD4;GADD45A;PIK3CA;SMAD2;POLK;IKBKB;RAC2;PIK3R3;BAD;PIK3R1;BRAF;BRCA2	KEGG_2021_Human	False
prerank	Non-alcoholic fatty liver disease	0.6955483067886125	4.947734344583222	0.0	0.0	0.0	110/155	17.32%	COX2;COX1;COX3;CYTB;XBP1;NDUFS5;NDUFB11;COX6B1;NDUFA1;ATF4;ADIPOR1;COX7C;UQCRH;RAC1;NDUFB4;COX7A2;CYC1;COX5A;COX5B;UQCRC2;NDUFB3;COX8A;NDUFS6;NDUFB7;TNFRSF1A;NDUFB10;UQCRC1;SDHB;NDUFAB1;COX7B;COX6C;NDUFA8;FOS;UQCRFS1;COX7A2L;NDUFS4;NDUFA6;NDUFA4;UQCRQ;NDUFB1;CYCS;SDHC;COX4I1;RELA;NDUFV1;SDHD;MAPK13;PRKAG1;ADIPOR2;NDUFA12;CDC42;COX8C;GSK3A;UQCR10;BCL2L11;MAPK14;NDUFB6;PRKAA1;MLXIP;ITCH;EIF2S1;DDIT3;NDUFS8;AKT2;NDUFB5;NDUFA2;MLX;PRKAB1;NDUFA5;PRKAB2;UQCRB;MAPK9;COX6A1;NDUFC1;NDUFA3;PIK3CB;NDUFS3;CASP3;SREBF1;COX7B2;LEP;AKT1;NDUFS2;NDUFA10;BID;CASP7;MAP3K5;NDUFB2;NDUFS1;NDUFV3;EIF2AK3;JUN;BAX;SOCS3;PPARG;IL6R;NFKB1;GSK3B;NDUFC2;PRKAA2;TRAF2;PPARA;INSR;RXRA;CASP8;TGFB1;NDUFB9;MAPK8;MAP3K11;ERN1	KEGG_2021_Human	False
prerank	Nucleotide excision repair	0.6798639958661016	4.608489721172302	0.0	0.0	0.0	38/46	23.93%	PCNA;RAD23B;RAD23A;ERCC1;CETN2;RPA2;POLE3;POLD2;CUL4B;RFC4;RFC1;DDB1;POLE4;RBX1;RPA1;CDK7;RFC5;RFC3;RPA3;ERCC2;ERCC3;RFC2;GTF2H1;POLD3;GTF2H3;POLE;CUL4A;XPA;LIG1;POLE2;DDB2;POLD1;GTF2H5;CCNH;XPC;MNAT1;POLD4;ERCC6	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7492641619280574	4.529108551711748	0.0	0.0	0.0	46/57	16.07%	HSPD1;NPM1;CBX3;NOLC1;MCM4;GNL3;SRM;PA2G4;EXOSC5;WDR43;MRTO4;DDX18;SLC29A2;UNG;NOP56;TFB2M;MPHOSPH10;PPRC1;PES1;IMP4;FARSA;HSPE1;CDK4;TBRG4;HK2;BYSL;DCTPP1;MYC;TMEM97;RRP9;MCM5;MAP3K6;PLK1;SUPV3L1;PUS1;MYBBP1A;AIMP2;NDUFAF4;RABEPK;NIP7;TCOF1;RRP12;PRMT3;NOC4L;PLK4;UTP20	MSigDB_Hallmark_2020	True
prerank	Small cell lung cancer	0.6478017708776633	4.508211058814437	0.0	0.0	0.0	71/92	25.31%	CKS2;LAMB3;ITGB1;NFKBIA;PTGS2;CKS1B;GADD45B;CYCS;CASP9;FN1;ITGAV;RELA;CDKN1B;LAMC1;CDKN1A;TRAF4;LAMB1;CDK2;BIRC3;LAMC2;BIRC2;E2F1;BCL2L1;LAMA5;XIAP;RXRB;AKT2;CDK4;LAMB2;ITGA3;MYC;PIK3CB;CASP3;AKT1;CCND1;ZBTB17;BAK1;PTK2;E2F3;BAX;PTEN;LAMA3;RB1;ITGA6;CCNE1;CHUK;NFKB1;COL4A1;MAX;TRAF3;TRAF2;RXRA;RARB;ITGA2;COL4A4;E2F2;APAF1;COL4A2;DDB2;TP53;CDK6;GADD45A;TRAF5;PIK3CA;SKP2;TRAF6;POLK;IKBKB;COL4A3;PIK3R3;PIK3R1	KEGG_2021_Human	False
prerank	Glutathione metabolism	0.5850579981299219	4.2862106348129965	0.0	0.0	0.0	33/56	14.90%	GSTP1;PGD;PRDX6;ODC1;SMS;GSR;MGST1;GPX2;GPX3;GSTO1;IDH1;GPX1;GPX4;GSTK1;LAP3;G6PD;GSTA4;SRM;GCLM;IDH2;RRM2;GPX7;RRM1;GGCT;GCLC;GSS;GPX8;MGST2;MGST3;RRM2B;GGT7;GSTM3;GSTT2B	KEGG_2021_Human	False
prerank	Inositol phosphate metabolism	0.6157460375369239	4.255233611085662	0.0	0.0	0.0	52/73	26.41%	TPI1;PIP5K1A;INPPL1;PIP4K2C;IMPA2;OCRL;PI4KB;ITPKC;PI4KA;PI4K2B;CDIPT;IPMK;ITPK1;MTMR4;PIK3CB;PIP4K2B;PIK3C2A;IMPA1;PIP4K2A;PTEN;SACM1L;MTMR6;MINPP1;MTM1;PIK3C2B;PLCB3;ITPKB;MTMR1;INPP1;PIKFYVE;PIP5K1B;MTMR14;PLCG1;ALDH6A1;PIP5K1C;INPP5A;INPP5K;PLCH1;INPP4A;MTMR2;INPP5F;ISYNA1;PI4K2A;PIK3CA;INPP5B;SYNJ2;IPPK;SYNJ1;PLCB1;PLCD3;INPP5E;MTMR7	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7381693746493372	4.245700934757379	0.0	0.0	0.0	39/48	17.95%	FTL;PRDX1;TXN;TXNRD1;PRDX6;PRDX4;SOD1;NQO1;NDUFB4;GSR;MGST1;GPX3;JUNB;GPX4;G6PD;LAMTOR5;PFKP;GCLM;PRNP;NDUFA6;PDLIM1;STK25;PRDX2;SELENOS;SBNO2;GCLC;CAT;GLRX;PTPA;OXSR1;ERCC2;SCAF4;NDUFS2;TXNRD2;ABCC1;FES;HMOX2;ATOX1;HHEX	MSigDB_Hallmark_2020	False
