Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Colorectal cancer	0.6603097523522751	5.118282160550727	0.0	0.0	0.0	68/86	22.91%	AREG;RAC1;RHOA;CCND1;EGFR;GRB2;CTNNB1;MAPK1;EREG;JUN;TGFBR2;RALB;ARAF;FOS;MAP2K1;CYCS;NRAS;RAC2;TGFB1;MAPK3;BAK1;BAX;RALA;CDKN1A;MAP2K2;GADD45A;KRAS;CASP3;BIRC5;HRAS;GADD45B;AKT1;RPS6KB1;MAPK9;MYC;RAC3;AXIN1;SOS2;TGFBR1;SMAD3;MTOR;PIK3CD;SOS1;MSH6;BCL2L11;PIK3CB;RPS6KB2;TCF7L2;RAF1;DDB2;TGFA;BAD;APPL1;AKT2;MLH1;GADD45G;MSH2;PIK3R1;CASP9;PMAIP1;MSH3;TP53;BRAF;POLK;SMAD4;MAPK8;GSK3B;TGFB3	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6186672759021835	4.668445331526535	0.0	0.0	0.0	64/87	23.65%	A2M;CD9;GRB2;TNFRSF12A;HAX1;STAT1;TNFRSF21;CD44;JUN;OSMR;IFNGR2;IL13RA1;IL6ST;TLR2;STAT2;CXCL13;IFNGR1;CD14;STAT3;IFNAR1;TNFRSF1A;MYD88;TGFB1;ACVR1B;BAK1;PTPN1;CXCL10;LTBR;IL4R;TYK2;PTPN11;CSF2RA;PIM1;LTB;IL1R1;HMOX1;CXCL9;TNFRSF1B;SOCS3;PTPN2;STAM2;IL17RB;IL17RA;FAS;CSF2RB;IL3RA;CSF1;CCR1;CXCL1;PDGFC;CSF3R;MAP3K8;ACVRL1;SOCS1;CBL;IL2RG;IL2RA;IRF1;CSF2;EBI3;PIK3R5;CXCL11;IL15RA;ITGB3	MSigDB_Hallmark_2020	False
prerank	Vibrio cholerae infection	0.6450817719232987	4.6165953746044535	0.0	0.0	0.0	37/50	19.43%	ACTB;ACTG1;ARF1;ATP6V0E1;KDELR2;PDIA4;GNAS;KDELR1;ATP6V1F;SEC61A1;ATP6V1E1;SEC61G;TCIRG1;SEC61B;ATP6V0B;ATP6AP1;KDELR3;ATP6V1G1;ATP6V1C2;ATP6V1C1;ATP6V1H;PRKCA;ERO1A;ATP6V1A;ATP6V1B2;ATP6V1D;ATP6V0A1;ATP6V0D1;TJP1;PLCG1;SLC12A2;PRKACA;ATP6V0A4;ADCY3;ATP6V0E2;ADCY9;PLCG2	KEGG_2021_Human	False
prerank	Myc Targets V2	0.743732220909666	4.525767186907361	0.0	0.0	0.0	53/57	22.48%	HSPD1;CBX3;NPM1;NOLC1;SRM;GNL3;IMP4;DDX18;MRTO4;TFB2M;MCM4;FARSA;TMEM97;HSPE1;MAP3K6;PES1;NOP56;WDR43;PA2G4;RRP9;TBRG4;CDK4;DCTPP1;NIP7;MPHOSPH10;EXOSC5;PPRC1;MYBBP1A;HK2;SLC29A2;UNG;MYC;SUPV3L1;BYSL;AIMP2;RABEPK;NOC4L;RRP12;WDR74;MCM5;PRMT3;GRWD1;RCL1;LAS1L;PLK4;SLC19A1;NDUFAF4;UTP20;DUSP2;PUS1;PLK1;TCOF1;NOP16	MSigDB_Hallmark_2020	True
prerank	Th17 cell differentiation	0.5897337420933216	4.525018134629531	0.0	0.0	0.0	84/105	27.74%	HLA-DRA;HLA-DRB1;HSP90AB1;HSP90AA1;NFKBIA;HLA-DRB5;HLA-DPA1;MAPK1;MAPK13;STAT1;HLA-DMA;JUN;IFNGR2;HLA-DQA2;IL27RA;TGFBR2;HLA-DPB1;IL6ST;HIF1A;STAT6;IFNGR1;PPP3CA;FOS;STAT3;HLA-DQA1;CD4;TGFB1;STAT5B;MAPK3;AHR;NFKB1;RUNX1;IL6R;HLA-DQB1;MAPK14;RELA;IL4R;JAK1;HLA-DMB;TYK2;CD3D;PPP3R1;PPP3CB;RARA;IL1R1;CHUK;RXRB;CD3E;PLCG1;MAPK9;IKBKB;RORC;HLA-DOA;NFKBIE;STAT5A;TGFBR1;SMAD3;NFKBIB;MTOR;RXRA;PPP3CC;JAK2;IL2RG;NFATC2;IL2RA;LCK;IL2RB;JAK3;SMAD4;MAPK8;GATA3;ZAP70;CD247;FOXP3;IL1RAP;IKBKG;MAPK11;CD3G;NFATC3;IRF4;IL23A;IL12RB1;HLA-DOB;MAPK12	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.694717032776554	4.493607425906256	0.0	0.0	0.0	65/76	22.91%	NFKBIA;CCND1;GRB2;MAPK1;CDKN1B;BCL2L1;TGFBR2;HDAC1;CRKL;ARAF;SHC1;MAP2K1;NRAS;TGFB1;STAT5B;CRK;MAPK3;NFKB1;RUNX1;BAK1;BAX;RELA;E2F1;CDKN1A;MAP2K2;GADD45A;KRAS;CTBP1;PTPN11;BCR;CDK4;CHUK;HRAS;GADD45B;AKT1;MECOM;SHC2;MYC;IKBKB;SOS2;ABL1;STAT5A;TGFBR1;SMAD3;PIK3CD;CTBP2;SOS1;PIK3CB;RAF1;GAB2;DDB2;BAD;HDAC2;AKT2;GADD45G;MDM2;E2F3;CBL;PIK3R1;RB1;TP53;BRAF;POLK;SMAD4;TGFB3	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.635396199572828	4.4883023336470185	0.0	0.0	0.0	49/69	18.10%	MET;RAC1;ELOB;GRB2;MAPK1;EPAS1;JUN;FH;HIF1A;CRKL;ARAF;MAP2K1;NRAS;TGFB1;CRK;MAPK3;RAP1A;TFE3;PRCC;CDC42;CDKN1A;PAK2;RBX1;ELOC;MAP2K2;ARNT;KRAS;ETS1;PAK1;VEGFA;PTPN11;HRAS;VHL;AKT1;RAPGEF1;EP300;SOS2;CUL2;PIK3CD;PAK4;SOS1;PIK3CB;SLC2A1;RAF1;PAK6;TGFA;BAD;CREBBP;AKT2	KEGG_2021_Human	False
prerank	Legionellosis	0.6600606685309478	4.470523315669239	0.0	0.0	0.0	40/57	20.27%	EEF1A1;HSPA8;ARF1;NFKBIA;HSPD1;ITGB2;RAB1A;VCP;C3;IL18;TLR2;CD14;CYCS;HSF1;BNIP3;CLK1;RAB1B;MYD88;NFKB2;HSPA1A;EEF1A2;NFKB1;SAR1A;RELA;HSPA1B;BCL2L13;CASP8;CXCL2;CASP3;ITGAM;CASP7;SEC22B;SAR1B;CASP1;CXCL1;CXCL8;TLR5;PYCARD;CASP9;HBS1L	KEGG_2021_Human	False
prerank	RNA degradation	0.6664439937688154	4.468184556297147	0.0	0.0	0.0	64/76	21.72%	ENO1;PABPC1;HSPD1;BTG3;TOB1;PFKL;HSPA9;LSM2;LSM4;BTG1;XRN2;PFKP;CNOT8;PATL1;PABPC4;DDX6;LSM7;CNOT9;CNOT1;TOB2;EXOSC4;PNPT1;BTG2;PABPC1L;MTREX;EXOSC6;LSM5;EXOSC5;LSM3;EXOSC1;EXOSC10;NUDT16;ENO2;CNOT7;MPHOSPH6;EXOSC9;ZCCHC7;PAN3;EXOSC8;CNOT6L;CNOT6;TENT4A;PARN;EDC4;C1D;EDC3;DCP1A;EXOSC2;DIS3L;CNOT3;CNOT10;LSM1;DIS3;DHX36;DCP2;CNOT4;CNOT2;LSM8;DCPS;EXOSC7;PAN2;XRN1;LSM6;PFKM	KEGG_2021_Human	False
prerank	Glycolysis / Gluconeogenesis	0.5297170083898093	4.425223531963784	0.0	0.0	0.0	35/67	12.50%	ENO1;GAPDH;TPI1;PGK1;LDHA;FBP1;PKM;GALM;ALDH3B1;ADH5;AKR1A1;ALDH2;HK1;PFKL;DLD;PGM1;PFKP;HKDC1;ACSS2;ALDH1B1;GPI;PDHA1;ADPGK;ALDH9A1;BPGM;PGAM1;PGM2;HK3;G6PC3;HK2;MINPP1;PCK2;DLAT;ENO2;PDHB	KEGG_2021_Human	False
