Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.736385442737159	4.775132632994084	0.0	0.0	0.0	81/97	20.42%	CD74;B2M;HLA-C;TXNIP;BST2;IFITM3;LGALS3BP;PSME1;UBE2L6;ADAR;IFI35;LY6E;WARS1;NUB1;ELF1;PSME2;CD47;UBA7;PSMA3;C1S;CXCL10;IFITM2;STAT2;LAP3;TAP1;LAMP3;ISG15;PARP14;PSMB8;TRAFD1;IRF2;MOV10;TMEM140;IFITM1;IFIT3;PSMB9;OGFR;PROCR;SLC25A28;TRIM26;EIF2AK2;PARP9;SAMD9L;CMTR1;PLSCR1;RIPK2;TRIM21;PNPT1;DHX58;OAS1;CNP;CSF1;SELL;GBP2;IFI27;PARP12;TRIM14;MVB12A;IRF7;GBP4;CASP8;HELZ2;SAMD9;IRF1;IFI44;IL4R;MX1;ISG20;TDRD7;NCOA7;BATF2;NMI;TRIM5;IFIH1;DDX60;TRIM25;GMPR;SP110;EPSTI1;CASP1;IFIT2	MSigDB_Hallmark_2020	True
prerank	Th1 and Th2 cell differentiation	0.6008286118597281	4.656201642056473	0.0	0.0	0.0	73/90	28.91%	HLA-DRA;HLA-DRB1;JUN;NFKBIA;FOS;HLA-DPA1;HLA-DRB5;IFNGR2;NOTCH3;STAT1;HLA-DQA1;MAPK3;HLA-DPB1;STAT6;IFNGR1;RELA;HLA-DMA;HLA-DQB1;PPP3R1;NOTCH2;CD4;MAPK13;PPP3CA;HLA-DQA2;PLCG1;HLA-DOA;JAK1;TYK2;MAML1;MAPK1;HLA-DMB;RBPJ;STAT5B;CD3D;NFKBIB;PPP3CB;MAPK14;CD3E;MAPK9;MAPK11;IL4R;TBX21;NFKB1;JAK3;IKBKB;IL2RA;IL2RB;STAT5A;JAG2;CHUK;GATA3;PPP3CC;NFKBIE;NFATC2;JAK2;NFATC3;NOTCH1;MAML2;LCK;MAF;MAPK12;IL2RG;DLL4;IKBKG;JAG1;NFATC1;RUNX3;STAT4;HLA-DOB;MAPK8;ZAP70;IL12RB1;CD247	KEGG_2021_Human	False
prerank	Fc gamma R-mediated phagocytosis	0.6510420560123565	4.520750195632814	0.0	0.0	0.0	81/96	30.40%	MARCKSL1;CFL1;ACTR2;RAC1;ARPC3;ARPC2;INPPL1;ARF6;PRKCD;WASF2;MAPK3;FCGR3A;ARPC4;PIP5K1A;ACTR3;LIMK1;VASP;ARPC1A;LYN;RAC2;GSN;CRK;PAK1;CDC42;ARPC5;PIK3CB;MAP2K1;PLCG1;PLPP3;ARPC5L;MARCKS;AKT1;RAF1;CRKL;DNM2;MAPK1;FCGR2A;MYO10;PIP5K1C;BIN1;HCK;PLPP1;SYK;CFL2;RPS6KB2;PTPRC;PIK3CD;GAB2;ASAP1;VAV2;WAS;PLPP2;PIK3R3;LIMK2;PLD2;AKT2;INPP5D;DOCK1;PIK3R1;VAV1;RPS6KB1;FCGR2B;PRKCA;SPHK2;PLCG2;PLA2G6;PRKCE;PRKCG;ASAP3;WASF1;PRKCB;AKT3;FCGR1A;ACTR3B;ARPC1B;PLA2G4D;PLD1;SPHK1;NCF1;PIK3CA;PLA2G4C	KEGG_2021_Human	False
prerank	Adherens junction	0.652661363149126	4.248745099145896	0.0	0.0	0.0	57/71	26.45%	ACTB;ACTG1;MET;RHOA;ERBB2;CTNNB1;CDH1;ACTN4;RAC1;CTNNA1;WASL;PTPRF;WASF2;MAPK3;IQGAP1;PTPN1;LMO7;TGFBR2;ACP1;RAC2;NECTIN2;CDC42;SRC;VCL;PTPN6;AFDN;EGFR;EP300;ACTN1;MAPK1;YES1;NECTIN4;TJP1;MAP3K7;NLK;CREBBP;PARD3;FYN;WAS;FGFR1;INSR;FARP2;RAC3;TGFBR1;PTPRM;SMAD3;TCF7L2;CSNK2A2;PTPRJ;CTNND1;SMAD4;NECTIN1;PTPRB;WASF1;BAIAP2;TCF7L1;CSNK2B	KEGG_2021_Human	False
prerank	Protein Secretion	0.7526954124250449	4.229634731400726	0.0	0.0	0.0	84/96	19.46%	CD63;ARF1;TMED2;SOD1;KRT18;ARCN1;CLTC;AP2M1;VAMP3;GNAS;PPT1;ATP1A1;TMED10;CLTA;SGMS1;USO1;LMAN1;ANP32E;SEC31A;ERGIC3;RAB2A;COPB1;SCAMP3;AP2B1;AP2S1;LAMP2;M6PR;PAM;RAB5A;STX16;STX12;RER1;ARFGAP3;RAB14;SCRN1;CTSC;YKT6;COPE;COPB2;TSG101;CLCN3;TPD52;AP1G1;VAMP7;BNIP3;YIPF6;IGF2R;GOLGA4;AP3S1;EGFR;ARFIP1;VPS4B;OCRL;ATP6V1H;ARFGEF2;MAPK1;DNM1L;SEC22B;ARFGEF1;BET1;RPS6KA3;RAB22A;ZW10;GLA;SNX2;AP3B1;TMX1;VPS45;VAMP4;KIF1B;CAV2;SEC24D;STAM;NAPG;RAB9A;MON2;ADAM10;GBF1;NAPA;ABCA1;SCAMP1;GALC;ICA1;DST	MSigDB_Hallmark_2020	False
prerank	Myc Targets V2	0.7556824240360431	4.151631133459955	0.0	0.0	0.0	49/57	18.03%	DCTPP1;CBX3;NPM1;HSPD1;SRM;GNL3;NOLC1;RRP9;MRTO4;FARSA;CDK4;DDX18;PA2G4;UNG;PES1;MCM4;TFB2M;MYC;IMP4;MAP3K6;MPHOSPH10;MYBBP1A;WDR43;HSPE1;BYSL;TCOF1;PPRC1;TBRG4;NOC4L;NOP56;MCM5;NIP7;EXOSC5;AIMP2;HK2;SLC29A2;UTP20;PUS1;SUPV3L1;RRP12;WDR74;DUSP2;GRWD1;RCL1;NOP16;PLK1;SLC19A1;LAS1L;RABEPK	MSigDB_Hallmark_2020	True
prerank	Lysosome	0.6692192260698138	4.146243473826417	0.0	0.0	0.0	93/127	18.98%	PSAP;CD63;CTSZ;LAPTM4A;CTSB;CLTC;CTSD;AP1S1;NPC2;PPT1;CTSS;CLTA;AP1M2;LAMP1;GNS;FUCA1;LAPTM5;GM2A;ATP6V0B;ACP5;NAPSA;ARSA;TCIRG1;CD164;GAA;LAMP2;M6PR;ATP6AP1;LIPA;AP3D1;LGMN;LAPTM4B;SCARB2;AP1B1;LAMP3;GUSB;LITAF;CTSC;DNASE2;NAGLU;TPP1;CLTB;GGA2;HYAL2;NAGA;ABCA2;CTSL;GLB1;SORT1;HEXB;AP1G1;CTSE;MAN2B1;FUCA2;ASAH1;ATP6V0A1;IGF2R;GGA3;ENTPD4;CTSO;AP3S1;AP3M1;GGA1;CTSA;CTSH;ACP2;NEU1;ATP6V1H;ATP6V0D1;SLC11A2;IDUA;GLA;AP3B1;SMPD1;PLA2G15;HGSNAT;AP1M1;SUMF1;AP1G2;SGSH;GNPTG;CTSF;MCOLN1;SLC17A5;SLC11A1;AP4M1;GNPTAB;AGA;NPC1;MANBA;CTNS;CTSW;GALC	KEGG_2021_Human	False
prerank	IL-17 signaling pathway	0.5409175751161401	4.09643735047825	0.0	0.0	0.0	72/94	31.16%	HSP90AB1;HSP90AA1;HSP90B1;JUN;NFKBIA;FOS;S100A9;MAPK3;JUND;CXCL2;RELA;FOSB;CEBPB;CXCL10;CASP3;MAPK13;TRADD;TRAF4;TAB2;TNFAIP3;FOSL1;ANAPC5;CXCL8;MAPK6;ELAVL1;MAPK1;TRAF2;USP25;MMP9;SRSF1;CASP8;MAP3K7;IL17RC;MAPK14;PTGS2;MAPK9;IL17RE;MAPK11;CCL2;MAPK15;NFKB1;IL6;S100A8;CXCL1;IKBKB;MAPK7;GSK3B;IKBKE;LCN2;CHUK;TAB3;TBK1;CXCL3;TRAF3;CCL17;MAPK12;MMP1;TRAF5;IL17RA;IKBKG;CSF2;MMP13;CCL20;MAPK8;FADD;CXCL5;TRAF6;CSF3;CCL11;MUC5B;TRAF3IP2;IL17RB	KEGG_2021_Human	False
prerank	Non-small cell lung cancer	0.6706065999027757	4.087564176501741	0.0	0.0	0.0	57/72	24.18%	MET;ERBB2;CCND1;GRB2;MAPK3;KIF5B;ARAF;GADD45B;CDKN1A;NRAS;STAT3;CDK4;GADD45A;EML4;PIK3CB;BAX;MAP2K1;MAP2K2;KRAS;PLCG1;GADD45G;BAD;EGFR;RASSF1;E2F1;AKT1;RAF1;MAPK1;RXRB;TP53;SOS1;RB1;STAT5B;HRAS;RXRA;PIK3CD;E2F3;SOS2;BAK1;JAK3;FOXO3;PIK3R3;AKT2;CDKN2A;RASSF5;PIK3R1;TGFA;STAT5A;STK4;BRAF;POLK;PRKCA;DDB2;PDPK1;PLCG2;E2F2;CASP9	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.69061674489247	4.06087470066307	0.0	0.0	0.0	63/73	24.63%	CCND1;SFN;PMAIP1;SERPINE1;SHISA5;THBS1;IGFBP3;EI24;GADD45B;TNFRSF10B;BCL2L1;CDKN1A;CASP3;CYCS;CDK4;COP1;GADD45A;PERP;PTEN;BAX;CCNG1;GADD45G;TP53I3;STEAP3;RRM2B;CCNB1;CCND3;SIVA1;TP53;CDK2;CASP8;RRM2;SESN2;AIFM2;TSC2;CD82;TNFRSF10A;CCNE1;CDKN2A;MDM2;CDK1;APAF1;CHEK1;CCNG2;PIDD1;CCND2;CCNB2;TP73;SESN3;ZMAT3;ADGRB1;GTSE1;GORAB;RCHY1;SESN1;CHEK2;BBC3;ATM;BID;DDB2;ATR;CASP9;MDM4	KEGG_2021_Human	True
