Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Antigen processing and presentation	0.6467019801868964	5.251053580818636	0.0	0.0	0.0	44/70	16.65%	HSP90AB1;HSPA8;CALR;HLA-A;HSP90AA1;HSPA5;HLA-DRA;HLA-B;B2M;CANX;PSME1;HLA-C;PDIA3;CD74;HLA-DRB1;HLA-E;HSPA1A;PSME2;HSPA1B;CTSB;TAPBP;HSPA4;LGMN;CTSS;PSME3;HLA-DRB5;HLA-DPA1;NFYB;HLA-DMA;HLA-DPB1;TAP1;HSPA2;HLA-DQB1;RFX5;CTSL;NFYA;RFXANK;HLA-DQA2;CD4;HLA-DQA1;NFYC;HLA-DMB;TAP2;HLA-F	KEGG_2021_Human	False
prerank	Proteasome	0.7850547526132532	5.00307440065604	0.0	0.0	0.0	37/46	10.66%	PSMB5;PSMB4;PSME1;PSMB3;PSMA7;PSMB7;PSMD4;PSMB6;PSMB1;POMP;PSMD2;PSMD13;PSME2;PSMC3;PSMA3;PSMD3;PSMB2;PSMD8;PSMC4;PSMD11;PSME3;PSMC5;PSMB8;PSMD12;ADRM1;PSMD14;PSMA4;PSMD7;PSMC6;PSMA5;PSME4;SEM1;PSMF1;PSMD1;PSMC2;PSMB9;PSMA1	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7196805738596477	4.93005147459419	0.0	0.0	0.0	89/97	26.31%	LGALS3BP;B2M;BST2;PSME1;IFITM3;HLA-C;CD74;ISG15;PSME2;PSMA3;UBE2L6;ADAR;TXNIP;LAP3;IFITM2;TRAFD1;WARS1;PSMB8;IRF7;LY6E;TRIM26;SLC25A28;RIPK2;PARP14;IFI27;IFI35;CXCL10;TENT5A;CNP;TAP1;NUB1;PNPT1;STAT2;IRF2;PARP12;CMTR1;C1S;TRIM21;PSMB9;EIF2AK2;IFIT3;ELF1;OAS1;PARP9;IFITM1;TRIM14;MX1;PLSCR1;ISG20;USP18;CD47;IL4R;TRIM25;OGFR;MVB12A;LAMP3;TDRD7;IRF1;CSF1;NCOA7;NMI;TRIM5;TMEM140;UBA7;MOV10;DDX60;CASP8;GBP2;SAMD9L;IFI44;GBP4;IFIH1;BATF2;GMPR;EPSTI1;HERC6;SELL;SAMD9;SP110;CASP1;DHX58;RTP4;IFIT2;HELZ2;PROCR;IRF9;LPAR6;OASL;CMPK2	MSigDB_Hallmark_2020	True
prerank	TGF-beta Signaling	0.748143416619074	4.719948389611671	0.0	0.0	0.0	48/54	20.30%	ID1;RHOA;ID2;FURIN;CDH1;ID3;PPP1CA;JUNB;HDAC1;FKBP1A;UBE2D3;CTNNB1;IFNGR2;CDK9;FNTA;PPP1R15A;SMAD3;TGIF1;TGFBR1;SKIL;KLF10;PMEPA1;THBS1;SPTBN1;SLC20A1;NCOR2;RAB31;WWTR1;ENG;SMAD7;BMP2;SKI;XIAP;ACVR1;TGFB1;PPM1A;SMURF1;ARID4B;LTBP2;TJP1;MAP3K7;SMURF2;HIPK2;TRIM33;BMPR2;CDKN1C;BMPR1A;SERPINE1	MSigDB_Hallmark_2020	True
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6299701798346861	4.582726306729099	0.0	0.0	0.0	44/70	16.91%	ATP6V0E1;NFKBIA;ATP6V1F;RAC1;JUN;ATP6V0B;PTPN11;ATP6V1G1;ATP6V1C1;ATP6AP1;F11R;ATP6V1H;LYN;ATP6V1E1;CXCL2;CASP3;GIT1;ATP6V1A;RELA;IKBKB;PAK1;MAPK13;SRC;TCIRG1;ATP6V0D1;CCL5;CDC42;MAPK14;NFKB1;JAM3;CSK;CXCL8;ATP6V1D;ATP6V1B2;CHUK;ATP6V0A4;MAPK9;ATP6V0E2;MAPK8;PLCG1;MAP2K4;ATP6V0A1;TJP1;ADAM10	KEGG_2021_Human	False
prerank	Myc Targets V2	0.789252624089637	4.509506634266647	0.0	0.0	0.0	52/57	17.99%	HSPD1;NPM1;NOLC1;MCM4;SRM;CBX3;UNG;TMEM97;PA2G4;NOP56;DCTPP1;HSPE1;GNL3;MYC;FARSA;MRTO4;CDK4;TFB2M;WDR43;BYSL;PES1;IMP4;EXOSC5;RRP9;DDX18;MYBBP1A;PPRC1;PLK1;SUPV3L1;HK2;AIMP2;RRP12;SLC29A2;TBRG4;NOC4L;MCM5;NIP7;NDUFAF4;MPHOSPH10;NOP16;TCOF1;GRWD1;WDR74;RABEPK;UTP20;PUS1;PLK4;DUSP2;PRMT3;RCL1;LAS1L;SLC19A1	MSigDB_Hallmark_2020	True
prerank	Glutathione metabolism	0.6253922797169997	4.490235739241014	0.0	0.0	0.0	35/56	12.03%	GSTP1;ODC1;GPX2;PRDX6;PGD;IDH2;G6PD;GPX1;IDH1;GPX4;SMS;SRM;GSR;GSTA2;GSTO1;MGST1;GPX3;RRM1;LAP3;GGCT;OPLAH;GSTA4;GCLC;CHAC1;RRM2B;GCLM;MGST3;GGT7;GSTK1;RRM2;GSTA1;GSS;MGST2;CHAC2;GSTM3	KEGG_2021_Human	False
prerank	Base excision repair	0.7438732231039157	4.376784068726854	0.0	0.0	0.0	30/33	23.02%	APEX1;PCNA;UNG;FEN1;POLE3;PARP1;POLB;POLE4;NTHL1;POLD2;HMGB1;TDG;MBD4;MPG;NEIL2;NEIL3;APEX2;SMUG1;XRCC1;PARP4;PARP2;POLD3;LIG1;POLL;POLD1;POLE2;PARP3;LIG3;POLE;POLD4	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7344504831726109	4.330032358329744	0.0	0.0	0.0	34/48	12.36%	FTL;TXN;NQO1;PRDX1;TXNRD1;SOD1;PRDX6;G6PD;PRDX4;PRDX2;PDLIM1;GPX4;PFKP;GSR;NDUFB4;MGST1;GPX3;JUNB;SELENOS;PRNP;NDUFA6;PTPA;GCLC;HMOX2;NDUFS2;GCLM;LAMTOR5;STK25;CDKN2D;CAT;ABCC1;SCAF4;SBNO2;ATOX1	MSigDB_Hallmark_2020	False
prerank	Pancreatic cancer	0.6982761255891043	4.269621851349917	0.0	0.0	0.0	70/76	26.26%	MAPK1;RAC1;GADD45G;CCND1;CDK4;BAX;STAT1;TP53;STAT3;MAP2K1;ARAF;E2F1;RELA;IKBKB;ERBB2;VEGFA;RALA;RALB;SMAD3;CDC42;TGFBR1;BCL2L1;RAC3;JAK1;TGFBR2;RALBP1;GADD45B;KRAS;RAC2;GADD45A;MAPK3;NFKB1;CDKN1A;BAK1;E2F3;RPS6KB2;MTOR;CHUK;MAPK9;MAPK8;E2F2;TGFB1;PIK3CB;BAD;RAF1;RB1;AKT3;RPS6KB1;SMAD4;RAD51;AKT2;AKT1;PLD2;CDK6;EGF;CASP9;TGFB2;SMAD2;DDB2;PIK3R1;PLD1;PIK3R3;IKBKG;ARHGEF6;PIK3CD;TGFB3;EGFR;BRAF;PIK3CA;POLK	KEGG_2021_Human	False
