Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	TGF-beta Signaling	0.7490936762210131	5.867603655185217	0.0	0.0	0.0	44/54	17.46%	RHOA;ID1;FURIN;JUNB;ENG;ID3;THBS1;HDAC1;PPP1CA;ID2;FKBP1A;CDK9;TGFB1;RAB31;CTNNB1;SKI;IFNGR2;LTBP2;SERPINE1;CDH1;NCOR2;UBE2D3;PMEPA1;SLC20A1;PPP1R15A;SPTBN1;KLF10;TGIF1;SMURF1;SKIL;FNTA;CDKN1C;ACVR1;HIPK2;XIAP;MAP3K7;TGFBR1;WWTR1;SMURF2;SMAD3;BMPR2;TJP1;PPM1A;SMAD7	MSigDB_Hallmark_2020	True
prerank	Non-small cell lung cancer	0.6511917205478508	5.001081367203566	0.0	0.0	0.0	56/72	24.52%	GRB2;BAX;CDKN1A;KIF5B;E2F1;MAP2K2;CCND1;PLCG1;MAPK1;STAT3;ARAF;HRAS;JAK3;MAPK3;STAT5B;HGF;BAK1;MAP2K1;PIK3CD;EML4;MET;RXRB;GADD45B;CDK4;NRAS;RASSF1;STK4;AKT1;RASSF5;BAD;RB1;TP53;GADD45A;AKT2;STAT5A;ERBB2;GADD45G;E2F3;KRAS;RXRA;SOS1;DDB2;FOXO3;SOS2;PLCG2;PIK3CB;RAF1;RARB;PIK3R1;AKT3;CASP9;E2F2;PIK3R3;PDPK1;PRKCB;EGFR	KEGG_2021_Human	False
prerank	Proteasome	0.7829706763940572	4.799492389686014	0.0	0.0	0.0	40/46	17.16%	PSMB4;PSME1;PSMA7;PSMB3;PSMB5;PSMD4;PSME2;PSMB6;POMP;PSMB1;PSMB7;PSMC3;PSMB9;PSMB8;PSMA3;PSMD2;PSMD13;PSMD8;ADRM1;PSMC4;PSMB2;PSMC5;PSMD3;PSME3;PSMA4;PSMB10;PSMA5;PSMD11;PSMD12;PSMC6;PSME4;PSMF1;PSMC2;SEM1;IFNG;PSMD14;PSMD7;PSMD6;PSMD1;PSMA1	KEGG_2021_Human	False
prerank	Rheumatoid arthritis	0.6398856517136045	4.55749161639724	0.0	0.0	0.0	56/89	18.39%	HLA-DRA;HLA-DRB1;CCL5;MMP1;ATP6V1F;ATP6V0E1;HLA-DRB5;HLA-DPA1;TCIRG1;HLA-DPB1;HLA-DMA;ATP6V0B;VEGFA;CTSL;ATP6AP1;ACP5;ITGB2;ATP6V1E1;TGFB1;ATP6V1G1;FOS;ICAM1;HLA-DQA2;HLA-DQB1;HLA-DQA1;JUN;HLA-DOA;CXCL2;CTSK;CXCL1;ITGAL;ATP6V1H;LTB;ATP6V1A;ATP6V0D1;CCL2;ATP6V1B2;CXCL12;CSF1;IL6;HLA-DMB;TGFB3;ATP6V1C1;FLT1;IL18;ATP6V1D;IFNG;CXCL8;CD86;CXCL5;TNFSF13B;ATP6V0E2;ATP6V0A1;CTLA4;CCL20;HLA-DOB	KEGG_2021_Human	False
prerank	Protein export	0.810874359641088	4.238856546235312	0.0	0.0	0.0	19/23	13.00%	HSPA5;SEC61A1;SEC61B;SRP9;SRP14;SRPRA;OXA1L;SEC61G;SEC11A;SPCS3;SPCS2;SPCS1;SEC11C;SRPRB;SEC62;SRP72;SRP68;SEC63;SRP54	KEGG_2021_Human	False
prerank	SNARE interactions in vesicular transport	0.740134582228561	4.234556664353092	0.0	0.0	0.0	30/33	24.37%	VAMP8;VAMP5;STX16;VAMP3;VAMP2;YKT6;VAMP7;STX5;BET1L;STX4;STX2;USE1;STX8;VAMP1;STX3;STX6;SEC22B;SNAP29;STX18;VAMP4;BET1;VTI1B;BNIP1;GOSR1;GOSR2;STX17;STX1A;STX7;VTI1A;STX11	KEGG_2021_Human	False
prerank	VEGF signaling pathway	0.6317357783721322	4.213228652623733	0.0	0.0	0.0	46/59	24.63%	HSPB1;RAC1;RAC2;MAPKAPK2;VEGFA;MAP2K2;PLCG1;MAPK1;HRAS;MAPK3;RAC3;MAP2K1;PIK3CD;SRC;PPP3CB;SH2D2A;NRAS;MAPK13;MAPKAPK3;MAPK14;AKT1;CDC42;BAD;PPP3CA;AKT2;PPP3R1;KDR;KRAS;SPHK1;PLA2G4A;PXN;MAPK11;PTK2;NFATC2;PPP3CC;PLCG2;PIK3CB;RAF1;PIK3R1;AKT3;CASP9;PIK3R3;SHC2;SPHK2;PRKCB;NOS3	KEGG_2021_Human	False
prerank	Base excision repair	0.7415417932317969	4.183353958527594	0.0	0.0	0.0	28/33	19.21%	APEX1;PCNA;POLD2;UNG;FEN1;POLE3;HMGB1;MPG;MBD4;APEX2;PARP1;XRCC1;PARP4;NTHL1;POLB;POLE4;POLD1;TDG;POLE;POLD3;PARP3;POLE2;PARP2;POLL;SMUG1;LIG1;NEIL1;NEIL2	KEGG_2021_Human	False
prerank	Ferroptosis	0.6479414023961437	4.159556361142527	0.0	0.0	0.0	30/41	21.17%	FTL;SAT1;GPX4;SAT2;SLC3A2;VDAC3;HMOX1;PRNP;NCOA4;CYBB;MAP1LC3A;VDAC2;CP;MAP1LC3B;PCBP2;ACSL5;ACSL4;TFRC;FTH1;SLC40A1;SLC39A14;ACSL1;TP53;GSS;ACSL3;SLC11A2;SLC39A8;ATG5;GCLC;STEAP3	KEGG_2021_Human	False
prerank	Angiogenesis	0.7310221740931526	4.152952746305889	0.0	0.0	0.0	26/36	17.83%	TIMP1;COL3A1;LUM;APP;COL5A2;S100A4;VCAN;TNFRSF21;VEGFA;FSTL1;POSTN;STC1;NRP1;VAV2;LRPAP1;ITGAV;THBD;KCNJ8;JAG2;SPP1;CCND2;PDGFA;PTK2;SLCO2A1;OLR1;JAG1	MSigDB_Hallmark_2020	True
prerank	Citrate cycle (TCA cycle)	0.7235473044516895	4.120874480091917	0.0	0.0	0.0	22/30	11.03%	IDH2;MDH2;ACLY;IDH1;SUCLG2;SDHC;IDH3G;FH;SDHB;CS;IDH3B;OGDH;SDHD;ACO1;DLST;PDHA1;PCK2;MDH1;DLD;SUCLG1;DLAT;PDHB	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6368296420367267	4.100998002445104	0.0	0.0	0.0	46/70	18.29%	CCL5;ATP6V1F;RAC1;ATP6V0E1;NFKBIA;TCIRG1;ATP6V0B;ATP6AP1;F11R;ATP6V1E1;CSK;ATP6V1G1;GIT1;PLCG1;LYN;RELA;PTPN11;JUN;CXCL2;CXCL1;CASP3;PAK1;ATP6V1H;MET;ATP6V1A;ATP6V0D1;SRC;ATP6V1B2;IKBKB;MAPK13;ATP6V1C1;MAPK14;ATP6V1D;CDC42;CXCL8;MAP2K4;NFKB1;MAPK9;ATP6V0E2;MAPK11;HBEGF;ADAM10;ATP6V0A1;TJP1;CHUK;PLCG2	KEGG_2021_Human	False
