Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.7912941065623841	5.398584109642148	0.0	0.0	0.0	87/97	16.15%	CD74;HLA-C;B2M;IFITM3;LY6E;LGALS3BP;TXNIP;ISG15;BST2;PSME1;IFI27;LAMP3;IFITM1;IFITM2;UBE2L6;ADAR;IFIT3;IFI44;IRF7;PSMB8;CXCL10;IFI35;TAP1;WARS1;CD47;C1S;PSME2;MX1;LAP3;PSMA3;TRIM26;STAT2;IFIT2;TRIM21;PARP14;CMTR1;PLSCR1;IL4R;UBA7;OAS1;PSMB9;SLC25A28;DDX60;GBP4;NCOA7;IRF2;DHX58;SAMD9L;ELF1;OGFR;TRAFD1;NUB1;IFI44L;PARP12;PARP9;CNP;GBP2;CXCL11;HERC6;OASL;TMEM140;TRIM14;IFIH1;EIF2AK2;MOV10;NMI;RSAD2;CASP1;TRIM25;RTP4;CSF1;TRIM5;HELZ2;GMPR;USP18;CMPK2;TENT5A;EPSTI1;MVB12A;PROCR;RIPK2;IRF1;PNPT1;SAMD9;LPAR6;TDRD7;SP110	MSigDB_Hallmark_2020	True
prerank	Adherens junction	0.6904578967716114	5.1916659250459425	0.0	0.0	0.0	65/71	26.42%	ACTB;ACTG1;RAC1;RHOA;ACTN4;CTNNA1;TGFBR2;CDH1;PTPRF;NECTIN2;LMO7;WASF2;IQGAP1;ERBB2;CTNNB1;MAPK3;PTPN1;NECTIN4;MAPK1;TJP1;ACTN1;VCL;RAC2;PTPN6;EGFR;WASL;AFDN;SRC;CDC42;ACP1;EP300;CREBBP;PTPRM;YES1;MET;PTPRB;TGFBR1;SMAD3;WAS;PARD3;RAC3;NLK;TCF7L1;PTPRJ;INSR;TCF7L2;IGF1R;MAP3K7;BAIAP2;SMAD4;FYN;FGFR1;NECTIN1;SORBS1;SNAI1;SNAI2;CSNK2B;CSNK2A1;WASF3;WASF1;FARP2;CTNND1;FER;NECTIN3;CSNK2A2	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6844529955589533	5.07962409710797	0.0	0.0	0.0	87/100	27.08%	AGER;EGR1;FN1;JUN;RAC1;COL1A2;TGFBR2;MMP2;ICAM1;COL3A1;VEGFD;CYBB;COL1A1;VEGFB;CDKN1B;COL4A1;CCND1;STAT3;COL4A2;DIAPH1;MAPK3;VEGFA;STAT1;THBD;PRKCD;MAPK13;MAPK1;EDN1;F3;CCL2;AKT1;HRAS;RELA;TGFB1;BAX;CASP3;CXCL8;MAPK14;STAT5B;NRAS;CDC42;PIM1;PLCG1;NFKB1;PIK3R1;AKT2;STAT5A;TGFBR1;PLCB3;CDK4;SMAD3;AGT;PIK3R3;COL4A3;SERPINE1;TGFB2;MAPK9;KRAS;COL4A4;FOXO1;PLCD1;PLCB4;PLCB2;SMAD4;PIK3CB;MAPK11;PRKCZ;VEGFC;COL4A5;PIK3CD;JAK2;PLCD3;PRKCA;MAPK8;AKT3;TNF;PLCE1;PRKCE;AGTR1;TGFB3;SMAD2;NFATC1;IL1B;NOS3;PLCG2;PIK3CA;PRKCB	KEGG_2021_Human	False
prerank	Pertussis	0.6855092507708451	5.061344350291709	0.0	0.0	0.0	58/76	23.04%	SFTPA2;SFTPA1;FOS;C1QB;C1QC;C1QA;JUN;RHOA;CFL1;SERPING1;CALML5;C3;CALM1;CALM2;GNAI2;CD14;C4BPA;C1S;IRAK1;C1R;MAPK3;LY96;CALM3;MYD88;ITGB1;MAPK13;MAPK1;ITGB2;RELA;CASP7;CASP3;CXCL8;MAPK14;C2;IRF3;ITGA5;NFKB1;CASP1;CFL2;ITGAM;C4B;GNAI3;TICAM1;PYCARD;IRF8;IRF1;MAPK9;MAPK11;NOD1;IRAK4;C5;CXCL5;TLR4;C4A;MAPK8;CXCL6;TRAF6;TNF	KEGG_2021_Human	False
prerank	Toxoplasmosis	0.684134162812518	5.058742005659394	0.0	0.0	0.0	86/110	23.45%	HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA8;HLA-DQB1;HLA-DMA;HLA-DQA1;HLA-DPA1;HLA-DPB1;NFKBIA;LAMB2;GNAI2;HSPA1A;IFNGR1;ALOX5;HSPA1B;IRAK1;HLA-DOA;BCL2L1;LAMC1;STAT3;MAPK3;LY96;TNFRSF1A;LAMB3;STAT1;HLA-DMB;MYD88;LAMA5;ITGB1;MAPK13;MAPK1;IFNGR2;LAMC2;CYCS;AKT1;PPIF;MAP2K3;RELA;TGFB1;TAB2;ITGA6;CASP3;MAPK14;TYK2;LAMA3;LAMA4;BIRC2;LDLR;NFKBIB;JAK1;HLA-DQA2;NFKB1;TLR2;CD40;LAMB1;AKT2;XIAP;TAB1;GNAI3;TGFB2;IL10RA;MAPK9;IKBKB;PDPK1;MAP3K7;HSPA2;CIITA;MAPK11;LAMC3;CASP8;BIRC3;HSPA6;CHUK;IRAK4;JAK2;BAD;TLR4;PIK3R5;MAPK8;AKT3;LAMA2;TRAF6;SOCS1;TNF;CASP9	KEGG_2021_Human	False
prerank	ECM-receptor interaction	0.5744678311345367	4.8802656047456825	0.0	0.0	0.0	50/88	20.49%	FN1;SDC4;SDC1;VWF;COL6A2;NPNT;COL1A2;LAMB2;COL6A1;CD44;ITGA3;CD47;COL1A1;DAG1;COL4A1;LAMC1;COL4A2;LAMB3;AGRN;HSPG2;LAMA5;ITGB1;COL6A3;CD36;SPP1;ITGB5;LAMC2;ITGB6;ITGA8;ITGAV;ITGA6;ITGB4;LAMA3;LAMA4;ITGA5;LAMB1;COL6A6;TNXB;THBS1;TNC;COL4A3;ITGA1;THBS3;ITGA2;COL4A4;COL9A2;LAMC3;COL4A5;ITGA9;FRAS1	KEGG_2021_Human	False
prerank	Apoptosis	0.7237520767887325	4.826462218539321	0.0	0.0	0.0	130/160	20.12%	IFITM3;TXNIP;CAV1;TIMP3;LGALS3;SAT1;LUM;APP;JUN;GPX1;HSPB1;RHOB;KRT18;GPX3;BGN;BTG2;H1-0;MCL1;PPT1;PEA15;GPX4;TIMP1;BCAP31;TIMP2;SOD1;ANXA1;DNAJA1;DCN;TSPO;CLU;CDC25B;MMP2;DAP;TNFSF10;LMNA;CD14;IFNGR1;GSN;CD44;TAP1;ATF3;GADD45B;BNIP3L;HMOX1;GSR;ETF1;TNFRSF12A;ERBB2;CDKN1B;HMGB2;BCL2L1;CCND1;CTNNB1;CDKN1A;DNAJC3;SQSTM1;EMP1;SPTAN1;PDGFRB;ERBB3;ADD1;BTG3;RHOT2;RARA;DAP3;RELA;NEDD9;IER3;BCL2L2;RETSAT;PDCD4;BAX;CASP7;CASP3;TOP2A;VDAC2;PSEN1;CREBBP;GADD45A;SC5D;CASP1;PTK2;CASP6;CASP4;IGF2R;PPP3R1;CFLAR;BMF;TGFBR3;XIAP;MADD;DDIT3;PAK1;SMAD7;F2R;CASP2;IL18;EBP;DNM1L;PPP2R5B;PMAIP1;CD2;ENO2;GCH1;TGFB2;SLC20A1;IRF1;WEE1;ROCK1;CCND2;PLAT;BCL10;CD69;PLCB2;DFFA;BIK;ANKH;BMP2;GNA15;CASP8;BIRC3;CDK2;MGMT;BCL2L11;IGFBP6;BID;CYLD;DPYD;FAS;CD38	MSigDB_Hallmark_2020	False
prerank	Glioma	0.662414378002187	4.813771824540335	0.0	0.0	0.0	62/75	27.08%	CALML5;CALM1;CALM2;GRB2;GADD45B;CCND1;ARAF;MAPK3;CDKN1A;CALM3;MAPK1;PDGFRB;E2F1;SHC1;AKT1;HRAS;EGFR;BAX;PDGFB;MAP2K2;NRAS;MAP2K1;PLCG1;GADD45A;SOS2;PIK3R1;AKT2;BAK1;CAMK2G;CDK4;PTEN;CAMK2D;PIK3R3;TP53;E2F3;PDGFRA;PDGFA;SOS1;KRAS;RB1;IGF1R;MTOR;PIK3CB;SHC2;DDB2;RAF1;MDM2;GADD45G;CAMK1D;PIK3CD;TGFA;CDK6;PRKCA;AKT3;SHC3;CDKN2A;POLK;PLCG2;PIK3CA;E2F2;EGF;PRKCB	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7162361812845562	4.7480710569222255	0.0	0.0	0.0	73/76	26.58%	NFKBIA;TGFBR2;GRB2;GADD45B;CDKN1B;BCL2L1;CCND1;ARAF;MAPK3;CDKN1A;MAPK1;CRK;HDAC1;E2F1;SHC1;AKT1;PTPN11;HRAS;RELA;TGFB1;ABL1;BAX;STAT5B;MAP2K2;CRKL;NRAS;MAP2K1;GADD45A;NFKB1;SOS2;PIK3R1;AKT2;BAK1;STAT5A;TGFBR1;CTBP1;CDK4;GAB2;MYC;SMAD3;PIK3R3;TP53;E2F3;TGFB2;BCR;MECOM;SOS1;IKBKB;KRAS;RUNX1;RB1;CTBP2;SMAD4;HDAC2;PIK3CB;SHC2;DDB2;CBL;RAF1;MDM2;GADD45G;PIK3CD;CHUK;BAD;CDK6;AKT3;SHC3;TGFB3;CDKN2A;IKBKG;POLK;PIK3CA;E2F2	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7875505077645604	4.634864137260218	0.0	0.0	0.0	50/54	18.25%	JUNB;RHOA;ID1;ID3;SPTBN1;CDH1;ENG;PPP1R15A;LTBP2;FKBP1A;FURIN;CTNNB1;ID2;KLF10;PPP1CA;UBE2D3;TGIF1;CDK9;SKI;RAB31;IFNGR2;HDAC1;TJP1;NCOR2;TGFB1;WWTR1;PMEPA1;BMPR2;SKIL;CDKN1C;TGFBR1;XIAP;SMAD7;THBS1;ACVR1;SMURF2;SMAD3;SMURF1;PPM1A;SMAD1;SERPINE1;SLC20A1;ARID4B;TRIM33;MAP3K7;HIPK2;BCAR3;BMP2;FNTA;APC	MSigDB_Hallmark_2020	True
