Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Androgen Response	0.6988523589280589	5.964826055230044	0.0	0.0	0.0	84/100	22.40%	B2M;KRT19;SAT1;H1-0;KRT8;ITGAV;B4GALT1;DHCR24;XRCC6;MYL12A;PMEPA1;SCD;XRCC5;TMEM50A;ACTN1;ELOVL5;NCOA4;NDRG1;SLC38A2;DBI;CCND1;LMAN1;UBE2J1;PA2G4;DNAJB9;ADRM1;SPCS3;TSC22D1;SMS;UAP1;STK39;GSR;SRF;CCND3;ABHD2;VAPA;PTK2B;ACSL3;PDLIM5;ZMIZ1;CAMKK2;ANKH;PLPP1;TPD52;HSD17B14;SEC24D;SPDEF;INSIG1;MAF;AZGP1;RRP12;TMPRSS2;GNAI3;AKT1;HMGCS1;RPS6KA3;SGK1;UBE2I;GPD1L;IDI1;ELL2;HPGD;FKBP5;ELK4;RAB4A;ARID5B;TNFAIP8;APPBP2;SELENOP;GUCY1A1;HMGCR;MAP7;LIFR;PGM3;ZBTB10;FADS1;MERTK;INPP4B;ABCC4;STEAP4;ADAMTS1;CDK6;NGLY1;PIAS1	MSigDB_Hallmark_2020	False
prerank	Interferon Alpha Response	0.8037761901609649	5.14341212480277	0.0	0.0	0.0	87/97	14.84%	CD74;HLA-C;B2M;IFITM3;LGALS3BP;LY6E;BST2;TXNIP;ISG15;C1S;PSME1;IFI27;IFITM2;IFI44;IFITM1;IRF7;UBE2L6;PSME2;CXCL10;IFI35;STAT2;PSMA3;ADAR;TAP1;LAP3;NCOA7;CD47;WARS1;PARP14;SELL;UBA7;IFIT3;PSMB8;MX1;LAMP3;TRAFD1;SLC25A28;PSMB9;IL4R;OAS1;PLSCR1;TRIM21;OGFR;CNP;PARP9;SAMD9L;ELF1;TRIM26;TRIM14;PARP12;IRF2;IFI44L;CMTR1;NUB1;PROCR;GBP4;CSF1;GBP2;IFIH1;MOV10;DHX58;RIPK2;EPSTI1;HELZ2;IRF1;RSAD2;NMI;MVB12A;IFIT2;CASP8;DDX60;CASP1;CXCL11;SAMD9;LPAR6;USP18;EIF2AK2;RTP4;OASL;PNPT1;HERC6;TMEM140;TRIM5;TDRD7;SP110;CMPK2;BATF2	MSigDB_Hallmark_2020	True
prerank	Cell cycle	0.6790942957660417	4.9810201436841215	0.0	0.0	0.0	108/124	27.22%	SFN;YWHAZ;YWHAG;YWHAQ;YWHAE;YWHAH;PCNA;HDAC1;CDKN1A;YWHAB;TGFB1;GADD45B;MCM7;RAD21;CCND1;CDC25B;MCM3;CDKN1B;ANAPC13;CDC20;E2F4;TFDP1;ABL1;ANAPC11;GADD45A;PTTG1;CDC16;CUL1;CCND3;RBX1;CREBBP;ANAPC2;CDK4;ANAPC5;CCNB1;MCM6;CDC27;RBL2;MCM5;STAG2;MYC;SMAD3;SMC3;ANAPC7;PRKDC;E2F1;EP300;BUB3;FZR1;CCND2;TP53;SMC1A;TGFB3;ZBTB17;RB1;GADD45G;CDC23;CDK7;CDC6;MAD2L2;SKP1;CDC26;MCM4;CDK1;ORC2;CCNA2;ORC3;CDK2;WEE1;MCM2;BUB1;CCNB2;CDKN2D;MDM2;ORC5;PKMYT1;HDAC2;E2F3;MAD2L1;PLK1;ANAPC4;CDKN2C;CDKN1C;ATM;CHEK2;SMAD4;CDK6;DBF4;CCNE1;TFDP2;STAG1;GSK3B;ORC4;TGFB2;CDC45;RBL1;CDKN2B;CHEK1;CDC7;TTK;CDC14B;ORC1;ORC6;CCNH;BUB1B;SKP2;E2F5;ESPL1	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7019306065607316	4.904277506596246	0.0	0.0	0.0	48/70	17.41%	HLA-DRA;CD74;HLA-DRB1;HLA-B;HLA-C;B2M;HLA-DRB5;HLA-A;HSP90AB1;HLA-E;CALR;HSPA5;HSPA8;TAPBP;CANX;CTSB;HLA-DPA1;PSME1;PDIA3;HSP90AA1;HLA-DQB1;HLA-DPB1;HLA-DMA;HLA-DQA1;LGMN;PSME2;CTSS;HSPA1B;HSPA1A;TAP1;CD4;HLA-F;HLA-DOA;PSME3;HLA-DMB;CTSL;HSPA4;RFX5;RFXANK;NFYC;TAP2;NFYA;NFYB;HSPA6;HLA-DOB;CIITA;CD8A;HLA-G	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6604121598365177	4.781309520047688	0.0	0.0	0.0	92/100	31.47%	COL1A1;COL3A1;COL1A2;FN1;MMP2;RAC1;EGR1;JUN;ICAM1;STAT1;COL4A1;VEGFA;COL4A2;DIAPH1;VEGFB;CCL2;PRKCD;STAT3;TGFB1;BAX;CYBB;CCND1;PIM1;CDKN1B;TGFBR2;VCAM1;HRAS;SERPINE1;RELA;MAPK1;CXCL8;AGER;NRAS;MAPK3;EDN1;STAT5B;F3;MAPK13;NFKB1;CDK4;PLCG1;CASP3;MAPK14;PIK3CD;CDC42;PLCB2;PLCB3;SMAD3;STAT5A;AKT2;TGFBR1;AKT1;TGFB3;VEGFC;THBD;KRAS;PIK3CB;MAPK11;MAPK9;FOXO1;PRKCA;PLCD1;PLCG2;PLCD3;IL1B;PIK3R1;JAK2;IL6;SMAD4;PRKCB;NFATC1;PIK3R3;COL4A3;PLCB4;TGFB2;MAPK8;COL4A4;BCL2;TNF;PIK3CA;AKT3;IL1A;NOS3;PLCB1;SMAD2;NOX4;PRKCE;PLCE1;VEGFD;COL4A5;NOX1;PRKCZ	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6658866743682575	4.691026042475912	0.0	0.0	0.0	71/87	25.22%	A2M;CXCL13;TNFRSF12A;JUN;SOCS3;STAT1;TNFRSF21;CXCL9;LTB;CXCL10;OSMR;CD14;STAT2;GRB2;TNFRSF1A;CD9;CD44;IFNGR2;IL13RA1;STAT3;TGFB1;IFNGR1;PTPN1;CXCL1;IL6ST;HAX1;PIM1;TNFRSF1B;IL1R1;IL4R;TYK2;MYD88;PTPN11;LTBR;BAK1;HMOX1;IFNAR1;CSF1;IL2RG;IRF1;FAS;PDGFC;CSF2RB;ACVR1B;IL15RA;CXCL11;IL3RA;TLR2;CCR1;ACVRL1;ITGB3;PTPN2;SOCS1;STAM2;IL17RA;CSF3R;EBI3;CSF2RA;MAP3K8;CBL;IL1B;ITGA4;IL6;IRF9;IL12RB1;CXCL3;CD38;IL18R1;PIK3R5;IL2RA;IL17RB	MSigDB_Hallmark_2020	False
prerank	ECM-receptor interaction	0.5994120615701551	4.479044003196444	0.0	0.0	0.0	39/88	10.91%	COL1A1;COL1A2;FN1;COL6A2;COL6A1;LAMC2;SDC4;LAMB3;SDC1;ITGA3;COL6A3;ITGB6;SPP1;ITGAV;TNC;COL4A1;LAMC1;AGRN;COL4A2;THBS1;THBS2;ITGB5;CD47;ITGB4;DAG1;CD44;LAMB2;LAMA5;HSPG2;ITGA5;VWF;COMP;ITGB1;ITGA11;LAMB1;ITGA6;ITGA2;COL9A2;LAMA4	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.6807332286293359	4.465124366129474	0.0	0.0	0.0	87/101	27.10%	PLAU;CCL19;NFKBIA;ICAM1;CCL21;IRAK1;LTB;CD14;NFKB2;TNFRSF1A;CXCL2;GADD45B;CD40;CXCL1;BCL2L1;LY96;BIRC3;CARD11;TNFAIP3;IL1R1;CCL13;VCAM1;MYD88;LTBR;RELA;RELB;CXCL8;SYK;TAB2;GADD45A;TRADD;BIRC2;LYN;TRAF1;NFKB1;LCK;TRAF2;PLCG1;CXCL12;CFLAR;XIAP;TICAM1;ZAP70;TNFRSF13C;PIDD1;BCL2A1;TNFSF13B;MAP3K7;MAP3K14;UBE2I;PARP1;IKBKB;CCL4;GADD45G;PTGS2;TRAF5;TAB1;CYLD;BTK;IRAK4;PIAS4;BCL10;TRIM25;CCL4L2;RIPK1;CARD10;TRAF3;PLCG2;IL1B;ATM;CHUK;ERC1;LTA;BLNK;PRKCB;CD40LG;CXCL3;CSNK2A1;MALT1;IKBKG;CSNK2B;CSNK2A2;TRAF6;BCL2;TNF;PRKCQ;TAB3	KEGG_2021_Human	False
prerank	Colorectal cancer	0.6956789745227804	4.386231070089556	0.0	0.0	0.0	80/86	27.96%	FOS;RAC1;RHOA;JUN;AREG;RAC2;EREG;GRB2;CDKN1A;CTNNB1;TGFB1;GADD45B;RALB;BAX;RALA;CCND1;ARAF;CYCS;TGFBR2;HRAS;MAP2K2;MAPK1;NRAS;BAK1;MAPK3;GADD45A;BIRC5;MAP2K1;CASP3;EGFR;AXIN1;TGFA;PIK3CD;MYC;SMAD3;AKT2;DDB2;TGFBR1;PMAIP1;TP53;APPL1;AKT1;TGFB3;RPS6KB1;SOS2;RPS6KB2;GADD45G;TCF7L1;KRAS;PIK3CB;SOS1;MAPK9;BBC3;BCL2L11;RAC3;MSH6;TCF7L2;BAD;RAF1;TCF7;MTOR;PIK3R1;LEF1;MLH1;SMAD4;GSK3B;PIK3R3;TGFB2;MSH2;MAPK8;CASP9;AXIN2;BCL2;EGF;PIK3CA;MSH3;RALGDS;AKT3;APC;POLK	KEGG_2021_Human	False
prerank	Neurotrophin signaling pathway	0.6394275182433888	4.373931359896635	0.0	0.0	0.0	93/119	27.86%	RAC1;RHOA;ARHGDIB;JUN;ATF4;NFKBIA;YWHAE;IRAK1;CALM2;ARHGDIA;MAPKAPK2;CALM1;GRB2;MAGED1;CALM3;SHC1;PRKCD;BAX;BEX3;HRAS;RAPGEF1;PTPN11;MAP2K2;RELA;MAPK1;NFKBIE;ABL1;NRAS;MAPK3;CRKL;MAP2K1;MAPK13;NFKB1;RPS6KA1;RAP1A;PLCG1;NFKBIB;RIPK2;MAPK14;PIK3CD;CDC42;CRK;RPS6KA2;SH2B1;CAMK2D;AKT2;CAMK2G;SH2B3;PSEN1;TP53;MAP3K1;AKT1;SHC2;RPS6KA3;MAP2K7;SOS2;IKBKB;PRDM4;MAP3K3;FOXO3;MAP3K5;SORT1;KRAS;PIK3CB;IRAK4;MAPK7;SOS1;MAPK11;MAPK9;KIDINS220;BAD;ZNF274;RAF1;PLCG2;PIK3R1;PDPK1;FRS2;IRAK2;GSK3B;SH2B2;IRS1;PIK3R3;MAP2K5;RAP1B;GAB1;MAPK8;TRAF6;BCL2;PIK3CA;MATK;AKT3;IRAK3;NTF4	KEGG_2021_Human	False
