Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Mitophagy	0.7007711145000928	5.541809316517206	0.0	0.0	0.0	59/68	23.02%	UBC;RPS27A;HIF1A;TOMM7;UBA52;ATF4;JUN;UBB;SQSTM1;RAB7A;FIS1;TAX1BP1;RRAS;RAB7B;CITED2;OPTN;BCL2L1;TFE3;BNIP3L;RHOT2;PGAM5;RELA;HRAS;NBR1;SRC;NRAS;SP1;BNIP3;GABARAPL2;ULK1;CALCOCO2;MFN2;KRAS;TP53;FUNDC1;BECN1;E2F1;MFN1;ATG9A;GABARAPL1;TBC1D17;BCL2L13;MAPK9;RRAS2;AMBRA1;ATG9B;RHOT1;ATG5;EIF2AK3;MAPK8;CSNK2A1;TBC1D15;TFEB;FOXO3;PINK1;USP15;TBK1;USP30;CSNK2B	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7142474309088032	5.206629785249401	0.0	0.0	0.0	68/76	23.84%	NFKBIA;CDKN1A;CCND1;GRB2;GADD45B;MYC;BAX;SHC1;GADD45A;HDAC1;TGFB1;MAP2K2;CRKL;TGFBR2;ARAF;BCL2L1;PTPN11;MAPK1;CDK4;RELA;HRAS;CDKN1B;MAP2K1;CRK;NRAS;ABL1;MAPK3;BAK1;NFKB1;STAT5B;KRAS;GADD45G;TP53;E2F3;PIK3CD;E2F1;CTBP1;AKT1;BCR;SHC2;RUNX1;RB1;PIK3CB;TGFBR1;IKBKB;AKT2;RAF1;MDM2;STAT5A;DDB2;HDAC2;SOS2;SOS1;GAB2;SMAD3;CBL;CHUK;BAD;CTBP2;SMAD4;PIK3R1;TGFB3;SHC3;MECOM;POLK;PIK3R3;IKBKG;E2F2	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7019233056430696	5.184430736485851	0.0	0.0	0.0	63/74	26.35%	HLA-DRA;HLA-DRB1;HLA-DRB5;EEF1A1;NFKBIA;MARCKSL1;HLA-DPA1;FOS;HLA-DQB1;C3;STAT1;HLA-DPB1;HLA-DMA;JUN;HLA-DQA1;ITGB1;FCGR3A;IRAK1;ITGB2;CYBB;MYD88;IFNGR1;IFNGR2;CYBA;TGFB1;MAPK13;MAPK1;RELA;HLA-DOA;PTPN6;HLA-DMB;MAPK3;NFKB1;ELK1;JAK1;NCF2;MAPK14;TAB2;FCGR2A;NCF4;TLR2;NFKBIB;PTGS2;ITGAM;IRAK4;IL1A;MAPK11;TAB1;FCGR2C;MAP3K7;TGFB3;JAK2;IL1B;FCGR1A;HLA-DQA2;PRKCB;ITGA4;IFNG;HLA-DOB;TRAF6;TLR4;TNF;NCF1	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6788739543592996	5.142682355262441	0.0	0.0	0.0	49/70	18.50%	RAC1;NFKBIA;CXCL2;ATP6V0E1;MET;ATP6V1F;CCL5;JUN;LYN;CXCL1;TCIRG1;ATP6V0B;EGFR;ATP6V1E1;ATP6V1G1;F11R;CXCL8;ATP6AP1;MAPK13;PTPN11;GIT1;CSK;RELA;ATP6V1A;ATP6V1H;SRC;ATP6V1C1;PAK1;ATP6V1B2;HBEGF;NFKB1;CASP3;CDC42;MAPK14;ATP6V0D1;ATP6V1D;PLCG1;TJP1;IKBKB;MAPK9;CXCL3;ADAM10;MAP2K4;ATP6V0A1;MAPK11;CHUK;NOD1;ADAM17;MAPK8	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7406073253968026	5.034240041243315	0.0	0.0	0.0	42/70	7.67%	HLA-DRA;HLA-DRB1;CD74;HLA-C;HLA-B;HLA-DRB5;HSP90AB1;HLA-A;B2M;CALR;HLA-E;HSPA5;HSPA8;CTSB;HSP90AA1;PSME1;HLA-DPA1;HLA-DQB1;CANX;PDIA3;TAPBP;CTSS;HLA-DPB1;HLA-DMA;PSME2;TAP1;HSPA1B;HLA-DQA1;LGMN;CD4;HSPA4;PSME3;HSPA1A;CTSL;HLA-F;NFYA;HLA-DOA;TAP2;HLA-DMB;RFX5;RFXANK;CD8A	KEGG_2021_Human	False
prerank	Thyroid hormone signaling pathway	0.5731799681525748	5.017975278255774	0.0	0.0	0.0	83/121	22.68%	ACTB;ACTG1;HIF1A;CTNNB1;STAT1;CCND1;PFKP;ATP1B1;ATP1B3;NOTCH3;ATP2A2;MYC;ITGAV;SLC2A1;HDAC1;RHEB;MAP2K2;MAPK1;ATP1A1;KAT2A;MED14;PLCB3;HRAS;PFKL;MAP2K1;SRC;MED24;NRAS;MAPK3;MED16;RXRB;HDAC3;NOTCH1;SLC9A1;KRAS;PRKACA;RXRA;TP53;NOTCH2;PIK3CD;PRKCA;AKT1;NCOA3;PLCG1;ATP2A3;EP300;MED4;PIK3CB;MED12;MED30;MED1;AKT2;KAT2B;MED13;PFKM;RAF1;PLCD1;MDM2;NCOA2;CREBBP;HDAC2;PLCB2;MTOR;NCOR1;TSC2;RCAN1;MED27;SIN3A;TBC1D4;BAD;NCOA1;SLC16A2;RCAN2;PIK3R1;NOTCH4;PFKFB2;PDPK1;GSK3B;THRA;PRKACB;PIK3R3;CASP9;MED13L	KEGG_2021_Human	False
prerank	Autophagy	0.6317579558933926	5.009560565669357	0.0	0.0	0.0	110/136	23.19%	VAMP8;CTSB;CTSD;HIF1A;RAB1A;VMP1;RRAGA;SQSTM1;LAMP1;RAB7A;PRKCD;RRAS;DDIT4;RAB7B;CTSL;RHEB;HMGB1;MAP2K2;IGBP1;PPP2CA;BCL2L1;MAPK1;HRAS;WIPI2;LAMP2;PPP2CB;MAP2K1;NRAS;SH3GLB1;MAPK3;DAPK3;BNIP3;GABARAPL2;MTMR14;ULK1;CAMKK2;EIF2S1;KRAS;PRKACA;ATG13;NRBF2;BECN1;PIK3CD;AKT1S1;CFLAR;AKT1;TANK;ATG16L1;RPS6KB2;ATG9A;RB1CC1;TP53INP2;GABARAPL1;PIK3CB;PRKAA1;ATG3;AKT2;RPS6KB1;MTMR4;ATG4B;MAPK9;RAF1;WIPI1;ATG2A;ATG4A;STK11;SNAP29;PTEN;MTOR;MLST8;RRAS2;TSC2;RPTOR;PIK3R4;AMBRA1;ATG12;STX17;ATG4D;ATG9B;ATG101;DAPK1;ERN1;BAD;ATG5;EIF2AK3;MAP3K7;SMCR8;ATG7;ATG14;EIF2AK4;SUPT20H;MAPK8;RRAGD;ATG4C;PIK3R1;RRAGC;RAB8A;ZFYVE1;WDR41;PDPK1;RRAGB;DEPTOR;ATG16L2;PRKACB;ULK2;TSC1;PIK3R3;TBK1;UVRAG;IRS1	KEGG_2021_Human	False
prerank	Colorectal cancer	0.7036462129969742	4.970013772932075	0.0	0.0	0.0	71/86	22.90%	AREG;RAC1;RHOA;FOS;CDKN1A;CTNNB1;CCND1;RALB;GRB2;JUN;RAC2;GADD45B;RALA;CYCS;MYC;EGFR;BAX;GADD45A;EREG;PMAIP1;TGFB1;MAP2K2;TGFBR2;ARAF;MAPK1;HRAS;BIRC5;MAP2K1;NRAS;MAPK3;BAK1;CASP3;KRAS;GADD45G;TP53;PIK3CD;AKT1;AXIN1;APPL1;RPS6KB2;PIK3CB;TGFBR1;AKT2;RPS6KB1;MAPK9;MSH6;RAF1;DDB2;RAC3;MTOR;BCL2L11;SOS2;SOS1;SMAD3;BBC3;MLH1;BAD;MAPK8;MSH2;SMAD4;TCF7L2;PIK3R1;TGFB3;TCF7L1;MSH3;GSK3B;POLK;APC;PIK3R3;CASP9;RALGDS	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7578285504684077	4.442030605768512	0.0	0.0	0.0	36/48	11.49%	FTL;TXN;TXNRD1;PRDX6;GPX4;PRDX1;JUNB;GPX3;PDLIM1;NQO1;NDUFB4;G6PD;SOD1;PRDX2;PRDX4;PFKP;PTPA;MGST1;SBNO2;PRNP;NDUFA6;GSR;STK25;CAT;NDUFS2;OXSR1;LAMTOR5;SELENOS;GLRX;HMOX2;GCLM;ABCC1;LSP1;FES;SCAF4;ATOX1	MSigDB_Hallmark_2020	False
prerank	Acute myeloid leukemia	0.6608344961161101	4.3643334068846205	0.0	0.0	0.0	53/67	23.52%	DUSP6;EIF4EBP1;CD14;JUP;CCND1;GRB2;MYC;SPI1;CSF1R;CSF2;STAT3;MAP2K2;PPARD;ARAF;MAPK1;RELA;HRAS;PIM1;MAP2K1;NRAS;PML;MAPK3;NFKB1;PIM2;STAT5B;BCL2A1;KRAS;PIK3CD;RARA;AKT1;RUNX1;RPS6KB2;CCNA2;PIK3CB;IKBKB;AKT2;RPS6KB1;ITGAM;RAF1;STAT5A;MTOR;SOS2;SOS1;CHUK;BAD;PER2;TCF7L2;PIK3R1;TCF7L1;PIK3R3;FCGR1A;CEBPA;IKBKG	KEGG_2021_Human	False
