Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Legionellosis	0.657125978428482	5.2087123593907165	0.0	0.0	0.0	39/57	20.43%	ARF1;EEF1A1;NFKBIA;CXCL2;C3;CXCL1;HSPA8;HSPA1A;HSPA1B;HSPD1;RAB1A;CD14;RAB1B;VCP;CXCL8;CLK1;HSF1;NFKB2;BNIP3;SAR1A;RELA;CASP7;CYCS;IL6;MYD88;ITGB2;CASP3;PYCARD;NFKB1;CASP1;IL18;CXCL3;CASP8;BCL2L13;SAR1B;CLK4;HSPA6;TLR2;SEC22B	KEGG_2021_Human	False
prerank	Angiogenesis	0.7611229572063127	5.110683687454212	0.0	0.0	0.0	29/36	18.76%	TIMP1;COL3A1;LUM;S100A4;APP;LPL;TNFRSF21;FSTL1;POSTN;VEGFA;COL5A2;LRPAP1;STC1;THBD;SLCO2A1;JAG2;FGFR1;NRP1;VAV2;ITGAV;VCAN;PDGFA;KCNJ8;PTK2;OLR1;CCND2;APOH;SPP1;JAG1	MSigDB_Hallmark_2020	True
prerank	Thyroid cancer	0.7709495575808554	5.032112537153181	0.0	0.0	0.0	30/37	17.72%	GADD45B;GADD45G;CDKN1A;BAX;GADD45A;MAP2K2;HRAS;CDH1;NCOA4;TPM3;CTNNB1;MAPK3;RXRB;CCND1;MAPK1;CCDC6;MYC;TP53;NRAS;BAK1;MAP2K1;TPR;KRAS;TCF7L1;TFG;RET;RXRA;DDB2;TCF7L2;LEF1	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7136848712570244	4.961520145982458	0.0	0.0	0.0	48/74	17.01%	HLA-DRA;HLA-DRB1;HLA-DRB5;EEF1A1;NFKBIA;MARCKSL1;FOS;C3;CYBA;HLA-DMA;HLA-DPB1;JUN;HLA-DPA1;HLA-DQB1;IRAK1;IFNGR2;NFKBIB;IFNGR1;HLA-DQA2;MAPK3;STAT1;PTPN6;RELA;HLA-DQA1;TGFB1;HLA-DOA;FCGR3A;MAPK13;MAPK1;MYD88;ITGB2;ITGB1;JAK1;ELK1;HLA-DMB;MAPK11;CYBB;NCF4;TAB2;TAB1;NFKB1;PTGS2;NCF2;MAPK14;FCGR2A;TGFB3;MAP3K7;IRAK4	KEGG_2021_Human	False
prerank	Bladder cancer	0.7306378450677968	4.901116178350567	0.0	0.0	0.0	27/41	11.47%	CDKN1A;MMP2;TYMP;THBS1;MAP2K2;HRAS;CDH1;ARAF;CXCL8;MAPK3;VEGFA;DAPK3;ERBB2;SRC;HBEGF;CCND1;MAPK1;RASSF1;MYC;TP53;MMP9;NRAS;DAPK1;MAP2K1;CDK4;E2F1;KRAS	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6466549540517676	4.7390658870967854	0.0	0.0	0.0	44/58	23.34%	GADD45B;GADD45G;CDKN1A;BAX;GADD45A;MAP2K2;CTNNA1;HRAS;GRB2;CDH1;ARAF;CTNNB1;MAPK3;ERBB2;CCND1;MAPK1;MYC;TP53;NRAS;BAK1;ELK1;MAP2K1;BAD;KRAS;TCF7L1;AKT2;AKT1;AXIN1;PIK3R3;PIK3CD;FOXO3;PTEN;DDB2;TCF7L2;LEF1;SOS1;SOS2;PIK3R1;PIK3CB;MLH1;EGFR;CASP9;RAF1;AXIN2	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.6673842335594709	4.383981152107668	0.0	0.0	0.0	63/73	27.70%	SFN;GADD45B;GADD45G;CDKN1A;BAX;EI24;GADD45A;SHISA5;THBS1;BCL2L1;TNFRSF10B;SERPINE1;PERP;IGFBP3;TP53I3;CCNG1;CCNB1;CCND1;CYCS;CCND3;TP53;SIVA1;COP1;AIFM2;CDK4;CASP3;CD82;CDK1;PMAIP1;CCNB2;TNFRSF10A;SESN2;CHEK2;CDK2;MDM4;RRM2B;STEAP3;CCND2;PIDD1;TSC2;PTEN;SESN3;BBC3;CASP8;DDB2;CCNG2;BID;SESN1;MDM2;BCL2;GORAB;RRM2;GTSE1;FAS;CASP9;CCNE1;CHEK1;PPM1D;SIAH1;ZMAT3;CDK6;RCHY1;ATM	KEGG_2021_Human	True
prerank	Renal cell carcinoma	0.6535816256796915	4.370700333578579	0.0	0.0	0.0	51/69	20.80%	ELOB;EPAS1;CDKN1A;RAC1;JUN;FH;MAP2K2;HRAS;GRB2;HIF1A;ARAF;MAPK3;RBX1;VEGFA;ELOC;ETS1;PRCC;TFE3;PDGFB;TGFB1;CRK;ARNT;MAPK1;RAPGEF1;PAK4;NRAS;PAK2;PTPN11;CDC42;MAP2K1;CRKL;BAD;PAK1;KRAS;RAP1A;AKT2;AKT1;VHL;PIK3R3;PIK3CD;EGLN3;CUL2;TGFB3;CREBBP;SOS1;EP300;TGFA;SOS2;PIK3R1;PIK3CB;SLC2A1	KEGG_2021_Human	False
prerank	Proteasome	0.7399876303937085	4.315927686682091	0.0	0.0	0.0	39/46	16.32%	PSME1;PSMB4;PSMB5;PSMB3;PSME2;PSMB6;POMP;PSMD4;PSMA7;PSMB1;PSMC3;PSMB7;PSMC4;PSMD13;PSMD8;PSMB8;PSMB2;PSMA3;PSMC5;PSMD2;ADRM1;PSMA4;PSMB9;PSMD3;PSME3;PSMF1;PSMA5;PSMD11;PSMD14;SEM1;PSME4;PSMB10;PSMD12;PSMC6;PSMD1;PSMC2;PSMD7;PSMD6;PSMA1	KEGG_2021_Human	False
prerank	Allograft rejection	0.6812778679528121	4.228769870487238	0.0	0.0	0.0	18/35	9.59%	HLA-A;HLA-DRA;HLA-B;HLA-C;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DMA;HLA-DPB1;HLA-DPA1;HLA-DQB1;HLA-DQA2;HLA-F;HLA-DQA1;HLA-DOA;CD40;GZMB;HLA-DMB	KEGG_2021_Human	False
