Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Viral myocarditis	0.7153741488988868	6.090289135341664	0.0	0.0	0.0	42/57	18.98%	HLA-DRA;ACTG1;HLA-DRB1;HLA-B;HLA-C;HLA-A;ACTB;HLA-E;HLA-DRB5;HLA-DPA1;EIF4G2;HLA-DQB1;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DQA1;RAC1;ICAM1;ITGB2;CD55;EIF4G1;HLA-F;CCND1;HLA-DOA;RAC2;CD40;HLA-DMB;ABL1;DAG1;CYCS;CXADR;EIF4G3;CASP8;CASP3;CAV1;ITGAL;BID;CD86;HLA-G;PRF1;HLA-DOB;CASP9	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.6597897745430331	5.416282218347465	0.0	0.0	0.0	88/101	29.25%	NFKBIA;ICAM1;CCL19;CD14;IRAK1;TNFRSF1A;LTB;GADD45G;BIRC3;CD40;RELA;NFKB2;LYN;NFKB1;TRADD;LTBR;CFLAR;LY96;CXCL2;GADD45B;MYD88;CCL21;TAB2;RELB;SYK;PARP1;TNFAIP3;TRAF2;XIAP;BIRC2;BCL2L1;CCL13;TICAM1;IL1R1;CARD11;GADD45A;PLAU;PIAS4;IKBKB;CYLD;TRAF5;BCL10;UBE2I;LCK;BCL2A1;PLCG1;TRAF1;PIDD1;MAP3K7;MAP3K14;TNFSF13B;TAB1;RIPK1;ZAP70;IRAK4;PTGS2;CARD10;CXCL1;TAB3;CXCL12;TRAF3;TRIM25;CCL4;BTK;CSNK2A2;CHUK;CXCL8;ERC1;BLNK;CSNK2A1;TRAF6;VCAM1;CCL4L2;ATM;PLCG2;TNFSF14;CSNK2B;MALT1;IKBKG;PRKCB;IL1B;CD40LG;TNF;TLR4;TIRAP;TNFRSF11A;PRKCQ;CXCL3	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6404764977635146	5.232927282676635	0.0	0.0	0.0	47/70	20.01%	NFKBIA;ATP6V0E1;MET;JUN;RAC1;ATP6V1F;TCIRG1;F11R;CCL5;EGFR;ATP6V0B;ATP6AP1;ATP6V1G1;MAPK13;RELA;ATP6V1E1;LYN;NFKB1;CSK;CXCL2;SRC;ATP6V1A;CDC42;PAK1;GIT1;ATP6V1B2;PTPN11;NOD1;MAPK14;ATP6V1C1;ATP6V1H;ATP6V1D;ATP6V0D1;CASP3;IKBKB;ATP6V0A1;MAPK9;PLCG1;HBEGF;ATP6V1C2;TJP1;MAP3K14;CXCL1;ADAM10;MAP2K4;CHUK;CXCL8	KEGG_2021_Human	False
prerank	Vibrio cholerae infection	0.6761861895232715	4.8896569793052285	0.0	0.0	0.0	34/50	14.68%	ACTG1;ACTB;ARF1;ATP6V0E1;KDELR1;SEC61A1;PDIA4;SEC61B;GNAS;ATP6V1F;TCIRG1;KDELR2;ATP6V0B;ATP6AP1;ATP6V1G1;SEC61G;ATP6V1E1;KDELR3;ERO1A;ATP6V1A;ATP6V1B2;PRKCA;PRKACA;KCNQ1;ATP6V1C1;ATP6V1H;ATP6V1D;ATP6V0D1;SLC12A2;ATP6V0A1;PLCG1;ATP6V1C2;TJP1;ADCY9	KEGG_2021_Human	False
prerank	Fc gamma R-mediated phagocytosis	0.670147919831326	4.831127977123904	0.0	0.0	0.0	74/96	25.37%	RAC1;CFL1;ACTR2;MARCKSL1;INPPL1;ARPC3;GSN;VASP;ARPC2;RAC2;ARF6;FCGR3A;WASF2;PRKCD;LYN;FCGR2A;ARPC5;HCK;VAV1;MAPK3;DNM2;MAPK1;ACTR3;LIMK1;ARPC4;MARCKS;MAP2K1;VAV2;ARPC5L;DOCK1;CDC42;SYK;PLPP2;PAK1;PRKCA;CRKL;PTPRC;PIP5K1A;PIP5K1C;CRK;BIN1;AKT1;WAS;ARPC1A;PIK3CD;AKT2;PIK3CB;PLPP3;ASAP3;PLD2;PLCG1;RPS6KB1;RPS6KB2;PLPP1;INPP5D;PIK3R1;GAB2;CFL2;PLA2G4F;RAF1;PLA2G6;PLA2G4A;ASAP1;LIMK2;MYO10;PIK3R3;WASF1;PLA2G4C;SPHK2;PRKCE;SCIN;PLCG2;FCGR1A;PRKCB	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.6750055244744507	4.752818465483374	0.0	0.0	0.0	58/74	20.61%	ACTG1;S100A11;LGALS3;MAL2;CD9;ANXA5;CLU;ERRFI1;CXCL16;PMVK;PNRC1;GUSB;LGMN;ALCAM;ECH1;NIBAN1;SCD;TP53INP1;CTNNB1;FBXO6;TNFRSF12A;PLSCR1;FASN;ACSS2;SREBF2;PLAUR;STX5;ATF5;LSS;ABCA2;NFIL3;NSDHL;DHCR7;FDFT1;ALDOC;LDLR;EBP;GPX8;FDPS;TRIB3;ATF3;IDI1;CHKA;MVK;TMEM97;ETHE1;LPL;MVD;PCYT2;JAG1;ATXN2;CPEB2;HMGCR;TM7SF2;SC5D;ANTXR2;HSD17B7;ACAT2	MSigDB_Hallmark_2020	False
prerank	PI3K/AKT/mTOR  Signaling	0.6813027937480312	4.718026382984645	0.0	0.0	0.0	78/105	19.35%	CALR;ARF1;PFN1;HSP90B1;MKNK2;RAC1;CFL1;ACTR2;SFN;AP2M1;SQSTM1;ARPC3;CXCR4;CLTC;CDKN1B;PPP1CA;TNFRSF1A;ARHGDIA;STAT2;EGFR;GRB2;YWHAB;MAP2K3;GRK2;RPS6KA1;RALB;UBE2D3;CAB39;DUSP3;ECSIT;RPS6KA3;MAPK1;ACTR3;MYD88;PAK4;TRAF2;PTPN11;PRKAG1;HRAS;GNA14;RIT1;NFKBIB;CDK4;NOD1;ATF1;UBE2N;AKT1S1;CDKN1A;AKT1;PTEN;PIN1;MAPKAP1;TSC2;ITPR2;MAPK9;PRKAR2A;SLC2A1;LCK;PLCG1;TRIB3;MAP3K7;MKNK1;NCK1;RIPK1;IRAK4;DAPP1;ACACA;CDK2;IL2RG;DDIT3;SLA;RAF1;RPTOR;PPP2R1B;PIKFYVE;CDK1;THEM4;PLA2G12A	MSigDB_Hallmark_2020	True
prerank	Mitophagy	0.7275879366464679	4.6852059591787	0.0	0.0	0.0	57/68	21.82%	RPS27A;UBC;UBB;UBA52;JUN;CITED2;TOMM7;SQSTM1;RRAS;ATF4;FIS1;RAB7A;OPTN;HIF1A;RHOT2;BNIP3L;NBR1;RELA;TAX1BP1;TFE3;ULK1;SRC;SP1;GABARAPL2;BNIP3;NRAS;TBC1D17;FUNDC1;KRAS;BCL2L1;HRAS;MFN2;CALCOCO2;GABARAPL1;PGAM5;MFN1;MAPK9;BECN1;FOXO3;AMBRA1;RHOT1;ATG5;BCL2L13;RAB7B;RRAS2;TBC1D15;TP53;ATG9A;TFEB;EIF2AK3;PINK1;CSNK2A2;E2F1;CSNK2A1;USP15;USP30;MAPK8	KEGG_2021_Human	False
prerank	Fc epsilon RI signaling pathway	0.6326539165125891	4.428121274160984	0.0	0.0	0.0	52/67	27.60%	RAC1;FCER1G;RAC2;MAP2K2;GRB2;ALOX5AP;ALOX5;MAP2K3;MAPK13;LYN;VAV1;MAPK3;MAPK1;MAP2K1;FCER1A;NRAS;VAV2;MAP2K7;SYK;KRAS;PRKCA;HRAS;MAPK14;AKT1;PIK3CD;CSF2;AKT2;PIK3CB;LCP2;MAPK9;PLCG1;SOS1;SOS2;INPP5D;PIK3R1;GAB2;PLA2G4F;RAF1;BTK;MAP2K4;PLA2G4A;PDPK1;FYN;MAPK8;PIK3R3;PLA2G4C;PLCG2;RAC3;MS4A2;PIK3CA;TNF;MAPK11	KEGG_2021_Human	False
prerank	Chagas disease	0.6273249085094638	4.3989981109557315	0.0	0.0	0.0	78/101	28.53%	C3;CALR;C1QA;NFKBIA;C1QB;C1QC;JUN;GNAS;FOS;CCL5;IRAK1;TNFRSF1A;GNAI2;IFNGR2;IFNGR1;PPP2R1A;TGFB1;MAPK13;PPP2CA;RELA;NFKB1;TGFBR2;MAPK3;TLR2;CFLAR;MAPK1;CD3D;MYD88;CD3E;GNAQ;GNA15;PPP2CB;GNA14;TICAM1;GNA11;MAPK14;AKT1;GNAI3;CCL2;PIK3CD;AKT2;PIK3CB;TGFBR1;PLCB2;CASP8;IKBKB;PLCB3;MAPK9;PPP2R2A;PIK3R1;FAS;IRAK4;PPP2R2D;PPP2R1B;MAP2K4;CHUK;CXCL8;SERPINE1;TRAF6;MAPK8;ACE;CD247;PIK3R3;CD3G;TGFB3;IKBKG;BDKRB2;IL1B;FADD;IL12B;SMAD2;PIK3CA;TNF;FASLG;MAPK11;TLR4;PLCB1;ADCY1	KEGG_2021_Human	False
prerank	Proteasome	0.7403674800151959	4.386436473648111	0.0	0.0	0.0	38/46	16.60%	PSME1;PSMB4;PSMB3;PSMA7;PSMD4;PSMB7;PSMB1;PSME2;PSMC3;PSMB5;POMP;PSMB8;PSMD2;PSMD8;PSMB6;PSMB10;PSMC4;PSMA3;PSMB9;PSMB2;PSMD13;PSMD3;PSMC5;PSMA4;PSMA5;PSME3;ADRM1;PSMD11;PSMF1;PSMD12;PSMC2;PSME4;PSMC6;PSMD14;SEM1;PSMD7;PSMA1;PSMD1	KEGG_2021_Human	False
prerank	Base excision repair	0.7355988045388038	4.322921402657082	0.0	0.0	0.0	29/33	23.23%	APEX1;PCNA;POLD2;PARP4;HMGB1;POLE3;MPG;MBD4;XRCC1;POLE4;PARP1;PARP3;APEX2;UNG;SMUG1;POLD1;LIG1;NTHL1;POLL;FEN1;POLD3;POLE;TDG;PARP2;POLB;LIG3;POLD4;NEIL2;NEIL1	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6625866809279044	4.252699338248065	0.0	0.0	0.0	58/69	25.52%	MET;ELOB;JUN;RAC1;MAP2K2;ARAF;GRB2;EPAS1;TGFB1;HIF1A;TFE3;FH;PRCC;MAPK3;MAPK1;PAK4;MAP2K1;RAP1A;NRAS;PAK2;CDC42;PAK1;KRAS;PTPN11;VEGFA;ARNT;RAPGEF1;CRKL;HRAS;CREBBP;RBX1;TGFA;CRK;CDKN1A;AKT1;ETS1;PIK3CD;AKT2;PIK3CB;EP300;VHL;SLC2A1;ELOC;SOS1;CUL2;SOS2;PIK3R1;RAF1;FLCN;BAD;RAP1B;PAK6;PIK3R3;EGLN2;TGFB3;EGLN3;BRAF;PDGFB	KEGG_2021_Human	False
prerank	Graft-versus-host disease	0.6759037384754932	4.227503192225019	0.0	0.0	0.0	16/38	4.07%	HLA-DRA;HLA-DRB1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;HLA-DPA1;HLA-DQB1;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DQA1;HLA-F;HLA-DOA;HLA-DMB	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6386881356873959	4.197668744846265	0.0	0.0	0.0	48/59	25.49%	APH1A;KAT2A;NCSTN;DTX3L;NCOR2;HDAC1;DVL1;CIR1;DVL3;NOTCH3;SNW1;LFNG;HES1;MAML1;NOTCH1;NOTCH2;TLE2;CREBBP;RFNG;CTBP1;NUMB;TLE1;DTX4;RBPJ;PSENEN;DTX2;DTX3;NUMBL;EP300;PSEN1;TLE4;MFNG;CTBP2;TLE3;JAG2;KAT2B;JAG1;HDAC2;DVL2;MAML2;ATXN1L;TLE6;DLL1;ADAM17;ATXN1;DLL4;HEYL;APH1B	KEGG_2021_Human	True
