Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Androgen Response	0.723739724653779	5.864830342495352	0.0	0.0	0.0	90/100	22.99%	B2M;KRT19;SAT1;H1-0;XRCC6;DHCR24;HPGD;KRT8;XRCC5;AZGP1;B4GALT1;CCND1;NCOA4;MYL12A;TMEM50A;TSC22D1;PMEPA1;ACTN1;ITGAV;SCD;SMS;NDRG1;SLC38A2;DBI;ABHD2;ELOVL5;DNAJB9;LMAN1;STEAP4;RPS6KA3;SPCS3;STK39;UBE2J1;ADRM1;CCND3;UAP1;GSR;GPD1L;ELL2;MAF;SPDEF;SEC24D;PDLIM5;SGK1;ACSL3;TMPRSS2;AKT1;PA2G4;INSIG1;ZMIZ1;ARID5B;VAPA;PLPP1;SELENOP;GNAI3;RAB4A;PTK2B;ANKH;SRF;GUCY1A1;FKBP5;IDI1;HSD17B14;CAMKK2;INPP4B;UBE2I;IQGAP2;HMGCS1;ADAMTS1;MAP7;TNFAIP8;HMGCR;SLC26A2;AKAP12;ELK4;LIFR;APPBP2;TPD52;MERTK;ZBTB10;PGM3;FADS1;PTPN21;PIAS1;CDK6;BMPR1B;CDC14B;ABCC4;RRP12;ALDH1A3	MSigDB_Hallmark_2020	False
prerank	Interferon Alpha Response	0.7550696927441737	5.002046557505061	0.0	0.0	0.0	82/97	16.71%	CD74;B2M;HLA-C;LGALS3BP;IFITM3;TXNIP;LY6E;BST2;C1S;PSME1;IFITM2;IFI27;ISG15;UBE2L6;IFITM1;ADAR;IFI44;LAP3;PSMA3;NCOA7;TRAFD1;PSMB8;ELF1;IL4R;PSME2;STAT2;IRF2;CD47;IFI35;IFIT3;WARS1;TAP1;GBP2;PLSCR1;CASP1;NUB1;OAS1;PARP14;TRIM26;CSF1;PSMB9;MX1;UBA7;TMEM140;TRIM21;IRF7;PARP9;SLC25A28;TRIM14;CNP;IFI44L;CMTR1;NMI;OGFR;PARP12;TENT5A;SAMD9L;EIF2AK2;IFIH1;DDX60;CASP8;SELL;RIPK2;LAMP3;PROCR;MOV10;LPAR6;IFIT2;CXCL10;MVB12A;HERC6;TRIM5;HELZ2;USP18;GBP4;SP110;DHX58;RSAD2;SAMD9;EPSTI1;PNPT1;TDRD7	MSigDB_Hallmark_2020	True
prerank	Apoptosis	0.7184666112792426	4.9067612083179135	0.0	0.0	0.0	133/160	20.65%	LUM;BGN;IFITM3;TXNIP;TIMP1;LGALS3;MMP2;HSPB1;TIMP3;SAT1;APP;H1-0;GPX1;TIMP2;DCN;JUN;MCL1;PPT1;RHOB;BCAP31;PEA15;PLAT;TNFRSF12A;ANXA1;CDKN1A;DAP;SOD1;GPX4;CD14;GADD45A;IFNGR1;KRT18;LMNA;TNFSF10;TSPO;CCND1;BTG2;CD44;DNAJA1;CTNNB1;GSN;EMP1;GADD45B;BNIP3L;PDGFRB;IER3;CDKN1B;HMGB2;ERBB2;BCL2L1;CAV1;CLU;BTG3;GPX3;DNAJC3;HMOX1;SQSTM1;ETF1;ADD1;RARA;XIAP;SPTAN1;ERBB3;RELA;ENO2;TAP1;DAP3;PAK1;RHOT2;CASP1;BAX;RETSAT;GSR;F2R;DPYD;CASP3;BIRC3;GNA15;CASP4;CASP7;PDCD4;CDC25B;PSEN1;SLC20A1;NEDD9;ATF3;CD2;CASP6;VDAC2;BCL10;IGF2R;CCND2;PPP3R1;CREBBP;ANKH;IL18;DDIT3;SMAD7;PTK2;SC5D;DNM1L;CASP8;PPP2R5B;BCL2L2;ROCK1;MADD;TOP2A;CD69;CFLAR;EBP;FAS;BMF;BCL2L11;DFFA;PMAIP1;IGFBP6;CYLD;BID;WEE1;RNASEL;CASP2;PLCB2;EREG;FDXR;IRF1;GCH1;BIK;TGFB2;CDK2;SATB1;LEF1;PRF1;CASP9	MSigDB_Hallmark_2020	False
prerank	Spliceosome	0.6123761152763783	4.651179010007741	0.0	0.0	0.0	107/148	15.79%	HSPA8;HNRNPK;DDX5;HSPA1A;HSPA1B;PRPF6;SF3B5;ZMAT2;HNRNPC;SRSF5;SNRPD2;SF3B6;HNRNPA1;HNRNPA3;SF3B1;SNRPC;PRPF8;SF3B4;SNRPB;SNRNP200;PRPF19;SNU13;SRSF2;HNRNPM;U2AF2;SRSF3;FUS;SF3A1;SNRNP70;TRA2A;SRSF7;LSM2;SF3B2;DDX23;RBMX;PUF60;SF3A3;HNRNPU;BCAS2;DDX42;ALYREF;MAGOH;WBP11;SNW1;LSM4;SRSF6;PHF5A;SYF2;DHX15;SRSF8;ACIN1;SNRPG;PPIL1;SF3B3;CWC15;SNRPB2;SNRPE;SART1;PQBP1;SRSF4;SF3A2;NCBP2;SNRPA;USP39;HSPA6;RBM22;PRPF40A;PLRG1;EIF4A3;DHX16;SRSF1;SRSF9;SNRNP27;PRPF3;THOC2;DDX39B;SLU7;EFTUD2;LSM7;RBM25;SRSF10;BUD31;DHX38;XAB2;RBM17;CDC5L;CTNNBL1;PRPF38A;LSM5;SNRPD3;SNRNP40;RBM8A;PRPF31;DDX46;PRPF4;PRPF38B;SNRPF;RBMXL1;CRNKL1;TRA2B;LSM3;U2SURP;SMNDC1;NCBP1;DHX8;RNU4-2;RP9	KEGG_2021_Human	False
prerank	Prostate cancer	0.6533242729552496	4.6025875116544945	0.0	0.0	0.0	81/97	25.75%	HSP90AB1;HSP90AA1;HSP90B1;GSTP1;PLAU;NFKBIA;PLAT;CDKN1A;SPINT1;CCND1;ATF4;MMP9;CTNNB1;PDGFRB;GRB2;CDKN1B;EGFR;CREB3L2;MAPK1;CREB3;ERBB2;ARAF;PDGFC;TGFA;RELA;MAP2K1;NFKB1;MAPK3;CREB3L1;NRAS;MMP3;TMPRSS2;AKT1;SOS2;TP53;EP300;PDGFA;PDGFRA;CREBBP;MAP2K2;PTEN;PIK3R1;KRAS;PIK3R3;HRAS;ETV5;RB1;SOS1;ZEB1;FGFR1;IKBKB;MTOR;MDM2;CREB3L4;PIK3CD;PDGFD;E2F3;IGF1R;TCF7L2;RAF1;CREB1;AKT2;BAD;PIK3CB;PDGFB;FOXO1;PDPK1;CHUK;CDK2;FGFR2;LEF1;CASP9;GSK3B;CREB5;AKT3;SRD5A2;IKBKG;TCF7L1;EGF;PIK3CA;E2F1	KEGG_2021_Human	False
prerank	Toxoplasmosis	0.7001886966515612	4.525129080781863	0.0	0.0	0.0	91/110	25.39%	HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HSPA8;LAMB3;HLA-DPB1;NFKBIA;HLA-DQB1;HLA-DMA;HLA-DQA1;HLA-DQA2;HSPA1A;LAMC2;HSPA1B;IFNGR1;GNAI2;IFNGR2;HLA-DOA;ITGB1;TNFRSF1A;LAMB2;STAT3;IRAK1;LAMC1;STAT1;ALOX5;MAPK1;BCL2L1;HLA-DMB;CYCS;MYD88;LY96;TAB2;JAK1;XIAP;TGFB1;RELA;NFKB1;MAPK13;MAPK3;BIRC2;TLR2;CD40;LAMB1;CASP3;BIRC3;MAP2K3;MAPK14;AKT1;HSPA6;PPIF;LAMA5;LAMA4;ITGA6;TYK2;GNAI3;LDLR;CASP8;LAMA2;MAP3K7;TAB1;TGFB3;IKBKB;IL10RA;NFKBIB;MAPK9;IRAK4;CIITA;AKT2;BAD;SOCS1;PDPK1;TGFB2;CHUK;CCR5;HLA-DOB;CASP9;MAPK8;LAMA3;JAK2;PIK3CG;AKT3;IKBKG;TLR4;PIK3R5;TRAF6;HSPA2;BIRC7;LAMC3;MAPK11	KEGG_2021_Human	False
prerank	IL-17 signaling pathway	0.6133326768649194	4.499783248791388	0.0	0.0	0.0	72/94	25.69%	S100A9;HSP90AB1;HSP90AA1;MUC5B;HSP90B1;FOS;NFKBIA;JUN;S100A8;CCL20;MMP13;MMP1;MMP9;CXCL8;CEBPB;JUND;PTGS2;CXCL1;MAPK1;TAB2;CXCL2;S100A7;CCL2;RELA;NFKB1;TNFAIP3;MAPK13;MAPK3;TRADD;CASP3;MMP3;MAPK14;CXCL6;LCN2;TRAF4;SRSF1;ELAVL1;MAPK6;USP25;CASP8;CCL17;MAP3K7;ANAPC5;FOSB;CXCL10;IKBKB;CCL11;MAPK9;CXCL5;TRAF2;IL17RC;CHUK;IL17RA;TAB3;IKBKE;MUC5AC;GSK3B;IL17RE;MAPK8;TRAF3;MAPK7;IL6;IKBKG;IL17RB;TRAF3IP2;TRAF5;CSF2;TRAF6;CXCL3;FOSL1;MAPK11;IL1B	KEGG_2021_Human	False
prerank	Chagas disease	0.6338600927103646	4.382133254511705	0.0	0.0	0.0	80/101	28.65%	CALR;C1QA;C1QC;C1QB;FOS;NFKBIA;JUN;C3;IFNGR1;GNAS;SERPINE1;CXCL8;GNAI2;IFNGR2;TGFBR2;TNFRSF1A;IRAK1;MAPK1;MYD88;PPP2CB;PPP2R1A;CCL2;PPP2CA;CCL5;TGFB1;RELA;NFKB1;MAPK13;MAPK3;GNAQ;TLR2;GNA15;MAPK14;AKT1;GNAI3;TGFBR1;GNA14;PIK3R1;CD3D;CASP8;PPP2R2A;PLCB3;PIK3R3;TICAM1;CD3E;CFLAR;TGFB3;IKBKB;FAS;GNA11;PIK3CD;MAPK9;MAP2K4;PLCB2;IRAK4;AKT2;PIK3CB;BDKRB2;PPP2R1B;TGFB2;CHUK;ACE;MAPK8;PPP2R2D;IL6;AKT3;IKBKG;TLR4;TRAF6;MAPK11;PLCB4;PIK3CA;IL1B;CD247;PLCB1;SMAD2;TLR6;FADD;CD3G;GNAI1	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7664093382442356	4.305274552928115	0.0	0.0	0.0	51/54	21.72%	RHOA;JUNB;CDH1;THBS1;LTBP2;SERPINE1;CTNNB1;IFNGR2;RAB31;PMEPA1;PPP1R15A;KLF10;ENG;ID3;FURIN;HDAC1;PPP1CA;UBE2D3;ID2;SKI;FKBP1A;ID1;SPTBN1;XIAP;NCOR2;ACVR1;TGFB1;CDK9;BMPR2;SLC20A1;WWTR1;TJP1;SMURF1;TGFBR1;SMAD7;SKIL;SMURF2;PPM1A;SMAD3;MAP3K7;SMAD1;ARID4B;CDKN1C;HIPK2;TGIF1;TRIM33;FNTA;APC;BCAR3;BMP2;BMPR1A	MSigDB_Hallmark_2020	True
prerank	Pancreatic cancer	0.6924233010536776	4.245010747775373	0.0	0.0	0.0	68/76	27.15%	RAC1;CDKN1A;GADD45A;CCND1;GADD45B;TGFBR2;STAT3;RALA;RALB;VEGFA;EGFR;STAT1;MAPK1;ERBB2;BCL2L1;ARAF;RAC2;JAK1;CDC42;TGFA;TGFB1;RELA;MAP2K1;NFKB1;BAX;MAPK3;BAK1;AKT1;TP53;CDK4;TGFBR1;PIK3R1;RALBP1;KRAS;ARHGEF6;PIK3R3;GADD45G;RB1;SMAD3;DDB2;TGFB3;PLD2;IKBKB;MTOR;PIK3CD;MAPK9;E2F3;RAF1;RPS6KB1;AKT2;BAD;PIK3CB;TGFB2;RPS6KB2;CHUK;POLK;CASP9;MAPK8;CDK6;SMAD4;AKT3;IKBKG;RAC3;EGF;PIK3CA;E2F1;PLD1;SMAD2	KEGG_2021_Human	False
