Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.7151032736821047	4.860073573146426	0.0	0.0	0.0	82/97	23.90%	HLA-C;B2M;TXNIP;LGALS3BP;IFITM3;CD74;ISG15;LY6E;CD47;PSME1;IFITM2;ADAR;NCOA7;UBE2L6;PSMA3;IFI44;STAT2;PSME2;C1S;BST2;IRF7;IL4R;PSMB8;OAS1;TRAFD1;IFI35;PLSCR1;PARP14;LAP3;CNP;RIPK2;SLC25A28;TRIM26;ELF1;CMTR1;PARP9;TENT5A;IFITM1;MOV10;OGFR;GBP2;DHX58;TAP1;PARP12;IFI27;MX1;EIF2AK2;NMI;WARS1;IFIT3;MVB12A;TRIM21;TRIM14;PNPT1;CASP8;IRF2;CSF1;IFIH1;LAMP3;IFIT2;USP18;TRIM5;NUB1;HELZ2;DDX60;SP110;UBA7;SAMD9;PSMB9;PROCR;TRIM25;LPAR6;SAMD9L;HERC6;TMEM140;TDRD7;RSAD2;CXCL10;IFI44L;CMPK2;CASP1;EPSTI1	MSigDB_Hallmark_2020	True
prerank	Neurotrophin signaling pathway	0.6483605670246317	4.505250182801891	0.0	0.0	0.0	88/119	24.84%	RAC1;RHOA;JUN;CALM2;ATF4;YWHAE;MAGED1;ARHGDIB;NFKBIA;BEX3;CALM1;SORT1;MAPKAPK2;MAPK3;ARHGDIA;GRB2;RPS6KA2;MAPK1;IRAK1;CALM3;NRAS;SHC1;CDC42;RELA;MAPK13;MAP3K5;CRK;CAMK2D;PIK3R3;RIPK2;CAMK2G;CRKL;RAP1A;PRKCD;PTPN11;HRAS;CALML5;MAP2K2;FOXO3;BAX;MAPK14;TP53;RPS6KA3;MAP2K1;SH2B1;SOS2;MAPK11;NFKBIE;RPS6KA1;PSEN1;ABL1;SOS1;PIK3CB;PLCG1;AKT1;RAPGEF1;NFKBIB;NFKB1;RAF1;KIDINS220;KRAS;IKBKB;PRDM4;SHC2;MAP3K1;IRS1;GAB1;GSK3B;PIK3R1;MAP2K7;BAD;FRS2;MAP3K3;AKT2;PIK3CD;IRAK4;MAPK7;ZNF274;MAPK8;IRAK2;MAPK9;PDPK1;RAP1B;MAPK12;SH2B3;TRAF6;SH2B2;MAP2K5	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7274447690999166	4.484722947689478	0.0	0.0	0.0	33/48	11.07%	FTL;PRDX1;TXN;NQO1;PRDX6;SOD1;GPX4;GSR;G6PD;MGST1;GCLC;PDLIM1;TXNRD1;JUNB;PRDX4;NDUFB4;PRNP;GPX3;NDUFA6;CAT;PRDX2;LAMTOR5;PFKP;PTPA;NDUFS2;STK25;OXSR1;SBNO2;FES;HMOX2;SELENOS;GCLM;ABCC1	MSigDB_Hallmark_2020	False
prerank	Bacterial invasion of epithelial cells	0.6931834164907421	4.393558814384463	0.0	0.0	0.0	55/77	18.34%	ACTB;ACTG1;FN1;RAC1;RHOA;CDH1;CTTN;ACTR2;SEPTIN2;CLTC;ARPC3;CTNNA1;MET;ARPC2;CLTA;CTNNB1;ARPC4;ELMO3;ITGB1;ARPC5;CD2AP;WASF2;SEPTIN9;RHOG;SHC1;ACTR3;ARPC1A;CDC42;CLTB;VCL;CAV1;CRK;PIK3R3;WASL;CRKL;CAV2;SRC;PTK2;ARPC5L;SEPTIN11;PXN;BCAR1;MAD2L2;DNM2;PIK3CB;DOCK1;SEPTIN8;ELMO2;ITGA5;SHC2;WASF1;GAB1;PIK3R1;SEPTIN6;CBL	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.7270587032096446	4.3771632468689425	0.0	0.0	0.0	61/74	21.18%	S100A11;ACTG1;MAL2;LGALS3;CD9;ANXA5;ALCAM;TNFRSF12A;ERRFI1;PMVK;CXCL16;CLU;GUSB;CTNNB1;DHCR7;PNRC1;SCD;FDFT1;SREBF2;SQLE;LGMN;ECH1;TP53INP1;SC5D;ATF3;STX5;PLSCR1;MVD;HMGCS1;FASN;IDI1;FDPS;GPX8;NFIL3;ACAT2;TM7SF2;LSS;PLAUR;ACSS2;CHKA;NSDHL;EBP;FBXO6;FADS2;TRIB3;ETHE1;HMGCR;SEMA3B;NIBAN1;TMEM97;PPARG;ABCA2;HSD17B7;PCYT2;LDLR;ATXN2;ANTXR2;ATF5;CPEB2;JAG1;MVK	MSigDB_Hallmark_2020	False
prerank	Toxoplasmosis	0.6440116502116181	4.322513046699575	0.0	0.0	0.0	74/110	21.98%	HLA-DRA;HLA-DRB1;HSPA8;HSPA1A;IFNGR1;LAMB2;HSPA1B;LAMC2;HLA-DRB5;IFNGR2;NFKBIA;TNFRSF1A;GNAI2;LAMC1;HLA-DMA;MAPK3;ITGB1;BCL2L1;LAMA5;MAPK1;LAMB3;IRAK1;TAB2;STAT1;LY96;HLA-DQB1;HLA-DPA1;STAT3;MYD88;TGFB1;HLA-DPB1;RELA;MAPK13;BIRC2;HLA-DQA2;JAK1;GNAI3;CYCS;BIRC3;ALOX5;MAPK14;TGFB2;PPIF;HSPA6;ITGA6;TYK2;HLA-DQA1;MAP3K7;MAPK11;TAB1;CD40;CASP8;AKT1;NFKBIB;MAP2K3;XIAP;CASP3;NFKB1;LAMB1;IKBKB;HLA-DMB;LDLR;BAD;CASP9;CHUK;HLA-DOA;AKT2;TLR2;HLA-DOB;LAMA4;IRAK4;TGFB3;MAPK8;MAPK9	KEGG_2021_Human	False
prerank	Fluid shear stress and atherosclerosis	0.6363209943116845	4.252488599594953	0.0	0.0	0.0	104/138	25.60%	ACTB;ACTG1;HSP90AB1;GSTP1;RAC1;TXN;SDC4;NQO1;HSP90B1;RHOA;SDC1;HSP90AA1;JUN;DUSP1;CALM2;FOS;MGST1;SUMO1;MMP2;TNFRSF1A;CALM1;EDN1;SUMO2;TXN2;CTNNB1;NCF2;ICAM1;SUMO3;CYBA;ASS1;SQSTM1;GSTO1;KDR;NFE2L2;ITGAV;GPC1;PRKAA1;VEGFA;CALM3;GSTA4;RELA;RAC3;MAPK13;CAV1;HMOX1;MAP3K5;PIK3R3;CTSL;MGST2;CAV2;KEAP1;ACVR1;SRC;CALML5;IL1R1;PTK2;MAPK14;MGST3;TP53;PECAM1;MAP3K7;MAPK11;BMPR2;PIK3CB;VCAM1;AKT1;GSTA1;PDGFB;ARHGEF2;MEF2A;NFKB1;PDGFA;BMP4;PIAS4;RAC2;IKBKB;MMP9;CCL2;SDC2;MAP2K4;PIK3R1;MAP2K7;CDH5;GSTO2;CHUK;PLAT;BMPR1A;AKT2;PIK3CD;MAPK7;KLF2;MAPK8;MAPK9;THBD;PRKCZ;BMPR1B;TRPV4;GSTM3;MAPK12;MAP2K5;GSTM4;ACVR2A;GSTA2;PIK3CA	KEGG_2021_Human	False
prerank	Longevity regulating pathway	0.5520706428670237	4.141412893345476	0.0	0.0	0.0	68/101	20.86%	HSPA8;SOD1;HSPA1A;ATF4;ADIPOR1;HSPA1B;EIF4EBP1;HDAC1;ATF6B;CAT;PRKAA1;CREB3;NRAS;RHEB;RELA;RPS6KB1;CREB3L2;PIK3R3;EIF4EBP2;ADIPOR2;HRAS;CREB3L4;FOXO3;BAX;ULK1;ATF2;HDAC2;TP53;ATG5;PRKAG1;HSPA6;ATG13;EIF4E2;CAMKK2;RB1CC1;APPL1;PRKAB2;PIK3CB;AKT1;PRKAB1;EHMT2;PRKACA;AKT1S1;NFKB1;MTOR;PPARG;TSC2;KRAS;ADCY6;PRKACB;SIRT1;STK11;IRS1;ATG101;IGF1R;SESN1;PIK3R1;CREB1;INSR;SESN2;AKT2;IRS2;RPS6KB2;CREB3L1;ADCY9;PIK3CD;RPTOR;SESN3	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6754417213430861	4.1268183139119525	0.0	0.0	0.0	79/100	26.79%	COL1A1;FN1;COL3A1;RAC1;COL1A2;JUN;CCND1;MMP2;EGR1;VEGFB;EDN1;SERPINE1;ICAM1;CDKN1B;MAPK3;TGFBR2;F3;MAPK1;VEGFA;STAT1;NRAS;PIM1;STAT3;TGFB1;CDC42;AGER;AGT;RELA;MAPK13;DIAPH1;PLCD1;PIK3R3;PRKCD;PLCB3;HRAS;BAX;MAPK14;COL4A1;TGFB2;CDK4;CXCL8;COL4A2;MAPK11;PIK3CB;PLCG1;VCAM1;AKT1;STAT5B;CASP3;NFKB1;VEGFC;KRAS;SMAD4;TGFBR1;CCL2;SMAD3;PIK3R1;PRKCA;COL4A4;CYBB;AKT2;PIK3CD;COL4A3;TGFB3;MAPK8;MAPK9;THBD;PRKCZ;VEGFD;PLCB4;SMAD2;MAPK12;COL4A5;FOXO1;PLCB1;PIK3CA;STAT5A;PLCB2;PLCD3	KEGG_2021_Human	False
prerank	Mitophagy	0.7119770405906861	4.01999802024933	0.0	0.0	0.0	56/68	22.29%	UBC;JUN;RPS27A;ATF4;UBB;TOMM7;BNIP3L;RAB7A;RRAS;UBA52;TAX1BP1;GABARAPL2;CITED2;FIS1;SQSTM1;BCL2L1;HIF1A;NBR1;FUNDC1;NRAS;GABARAPL1;OPTN;RHOT2;RELA;RRAS2;BNIP3;TFE3;E2F1;SP1;CALCOCO2;SRC;HRAS;FOXO3;ULK1;TP53;BCL2L13;MFN1;ATG5;PGAM5;MFN2;BECN1;RHOT1;TBC1D17;TBC1D15;KRAS;EIF2AK3;AMBRA1;ATG9A;MRAS;CSNK2B;USP30;CSNK2A1;CSNK2A2;MAPK8;MAPK9;TFEB	KEGG_2021_Human	False
