Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Acute myeloid leukemia	0.6738375056974543	4.830806558549647	0.0	0.0	0.0	51/67	20.15%	JUP;CCND1;PIM2;CD14;MAPK1;GRB2;MAPK3;EIF4EBP1;PIM1;MYC;SPI1;RAF1;ARAF;MAP2K2;STAT3;NRAS;RARA;PPARD;HRAS;RELA;AKT1;MAP2K1;DUSP6;CSF1R;KIT;RUNX1;RPS6KB2;STAT5B;BCL2A1;AKT2;PIK3CB;NFKB1;ITGAM;MTOR;RPS6KB1;PER2;PIK3CD;STAT5A;PIK3R3;SOS1;PML;CEBPA;ZBTB16;IKBKB;SOS2;CCNA2;TCF7L2;KRAS;BAD;CHUK;FCGR1A	KEGG_2021_Human	False
prerank	RNA degradation	0.6572342336827957	4.773544028511582	0.0	0.0	0.0	67/76	24.83%	ENO1;PABPC1;BTG2;HSPD1;XRN2;HSPA9;LSM2;TOB1;PFKL;LSM4;PABPC4;EXOSC5;LSM3;LSM7;CNOT8;CNOT3;PABPC1L;TOB2;CNOT1;BTG1;DDX6;PFKP;EXOSC10;TENT4A;EDC4;PATL1;PARN;ENO2;EXOSC4;BTG3;DHX36;PAN2;NUDT16;DCP2;CNOT9;EXOSC6;MTREX;PNPT1;EXOSC2;MPHOSPH6;XRN1;EXOSC1;CNOT10;PAN3;PFKM;LSM5;EXOSC7;EXOSC8;DCP1A;ZCCHC7;ENO3;CNOT7;EDC3;DIS3L;CNOT2;CNOT6;LSM1;CNOT6L;EXOSC9;C1D;DCPS;DIS3;CNOT4;LSM6;TENT4B;DCP1B;LSM8	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6941162181525963	4.668625711841458	0.0	0.0	0.0	64/74	27.01%	HLA-DRA;EEF1A1;HLA-DRB1;MARCKSL1;HLA-DRB5;JUN;FOS;HLA-DPA1;HLA-DQA2;HLA-DPB1;CYBA;C3;FCGR3A;NFKBIA;IRAK1;ITGB2;HLA-DQB1;HLA-DMA;HLA-DQA1;MAPK1;ITGB1;STAT1;MAPK3;IFNGR2;CYBB;IFNGR1;TGFB1;MAPK13;PTPN6;HLA-DOA;NFKBIB;MYD88;TAB2;HLA-DMB;EEF1A2;NCF2;RELA;JAK1;FCGR2A;ELK1;NCF4;MAPK11;MAPK14;NFKB1;ITGAM;TAB1;MAP3K7;TGFB2;IRAK4;NCF1;FCGR1A;TLR2;FCGR2C;TGFB3;HLA-DOB;JAK2;IFNG;PRKCB;MAPK12;ITGA4;IL1B;PTGS2;TRAF6;TNF	KEGG_2021_Human	False
prerank	Pperoxisome	0.6227594571882438	4.638406953536032	0.0	0.0	0.0	77/103	24.27%	PRDX5;PABPC1;PRDX1;CNBP;SOD1;DHCR24;TSPO;IDH2;ECH1;MVP;YWHAH;FIS1;DHRS3;TOP2A;ACSL1;SMARCC1;CRABP2;IDH1;ELOVL5;GSTK1;SLC35B2;CTBP1;GNPAT;PEX11B;HRAS;ALDH1A1;ALDH9A1;NUDT19;PEX6;RETSAT;VPS4B;HSD17B11;ISOC1;CAT;SCP2;CRAT;LONP2;FDPS;ACSL5;ERCC1;ERCC3;ACOX1;ABCD1;PEX14;HSD17B4;PEX13;SLC23A2;HSD3B7;RDH11;ACAA1;HMGCL;ABCC5;IDI1;SULT2B1;PEX2;PEX5;CDK7;ABCD3;CRABP1;SLC25A17;CEL;ACSL4;ITGB1BP1;ACOT8;FADS1;SLC25A4;BCL10;SEMA3C;CTPS1;EHHADH;MSH2;STS;SLC25A19;EPHX2;IDE;CLN6;PEX11A	MSigDB_Hallmark_2020	False
prerank	Proteasome	0.779939893311347	4.636737519177163	0.0	0.0	0.0	35/46	10.30%	PSMA7;PSMB4;PSMD2;PSMB3;PSMB5;PSMB1;PSME1;PSMB6;PSMC4;PSMB7;PSMD3;PSMD4;PSMD8;POMP;PSMC3;ADRM1;PSME2;PSMA3;PSMB2;PSMD13;PSMB8;PSMC5;PSMB9;PSMA5;PSMF1;PSME3;PSMD7;PSMD11;PSMB10;PSMC6;PSMD14;PSMA4;SEM1;PSMC2;PSME4	KEGG_2021_Human	False
prerank	Glioma	0.6339972636331311	4.544853940173891	0.0	0.0	0.0	53/75	22.80%	CCND1;CALM2;CALM1;CALM3;SHC1;MAPK1;GRB2;MAPK3;GADD45A;GADD45B;BAX;RAF1;CDKN1A;ARAF;MAP2K2;PLCG1;NRAS;GADD45G;TP53;CDK4;CAMK1D;E2F1;HRAS;PDGFRB;AKT1;MAP2K1;CAMK2G;AKT2;PIK3CB;IGF1R;MTOR;BAK1;TGFA;E2F3;PIK3CD;PDGFB;PIK3R3;SHC2;SOS1;PTEN;SOS2;PDGFA;CDK6;KRAS;DDB2;PDGFRA;CDKN2A;RB1;MDM2;PIK3R1;PLCG2;CAMK2D;EGFR	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.699048491286984	4.508460313864321	0.0	0.0	0.0	59/74	21.40%	ACTG1;S100A11;SCD;LGALS3;CD9;ERRFI1;ANXA5;FASN;MAL2;ALCAM;CTNNB1;ECH1;CXCL16;LGMN;SREBF2;SQLE;PMVK;PNRC1;TNFRSF12A;ATF5;DHCR7;GUSB;FDFT1;TRIB3;TP53INP1;PPARG;CHKA;CLU;NSDHL;ETHE1;FBXO6;TM7SF2;MVD;TMEM97;EBP;STX5;ATF3;ABCA2;PLSCR1;PLAUR;FDPS;LSS;FADS2;ALDOC;NIBAN1;NFIL3;SEMA3B;IDI1;SC5D;ACSS2;HMGCR;LDLR;ACAT2;FABP5;HMGCS1;ANTXR2;GPX8;PCYT2;STARD4	MSigDB_Hallmark_2020	False
prerank	Lysine degradation	0.5994044767063099	4.505634530966399	0.0	0.0	0.0	50/63	25.45%	ECHS1;HADHA;PLOD1;COLGALT1;DLST;PLOD3;KMT5B;PLOD2;ALDH9A1;KMT2B;SETD1A;ALDH1B1;NSD2;DHTKD1;ALDH7A1;KMT2D;DLD;KMT5C;EHMT2;SETD2;KMT2E;EZH2;SMYD2;SETD1B;ALDH2;EZH1;ASH1L;ACAT1;GCDH;SETDB1;ACAT2;PRDM2;KMT2C;PHYKPL;SETMAR;EHMT1;KMT5A;NSD1;SETD7;DOT1L;SMYD3;SUV39H1;NSD3;EHHADH;KMT2A;HADH;ALDH3A2;SUV39H2;MECOM;SETDB2	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.697906175613869	4.4977582484794745	0.0	0.0	0.0	41/70	9.11%	HLA-DRA;CD74;HSP90AB1;HLA-B;B2M;HLA-DRB1;CALR;HSPA8;HSP90AA1;HLA-A;HLA-C;HLA-E;HSPA5;CTSB;HLA-DRB5;PDIA3;HLA-DPA1;HLA-DQA2;HLA-DPB1;PSME1;HSPA1A;CTSS;CANX;TAPBP;HLA-DQB1;HLA-DMA;HSPA1B;HLA-DQA1;LGMN;PSME2;HSPA4;CTSL;CD4;HLA-F;TAP1;HLA-DOA;NFYA;HLA-DMB;PSME3;CD8A;NFYC	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7533593410000126	4.2950468636926	0.0	0.0	0.0	37/48	13.89%	FTL;PRDX1;GPX4;TXN;JUNB;PRDX4;SOD1;PRDX6;NDUFB4;PDLIM1;PRNP;PRDX2;SBNO2;GPX3;NDUFA6;PTPA;MGST1;G6PD;ABCC1;SELENOS;NQO1;LAMTOR5;GSR;TXNRD1;PFKP;TXNRD2;LSP1;STK25;NDUFS2;CAT;OXSR1;ATOX1;HMOX2;FES;SCAF4;ERCC2;CDKN2D	MSigDB_Hallmark_2020	False
prerank	N-Glycan biosynthesis	0.6234288692661183	4.258199081209196	0.0	0.0	0.0	37/50	22.65%	RPN2;DAD1;RPN1;DDOST;STT3B;GANAB;B4GALT1;ALG3;MOGS;DPM1;DPM3;STT3A;MAN1A1;DPM2;ST6GAL1;MGAT1;B4GALT3;TUSC3;MAN1B1;MGAT4B;B4GALT2;ALG5;ALG8;ALG2;DPAGT1;DOLPP1;DOLK;MAN1A2;MGAT5;MAN2A2;MGAT4A;MAN2A1;ALG13;FUT8;SRD5A3;ALG6;ALG12	KEGG_2021_Human	False
prerank	Protein export	0.8066269604722883	4.244820254872901	0.0	0.0	0.0	19/23	11.86%	HSPA5;SEC61A1;SRP14;SEC61B;SRP9;SRPRA;SEC61G;OXA1L;SPCS1;SRPRB;SEC62;SPCS2;SPCS3;SEC11A;SEC11C;SEC63;SRP72;SRP54;SRP68	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6330878348474575	4.227581445005736	0.0	0.0	0.0	48/58	26.18%	CDH1;CCND1;ERBB2;CTNNA1;CTNNB1;MAPK1;GRB2;MAPK3;GADD45A;GADD45B;MYC;BAX;RAF1;CDKN1A;ARAF;MAP2K2;NRAS;GADD45G;TP53;HRAS;AKT1;MAP2K1;ELK1;AKT2;PIK3CB;FOXO3;AXIN1;BAK1;PIK3CD;PIK3R3;SOS1;GSK3B;PTEN;APC;SOS2;TCF7L2;KRAS;DDB2;MLH1;BAD;CASP9;PIK3R1;EGFR;TCF7;AXIN2;PIK3CA;PDPK1;LEF1	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.6401545336470412	4.1818911611429135	0.0	0.0	0.0	91/101	30.85%	CCL19;NFKBIA;CD14;IRAK1;GADD45A;GADD45B;TNFRSF1A;BCL2L1;ICAM1;LTB;PLAU;CCL21;TRADD;NFKB2;LTBR;CD40;LY96;PLCG1;GADD45G;MYD88;TAB2;CCL13;RELA;CCL4;RELB;BIRC2;SYK;BCL2A1;TNFAIP3;IL1R1;LCK;CCL4L2;TICAM1;PARP1;XIAP;LYN;BIRC3;ZAP70;TRAF1;TRAF2;NFKB1;TRAF3;VCAM1;TAB1;CXCL2;CXCL12;PIAS4;MAP3K7;CXCL8;CFLAR;TRIM25;IKBKB;RIPK1;TNFSF13B;CYLD;IRAK4;PIDD1;UBE2I;CSNK2A1;CARD11;BTK;BCL10;CHUK;TAB3;TRAF5;CSNK2B;TNFRSF13C;PLCG2;ATM;ERC1;MAP3K14;CSNK2A2;CXCL1;PRKCB;IKBKG;BLNK;IL1B;CARD10;LTA;PTGS2;TRAF6;TNF;PRKCQ;CD40LG;CXCL3;MALT1;BCL2;EDARADD;TLR4;TIRAP;CARD14	KEGG_2021_Human	False
prerank	Viral myocarditis	0.712219066972216	4.1435676869566604	0.0	0.0	0.0	35/57	9.98%	ACTB;ACTG1;HLA-DRA;HLA-B;HLA-DRB1;HLA-A;HLA-C;HLA-E;HLA-DRB5;EIF4G1;RAC1;CCND1;HLA-DPA1;HLA-DQA2;EIF4G2;HLA-DPB1;ITGB2;HLA-DQB1;HLA-DMA;HLA-DQA1;RAC2;DAG1;CD55;ICAM1;HLA-F;CD40;HLA-DOA;HLA-DMB;ABL1;CYCS;CAV1;RAC3;CASP3;EIF4G3;ITGAL	KEGG_2021_Human	False
prerank	Leukocyte transendothelial migration	0.5868751238585118	4.1077878705738975	0.0	0.0	0.0	66/113	14.69%	ACTB;ACTG1;EZR;CLDN3;MYL12B;RHOA;ACTN4;MYL9;CLDN4;MMP2;RAC1;CLDN6;MSN;CYBA;MYL12A;CTNNA1;VASP;CTNNB1;CXCR4;MMP9;ITGB2;CLDN7;GNAI2;RAC2;ITGB1;CD99;CD99L2;CYBB;ICAM1;F11R;ACTN1;PLCG1;MAPK13;CLDN1;PECAM1;AFDN;SIPA1;CDC42;VCL;NCF2;RAP1A;PTPN11;VAV2;CLDN9;VAV1;ITGAL;PTK2;PIK3CB;NCF4;MAPK11;GNAI3;BCAR1;MAPK14;PTK2B;ARHGAP35;ITGAM;VCAM1;MYL5;PXN;CXCL12;ROCK2;PIK3CD;RASSF5;PIK3R3;THY1;ROCK1	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7557673495020346	4.10048069276732	0.0	0.0	0.0	48/54	20.10%	RHOA;CDH1;JUNB;PPP1CA;CTNNB1;HDAC1;SERPINE1;FKBP1A;FURIN;IFNGR2;LTBP2;ENG;THBS1;ID3;TGFB1;PPP1R15A;CDK9;SPTBN1;NCOR2;UBE2D3;ID1;SKI;SKIL;KLF10;SMURF1;SLC20A1;ID2;RAB31;WWTR1;XIAP;BMP2;TGIF1;ACVR1;MAP3K7;TRIM33;HIPK2;PMEPA1;TJP1;APC;TGFBR1;PPM1A;SMAD7;SMAD3;ARID4B;BMPR2;BCAR3;SMURF2;CDKN1C	MSigDB_Hallmark_2020	True
prerank	B cell receptor signaling pathway	0.6834405870294772	4.097713385016984	0.0	0.0	0.0	69/79	26.33%	JUN;FOS;RAC1;NFKBIA;CD79A;CD81;MAPK1;INPPL1;RAC2;GRB2;MAPK3;IFITM1;RAF1;MAP2K2;PTPN6;NRAS;NFKBIB;HRAS;VAV2;RELA;AKT1;MAP2K1;LILRB4;RAC3;SYK;AKT2;VAV1;PPP3R1;NFKBIE;PIK3CB;LYN;NFKB1;PPP3CB;PIK3CD;PIK3R3;SOS1;INPP5D;GSK3B;PPP3CA;IKBKB;SOS2;CD19;KRAS;LILRB5;CARD11;PIK3AP1;BTK;BCL10;CHUK;PPP3CC;CD79B;LILRB2;FCGR2B;LILRB1;PIK3R1;LILRB3;CD72;PLCG2;NFATC2;DAPP1;NFATC1;CD22;LILRA6;NFATC3;PIK3CA;PRKCB;IKBKG;BLNK;RASGRP3	KEGG_2021_Human	False
prerank	Prolactin signaling pathway	0.545158255020343	4.0571937855362314	0.0	0.0	0.0	44/70	21.37%	FOS;CCND1;SOCS3;SHC1;MAPK1;GRB2;STAT1;MAPK3;RAF1;SRC;MAP2K2;MAPK13;STAT3;NRAS;HRAS;RELA;AKT1;MAP2K1;STAT5B;AKT2;PIK3CB;MAPK11;FOXO3;MAPK14;IRF1;NFKB1;PIK3CD;STAT5A;PIK3R3;SHC2;SOS1;GSK3B;CCND2;SOS2;CISH;SOCS6;SOCS1;KRAS;SOCS7;GALT;SOCS4;SOCS5;PIK3R1;MAPK8	KEGG_2021_Human	False
