Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Cholesterol Homeostasis	0.7325077652478398	5.617376081120483	0.0	0.0	0.0	55/74	15.61%	S100A11;ACTG1;ANXA5;LGALS3;DHCR7;TNFRSF12A;CD9;MAL2;PMVK;ECH1;SCD;GUSB;CXCL16;SREBF2;PLAUR;ERRFI1;FASN;LGMN;FBXO6;CTNNB1;ALCAM;FDFT1;MVD;ACSS2;ETHE1;TM7SF2;EBP;FADS2;STX5;SQLE;SEMA3B;NSDHL;FDPS;ATF3;LDLR;NFIL3;LSS;IDI1;PCYT2;ATF5;HMGCS1;PNRC1;NIBAN1;CLU;TMEM97;PLSCR1;SC5D;CHKA;TP53INP1;TRIB3;ABCA2;GPX8;ACAT2;HMGCR;MVK	MSigDB_Hallmark_2020	False
prerank	Protein Secretion	0.7547244598635774	4.93534024859161	0.0	0.0	0.0	82/96	18.74%	CD63;KRT18;ARF1;GNAS;SOD1;AP2M1;CLTA;AP2B1;AP2S1;YKT6;COPE;TMED2;SCAMP3;ERGIC3;CLTC;VAMP3;ARCN1;PPT1;TMED10;ICA1;RER1;ARFGAP3;RAB2A;COPB1;SEC31A;LAMP2;PAM;SCRN1;STX16;LMAN1;ARFIP1;ATP1A1;BNIP3;EGFR;USO1;RAB14;MAPK1;ANP32E;STX12;TSG101;AP3S1;SEC24D;M6PR;SGMS1;RAB22A;DNM1L;VAMP7;COPB2;RAB5A;NAPG;STAM;RPS6KA3;CAV2;ATP6V1H;YIPF6;CTSC;TPD52;AP1G1;SEC22B;CLCN3;RAB9A;VPS4B;IGF2R;GBF1;BET1;VPS45;ARFGEF1;AP3B1;ARFGEF2;SCAMP1;GOLGA4;TMX1;NAPA;GLA;ZW10;OCRL;VAMP4;ADAM10;KIF1B;GOSR2;TOM1L1;GALC	MSigDB_Hallmark_2020	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6378449604725892	4.805758616455705	0.0	0.0	0.0	46/70	18.40%	RAC1;ATP6V1F;ATP6V0E1;ATP6V0B;TCIRG1;JUN;NFKBIA;F11R;ATP6V1G1;ATP6AP1;CSK;ATP6V1E1;RELA;GIT1;MAPK13;EGFR;SRC;LYN;CXCL8;CDC42;ATP6V0D1;CASP3;MET;PAK1;PLCG1;ATP6V1D;ATP6V1A;CXCL2;NFKB1;MAPK14;HBEGF;ATP6V1H;ATP6V0A1;ATP6V1B2;PTPN11;ATP6V1C1;ATP6V0E2;TJP1;MAP2K4;IKBKB;CXCL1;ADAM10;MAPK11;MAP3K14;CCL5;NOD1	KEGG_2021_Human	False
prerank	SNARE interactions in vesicular transport	0.7266141808238438	4.2951131498509145	0.0	0.0	0.0	30/33	25.90%	VAMP8;VAMP5;YKT6;VAMP3;STX16;STX1A;BET1L;STX4;STX5;VAMP2;USE1;VAMP7;STX6;SEC22B;BET1;STX8;STX18;BNIP1;STX3;SNAP29;GOSR1;VAMP4;GOSR2;STX19;STX7;STX2;VTI1B;VAMP1;VTI1A;STX17	KEGG_2021_Human	False
prerank	Glioma	0.6459928019207719	4.165053695982074	0.0	0.0	0.0	55/75	23.34%	CCND1;CALM2;CDKN1A;MAP2K2;CALM3;MAPK3;GRB2;SHC1;CALM1;GADD45A;ARAF;BAX;SHC2;NRAS;HRAS;GADD45G;E2F1;EGFR;CDK4;AKT1;MAPK1;GADD45B;PDGFA;TP53;PLCG1;MAP2K1;KRAS;BAK1;PDGFRB;PDGFB;TGFA;AKT2;CAMK2G;CAMK1D;CAMK2D;MTOR;IGF1R;PIK3CD;DDB2;E2F3;SOS1;SOS2;PIK3R3;PIK3R1;PRKCA;PTEN;RB1;BRAF;PIK3CB;E2F2;CDK6;PDGFRA;RAF1;MDM2;CALML6	KEGG_2021_Human	False
prerank	HIF-1 signaling pathway	0.5869979525378515	4.135144691366813	0.0	0.0	0.0	68/109	19.96%	GAPDH;ENO1;RPS6;TIMP1;ELOB;EIF4EBP1;CDKN1A;IFNGR2;LDHA;PGK1;MKNK2;ERBB2;LTBR;RBX1;MAP2K2;MAPK3;ENO2;PFKL;CDKN1B;RELA;SLC2A1;HK1;VEGFA;EDN1;STAT3;IFNGR1;SERPINE1;EGFR;PFKP;AKT1;MAPK1;PFKFB3;EIF4E2;HIF1A;HMOX1;PLCG1;RPS6KB2;MAP2K1;PDHA1;ELOC;LDHB;EP300;NFKB1;AKT2;TFRC;ENO3;CAMK2G;EGLN3;CUL2;ARNT;CAMK2D;MTOR;VHL;PDHB;IGF1R;PIK3CD;INSR;CYBB;CREBBP;IL6R;PFKM;RPS6KB1;PIK3R3;MKNK1;PIK3R1;PRKCA;HK3;HK2	KEGG_2021_Human	False
prerank	Choline metabolism in cancer	0.5769708647291715	4.079780211460424	0.0	0.0	0.0	63/98	23.15%	RAC1;EIF4EBP1;SLC44A4;JUN;MAP2K2;SLC44A2;WASF2;MAPK3;GRB2;PLA2G4A;PLPP2;RHEB;RAC2;NRAS;HRAS;RAC3;EGFR;AKT1;MAPK1;GPCPD1;DGKD;SLC44A3;HIF1A;PDGFC;PDGFA;PIP5K1A;FOS;LYPLA1;DGKQ;PLCG1;RPS6KB2;MAP2K1;KRAS;TSC2;PIP5K1C;PDGFRB;PLD2;PDGFB;DGKA;AKT2;SP1;PCYT1A;CHKA;MTOR;PLPP1;DGKZ;PIK3CD;PLPP3;SLC44A1;RPS6KB1;SOS1;PDGFD;SOS2;PIK3R3;PIK3R1;SLC22A3;PRKCA;MAPK9;PIK3CB;WAS;PDGFRA;RAF1;MAPK8	KEGG_2021_Human	False
prerank	Acute myeloid leukemia	0.6532722029815606	4.073398145245102	0.0	0.0	0.0	51/67	22.57%	JUP;EIF4EBP1;CCND1;MAP2K2;MAPK3;GRB2;CD14;ARAF;RELA;STAT3;PPARD;NRAS;HRAS;AKT1;MAPK1;RARA;DUSP6;CCNA2;BAD;RUNX1;RPS6KB2;MAP2K1;KRAS;PIM1;SPI1;NFKB1;AKT2;TCF7L1;MYC;PML;PIM2;MTOR;STAT5B;TCF7L2;PIK3CD;IKBKB;CSF1R;RPS6KB1;PER2;SOS1;SOS2;PIK3R3;PIK3R1;BCL2A1;STAT5A;ITGAM;BRAF;PIK3CB;CHUK;RAF1;KIT	KEGG_2021_Human	False
prerank	Sphingolipid signaling pathway	0.6187989984534481	4.067632009668699	0.0	0.0	0.0	85/119	23.23%	RAC1;CTSD;RHOA;TNFRSF1A;GNAI2;SGPP2;GNA12;PPP2R1A;MAP2K2;MAPK3;DEGS1;TRADD;RELA;RAC2;BAX;SGPL1;FCER1G;PLCB3;MAPK13;NRAS;HRAS;SMPD1;RAC3;CERS2;CERS4;AKT1;MAPK1;PPP2R5A;PPP2R5B;TRAF2;DEGS2;PPP2R2D;S1PR2;PPP2CB;TP53;PPP2CA;GAB2;ASAH1;SGMS1;MAP2K1;GNAI3;KRAS;SPHK1;PPP2R3C;SPTLC1;BID;PLD2;CERS5;NFKB1;MAPK14;AKT2;PPP2R5C;GNA13;GNAQ;PRKCZ;MAP3K5;ABCC1;PPP2R3B;SMPD2;PIK3CD;SGMS2;PPP2R2A;NSMAF;PPP2R1B;PPP2R5D;PPP2R5E;SPTLC2;MAPK11;ADORA1;ROCK2;PIK3R3;PIK3R1;PRKCA;ROCK1;MAPK9;PTEN;SGPP1;PIK3CB;S1PR4;FYN;RAF1;PPP2R3A;SPHK2;MAPK8;CERS6	KEGG_2021_Human	False
prerank	Proteasome	0.7322665420320618	4.052931893286767	0.0	0.0	0.0	39/46	16.72%	PSMB3;PSMB4;PSMA7;PSMB6;PSMB5;PSMD4;POMP;PSMB1;PSMC3;PSMD2;PSMC4;PSMB2;PSMB7;PSME1;PSMD13;PSMD3;PSMD8;ADRM1;PSMC5;PSME2;PSMA5;PSME3;PSMD11;PSMD1;PSMA3;PSMB8;PSMD14;PSMA4;SEM1;PSMD12;PSMC2;PSME4;PSMF1;PSMC6;PSMD7;PSMB10;PSMB9;PSMD6;PSMA1	KEGG_2021_Human	False
