Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Bacterial invasion of epithelial cells	0.6701311720237588	4.9620148869582525	0.0	0.0	0.0	55/77	17.51%	ACTG1;ACTB;FN1;RHOA;MET;CDH1;RAC1;ACTR2;CTNNA1;ARPC3;CLTC;CTNNB1;SEPTIN2;CTTN;ARPC2;CLTA;RHOG;SEPTIN9;CLTB;CD2AP;WASL;WASF2;SHC1;ARPC4;ACTR3;CRK;ELMO3;ITGB1;SRC;ARPC5;VCL;ARPC5L;CRKL;HCLS1;CDC42;DNM2;SEPTIN11;DOCK1;CAV1;PIK3CB;ARPC1A;PTK2;ITGA5;PIK3CD;MAD2L2;ELMO2;BCAR1;ARHGEF26;SEPTIN8;PXN;SEPTIN6;SHC2;CAV2;WASF1;CBL	KEGG_2021_Human	False
prerank	Cell cycle	0.6960720610912097	4.932865493827152	0.0	0.0	0.0	109/124	25.14%	YWHAZ;YWHAE;SFN;YWHAQ;YWHAG;CCND2;RAD21;PCNA;YWHAB;MCM7;CDKN1B;MCM3;YWHAH;HDAC1;MYC;CDC25B;TFDP1;CDC20;GADD45A;CCND1;PRKDC;TGFB1;E2F4;CDKN1A;CUL1;CCNB1;MCM4;CDK4;ANAPC11;MCM6;GADD45B;CCND3;ANAPC13;ABL1;STAG2;SMC3;PTTG1;RBX1;SMC1A;CDC16;CDK1;ANAPC5;BUB3;E2F1;CCNA2;GADD45G;EP300;ANAPC7;CCNB2;CDK2;MCM2;CDC27;SKP1;MCM5;FZR1;TP53;E2F3;CREBBP;ANAPC2;MAD2L2;WEE1;ZBTB17;CDK7;HDAC2;RBL2;PLK1;SMAD3;CDC26;CDC6;RB1;BUB1;MAD2L1;MDM2;ORC5;CDC7;ORC3;DBF4;CDC23;TFDP2;ORC2;CHEK1;TGFB3;SMAD4;CDKN2D;CDK6;PKMYT1;ANAPC4;CDC45;BUB1B;RBL1;ORC1;STAG1;ESPL1;GSK3B;CCNE1;TTK;ORC4;CDKN2B;CHEK2;CDKN1C;CDKN2C;ORC6;CDC14B;ATM;CDC25A;E2F5;ATR;CCNH;SMAD2	KEGG_2021_Human	False
prerank	Androgen Response	0.6982307798332723	4.862343232330118	0.0	0.0	0.0	85/100	22.73%	B2M;KRT19;KRT8;SAT1;H1-0;SCD;XRCC6;DHCR24;B4GALT1;NDRG1;AZGP1;TMEM50A;ELOVL5;LMAN1;XRCC5;SMS;NCOA4;MYL12A;ITGAV;PA2G4;SLC38A2;UBE2J1;UAP1;CCND1;DBI;ADRM1;SPCS3;GPD1L;SRF;ACTN1;STK39;DNAJB9;INSIG1;CCND3;GSR;HPGD;VAPA;TSC22D1;RPS6KA3;TPD52;ABHD2;PMEPA1;FKBP5;ELL2;ACSL3;IDI1;RAB4A;PDLIM5;AKT1;MAP7;CAMKK2;GNAI3;SPDEF;SEC24D;FADS1;TMPRSS2;PLPP1;RRP12;SGK1;ZMIZ1;ARID5B;ELK4;PTK2B;MERTK;HMGCR;HSD17B14;UBE2I;ABCC4;ZBTB10;MAF;PGM3;HMGCS1;SELENOP;CDK6;STEAP4;APPBP2;ANKH;NGLY1;ADAMTS1;LIFR;GUCY1A1;SLC26A2;TNFAIP8;CDC14B;HOMER2	MSigDB_Hallmark_2020	False
prerank	TGF-beta Signaling	0.7453434813120153	4.564606277963984	0.0	0.0	0.0	45/54	16.68%	RHOA;CDH1;JUNB;CTNNB1;HDAC1;FKBP1A;PPP1CA;FURIN;NCOR2;ENG;TGFB1;UBE2D3;CDK9;IFNGR2;PPP1R15A;RAB31;LTBP2;THBS1;SKI;SPTBN1;KLF10;ID3;SMURF1;ID2;SMURF2;SERPINE1;ACVR1;SLC20A1;PMEPA1;ID1;TJP1;WWTR1;XIAP;TGIF1;SKIL;HIPK2;SMAD7;SMAD3;BMPR2;TRIM33;TGFBR1;PPM1A;MAP3K7;ARID4B;FNTA	MSigDB_Hallmark_2020	True
prerank	Cholesterol Homeostasis	0.725277616251835	4.523239613431403	0.0	0.0	0.0	63/74	22.01%	ACTG1;S100A11;MAL2;LGALS3;ERRFI1;ANXA5;SCD;LGMN;CD9;FASN;CTNNB1;CXCL16;TNFRSF12A;PMVK;CLU;PNRC1;GUSB;ECH1;TMEM97;ALCAM;SREBF2;PLSCR1;PLAUR;DHCR7;SQLE;TP53INP1;ACSS2;FBXO6;SC5D;NFIL3;NIBAN1;FADS2;STX5;ALDOC;ATF3;FDFT1;TRIB3;FDPS;IDI1;LDLR;ATF5;NSDHL;EBP;MVD;CHKA;ANTXR2;ABCA2;SEMA3B;LSS;HMGCR;ACAT2;HMGCS1;PPARG;MVK;TM7SF2;PCYT2;FABP5;HSD17B7;ETHE1;ATXN2;STARD4;GPX8;CPEB2	MSigDB_Hallmark_2020	False
prerank	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.6359142724459531	4.479037727510791	0.0	0.0	0.0	77/89	28.75%	NFKBIA;FOS;STAT1;JUN;HIF1A;MAPK13;STAT3;IFNGR1;PTPN11;MAP2K2;EML4;MYD88;CD4;IFNGR2;NRAS;RELA;MAPK1;MAP2K3;CD3D;PTPN6;MAPK3;HRAS;MAP2K1;PPP3CA;NFKB1;CD3E;PLCG1;BATF;JAK1;MAPK14;EGFR;KRAS;PIK3CB;PPP3R1;TICAM1;PPP3CB;AKT1;NFKBIB;NFKBIE;PIK3CD;PTEN;AKT2;TLR2;RAF1;IKBKB;MAP3K3;MTOR;RPS6KB1;LCK;RPS6KB2;BATF2;CHUK;ZAP70;CD274;PDCD1;PPP3CC;PIK3R3;PIK3R1;NFATC2;CD247;CSNK2A1;BATF3;CSNK2B;MAPK11;RASGRP1;CD3G;JAK2;TRAF6;CSNK2A2;PIK3CA;IFNG;NFATC3;IKBKG;NFATC1;MAPK12;CD28;PRKCQ	KEGG_2021_Human	True
prerank	Mitophagy	0.709659925938082	4.478728199131305	0.0	0.0	0.0	59/68	23.76%	RPS27A;UBC;ATF4;UBA52;UBB;JUN;TOMM7;CITED2;FIS1;RAB7A;HIF1A;SQSTM1;BCL2L1;RHOT2;BNIP3;RRAS;TAX1BP1;PGAM5;NBR1;BNIP3L;NRAS;RELA;SRC;TFE3;GABARAPL2;HRAS;SP1;MFN2;ULK1;E2F1;KRAS;FUNDC1;OPTN;MFN1;CALCOCO2;TBC1D17;GABARAPL1;TP53;BECN1;ATG9A;RHOT1;RAB7B;MAPK9;RRAS2;FOXO3;ATG5;TBC1D15;AMBRA1;BCL2L13;MAPK8;EIF2AK3;USP15;CSNK2A1;TFEB;CSNK2B;TBK1;USP30;PINK1;ATG9B	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7213852920812264	4.362172640030037	0.0	0.0	0.0	65/76	20.83%	NFKBIA;CDKN1B;GRB2;HDAC1;MYC;ARAF;BCL2L1;GADD45A;CCND1;BAX;PTPN11;SHC1;MAP2K2;TGFB1;CDKN1A;TGFBR2;CRK;NRAS;CDK4;RELA;GADD45B;MAPK1;ABL1;MAPK3;HRAS;CRKL;MAP2K1;NFKB1;BAK1;E2F1;KRAS;PIK3CB;STAT5B;RUNX1;CTBP1;MECOM;GADD45G;AKT1;TP53;E2F3;PIK3CD;CTBP2;AKT2;RAF1;HDAC2;IKBKB;SMAD3;BCR;TGFBR1;SOS2;RB1;MDM2;SOS1;BAD;SHC2;STAT5A;CHUK;TGFB3;SMAD4;CBL;GAB2;CDK6;DDB2;PIK3R3;PIK3R1	KEGG_2021_Human	False
prerank	UV Response Dn	0.6610202556119715	4.350425423485121	0.0	0.0	0.0	126/144	30.02%	COL1A1;COL3A1;COL1A2;MET;DUSP1;BHLHE40;CDKN1B;CITED2;CCN1;DDAH1;ERBB2;ANXA2;MYC;F3;LAMC1;IGFBP5;MT1E;SRI;TGFBR2;COL5A2;CDC42BPA;MGLL;INSIG1;ATP2C1;ATP2B4;PDGFRB;ADD3;PIAS3;NEK7;EFEMP1;VAV2;NFKB1;SERPINE1;YTHDC1;MAPK14;GJA1;CAV1;ABCC1;NRP1;NOTCH2;SLC7A1;ID1;COL11A1;FHL2;RUNX1;TJP1;NR3C1;LDLR;PDLIM5;ADORA2B;MTA1;SPOP;NFIB;NR1D2;TFPI;PIK3CD;TENT4A;RXRA;PLPP3;ATRN;PEX14;PTEN;SCAF8;RBPMS;ANXA4;ZMIZ1;SMAD7;SMAD3;RASA2;MRPS31;FYN;SLC22A18;LTBP1;ICA1;NIPBL;PRDM2;FBLN5;DAB2;RND3;PPARG;DLG1;MGMT;IGF1R;CELF2;MIOS;SIPA1L1;ATP2B1;SDC2;ATRX;ATXN1;FZD2;IRS1;DLC1;PIK3R3;PMP22;WDR37;PHF3;DMAC2L;BMPR1A;PRKCA;AGGF1;SFMBT1;SYNJ2;SYNE1;BCKDHB;CDK13;KIT;LPAR1;DYRK1A;MAP2K5;PTPRM;GRK5;PTPN21;ARHGEF9;TOGARAM1;SNAI2;PRKCE;APBB2;ITGB3;PRKAR2B;CAP2;DBP;GCNT1;VLDLR;TGFBR3;ACVR2A	MSigDB_Hallmark_2020	False
prerank	Ubiquitin mediated proteolysis	0.6969490127970065	4.337480865186886	0.0	0.0	0.0	121/140	24.26%	RPS27A;UBC;ELOB;UBA1;UBE2C;UBA52;UBB;SOCS3;PRPF19;UBE2L6;UBE2H;CDC34;UBE2M;CDC20;UBE2J1;UBE2Q1;HUWE1;SYVN1;UBE2D3;UBE2D2;CUL1;UBE2K;DDB1;UBE2R2;UBE2L3;UBE2Z;ANAPC11;UBA2;KEAP1;UBE2B;UBE3C;UBA7;ANAPC13;UBE2N;UBA3;MGRN1;RNF7;PIAS3;SMURF1;TRIP12;UBE2G2;SMURF2;SAE1;BIRC3;RBX1;UBE2O;BIRC2;CDC16;UBR5;CBLC;CUL4A;ANAPC5;UBE2J2;COP1;VHL;UBE2G1;UBE2A;FBXW11;UBE2D1;WWP1;STUB1;ELOC;ITCH;ANAPC7;UBE2S;XIAP;CDC27;SKP1;FZR1;UBE2E3;WWP2;ANAPC2;CUL4B;UBE2Q2;UBE3B;UBE4B;CUL7;CUL2;PML;CDC26;TRIM37;CUL5;KLHL9;UBE2W;MDM2;PPIL2;PIAS4;UBE4A;UBE2I;FANCL;RHOBTB2;UBE2E2;BIRC6;UBE2E1;CDC23;MAP3K1;CBL;CUL3;UBA6;TRIM32;ANAPC4;RHOBTB1;DDB2;FBXW8;SOCS1;BTRC;HERC4;HERC2;FBXO2;UBE3A;RCHY1;HERC1;UBE2F;FBXW7;FBXO4;BRCA1;UBE2D4;PIAS1;CBLB;NEDD4L;NEDD4	KEGG_2021_Human	False
