Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6666062172886037	5.922209588054319	0.0	0.0	0.0	54/70	24.72%	ATP6V0E1;RAC1;NFKBIA;ATP6V1F;MET;JUN;TCIRG1;ATP6V0B;F11R;ATP6V1E1;LYN;ATP6AP1;EGFR;CXCL2;ATP6V1G1;ATP6V0D1;MAPK13;IKBKB;RELA;CCL5;CDC42;CSK;PAK1;ATP6V1A;ATP6V1D;NFKB1;GIT1;ATP6V0A1;ATP6V1C1;PTPN11;ATP6V1B2;CASP3;MAPK14;SRC;HBEGF;MAPK9;ATP6V1H;TJP1;PLCG1;CXCL1;CHUK;ATP6V1C2;MAP2K4;ADAM10;ATP6V0E2;NOD1;CXCL8;MAPK11;MAP3K14;ADAM17;IKBKG;MAPK8;CXCL3;PLCG2	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.679244336732937	5.551183992667977	0.0	0.0	0.0	62/73	26.19%	SFN;IGFBP3;PERP;BCL2L1;CDKN1A;EI24;SHISA5;GADD45A;RRM2B;CCND1;GADD45B;CCND3;BAX;CD82;STEAP3;TP53I3;CYCS;CCNG1;THBS1;TNFRSF10B;CCNB1;GADD45G;SERPINE1;SESN2;SIVA1;CDK4;CASP3;COP1;TSC2;TP53;AIFM2;PTEN;MDM2;DDB2;PIDD1;BID;CDK1;CASP8;CDK2;CCNG2;BBC3;FAS;PMAIP1;SESN3;TNFRSF10A;CCNB2;CASP9;RRM2;GTSE1;MDM4;SESN1;CCND2;RCHY1;CHEK2;CCNE1;PPM1D;GORAB;ZMAT3;APAF1;ATM;CHEK1;SIAH1	KEGG_2021_Human	True
prerank	Leishmaniasis	0.7246957339760977	5.339984576986843	0.0	0.0	0.0	46/74	12.83%	HLA-DRA;HLA-DRB1;HLA-DRB5;MARCKSL1;EEF1A1;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DPB1;FOS;HLA-DQB1;NFKBIA;HLA-DQA1;CYBA;JUN;HLA-DOA;C3;IFNGR2;ITGB2;IRAK1;IFNGR1;MAPK3;MAPK1;NFKBIB;TGFB1;HLA-DMB;MAPK13;STAT1;FCGR3A;PTPN6;NCF4;MYD88;RELA;CYBB;JAK1;NFKB1;NCF2;ITGB1;EEF1A2;FCGR2A;TLR2;ITGAM;MAPK14;TAB2;TAB1;ELK1	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.665033916286219	5.224757948998143	0.0	0.0	0.0	57/69	23.94%	ELOB;RAC1;MET;JUN;GRB2;CDKN1A;MAPK3;MAPK1;EPAS1;MAP2K2;TGFB1;ARAF;VEGFA;RBX1;FH;CRK;PAK4;CDC42;HIF1A;CRKL;PAK1;TFE3;PRCC;PAK2;HRAS;PTPN11;AKT1;VHL;RAPGEF1;ELOC;AKT2;PIK3CD;RAP1A;NRAS;MAP2K1;ETS1;SLC2A1;CREBBP;EP300;KRAS;BAD;TGFA;PIK3R3;ARNT;SOS2;CUL2;RAF1;PIK3CB;SOS1;FLCN;PDGFB;GAB1;RAP1B;EGLN2;PIK3R1;TGFB3;PAK6	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.630701256647438	5.109375977707979	0.0	0.0	0.0	89/101	30.24%	ICAM1;NFKBIA;CD14;TNFRSF1A;BCL2L1;IRAK1;LYN;LY96;CCL19;IL1R1;LTBR;CXCL2;GADD45A;GADD45B;PLAU;IKBKB;TRADD;MYD88;RELA;CCL21;NFKB2;LTB;NFKB1;XIAP;BIRC2;BIRC3;SYK;RELB;TICAM1;GADD45G;BCL2A1;TNFAIP3;CD40;CFLAR;TRAF2;TAB2;TAB1;CARD10;UBE2I;PARP1;PIDD1;TRAF1;TRIM25;CCL13;TRAF3;PIAS4;BCL10;IRAK4;ERC1;PLCG1;CXCL1;RIPK1;MAP3K7;TNFSF13B;CCL4;LCK;CHUK;CCL4L2;BTK;CARD11;VCAM1;ZAP70;CXCL8;CYLD;MAP3K14;TRAF5;CXCL12;IKBKG;PTGS2;CSNK2B;IL1B;TNFRSF13C;CXCL3;BLNK;PLCG2;TAB3;ATM;MALT1;TRAF6;CSNK2A2;CARD14;CSNK2A1;TIRAP;CD40LG;TNF;PRKCB;EDA2R;TLR4;TNFRSF11A	KEGG_2021_Human	False
prerank	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.6227391118381856	4.875459812951488	0.0	0.0	0.0	75/89	28.88%	FOS;NFKBIA;JUN;IFNGR2;IFNGR1;MAPK3;MAPK1;NFKBIB;EGFR;MAP2K2;STAT3;MAPK13;STAT1;CD4;PTPN6;IKBKB;MYD88;RELA;HIF1A;BATF;EML4;MAP2K3;JAK1;NFKB1;NFKBIE;HRAS;PTPN11;AKT1;PPP3CA;TICAM1;MTOR;AKT2;PIK3CD;CD3D;NRAS;TLR2;PPP3R1;MAP2K1;MAPK14;PTEN;CD3E;KRAS;PIK3R3;PPP3CB;RPS6KB2;MAP3K3;PLCG1;RAF1;PIK3CB;LCK;BATF2;CHUK;ZAP70;MAPK11;RPS6KB1;BATF3;PPP3CC;PIK3R1;IKBKG;CSNK2B;CD274;RASGRP1;CD247;EGF;NFATC2;PDCD1;TRAF6;NFATC3;CSNK2A2;CSNK2A1;CD28;TIRAP;JAK2;CD3G;NFATC1	KEGG_2021_Human	True
prerank	Myc Targets V2	0.712652884862035	4.653564154624019	0.0	0.0	0.0	50/57	23.30%	SRM;NPM1;DCTPP1;CBX3;NOLC1;HSPD1;HK2;MAP3K6;FARSA;EXOSC5;PA2G4;SLC29A2;MRTO4;PES1;TMEM97;IMP4;GNL3;NOC4L;BYSL;PPRC1;MCM5;UNG;CDK4;NOP56;HSPE1;RRP9;MYC;MYBBP1A;TBRG4;TFB2M;AIMP2;DDX18;MCM4;PLK1;MPHOSPH10;RRP12;NIP7;WDR43;PUS1;GRWD1;DUSP2;WDR74;SUPV3L1;RABEPK;NOP16;SLC19A1;TCOF1;UTP20;NDUFAF4;PRMT3	MSigDB_Hallmark_2020	True
prerank	Inositol phosphate metabolism	0.633159727855343	4.419072730715646	0.0	0.0	0.0	59/73	26.95%	TPI1;CDIPT;INPPL1;ITPKC;ISYNA1;PIP4K2C;IMPA2;ITPKA;PI4KB;PI4K2B;IMPA1;PLCB3;PIP4K2B;PI4K2A;PIK3CD;PIP5KL1;PI4KA;PIP4K2A;INPP5K;MINPP1;PIP5K1C;PTEN;MTMR14;PIP5K1A;ITPK1;MTMR6;MTMR1;PLCB2;INPP1;MTM1;PIK3C2B;INPP5D;ITPKB;OCRL;PLCG1;INPP5A;PLCH2;MTMR4;PIK3CB;PLCD1;SACM1L;PIK3C2A;INPP5B;INPP5E;INPP5J;PLCH1;INPP4A;ALDH6A1;INPP5F;MIOX;PIKFYVE;SYNJ1;IPMK;PLCG2;MTMR3;PLCE1;INPP4B;MTMR2;PIK3CG	KEGG_2021_Human	False
prerank	RNA degradation	0.6706176508193761	4.382700854599927	0.0	0.0	0.0	65/76	23.77%	ENO1;PABPC1;BTG2;PFKL;BTG3;LSM4;CNOT8;ENO2;LSM2;LSM7;HSPD1;BTG1;EXOSC4;EXOSC5;HSPA9;TOB2;TOB1;PABPC4;XRN2;PFKP;PABPC1L;DDX6;NUDT16;PARN;CNOT9;EXOSC10;EXOSC1;CNOT1;CNOT3;PATL1;LSM3;TENT4A;CNOT6;DCP1B;EDC4;EXOSC6;MPHOSPH6;PAN3;PNPT1;DCP2;PAN2;EXOSC8;PFKM;MTREX;ZCCHC7;C1D;LSM5;DIS3;CNOT7;EXOSC9;CNOT2;LSM1;CNOT10;DHX36;EDC3;EXOSC2;DIS3L;CNOT6L;DCP1A;EXOSC7;DCPS;CNOT4;XRN1;LSM8;LSM6	KEGG_2021_Human	False
prerank	C-type lectin receptor signaling pathway	0.5755537500549446	4.330441905092089	0.0	0.0	0.0	77/104	27.39%	NFKBIA;RHOA;CALM2;JUN;RRAS;FCER1G;MAPKAPK2;CALM1;MAPK3;MAPK1;ITPR3;BCL3;CALM3;STAT2;MAPK13;STAT1;PRKCD;IKBKB;RELA;PAK1;NFKB2;NFKB1;HRAS;PTPN11;LSP1;SYK;AKT1;RELB;PPP3CA;CLEC7A;RRAS2;AKT2;PIK3CD;NRAS;PLK3;PYCARD;PPP3R1;CASP1;MAPK14;SRC;KRAS;PIK3R3;MAPK9;MDM2;PPP3CB;ARHGEF12;NFATC4;CASP8;BCL10;IRF1;EGR2;RAF1;PIK3CB;CBLB;CCL22;IKBKE;CHUK;CCL17;MAPK11;CYLD;MAP3K14;PPP3CC;ITPR2;PIK3R1;MRAS;IKBKG;MAPK8;PTGS2;IL1B;IL23A;PLCG2;IRF9;KSR1;NFATC2;MALT1;CARD9;NFATC3	KEGG_2021_Human	False
