Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.7274052039850718	4.8849540935750815	0.0	0.0	0.0	87/97	23.97%	CD74;HLA-C;LGALS3BP;B2M;LY6E;IFITM3;BST2;ISG15;PSME1;IFI27;TXNIP;C1S;IFITM2;ADAR;CD47;UBE2L6;IRF7;PSMA3;WARS1;PSME2;LAP3;CNP;STAT2;RIPK2;TAP1;PSMB8;IFITM1;NCOA7;OAS1;IFI35;IL4R;PLSCR1;PARP14;IFI44;PROCR;ELF1;TRIM26;OGFR;TRAFD1;NUB1;CSF1;IFIT3;UBA7;TRIM21;PARP9;DDX60;CMTR1;MOV10;SLC25A28;IRF2;GBP2;TRIM14;PARP12;SAMD9L;MX1;DHX58;HELZ2;CXCL10;PSMB9;CASP8;PNPT1;MVB12A;TENT5A;EIF2AK2;NMI;TMEM140;CASP1;TRIM5;SAMD9;IFIT2;OASL;LPAR6;IFIH1;HERC6;IRF1;TRIM25;SP110;EPSTI1;GBP4;RSAD2;BATF2;USP18;IFI44L;TDRD7;GMPR;RTP4;ISG20	MSigDB_Hallmark_2020	True
prerank	Myc Targets V2	0.7538770568934101	4.786821446745515	0.0	0.0	0.0	52/57	22.01%	NPM1;HSPD1;CBX3;NOP56;GNL3;SRM;NOLC1;PA2G4;MYC;MRTO4;MCM4;FARSA;CDK4;WDR43;UNG;NOP16;RRP9;BYSL;TMEM97;PES1;DCTPP1;MAP3K6;IMP4;MYBBP1A;NOC4L;TFB2M;DDX18;TBRG4;PPRC1;SLC29A2;MPHOSPH10;HK2;NIP7;HSPE1;EXOSC5;RRP12;AIMP2;GRWD1;TCOF1;PUS1;MCM5;UTP20;WDR74;PRMT3;SUPV3L1;RCL1;LAS1L;RABEPK;SLC19A1;NDUFAF4;PLK1;DUSP2	MSigDB_Hallmark_2020	True
prerank	Cholesterol Homeostasis	0.7238660594348969	4.781730385816196	0.0	0.0	0.0	62/74	22.27%	ACTG1;S100A11;LGALS3;ERRFI1;MAL2;ANXA5;SCD;CTNNB1;TNFRSF12A;LGMN;CD9;FASN;PMVK;CXCL16;FDFT1;CLU;PLAUR;ALCAM;PNRC1;TRIB3;ECH1;GUSB;PLSCR1;TMEM97;HMGCR;GPX8;SC5D;ALDOC;SQLE;DHCR7;NSDHL;NFIL3;SREBF2;STX5;TP53INP1;LPL;FBXO6;EBP;LDLR;TM7SF2;ATF5;ABCA2;ETHE1;ANTXR2;LSS;HMGCS1;PCYT2;CPEB2;FDPS;MVD;ACSS2;NIBAN1;JAG1;ATF3;ATXN2;PPARG;IDI1;MVK;ACAT2;FADS2;SEMA3B;PDK3	MSigDB_Hallmark_2020	False
prerank	PI3K/AKT/mTOR  Signaling	0.6597553389276549	4.7699487102705	0.0	0.0	0.0	89/105	27.27%	HSP90B1;CALR;PFN1;ARF1;SFN;CFL1;CDKN1A;RAC1;SQSTM1;AP2M1;CLTC;ACTR2;TNFRSF1A;ARPC3;ARHGDIA;YWHAB;GRB2;SLC2A1;MKNK2;RALB;DUSP3;UBE2D3;PPP1CA;STAT2;MAP2K3;CDKN1B;PTPN11;CXCR4;ACTR3;GRK2;CAB39;MYD88;TRIB3;CDK4;RPS6KA1;RIT1;MAPK1;RPS6KA3;MAPK9;HRAS;AKT1;UBE2N;PRKAG1;PRKAR2A;EGFR;PLCG1;ATF1;PLA2G12A;DDIT3;ACACA;TSC2;NFKBIB;ECSIT;MAPKAP1;MAP3K7;CDK2;PAK4;RPTOR;AKT1S1;RAF1;TRAF2;PIN1;THEM4;PTEN;CDK1;DAPP1;RIPK1;GNA14;MKNK1;IRAK4;NCK1;GSK3B;E2F1;PPP2R1B;PIKFYVE;ITPR2;TBK1;EIF4E;MAPK8;SLA;CSNK2B;SMAD2;IL2RG;VAV3;PDK1;CAB39L;PITX2;NOD1;TIAM1	MSigDB_Hallmark_2020	True
prerank	TGF-beta Signaling	0.7710068638508665	4.75805025633862	0.0	0.0	0.0	46/54	16.20%	RHOA;CDH1;CTNNB1;THBS1;PMEPA1;FKBP1A;JUNB;KLF10;FURIN;RAB31;LTBP2;IFNGR2;UBE2D3;NCOR2;PPP1CA;HDAC1;ID3;SLC20A1;PPP1R15A;ENG;CDK9;SKI;TGFB1;ACVR1;SMURF1;SPTBN1;ID2;TJP1;WWTR1;ID1;FNTA;XIAP;SERPINE1;SMAD7;SKIL;SMURF2;BMP2;SMAD3;TGFBR1;BMPR2;TGIF1;MAP3K7;TRIM33;PPM1A;HIPK2;ARID4B	MSigDB_Hallmark_2020	True
prerank	NF-kappa B signaling pathway	0.6428031143720042	4.604497843543451	0.0	0.0	0.0	74/101	26.30%	ICAM1;PLAU;TNFRSF1A;NFKBIA;CD14;IRAK1;BCL2L1;LTBR;LYN;CXCL2;GADD45A;RELA;IL1R1;MYD88;GADD45B;LY96;IKBKB;TRADD;NFKB1;CXCL8;NFKB2;XIAP;TICAM1;BIRC2;PTGS2;BCL10;TNFAIP3;VCAM1;PARP1;CCL13;PLCG1;CFLAR;SYK;BCL2A1;TAB2;RELB;BIRC3;GADD45G;CXCL1;MAP3K7;TRAF3;UBE2I;EDA2R;CARD10;CXCL12;CCL19;CD40;TAB1;TRAF2;TRAF5;CSNK2A1;PIAS4;RIPK1;TAB3;IRAK4;LTB;ERC1;CYLD;CHUK;TRAF1;TRIM25;TNFSF13B;PIDD1;CARD11;MALT1;MAP3K14;CCL21;ATM;BTK;CSNK2A2;CSNK2B;TRAF6;IKBKG;CCL4	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6425253576419143	4.52405850948856	0.0	0.0	0.0	47/70	20.85%	ATP6V0E1;RAC1;JUN;NFKBIA;ATP6V1F;TCIRG1;LYN;ATP6AP1;ATP6V0B;F11R;CXCL2;ATP6V1E1;ATP6V1B2;SRC;PTPN11;ATP6V1C1;RELA;MET;ATP6V1G1;ATP6V1H;ATP6V1A;MAPK13;CSK;ATP6V1D;CDC42;IKBKB;CASP3;ATP6V0D1;MAPK9;GIT1;NFKB1;ATP6V0A1;CXCL8;TJP1;PAK1;MAPK14;EGFR;PLCG1;HBEGF;CXCL1;CCL5;ADAM10;MAP2K4;CHUK;ADAM17;MAPK11;ATP6V0E2	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7220903053575569	4.468374872585232	0.0	0.0	0.0	64/76	20.50%	CDKN1A;CCND1;NFKBIA;BCL2L1;GRB2;SHC1;HDAC1;GADD45A;MYC;TGFBR2;BAX;CDKN1B;PTPN11;RELA;CRK;MAPK3;NRAS;GADD45B;TGFB1;CDK4;ARAF;MAP2K1;IKBKB;MAPK1;MAP2K2;NFKB1;CRKL;KRAS;HRAS;AKT1;CTBP1;ABL1;BAK1;RUNX1;MDM2;STAT5B;BCR;SHC2;E2F3;SMAD3;TGFBR1;GADD45G;PIK3R1;TP53;RB1;PIK3CB;DDB2;AKT2;SOS2;TGFB3;PIK3CD;RAF1;SOS1;MECOM;HDAC2;POLK;SMAD4;CDKN2A;STAT5A;BAD;CTBP2;CHUK;E2F1;CBL	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6931343042907316	4.40963635765535	0.0	0.0	0.0	48/74	16.07%	HLA-DRA;HLA-DRB1;HLA-DRB5;EEF1A1;MARCKSL1;EEF1A2;HLA-DQB1;JUN;NFKBIA;HLA-DPA1;CYBA;IRAK1;FCGR3A;HLA-DQA1;HLA-DPB1;HLA-DMA;FOS;IFNGR2;ITGB2;STAT1;C3;IFNGR1;ITGB1;RELA;MAPK3;CYBB;MYD88;TGFB1;PTPN6;MAPK13;MAPK1;NCF2;NFKB1;FCGR2A;ELK1;JAK1;MAPK14;HLA-DMB;PTGS2;HLA-DOA;HLA-DQA2;TAB2;ITGAM;NFKBIB;MAP3K7;TGFB3;TAB1;NCF4	KEGG_2021_Human	False
prerank	Peroxisome	0.5976632068324791	4.289955501972768	0.0	0.0	0.0	61/81	25.82%	PRDX5;PRDX1;SOD1;PMVK;IDH2;ACSL1;PEX11B;GSTK1;GNPAT;ECH1;IDH1;ACSL5;SCP2;PEX6;CAT;ACOX1;NUDT12;ACSL4;ABCD3;PEX19;PEX13;PEX5;PEX2;FAR1;CRAT;PEX14;HMGCL;ACSL3;MPV17;HSD17B4;PEX16;PHYH;NUDT19;ACAA1;ACOX2;AGPS;SLC27A2;ACOX3;SLC25A17;ABCD4;DECR2;ACOT8;ABCD1;CROT;MPV17L2;EPHX2;MVK;EHHADH;ECI2;PEX10;PEX3;DHRS4;PEX1;PECR;PEX11G;PEX12;PXMP4;PEX11A;PEX26;HACL1;XDH	KEGG_2021_Human	False
