Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Cholesterol Homeostasis	0.7436282267406984	6.315349702188675	0.0	0.0	0.0	60/74	19.68%	ACTG1;S100A11;MAL2;ERRFI1;SQLE;LGALS3;ANXA5;FASN;SCD;LGMN;PMVK;CTNNB1;CD9;TNFRSF12A;PNRC1;NFIL3;GUSB;TP53INP1;ECH1;DHCR7;SREBF2;PLAUR;FDFT1;ALCAM;FBXO6;TMEM97;STX5;CXCL16;NSDHL;TM7SF2;ETHE1;SC5D;TRIB3;PLSCR1;IDI1;FABP5;EBP;ATF5;FDPS;MVD;CLU;ANTXR2;GPX8;SEMA3B;CPEB2;LSS;HMGCR;ALDOC;ACSS2;ACAT2;PCYT2;ATF3;MVK;FADS2;JAG1;ABCA2;LPL;CHKA;LDLR;ATXN2	MSigDB_Hallmark_2020	False
prerank	Prostate cancer	0.6149532002010292	5.144459514180646	0.0	0.0	0.0	83/97	28.58%	HSP90AB1;GSTP1;HSP90B1;HSP90AA1;ATF4;NFKBIA;SPINT1;MMP9;PLAU;CREB3L2;ERBB2;CTNNB1;CCND1;ARAF;GRB2;CREB3;CDKN1A;PDGFRB;CREB3L4;MAP2K2;CDKN1B;NRAS;MAPK3;HRAS;RELA;MAPK1;AKT1;CREB3L1;MAP2K1;KRAS;PDGFB;NFKB1;PLAT;EP300;PTEN;E2F3;MTOR;TCF7L1;SOS1;TGFA;PIK3CB;CREBBP;AKT2;TMPRSS2;IGF1R;RB1;E2F1;CHUK;CDK2;TCF7L2;EGFR;BAD;SOS2;CASP9;PDGFA;RAF1;ETV5;PDGFC;PDGFRA;IKBKB;PIK3CD;PIK3R3;CREB1;TP53;MDM2;PDPK1;FOXO1;LEF1;PIK3R1;FGFR1;GSK3B;CCNE1;ZEB1;AR;PDGFD;IKBKG;ERG;IL1R2;E2F2;PIK3CA;TCF7;BRAF;CCNE2	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7554726987925103	4.889676329467385	0.0	0.0	0.0	51/57	19.97%	SRM;NOLC1;HSPD1;CBX3;NPM1;MYC;GNL3;PA2G4;MRTO4;FARSA;BYSL;NOP56;WDR43;PES1;IMP4;NOC4L;MYBBP1A;TBRG4;PPRC1;RRP12;TFB2M;EXOSC5;TMEM97;UNG;RRP9;CDK4;DCTPP1;SUPV3L1;HSPE1;DDX18;PUS1;MPHOSPH10;MAP3K6;RABEPK;NIP7;SLC29A2;MCM4;SLC19A1;AIMP2;NOP16;GRWD1;WDR74;MCM5;NDUFAF4;HK2;PLK1;LAS1L;TCOF1;PRMT3;UTP20;RCL1	MSigDB_Hallmark_2020	True
prerank	Legionellosis	0.6341544874227627	4.835864414337762	0.0	0.0	0.0	44/57	26.71%	EEF1A1;ARF1;HSPA8;NFKBIA;C3;HSPD1;RAB1A;VCP;HSPA1A;HSPA1B;RAB1B;NFKB2;CD14;SAR1A;CXCL2;CXCL8;CYCS;RELA;MYD88;CLK1;BNIP3;HSF1;CASP7;CASP3;ITGB2;EEF1A2;NFKB1;CXCL1;BCL2L13;SEC22B;SAR1B;CASP8;HBS1L;CASP9;IL18;HSPA6;IL6;PYCARD;APAF1;CLK4;HSPA2;TNF;ITGAM;CASP1	KEGG_2021_Human	False
prerank	Adherens junction	0.6680563447104353	4.813367422781385	0.0	0.0	0.0	61/71	24.93%	ACTG1;ACTB;RHOA;RAC1;CTNNA1;NECTIN2;PTPRF;ACTN4;CDH1;ERBB2;CTNNB1;NECTIN4;ACTN1;ACP1;VCL;WASF2;WASL;MAPK3;TGFBR1;RAC2;SRC;IQGAP1;PARD3;MAPK1;YES1;LMO7;PTPN1;CDC42;MET;RAC3;TGFBR2;PTPN6;AFDN;EP300;TJP1;SNAI1;TCF7L1;MAP3K7;INSR;CREBBP;SMAD3;NECTIN1;IGF1R;PTPRM;TCF7L2;EGFR;BAIAP2;SMAD4;WASF1;NLK;SNAI2;CSNK2A1;LEF1;FYN;PTPRJ;CSNK2B;FGFR1;FARP2;CSNK2A2;SSX2IP;WAS	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6736181125434445	4.70848683420635	0.0	0.0	0.0	53/69	19.15%	ELOB;EPAS1;RAC1;JUN;SLC2A1;ELOC;VEGFA;HIF1A;FH;ARAF;GRB2;CDKN1A;TGFB1;MAP2K2;NRAS;CRKL;MAPK3;HRAS;PTPN11;PRCC;TFE3;MAPK1;AKT1;CRK;ARNT;MAP2K1;RBX1;EGLN3;KRAS;CDC42;PAK2;MET;PAK4;CUL2;PDGFB;RAPGEF1;RAP1A;PAK1;EP300;VHL;ETS1;SOS1;TGFB3;TGFA;PIK3CB;CREBBP;AKT2;BAD;SOS2;RAF1;ARNT2;PIK3CD;PIK3R3	KEGG_2021_Human	False
prerank	Basal cell carcinoma	0.5739167128369291	4.461353437186024	0.0	0.0	0.0	40/63	26.27%	DVL1;GADD45A;CTNNB1;GADD45B;CDKN1A;FZD6;GADD45G;BAX;DVL3;FZD1;BAK1;AXIN1;WNT1;TCF7L1;SUFU;WNT7B;WNT10B;TCF7L2;DVL2;BMP2;WNT3;FZD5;WNT4;WNT5A;FZD7;FZD4;TP53;WNT2;LEF1;BMP4;GSK3B;SMO;FZD3;DDB2;FZD2;WNT9A;GLI3;AXIN2;FZD8;APC	KEGG_2021_Human	False
prerank	VEGF signaling pathway	0.627167327178371	4.366004201305504	0.0	0.0	0.0	39/59	19.15%	HSPB1;RAC1;MAPKAPK2;VEGFA;PLA2G4A;MAP2K2;NRAS;MAPK3;HRAS;RAC2;SRC;MAPK13;PPP3CB;MAPK1;AKT1;MAP2K1;PPP3CA;KRAS;CDC42;PPP3R1;RAC3;PLCG1;PTGS2;SPHK1;MAPK14;MAPKAPK3;SHC2;PIK3CB;AKT2;KDR;PXN;PTK2;BAD;SH2D2A;CASP9;RAF1;PIK3CD;PPP3CC;PIK3R3	KEGG_2021_Human	False
prerank	N-Glycan biosynthesis	0.6450595010774429	4.347093915109656	0.0	0.0	0.0	40/50	23.91%	DAD1;RPN2;DDOST;GANAB;B4GALT1;RPN1;DPM2;STT3B;MOGS;DPM3;DPM1;ALG3;B4GALT3;MGAT4B;STT3A;B4GALT2;MAN1A1;MAN1B1;DPAGT1;MGAT1;ALG2;ALG5;ALG8;DOLK;DOLPP1;MGAT4A;MGAT5;MAN1A2;FUT8;ST6GAL1;SRD5A3;MAN2A2;ALG1;MAN2A1;ALG13;ALG6;ALG12;ALG9;MGAT5B;TUSC3	KEGG_2021_Human	False
prerank	Thyroid cancer	0.7397055907059422	4.3266808135456305	0.0	0.0	0.0	26/37	15.23%	MYC;GADD45A;CDH1;NCOA4;CTNNB1;CCND1;GADD45B;CDKN1A;TPM3;MAP2K2;NRAS;MAPK3;HRAS;GADD45G;MAPK1;BAX;CCDC6;MAP2K1;RXRB;KRAS;TPR;BAK1;TFG;TCF7L1;RXRA;TCF7L2	KEGG_2021_Human	False
