Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Myc Targets V2	0.7570350205700903	5.119317056698795	0.0	0.0	0.0	53/57	21.14%	HSPD1;NPM1;SRM;CBX3;FARSA;NOLC1;PA2G4;GNL3;NOP56;DCTPP1;MCM4;UNG;NOC4L;MRTO4;PES1;PLK1;HSPE1;RRP9;TBRG4;BYSL;SLC29A2;IMP4;CDK4;EXOSC5;TFB2M;MYBBP1A;DDX18;HK2;MAP3K6;WDR43;MYC;AIMP2;MCM5;TMEM97;PUS1;PPRC1;RRP12;NIP7;TCOF1;SUPV3L1;WDR74;MPHOSPH10;GRWD1;RABEPK;NOP16;DUSP2;NDUFAF4;UTP20;SLC19A1;PRMT3;LAS1L;SORD;RCL1	MSigDB_Hallmark_2020	True
prerank	Protein Secretion	0.7235293248665843	5.024660950306407	0.0	0.0	0.0	84/96	21.47%	KRT18;CD63;ARF1;SOD1;TMED2;LMAN1;ARCN1;TMED10;AP2M1;GNAS;ERGIC3;PPT1;SCAMP3;VAMP3;AP2B1;AP2S1;ANP32E;COPB1;CLTA;CLTC;COPE;USO1;RER1;TSG101;RAB2A;YKT6;RAB14;SCRN1;STX16;ATP1A1;ARFGAP3;MAPK1;SEC31A;M6PR;DNM1L;RAB5A;BNIP3;COPB2;TMX1;RAB9A;STX12;ATP6V1H;VPS4B;ZW10;CTSC;AP3S1;ICA1;LAMP2;ARFGEF2;VAMP7;SNX2;TPD52;AP1G1;YIPF6;ARFIP1;NAPG;CLCN3;PAM;RPS6KA3;AP3B1;GOLGA4;GALC;VPS45;ARFGEF1;STAM;RAB22A;OCRL;IGF2R;ADAM10;BET1;NAPA;SEC24D;SEC22B;EGFR;CAV2;GBF1;SGMS1;SCAMP1;GOSR2;GLA;TOM1L1;VAMP4;COG2;STX7	MSigDB_Hallmark_2020	False
prerank	Renal cell carcinoma	0.6435474179286818	4.951893836406096	0.0	0.0	0.0	56/69	24.95%	RAC1;ELOB;EPAS1;MAPK3;GRB2;JUN;SLC2A1;HIF1A;FH;ARAF;CDKN1A;MAP2K2;TFE3;NRAS;PAK1;PAK2;PRCC;HRAS;MAP2K1;MAPK1;PTPN11;RBX1;CRK;ELOC;MET;RAPGEF1;CRKL;CDC42;PAK4;TGFB1;EGLN3;RAP1A;AKT1;CUL2;VEGFA;ETS1;ARNT;VHL;EP300;BAD;PIK3CB;TGFA;SOS1;CREBBP;AKT2;KRAS;PDGFB;RAF1;PIK3CD;SOS2;ARNT2;FLCN;RAP1B;PIK3R3;TGFB3;PAK6	KEGG_2021_Human	False
prerank	Neurotrophin signaling pathway	0.5888748361844761	4.791842231321058	0.0	0.0	0.0	81/119	24.83%	NFKBIA;RAC1;YWHAE;ATF4;RHOA;BEX3;ARHGDIA;SHC1;MAPK3;CALM2;GRB2;JUN;IRAK1;ARHGDIB;CALM3;MAGED1;MAPKAPK2;CALM1;RELA;BAX;MAP2K2;NRAS;MAPK13;HRAS;PRKCD;NFKBIE;MAP2K1;IKBKB;MAPK1;RPS6KA1;PTPN11;NFKBIB;CRK;SH2B1;RAPGEF1;CRKL;CDC42;TP53;RIPK2;CAMK2G;RAP1A;MAPK14;AKT1;ABL1;SORT1;PSEN1;NFKB1;MAPK9;RPS6KA3;PRDM4;IRAK2;BAD;PIK3CB;MAP2K7;PLCG1;SOS1;IRAK4;AKT2;MAP3K5;CAMK2D;KRAS;FOXO3;RAF1;ZNF274;RPS6KA2;PIK3CD;SOS2;SH2B3;MAPK8;KIDINS220;SHC2;GSK3B;MAP2K5;MAPK7;MAP3K3;FRS2;MAPK11;RAP1B;MAP3K1;PIK3R3;IRS1	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7223087153616211	4.702820313725949	0.0	0.0	0.0	43/70	9.17%	HLA-C;HLA-B;HLA-DRA;CD74;HLA-A;HLA-DRB1;B2M;HSP90AB1;CALR;HLA-E;HSPA8;HSPA5;CANX;HSP90AA1;HLA-DRB5;PDIA3;TAPBP;PSME1;CTSB;HLA-DPA1;HSPA1A;PSME2;HLA-DMA;HLA-DQA2;HSPA1B;TAP1;CTSL;LGMN;HLA-DPB1;HSPA4;HLA-F;CTSS;HLA-DOA;HLA-DQA1;PSME3;RFX5;HLA-DQB1;CD4;TAP2;HLA-DMB;RFXANK;HSPA6;NFYA	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7692833814618655	4.571091560326765	0.0	0.0	0.0	37/48	13.30%	FTL;GPX4;JUNB;TXN;NQO1;TXNRD1;PRDX6;PRDX1;SOD1;PRDX4;MGST1;NDUFB4;PDLIM1;NDUFA6;G6PD;GCLC;GSR;PRDX2;SELENOS;ABCC1;PRNP;PFKP;STK25;LAMTOR5;PTPA;GPX3;NDUFS2;CAT;SBNO2;OXSR1;GCLM;HMOX2;ATOX1;FES;LSP1;SCAF4;CDKN2D	MSigDB_Hallmark_2020	False
prerank	RNA degradation	0.6728234762441165	4.560371849234947	0.0	0.0	0.0	65/76	22.52%	ENO1;PABPC1;HSPD1;LSM4;LSM2;HSPA9;PFKL;TOB1;BTG1;PATL1;BTG3;PARN;BTG2;XRN2;PFKP;EXOSC4;PABPC1L;LSM7;LSM1;EXOSC5;CNOT6;CNOT8;CNOT9;TOB2;PNPT1;PFKM;EXOSC10;TENT4A;PABPC4;DDX6;EDC3;EDC4;EXOSC6;LSM5;CNOT1;LSM3;MPHOSPH6;CNOT3;NUDT16;EXOSC1;EXOSC8;PAN3;CNOT10;MTREX;EXOSC2;CNOT7;DHX36;EXOSC9;ENO3;C1D;DCPS;ZCCHC7;DIS3L;XRN1;CNOT2;ENO2;DIS3;DCP1A;EXOSC7;DCP1B;CNOT6L;PAN2;CNOT4;LSM6;TENT4B	KEGG_2021_Human	False
prerank	Legionellosis	0.6980246874434517	4.553252466752619	0.0	0.0	0.0	36/57	12.21%	C3;HSPA8;EEF1A1;ARF1;NFKBIA;HSPD1;CD14;HSPA1A;HSPA1B;RAB1B;RAB1A;CXCL2;CXCL8;VCP;NFKB2;CYCS;HSF1;RELA;SAR1A;CLK1;ITGB2;IL18;PYCARD;MYD88;CASP8;CASP1;CASP7;BNIP3;CASP3;CXCL3;HSPA6;CASP9;NFKB1;BCL2L13;SAR1B;CXCL1	KEGG_2021_Human	False
prerank	Glioma	0.6049583403296945	4.49344978505907	0.0	0.0	0.0	49/75	21.33%	SHC1;MAPK3;CALM2;GRB2;CCND1;CALM3;CALM1;ARAF;CDKN1A;GADD45B;BAX;MAP2K2;NRAS;HRAS;E2F1;MAP2K1;CDK4;IGF1R;GADD45A;MAPK1;BAK1;DDB2;GADD45G;TP53;CAMK2G;PDGFRB;AKT1;PIK3CB;MTOR;CDKN2A;RB1;PLCG1;TGFA;SOS1;E2F3;PTEN;AKT2;EGFR;CAMK2D;KRAS;PDGFB;MDM2;RAF1;PDGFRA;PDGFA;PIK3CD;SOS2;CDK6;SHC2	KEGG_2021_Human	False
prerank	Proteasome	0.7645028239204241	4.392779680646695	0.0	0.0	0.0	36/46	11.78%	PSME1;PSMB4;PSMA7;PSMB3;PSMB5;PSMC3;PSME2;PSMB6;POMP;PSMD4;PSMD2;PSMB8;PSMB9;PSMB7;PSMB1;PSMB2;ADRM1;PSMD13;PSMC4;PSMA3;PSMD8;PSMD3;PSMB10;PSMC5;PSMA5;PSMA4;PSME3;PSMD11;PSMD7;PSMD12;PSMC6;PSME4;PSMC2;PSMD1;PSMF1;SEM1	KEGG_2021_Human	False
