Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	TGF-beta Signaling	0.7451101622604228	5.4153106757228455	0.0	0.0	0.0	46/54	19.09%	JUNB;ID1;SERPINE1;RHOA;FURIN;ID3;THBS1;ENG;LTBP2;CTNNB1;FKBP1A;PPP1CA;ID2;PPP1R15A;CDH1;RAB31;CDK9;TGFB1;IFNGR2;HDAC1;PMEPA1;NCOR2;UBE2D3;SKI;TGIF1;KLF10;TGFBR1;SMURF1;WWTR1;SLC20A1;SPTBN1;ACVR1;SMAD7;SKIL;BMP2;XIAP;CDKN1C;SMURF2;TJP1;HIPK2;SMAD3;BMPR2;MAP3K7;PPM1A;ARID4B;FNTA	MSigDB_Hallmark_2020	True
prerank	Myc Targets V2	0.7398948354371285	5.382794522759347	0.0	0.0	0.0	50/57	20.12%	NPM1;HSPD1;CBX3;SRM;FARSA;NOLC1;NOP56;DCTPP1;PA2G4;TMEM97;MYC;PES1;GNL3;NOC4L;EXOSC5;BYSL;CDK4;UNG;IMP4;TFB2M;TBRG4;MRTO4;RRP9;PPRC1;MYBBP1A;AIMP2;DUSP2;RRP12;HSPE1;MAP3K6;SLC29A2;MCM5;DDX18;WDR43;PUS1;NOP16;SUPV3L1;TCOF1;MPHOSPH10;GRWD1;MCM4;NIP7;RABEPK;WDR74;NDUFAF4;SLC19A1;PLK1;LAS1L;RCL1;UTP20	MSigDB_Hallmark_2020	True
prerank	Adherens junction	0.6593268537632808	5.280826647075041	0.0	0.0	0.0	63/71	26.30%	ACTG1;ACTB;RAC1;RHOA;NECTIN2;CTNNA1;ACTN4;CTNNB1;ERBB2;CDH1;RAC2;SRC;PTPN1;MAPK3;NECTIN4;ACTN1;PTPN6;WASF2;TGFBR2;WASL;IQGAP1;MAPK1;ACP1;VCL;PTPRF;TGFBR1;INSR;YES1;AFDN;TCF7L1;FGFR1;CDC42;RAC3;PARD3;WAS;CREBBP;NLK;EP300;SNAI1;PTPRM;TJP1;SMAD3;MAP3K7;BAIAP2;SMAD4;LMO7;FYN;IGF1R;TCF7L2;EGFR;SNAI2;NECTIN1;WASF1;LEF1;CSNK2A1;CSNK2B;CSNK2A2;PTPRJ;SORBS1;CTNND1;FARP2;PTPRB;TCF7	KEGG_2021_Human	False
prerank	Proteasome	0.7478957348622377	4.933921912893004	0.0	0.0	0.0	36/46	13.16%	PSMB3;PSMB4;PSMA7;PSME1;PSMB5;PSMB1;PSMB6;PSMD4;PSMB7;PSMD8;POMP;PSMC3;PSMC4;PSMD3;PSMC5;PSMD2;PSME2;PSMD13;PSMA3;PSMB8;PSME3;ADRM1;PSMD11;PSMB2;PSMA4;PSMD12;PSMA5;PSMF1;PSMD7;PSMB9;PSMC2;SEM1;PSMC6;PSMB10;PSME4;PSMD14	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7332074639964965	4.911512439536815	0.0	0.0	0.0	63/76	19.51%	NFKBIA;GADD45B;CDKN1A;GADD45G;SHC1;GRB2;ARAF;MAP2K2;BAX;GADD45A;TGFB1;MYC;MAPK3;BCL2L1;HDAC1;HRAS;CDK4;ABL1;RELA;CDKN1B;TGFBR2;CRK;SHC2;MAPK1;TP53;STAT5B;PTPN11;TGFBR1;MECOM;CRKL;CCND1;NFKB1;TGFB3;CTBP1;RUNX1;AKT1;KRAS;MAP2K1;NRAS;BAK1;E2F1;BCR;AKT2;BAD;IKBKB;PIK3CD;GAB2;E2F3;STAT5A;CTBP2;SOS2;SMAD3;HDAC2;CHUK;RB1;DDB2;PIK3R1;SMAD4;SOS1;PIK3R3;MDM2;RAF1;PIK3CB	KEGG_2021_Human	False
prerank	Legionellosis	0.6370556800436243	4.620890187428507	0.0	0.0	0.0	42/57	24.27%	EEF1A1;ARF1;HSPA8;NFKBIA;C3;CXCL2;HSPA1A;CD14;RAB1A;VCP;HSPD1;HSPA1B;RAB1B;HSF1;CLK1;BNIP3;NFKB2;CXCL8;RELA;SAR1A;ITGB2;CXCL1;CASP7;MYD88;CYCS;CASP3;NFKB1;PYCARD;IL6;SAR1B;BCL2L13;ITGAM;CASP1;CASP8;CLK4;EEF1A2;SEC22B;TLR2;HSPA6;CASP9;IL18;HBS1L	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.6507190250009187	4.482895728048136	0.0	0.0	0.0	82/101	26.50%	NFKBIA;CCL21;GADD45B;TNFRSF1A;IRAK1;CXCL2;CCL19;PLAU;CD14;GADD45G;LY96;TRADD;GADD45A;LTBR;IL1R1;LTB;LYN;CXCL12;ICAM1;TRAF2;BCL2L1;RELB;NFKB2;CXCL8;RELA;CXCL1;TAB2;PLCG1;TICAM1;TNFAIP3;VCAM1;MYD88;SYK;PARP1;CARD10;PIAS4;TAB1;NFKB1;BIRC2;CARD11;CARD14;CCL13;TRAF5;TRAF1;CD40;XIAP;IKBKB;UBE2I;PIDD1;BIRC3;IRAK4;BCL2A1;LCK;RIPK1;MAP3K7;CHUK;CFLAR;TNFSF11;TNFRSF13C;MAP3K14;CYLD;ZAP70;PTGS2;TRAF3;CCL4;ERC1;TNFSF13B;TRIM25;MALT1;BCL10;BTK;PLCG2;CSNK2A1;CSNK2B;CCL4L2;CSNK2A2;BCL2;TAB3;ATM;CD40LG;TRAF6;IKBKG	KEGG_2021_Human	False
prerank	DNA replication	0.6522687910324377	4.442627884921311	0.0	0.0	0.0	30/36	27.74%	PCNA;MCM7;MCM3;POLD2;POLE3;RPA2;FEN1;RFC2;POLE4;RPA1;SSBP1;MCM6;MCM5;MCM4;RFC1;RPA3;RNASEH2C;RFC4;RNASEH1;POLD1;RFC5;LIG1;RFC3;POLD4;POLD3;MCM2;POLE;DNA2;POLE2;PRIM2	KEGG_2021_Human	False
prerank	Ferroptosis	0.6945478054481913	4.33022542747137	0.0	0.0	0.0	31/41	17.25%	FTL;SAT1;GPX4;SLC3A2;FTH1;SAT2;NCOA4;PRNP;ACSL5;VDAC3;SLC40A1;MAP1LC3B;VDAC2;PCBP2;MAP1LC3A;TP53;HMOX1;ACSL4;ACSL1;ACSL3;CYBB;GSS;SLC11A2;SLC7A11;STEAP3;TFRC;GCLC;GCLM;SLC39A14;CP;SLC39A8	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6278325686170299	4.284652375069102	0.0	0.0	0.0	49/58	26.30%	GADD45B;CTNNA1;CDKN1A;GADD45G;CTNNB1;GRB2;ARAF;MAP2K2;ERBB2;BAX;GADD45A;CDH1;MYC;MAPK3;HRAS;MAPK1;TP53;CCND1;AKT1;ELK1;KRAS;TCF7L1;MAP2K1;NRAS;BAK1;AXIN1;AKT2;BAD;PTEN;PIK3CD;FOXO3;SOS2;DDB2;PIK3R1;SOS1;AXIN2;PIK3R3;RAF1;PIK3CB;TCF7L2;EGFR;MLH1;LEF1;GSK3B;CASP9;PDPK1;APC;AKT3;TCF7	KEGG_2021_Human	False
