Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.7117883541575464	5.231557681002416	0.0	0.0	0.0	85/97	24.14%	CD74;HLA-C;B2M;IFITM3;TXNIP;LGALS3BP;BST2;IFITM2;LY6E;C1S;PSME1;UBE2L6;ISG15;IFI27;PSME2;IFITM1;ADAR;PSMA3;LAP3;CD47;CXCL10;WARS1;PROCR;IL4R;IRF7;STAT2;IFI35;PSMB8;SLC25A28;TAP1;CSF1;ELF1;NUB1;OGFR;CNP;PLSCR1;UBA7;IRF2;GBP2;MVB12A;TRAFD1;TRIM26;SELL;PARP12;IFI44;PSMB9;TENT5A;RIPK2;IFIT3;LAMP3;TRIM21;CASP1;CMTR1;TMEM140;PARP14;MOV10;OAS1;LPAR6;PNPT1;NCOA7;EIF2AK2;DHX58;TRIM14;ISG20;MX1;NMI;GBP4;CASP8;EPSTI1;SAMD9L;DDX60;PARP9;USP18;IRF1;HELZ2;TDRD7;CXCL11;IFIH1;SP110;TRIM5;IFIT2;BATF2;RSAD2;TRIM25;HERC6	MSigDB_Hallmark_2020	True
prerank	Toxoplasmosis	0.6804154913682541	4.953886157500036	0.0	0.0	0.0	95/110	28.26%	HLA-DRA;HLA-DRB1;NFKBIA;HLA-DRB5;HSPA8;LAMC2;HLA-DPA1;HLA-DQB1;LAMB3;BCL2L1;GNAI2;HLA-DPB1;IRAK1;HLA-DQA2;HLA-DMA;TNFRSF1A;HSPA1A;LAMB2;TGFB1;LAMC1;ITGB1;HLA-DQA1;IFNGR1;IFNGR2;ALOX5;MAPK13;HSPA1B;RELA;LY96;STAT1;MYD88;LAMA5;STAT3;MAPK1;TYK2;MAPK3;LAMB1;CYCS;JAK1;PPIF;MAP2K3;HLA-DMB;ITGA6;CASP3;BIRC2;HLA-DOA;TLR2;TGFB3;TAB2;LDLR;MAPK14;CD40;LAMA4;NFKBIB;GNAI3;XIAP;NFKB1;IKBKB;MAP3K7;BIRC3;AKT1;AKT2;HSPA6;SOCS1;TGFB2;BAD;TAB1;BIRC7;IL10RA;MAPK9;CASP8;MAPK11;HLA-DOB;HSPA2;IRAK4;TRAF6;PIK3R5;CHUK;CCR5;CIITA;LAMA2;MAPK8;PDPK1;CASP9;JAK2;PIK3CG;LAMC3;TLR4;IKBKG;AKT3;PIK3R6;LAMA3;GNAI1;CD40LG;BCL2	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7654402300528836	4.943201273187576	0.0	0.0	0.0	48/54	18.60%	THBS1;JUNB;SERPINE1;RHOA;CDH1;FURIN;ENG;CTNNB1;PMEPA1;ID1;RAB31;ID3;LTBP2;TGFB1;PPP1CA;IFNGR2;FKBP1A;HDAC1;NCOR2;CDK9;PPP1R15A;SKI;SPTBN1;UBE2D3;ACVR1;TGFBR1;SMURF2;BMP2;ID2;SLC20A1;SMURF1;WWTR1;SMAD7;TGIF1;CDKN1C;KLF10;SKIL;TJP1;SMAD3;XIAP;BMPR2;MAP3K7;BCAR3;FNTA;HIPK2;PPM1A;ARID4B;NOG	MSigDB_Hallmark_2020	True
prerank	Leishmaniasis	0.7302970288357951	4.924429931011267	0.0	0.0	0.0	48/74	12.08%	HLA-DRA;HLA-DRB1;EEF1A1;NFKBIA;HLA-DRB5;HLA-DPA1;MARCKSL1;JUN;FOS;ITGB2;HLA-DQB1;HLA-DPB1;CYBA;IRAK1;HLA-DQA2;C3;HLA-DMA;FCGR3A;TGFB1;ITGB1;HLA-DQA1;IFNGR1;IFNGR2;CYBB;MAPK13;RELA;STAT1;MYD88;NCF2;MAPK1;FCGR2A;MAPK3;PTPN6;JAK1;PTGS2;HLA-DMB;EEF1A2;ITGAM;HLA-DOA;TLR2;TGFB3;TAB2;NCF4;MAPK14;NFKBIB;NFKB1;ELK1;MAP3K7	KEGG_2021_Human	False
prerank	Peroxisome	0.5791905970436192	4.675612092512756	0.0	0.0	0.0	61/81	26.92%	PRDX5;PRDX1;SOD1;PMVK;IDH2;ACSL1;ECH1;GSTK1;PEX11B;CAT;GNPAT;IDH1;ACSL4;PEX6;PEX16;ACSL5;CRAT;SLC25A17;SCP2;PEX19;MPV17;AGPS;HMGCL;PHYH;ACSL3;PEX2;PEX13;ACOX1;PEX14;HSD17B4;NUDT19;PEX5;ABCD1;FAR1;ACOX3;MPV17L2;DECR2;SLC27A2;ACAA1;ABCD3;ABCD4;PEX10;HACL1;DHRS4;XDH;PECR;ACOT8;PXMP4;PEX26;CROT;PEX11G;EHHADH;ACOX2;PEX12;ECI2;MVK;NUDT12;PEX1;PEX3;PEX7;FAR2	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.707953734745013	4.6523222470746886	0.0	0.0	0.0	38/48	16.72%	FTL;GPX4;TXN;JUNB;PRDX1;PRDX6;PDLIM1;PRDX4;GPX3;NDUFA6;SOD1;PRDX2;PRNP;SBNO2;CAT;G6PD;PTPA;PFKP;NDUFB4;SELENOS;MGST1;HMOX2;STK25;LSP1;NQO1;TXNRD1;FES;LAMTOR5;OXSR1;ABCC1;NDUFS2;GSR;CDKN2D;ERCC2;ATOX1;GLRX;GCLC;SCAF4	MSigDB_Hallmark_2020	False
prerank	NF-kappa B signaling pathway	0.6590037449409726	4.5786065113571235	0.0	0.0	0.0	84/101	28.48%	ICAM1;NFKBIA;PLAU;GADD45B;CD14;CCL19;GADD45A;BCL2L1;IRAK1;CCL21;TNFRSF1A;CCL13;GADD45G;LTBR;RELA;LY96;MYD88;IL1R1;TRADD;CARD11;CXCL8;LYN;CXCL12;VCAM1;BCL2A1;PTGS2;TICAM1;NFKB2;SYK;LTB;TNFAIP3;BIRC2;PLCG1;TAB2;CD40;CFLAR;XIAP;TRAF1;RELB;TRAF2;NFKB1;IKBKB;MAP3K7;BIRC3;BCL10;CXCL2;PARP1;CXCL1;PIAS4;UBE2I;TAB1;CARD10;TNFSF13B;BTK;ERC1;PIDD1;RIPK1;LCK;CCL4;TRAF5;CYLD;IRAK4;MAP3K14;TRAF6;TRAF3;ZAP70;CHUK;MALT1;TNFRSF13C;CSNK2A1;PLCG2;TRIM25;CSNK2A2;TNFRSF11A;CSNK2B;ATM;CCL4L2;TLR4;IKBKG;CXCL3;TAB3;CD40LG;BCL2;PRKCB	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.713948122745209	4.522636822401444	0.0	0.0	0.0	56/74	18.15%	ACTG1;S100A11;ERRFI1;LGALS3;ANXA5;MAL2;CTNNB1;PMVK;TNFRSF12A;CD9;LGMN;SCD;SREBF2;CXCL16;PLAUR;GUSB;ECH1;ALCAM;CLU;PNRC1;LPL;DHCR7;STX5;NFIL3;FASN;TP53INP1;SEMA3B;ALDOC;SQLE;NSDHL;ETHE1;TM7SF2;PLSCR1;ANTXR2;GPX8;MVD;TRIB3;ATF5;LDLR;TMEM97;NIBAN1;LSS;ACSS2;FDFT1;ABCA2;EBP;FBXO6;IDI1;FDPS;SC5D;ATF3;JAG1;FADS2;PPARG;HMGCR;PCYT2	MSigDB_Hallmark_2020	False
prerank	Myc Targets V2	0.7187227410581222	4.513950815247106	0.0	0.0	0.0	53/57	24.95%	CDK4;SRM;NPM1;CBX3;HSPD1;FARSA;NOLC1;GNL3;PA2G4;MRTO4;NOP56;MAP3K6;TBRG4;RRP9;IMP4;PES1;MYBBP1A;MYC;HK2;MCM5;EXOSC5;BYSL;DCTPP1;MCM4;WDR43;TMEM97;NOC4L;UNG;PPRC1;TFB2M;DDX18;MPHOSPH10;SLC29A2;AIMP2;GRWD1;HSPE1;RABEPK;PLK1;SLC19A1;WDR74;NIP7;DUSP2;SUPV3L1;RRP12;TCOF1;PUS1;NOP16;UTP20;LAS1L;NDUFAF4;PLK4;PRMT3;RCL1	MSigDB_Hallmark_2020	True
prerank	Thyroid cancer	0.7298470097968661	4.440022621162051	0.0	0.0	0.0	29/37	18.90%	CCND1;GADD45B;CDH1;GADD45A;CTNNB1;CDKN1A;NCOA4;GADD45G;BAX;TPM3;MAPK1;MAP2K2;MAPK3;MAP2K1;HRAS;NRAS;MYC;TP53;RXRB;CCDC6;KRAS;TPR;DDB2;BAK1;TFG;RXRA;TCF7L2;PPARG;LEF1	KEGG_2021_Human	False
