Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Vibrio cholerae infection	0.6454183646882586	5.882898033756208	0.0	0.0	0.0	31/50	15.44%	ACTG1;ACTB;ARF1;PDIA4;SEC61A1;KDELR2;KDELR1;GNAS;ATP6V0E1;SEC61B;ATP6V1G1;ATP6V1F;ATP6AP1;ATP6V0B;ATP6V1A;KCNQ1;ATP6V1E1;TCIRG1;SEC61G;KDELR3;ATP6V1H;ERO1A;TJP1;ATP6V1C1;ATP6V1D;ATP6V0D1;ATP6V1B2;ATP6V0A1;PLCG1;SLC12A2;PRKACA	KEGG_2021_Human	False
prerank	Lysosome	0.674263107609998	4.989232415535273	0.0	0.0	0.0	91/127	19.35%	PSAP;CD63;NAPSA;NPC2;LAPTM4A;LAPTM4B;CTSZ;LAMP1;AGA;CTSD;GNS;CTSB;LAMP3;FUCA1;LGMN;AP1M2;GLB1;GUSB;ATP6AP1;CLTC;AP1S1;CLTA;ARSA;PPT1;CD164;ASAH1;ATP6V0B;NEU1;HGSNAT;TCIRG1;CTSE;GAA;CTSH;CTSA;LITAF;TPP1;CTSO;GNPTG;NAGLU;MAN2B1;SUMF1;DNASE2;AP1B1;SMPD1;M6PR;LAMP2;NAGA;HEXB;LIPA;AP3D1;AP3M1;ATP6V1H;CTSS;ENTPD4;IDUA;AP1G1;CTSL;HYAL2;CTSF;SLC11A2;GGA1;ACP5;ACP2;ATP6V0D1;FUCA2;SGSH;GNPTAB;SCARB2;GGA2;GM2A;CLTB;GGA3;SORT1;AP1G2;AP3S1;ATP6V0A1;SLC17A5;IGF2R;LAPTM5;AP3B1;CTNS;CTSC;MANBA;GALC;HEXA;GLA;PLA2G15;AP1M1;NAGPA;AP4M1;NPC1	KEGG_2021_Human	False
prerank	Ribosome	0.6204857176804928	4.505311271212294	0.0	0.0	0.0	110/153	13.36%	RPS27;RPS18;RPS12;RPS6;RPL8;RPLP1;RPL10A;RPL3;RPL7A;RPS4X;RPS11;RPLP0;RPS21;RPS8;RPS2;RPL11;RPLP2;RPL12;RPL29;RPS25;RPL19;RPL13;RPL13A;RPL4;RPL27;RPS3;RPS24;RPL35;RPL41;RPL7;RPL32;RPL24;RPL36AL;RPL5;RPL10;RPL35A;RPS13;RPS16;RPL6;RPL37A;RPSA;RPS27A;RPS19;RPS20;RPS9;RPL31;RPL15;RPL9;RPL34;FAU;RPL27A;RPL23;RPS3A;MRPL14;RPS5;RPL36;RPL18;RPS7;RPS14;RPL37;UBA52;RPL18A;RPL21;RPS15;RPL38;MRPL24;RPL14;MRPS21;RPS28;RPS26;RPL28;RPL30;MRPS16;RPL39;RPL22;MRPS10;MRPL3;MRPS18A;RPL23A;RPS29;MRPL16;MRPL34;MRPL33;MRPS14;MRPL9;MRPL15;MRPL18;MRPL20;MRPL17;MRPS15;RPS23;MRPL28;MRPS7;MRPL10;RPL22L1;MRPL23;RSL24D1;RPL26;MRPL11;RPL26L1;MRPS2;MRPS12;MRPL1;MRPL27;MRPL36;MRPL30;MRPL21;MRPS5;RPS15A;MRPL32	KEGG_2021_Human	False
prerank	VEGF signaling pathway	0.6144054134424655	4.326189308727	0.0	0.0	0.0	37/59	18.51%	HSPB1;MAPKAPK2;RAC1;MAPK13;VEGFA;MAPK1;SRC;MAP2K1;PPP3R1;PPP3CB;AKT1;MAPK14;MAPK3;PPP3CA;CDC42;MAP2K2;PTK2;MAPKAPK3;HRAS;KRAS;BAD;RAC3;NOS3;NRAS;PLA2G4F;RAF1;PLCG1;KDR;PLA2G4A;PXN;PIK3CB;CASP9;PPP3CC;RAC2;SPHK2;PIK3R3;SHC2	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.6951037625409202	4.31746614001825	0.0	0.0	0.0	61/76	20.82%	NFKBIA;SHC1;MAPK1;GRB2;CDKN1B;TGFBR2;CRK;CCND1;CRKL;MECOM;ARAF;RELA;PTPN11;ABL1;MAP2K1;TP53;HDAC1;GADD45G;MYC;AKT1;BCL2L1;MAPK3;BAX;CTBP1;CDK4;MAP2K2;NFKB1;CDKN1A;SOS2;BCR;CTBP2;E2F3;HRAS;SMAD3;KRAS;BAK1;RUNX1;BAD;STAT5B;GAB2;CHUK;NRAS;RAF1;TGFBR1;SOS1;SMAD4;TGFB1;RB1;IKBKB;MDM2;PIK3CB;GADD45B;E2F1;HDAC2;DDB2;PIK3R3;SHC2;TGFB3;AKT2;IKBKG;GADD45A	KEGG_2021_Human	False
prerank	TGF-beta signaling pathway	0.5832965325877288	4.304308086177321	0.0	0.0	0.0	69/94	28.61%	RHOA;ID1;FMOD;ID3;MAPK1;THBS1;PPP2CB;TGFBR2;ID4;ID2;TFDP1;E2F4;PPP2R1A;TGIF1;CUL1;SP1;MYC;BMP4;MAPK3;RBX1;SMURF1;NEO1;ACVR1B;PPP2CA;BMP5;EP300;BMP6;SMAD3;ACVR1;CREBBP;SMAD7;SKP1;BMPR2;SMURF2;TGFBR1;SMAD4;TGIF2;TGFB1;DCN;ROCK1;FST;NBL1;SMAD5;BMPR1A;PITX2;BMP2;RPS6KB2;PPP2R1B;SMAD9;RPS6KB1;TGFB3;CHRD;SMAD2;ACVR2A;SMAD6;ZFYVE9;E2F5;SMAD1;CDKN2B;LTBP1;THSD4;FBN1;TGFB2;INHBA;ZFYVE16;ACVR2B;BAMBI;BMP8B;INHBB	KEGG_2021_Human	True
prerank	Pancreatic cancer	0.6845575444995413	4.23463675256508	0.0	0.0	0.0	66/76	27.25%	RAC1;STAT3;ERBB2;VEGFA;MAPK1;TGFBR2;CCND1;ARAF;RELA;MAP2K1;TP53;STAT1;GADD45G;AKT1;BCL2L1;MAPK3;RALB;RALA;BAX;CDC42;CDK4;NFKB1;JAK1;CDKN1A;RALBP1;E2F3;SMAD3;KRAS;BAK1;BAD;PLD2;CHUK;RAC3;RAF1;TGFBR1;SMAD4;TGFB1;RB1;EGF;MAPK8;IKBKB;PIK3CB;GADD45B;CASP9;MTOR;RAC2;EGFR;RPS6KB2;E2F1;DDB2;PIK3R3;MAPK9;RPS6KB1;TGFB3;AKT2;SMAD2;IKBKG;GADD45A;TGFA;PIK3CD;PIK3R1;CDK6;TGFB2;ARHGEF6;BRAF;PIK3CA	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.5395614651791033	4.191679267899248	0.0	0.0	0.0	57/90	26.56%	HLA-DRB1;HLA-DRA;HLA-DRB5;FOS;JUN;NFKBIA;IFNGR2;STAT6;MAPK13;MAPK1;HLA-DQB1;NOTCH3;HLA-DMA;RELA;HLA-DPA1;PPP3R1;STAT1;PPP3CB;RBPJ;MAPK14;IFNGR1;MAPK3;PPP3CA;NFKB1;JAK1;HLA-DPB1;TYK2;STAT5B;IL4R;HLA-DQA1;JAG2;CHUK;MAML1;PLCG1;NFKBIE;MAPK8;NOTCH1;IKBKB;CD4;NFKBIB;DLL4;MAML3;PPP3CC;MAPK9;HLA-DOA;NOTCH2;IKBKG;JAG1;PRKCQ;HLA-DMB;CD3E;NFATC3;CD3D;IL2RB;MAML2;STAT5A;NFATC2	KEGG_2021_Human	False
prerank	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.6010243158661	4.142237342468973	0.0	0.0	0.0	66/89	27.25%	FOS;JUN;NFKBIA;IFNGR2;STAT3;MAPK13;MAPK1;RELA;PTPN11;MAP2K3;HIF1A;MAP2K1;PPP3R1;STAT1;PPP3CB;AKT1;PTPN6;MAPK14;IFNGR1;MAPK3;PPP3CA;MAP2K2;MYD88;NFKB1;JAK1;PTEN;HRAS;KRAS;EML4;CHUK;NRAS;RAF1;PLCG1;TICAM1;NFKBIE;EGF;IKBKB;CD4;PIK3CB;NFKBIB;MTOR;BATF;PPP3CC;TLR2;EGFR;RPS6KB2;MAP3K3;PIK3R3;CSNK2A1;RPS6KB1;CSNK2B;AKT2;IKBKG;CSNK2A2;PRKCQ;BATF2;CD3E;TIRAP;PIK3CD;PIK3R1;NFATC3;CD3D;TRAF6;NFATC2;RASGRP1;PIK3CA	KEGG_2021_Human	True
prerank	B cell receptor signaling pathway	0.5911171910349509	4.128814728825575	0.0	0.0	0.0	44/79	21.15%	FOS;CD81;JUN;NFKBIA;RAC1;INPPL1;MAPK1;IFITM1;GRB2;LYN;RELA;MAP2K1;PPP3R1;PPP3CB;AKT1;PTPN6;MAPK3;PPP3CA;MAP2K2;NFKB1;SOS2;SYK;HRAS;KRAS;VAV2;CARD11;CHUK;RAC3;NRAS;RAF1;SOS1;NFKBIE;IKBKB;PIK3CB;NFKBIB;BCL10;PPP3CC;GSK3B;RAC2;PIK3R3;AKT2;MALT1;IKBKG;CD79A	KEGG_2021_Human	False
