Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Mitophagy	0.7020268308658849	5.5936526751610565	0.0	0.0	0.0	61/68	26.83%	UBC;RPS27A;UBA52;JUN;UBB;TOMM7;RAB7B;ATF4;FIS1;CITED2;RRAS;RHOT2;SQSTM1;RAB7A;BNIP3L;BCL2L1;TAX1BP1;GABARAPL2;TFE3;RELA;ULK1;HIF1A;TP53;SP1;NBR1;HRAS;PGAM5;CALCOCO2;SRC;FUNDC1;TBC1D17;KRAS;GABARAPL1;MFN2;NRAS;MAPK9;OPTN;RHOT1;ATG9A;AMBRA1;RRAS2;BECN1;EIF2AK3;ATG5;MFN1;USP30;BCL2L13;CSNK2A1;E2F1;TFEB;TBC1D15;FOXO3;PINK1;MRAS;BNIP3;USP15;CSNK2A2;TBK1;CSNK2B;MITF;MAPK8	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.727448506391385	5.533752987955515	0.0	0.0	0.0	61/74	19.64%	ACTG1;S100A11;LGALS3;TNFRSF12A;ANXA5;PMVK;CXCL16;MAL2;CD9;CTNNB1;ECH1;ERRFI1;GUSB;SCD;LGMN;FASN;PLAUR;STX5;LPL;ALCAM;PNRC1;TM7SF2;NIBAN1;SREBF2;ACSS2;CLU;ATF5;FDFT1;FDPS;GPX8;LDLR;DHCR7;PLSCR1;TRIB3;LSS;NSDHL;NFIL3;ETHE1;EBP;FABP5;TP53INP1;PPARG;FBXO6;SQLE;PCYT2;ALDOC;MVD;IDI1;ABCA2;ADH4;HMGCR;SC5D;SEMA3B;MVK;ATF3;ATXN2;TMEM97;HSD17B7;FADS2;ANTXR2;CHKA	MSigDB_Hallmark_2020	False
prerank	Prostate cancer	0.6388097357597052	5.238907401973299	0.0	0.0	0.0	69/97	22.64%	GSTP1;HSP90AB1;HSP90AA1;HSP90B1;NFKBIA;SPINT1;GRB2;CTNNB1;ATF4;CCND1;ARAF;ERBB2;CREB3;IKBKB;MAP2K2;PLAT;AKT1;CREB3L1;CDKN1B;RELA;CDKN1A;EGFR;TP53;TCF7L1;ETV5;CREBBP;HRAS;PDGFRB;MAP2K1;PLAU;MAPK1;MAPK3;CREB3L2;KRAS;NFKB1;TMPRSS2;PDGFC;TCF7L2;NRAS;AKT2;PIK3CB;BAD;RAF1;FGFR1;CREB3L4;EP300;SOS2;PTEN;CDK2;CREB1;MDM2;MMP9;PDGFD;PIK3R1;TGFA;MTOR;PDPK1;CASP9;LEF1;SOS1;PDGFA;E2F1;RB1;GSK3B;ERG;PDGFRA;E2F3;CHUK;PIK3CD	KEGG_2021_Human	False
prerank	Proteasome	0.7407882299652023	5.041737753037061	0.0	0.0	0.0	38/46	14.27%	PSMB4;PSME1;PSMB3;PSMD4;PSMA7;PSMB6;PSMB5;PSMC3;POMP;PSMD8;PSMB7;PSMB1;PSME2;PSMC4;PSMD2;PSMC5;PSMD13;PSMB2;PSMA3;ADRM1;PSMD3;PSMB8;PSMD12;PSME3;PSMF1;PSMD11;PSMB10;PSMC2;PSMA4;PSME4;PSMB9;PSMA5;PSMC6;PSMD14;PSMD7;SEM1;PSMD1;PSMD6	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7649829773190012	4.922293543956993	0.0	0.0	0.0	47/54	17.24%	JUNB;RHOA;IFNGR2;CDH1;CTNNB1;ID1;NCOR2;PPP1CA;TGFB1;FURIN;PPP1R15A;LTBP2;CDK9;KLF10;ENG;ID3;HDAC1;FKBP1A;SKI;ACVR1;UBE2D3;RAB31;THBS1;PMEPA1;SMURF2;SMURF1;XIAP;SMAD1;ID2;SMAD7;SLC20A1;TGIF1;SKIL;FNTA;ARID4B;TJP1;SPTBN1;BMPR2;SERPINE1;WWTR1;NOG;PPM1A;BMP2;CDKN1C;TGFBR1;HIPK2;MAP3K7	MSigDB_Hallmark_2020	True
prerank	Th1 and Th2 cell differentiation	0.6181177532104042	4.66550309292447	0.0	0.0	0.0	63/90	26.83%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;NFKBIA;HLA-DPA1;JUN;IFNGR2;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DQB1;STAT6;NOTCH3;IFNGR1;IKBKB;CD4;HLA-DQA1;TYK2;MAPK13;RELA;IL4R;STAT1;JAK1;MAPK1;MAPK3;PPP3CA;MAML1;HLA-DMB;NFKB1;MAPK14;JAG2;PPP3R1;NOTCH1;NFKBIB;RBPJ;NFKBIE;MAPK9;PLCG1;STAT5B;NOTCH2;PPP3CB;HLA-DOA;JAK3;MAF;STAT5A;MAML2;CD3D;MAPK11;IL2RG;JAG1;MAML3;CD3E;CHUK;NFATC2;IKBKG;NFATC3;PPP3CC;DLL4;NFATC1;IL2RB;JAK2;MAPK8	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7026106252827538	4.596087429381645	0.0	0.0	0.0	69/76	26.53%	SHC1;NFKBIA;TGFBR2;GRB2;CCND1;ARAF;BAX;TGFB1;IKBKB;BCL2L1;MAP2K2;GADD45B;AKT1;HDAC1;CDKN1B;RELA;CRK;ABL1;CDKN1A;PTPN11;TP53;HRAS;MAP2K1;MAPK1;RUNX1;MAPK3;CRKL;CDK4;KRAS;NFKB1;BAK1;CTBP1;NRAS;AKT2;SHC2;GADD45G;MECOM;PIK3CB;BAD;MYC;RAF1;GADD45A;BCR;STAT5B;SOS2;SMAD4;TGFB3;DDB2;MDM2;PIK3R1;TGFBR1;STAT5A;CTBP2;CBL;SOS1;E2F1;RB1;HDAC2;SMAD3;E2F3;CHUK;PIK3CD;SHC3;IKBKG;POLK;GAB2;PIK3R3;CDKN2A;BRAF	KEGG_2021_Human	False
prerank	Viral myocarditis	0.7026291967464204	4.479930253284695	0.0	0.0	0.0	43/57	18.86%	ACTG1;HLA-DRA;ACTB;HLA-DRB1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;ICAM1;EIF4G2;CD55;RAC1;HLA-DPA1;EIF4G1;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DQB1;CCND1;DAG1;RAC2;ITGB2;HLA-DQA1;ABL1;CD40;PRF1;HLA-F;CAV1;HLA-DMB;CASP3;CYCS;BID;EIF4G3;CASP8;CXADR;HLA-DOA;SGCB;ITGAL;CASP9;ABL2;FYN;CD86	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7043497015239504	4.466990338274705	0.0	0.0	0.0	45/74	12.12%	HLA-DRA;HLA-DRB1;C3;EEF1A1;HLA-DRB5;FOS;EEF1A2;NFKBIA;HLA-DPA1;JUN;IFNGR2;CYBA;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DQB1;FCGR3A;MARCKSL1;IRAK1;IFNGR1;TGFB1;MYD88;NCF2;CYBB;FCGR2A;ITGB2;PTPN6;HLA-DQA1;NCF4;MAPK13;RELA;STAT1;TLR2;JAK1;MAPK1;MAPK3;PTGS2;HLA-DMB;NFKB1;MAPK14;ITGAM;ITGB1;TAB2;NFKBIB;ELK1	KEGG_2021_Human	False
prerank	RNA degradation	0.6317889670581057	4.381101652034808	0.0	0.0	0.0	63/76	21.74%	ENO1;BTG2;PABPC1;LSM7;BTG3;HSPD1;BTG1;LSM4;CNOT8;PFKL;HSPA9;EXOSC5;ENO2;LSM2;TOB2;PABPC1L;XRN2;DDX6;NUDT16;PABPC4;PATL1;PARN;TOB1;CNOT1;CNOT9;LSM3;CNOT3;MTREX;CNOT6;EXOSC4;EXOSC10;CNOT10;ZCCHC7;PNPT1;DCP1A;EXOSC7;PAN3;LSM1;MPHOSPH6;EDC4;DHX36;CNOT2;EXOSC1;PFKM;CNOT7;TENT4A;EXOSC2;LSM5;EDC3;EXOSC8;DCPS;DCP1B;DIS3;EXOSC6;PAN2;CNOT4;DIS3L;LSM6;PFKP;DCP2;C1D;XRN1;CNOT6L	KEGG_2021_Human	False
