Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Apoptosis	0.659747785848425	5.073842846964153	0.0	0.0	0.0	106/142	21.13%	ACTG1;ACTB;CTSZ;MCL1;CTSB;ATF4;FOS;CTSD;LMNA;CTSS;NFKBIA;TNFRSF1A;CAPN1;CAPN2;JUN;TNFSF10;DAXX;CTSK;TUBA1A;MAP2K2;ITPR3;BCL2L1;TNFRSF10B;BAK1;BAX;LMNB2;CYCS;CTSL;PARP4;MAPK3;RELA;BOK;TUBA1C;TRAF2;CTSH;TP53;MAPK1;HRAS;CTSO;NRAS;MAP2K1;SPTAN1;TUBA1B;CASP3;GADD45B;BIRC2;EIF2S1;TUBA4A;PARP1;NFKB1;LMNB1;AKT1;TRADD;IL3RA;CASP7;CASP6;XIAP;CTSW;DAB2IP;PARP3;GZMB;KRAS;DFFA;PIK3CB;GADD45A;PRF1;BAD;BIRC3;BCL2A1;BECN1;CTSF;CTSC;HTRA2;BID;TNFRSF10A;CFLAR;BBC3;BIRC5;MAPK9;PIK3CD;AKT2;RIPK1;IKBKB;CASP2;PARP2;RAF1;BCL2L11;CHUK;CASP9;BIRC6;GADD45G;MAP3K5;PIDD1;AIFM1;DFFB;PIK3R3;DDIT3;EIF2AK3;CASP8;TRAF1;BIRC7;CASP10;PDPK1;MAPK8;CSF2RB;ERN1	KEGG_2021_Human	False
prerank	PI3K/AKT/mTOR  Signaling	0.668566237908781	4.97312368068576	0.0	0.0	0.0	81/105	23.28%	ARF1;CALR;PFN1;SFN;HSP90B1;CFL1;RAC1;ACTR2;AP2M1;ARHGDIA;TNFRSF1A;ARPC3;YWHAB;MKNK2;CLTC;CXCR4;GRB2;CDKN1B;ECSIT;PPP1CA;STAT2;MAP2K3;SLC2A1;RALB;SQSTM1;CDKN1A;RIT1;UBE2D3;MYD88;TRAF2;DUSP3;MAPK1;PTPN11;HRAS;RPS6KA1;GRK2;ACTR3;PRKAG1;CAB39;AKT1S1;CDK4;UBE2N;AKT1;ATF1;ACACA;PRKAR2A;E2F1;MAPKAP1;NFKBIB;THEM4;TRIB3;NCK1;TSC2;GNA14;PTEN;PAK4;PIN1;RPS6KA3;PLCG1;MAPK9;RIPK1;CDK1;RAF1;PPP2R1B;MAP3K7;IL2RG;CSNK2B;CDK2;IRAK4;PIK3R3;RPTOR;LCK;DDIT3;SMAD2;PLA2G12A;MAPK8;GSK3B;MKNK1;EGFR;EIF4E;PIKFYVE	MSigDB_Hallmark_2020	True
prerank	Chronic myeloid leukemia	0.7094266959698953	4.924060780136565	0.0	0.0	0.0	61/76	19.56%	NFKBIA;CCND1;GRB2;CDKN1B;SHC1;MAP2K2;MYC;CRK;BCL2L1;HDAC1;BAK1;BAX;CDKN1A;MAPK3;ARAF;RELA;ABL1;TGFB1;TP53;MAPK1;PTPN11;TGFBR2;HRAS;MECOM;NRAS;MAP2K1;CRKL;CTBP1;GADD45B;CDK4;SHC2;BCR;TGFB3;RUNX1;NFKB1;AKT1;STAT5B;E2F1;TGFBR1;CTBP2;KRAS;RB1;PIK3CB;GADD45A;E2F3;BAD;STAT5A;PIK3CD;AKT2;IKBKB;SMAD4;MDM2;SOS1;RAF1;SMAD3;CHUK;GADD45G;SOS2;HDAC2;PIK3R3;DDB2	KEGG_2021_Human	False
prerank	Unfolded Protein Response	0.7588866220162301	4.7860729906259785	0.0	0.0	0.0	105/112	21.54%	EEF2;CALR;HSPA5;RPS14;HSP90B1;XBP1;ATF4;YWHAZ;NPM1;BANF1;EIF4A2;EIF4G1;EIF4EBP1;SRPRA;SERP1;NOLC1;YIF1A;KDELR3;CEBPB;LSM4;PDIA6;ALDH18A1;SEC31A;VEGFA;FUS;NOP56;KHSRP;SHC1;SSR1;CCL2;BAG3;HSPA9;H2AX;HYOU1;EDEM1;SPCS3;SEC11A;KIF5B;DNAJC3;ERO1A;SRPRB;IARS1;ARFGAP1;DKC1;PREB;DNAJB9;PSAT1;PARN;DDIT4;HERPUD1;SPCS1;RRP9;SLC7A5;TARS1;EIF4A3;NHP2;SDAD1;NFYA;XPOT;CXXC1;EXOSC4;ATF6;EXOSC5;PDIA5;PAIP1;EIF2S1;ATF3;IMP3;SLC30A5;NOP14;CKS1B;ATP6V0D1;DCTN1;CEBPG;GEMIN4;CNOT6;EXOSC10;NFYB;MTREX;WFS1;ZBTB17;EXOSC1;EXOC2;SLC1A4;CHAC1;LSM1;EXOSC2;DCP1A;MTHFD2;FKBP14;POP4;TUBB2A;TATDN2;EXOSC9;CNOT2;DNAJA4;WIPI1;EDC4;DDX10;EIF2AK3;GOSR2;ERN1;CNOT4;STC2;TSPYL2	MSigDB_Hallmark_2020	False
prerank	B cell receptor signaling pathway	0.6371571381201313	4.652277717960576	0.0	0.0	0.0	69/79	30.95%	IFITM1;FOS;RAC1;NFKBIA;CD81;JUN;GRB2;MAP2K2;INPPL1;MAPK3;RELA;RAC2;MAPK1;VAV2;HRAS;NRAS;MAP2K1;LYN;NFKBIE;PPP3R1;PPP3CA;NFKB1;AKT1;PPP3CB;SYK;PTPN6;NFKBIB;CD79A;RAC3;KRAS;PIK3CB;BCL10;PIK3CD;AKT2;IKBKB;SOS1;RAF1;CHUK;PPP3CC;SOS2;PIK3R3;LILRB2;GSK3B;PIK3AP1;NFATC1;LILRB4;CARD11;INPP5D;PIK3R1;LILRB3;VAV1;DAPP1;FCGR2B;RASGRP3;MALT1;LILRA5;AKT3;NFATC3;BTK;LILRA6;LILRB5;IKBKG;PIK3CA;NFATC2;BLNK;LILRB1;CD72;PLCG2;CD79B	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7288298829081986	4.628078059558835	0.0	0.0	0.0	43/70	12.89%	HLA-DRA;HSP90AB1;HLA-B;B2M;CD74;HLA-C;HLA-DRB1;HSPA8;HLA-A;CALR;HLA-DRB5;HSPA5;HLA-E;PDIA3;HSP90AA1;CTSB;CANX;TAPBP;PSME1;HSPA1B;CTSS;HSPA1A;HLA-DMA;HLA-DPA1;PSME2;HLA-DPB1;LGMN;HLA-DQB1;TAP1;PSME3;HSPA4;CTSL;RFX5;HLA-F;HLA-DQA1;RFXANK;NFYA;HLA-DQA2;CD4;TAP2;HLA-DMB;NFYB;NFYC	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6968260847559999	4.573997005610207	0.0	0.0	0.0	47/74	15.09%	HLA-DRA;HLA-DRB1;EEF1A1;HLA-DRB5;C3;MARCKSL1;FOS;NFKBIA;IRAK1;HLA-DMA;HLA-DPA1;HLA-DPB1;JUN;STAT1;HLA-DQB1;FCGR3A;IFNGR2;ITGB1;IFNGR1;MYD88;MAPK3;RELA;TGFB1;MAPK1;HLA-DQA1;HLA-DQA2;MAPK13;CYBB;CYBA;MAPK14;TGFB3;NFKB1;JAK1;PTGS2;ITGB2;NCF4;PTPN6;HLA-DMB;NFKBIB;FCGR2A;TAB1;TAB2;NCF2;ELK1;MAPK11;HLA-DOA;EEF1A2	KEGG_2021_Human	False
prerank	Lysosome	0.6643024153792929	4.540679636759167	0.0	0.0	0.0	102/127	23.63%	CTSE;CD63;PSAP;LAPTM4A;CTSZ;NAPSA;LAPTM4B;CTSB;CTSD;CTSS;NPC2;CLTB;CLTA;HGSNAT;AP1M2;LAMP1;PPT1;LITAF;TCIRG1;AP1S1;CLTC;LGMN;ATP6V0B;ASAH1;CD164;GNS;CTSK;AP3D1;LAPTM5;FUCA1;TPP1;CTSL;GM2A;AP3S1;DNASE2;CTSH;HEXB;ATP6AP1;MAN2B1;NEU1;AP1B1;CTSA;CTSO;GUSB;HYAL2;ACP5;LIPA;GAA;GLB1;ARSA;NAGA;NAGLU;ACP2;AGA;LAMP2;GNPTG;AP3B1;HYAL1;SLC11A2;SMPD1;FUCA2;M6PR;ATP6V0D1;SCARB2;AP3M1;ENTPD4;CTSW;IDUA;GGA1;GGA3;AP1G1;GGA2;GNPTAB;SLC17A5;ATP6V1H;SGSH;ABCA2;CTSF;CTSC;ATP6V0A1;GALC;CTNS;NAGPA;AP1M1;MCOLN1;SUMF1;AP1G2;PLA2G15;IGF2R;SORT1;AP4M1;AP1S3;HYAL3;MANBA;NPC1;AP4B1;AP3S2;ARSB;GALNS;AP1S2;AP3M2;GLA	KEGG_2021_Human	False
prerank	Adherens junction	0.6905935021857574	4.4500792135313905	0.0	0.0	0.0	59/71	22.41%	ACTG1;ACTB;RHOA;RAC1;CTNNA1;ACTN4;CDH1;CTNNB1;NECTIN4;NECTIN2;IQGAP1;ERBB2;PTPRF;WASF2;ACTN1;ACP1;VCL;MAPK3;RAC2;WASL;MAPK1;TGFBR2;PTPN1;SRC;TCF7L1;MET;TJP1;NECTIN1;LMO7;CDC42;YES1;PTPRM;PARD3;BAIAP2;FGFR1;PTPN6;TGFBR1;INSR;CREBBP;RAC3;EP300;SNAI2;SMAD4;IGF1R;WAS;SMAD3;MAP3K7;CSNK2B;AFDN;SNAI1;NLK;CSNK2A1;FYN;TCF7L2;WASF1;CTNND1;FARP2;EGFR;LEF1	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6546840152187842	4.439036214180943	0.0	0.0	0.0	46/70	17.15%	ATP6V0E1;RAC1;CXCL1;NFKBIA;ATP6V1F;F11R;CXCL2;CCL5;TCIRG1;CXCL8;ATP6V0B;JUN;ATP6V1G1;ATP6V1E1;CSK;RELA;CXCL3;ATP6AP1;PTPN11;SRC;ATP6V1C2;LYN;GIT1;MAPK13;CASP3;MET;TJP1;CDC42;ATP6V1A;ATP6V1B2;MAPK14;PAK1;NFKB1;ATP6V1D;ATP6V0D1;ADAM10;HBEGF;ATP6V1C1;ATP6V1H;ATP6V0A1;PLCG1;MAPK9;MAPK11;IKBKB;MAP2K4;CHUK	KEGG_2021_Human	False
