Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Viral myocarditis	0.734225397610581	4.978665211441845	0.0	0.0	0.0	41/57	16.11%	ACTG1;HLA-DRA;ACTB;HLA-DRB1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;RAC1;EIF4G2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DQA1;EIF4G1;HLA-DMA;RAC2;CCND1;ITGB2;CD40;HLA-F;DAG1;ICAM1;CAV1;CD55;HLA-DMB;HLA-DOA;CYCS;ITGAL;PRF1;CASP3;ABL1;SGCB;RAC3;CASP8;FYN;CD86;BID;EIF4G3;HLA-DOB	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6741753606014915	4.8832771459271775	0.0	0.0	0.0	54/77	17.07%	ACTG1;ACTB;RAC1;RHOA;FN1;ARPC3;CLTC;ACTR2;CTTN;CDH1;SEPTIN2;ARPC2;SEPTIN9;CTNNA1;RHOG;ITGB1;SHC1;CLTB;CLTA;ELMO3;WASF2;ARPC4;CAV1;HCLS1;ARPC5;ACTR3;CTNNB1;WASL;MET;DNM2;SEPTIN6;ARPC5L;CRKL;CRK;PIK3R3;ARPC1A;SEPTIN11;SRC;ITGA5;PIK3CD;CDC42;SEPTIN1;PTK2;PXN;SHC2;CAV2;ELMO2;CD2AP;MAD2L2;VCL;BCAR1;PIK3CB;CBL;SEPTIN8	KEGG_2021_Human	False
prerank	Homologous recombination	0.5894972017124689	4.876128326728081	0.0	0.0	0.0	30/41	27.73%	POLD2;RPA2;SSBP1;RPA1;SEM1;NBN;BABAM2;BRCC3;BABAM1;RPA3;MUS81;TOPBP1;POLD3;RBBP8;UIMC1;MRE11;RAD51C;POLD4;ATM;POLD1;TOP3A;PALB2;XRCC3;EME1;RAD51;BRCA1;RAD52;BARD1;BLM;RAD51D	KEGG_2021_Human	False
prerank	Ferroptosis	0.7137997317435849	4.848612915729195	0.0	0.0	0.0	31/41	15.89%	FTL;SAT1;CP;GPX4;TF;FTH1;GCLC;NCOA4;CYBB;PRNP;ACSL1;SLC3A2;ACSL3;HMOX1;PCBP2;SAT2;VDAC2;SLC40A1;TFRC;VDAC3;MAP1LC3B;GSS;MAP1LC3A;SLC11A2;SLC39A8;STEAP3;SLC39A14;ATG5;ACSL5;GCLM;TP53	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6556730050158014	4.345793576988128	0.0	0.0	0.0	51/59	28.66%	APH1A;NCSTN;NOTCH3;DTX3L;HDAC1;SNW1;DTX4;PSENEN;KAT2A;HES1;CIR1;DVL1;DVL3;NCOR2;CTBP1;RFNG;RBPJ;LFNG;NOTCH2;TLE1;MFNG;TLE3;MAML1;CREBBP;JAG2;PSEN1;EP300;DTX3;APH1B;NUMB;DVL2;ATXN1L;NOTCH1;JAG1;DTX2;ADAM17;HDAC2;KAT2B;NUMBL;CTBP2;ATXN1;MAML2;DLL4;HEYL;HEY1;NOTCH4;MAML3;TLE2;DTX1;TLE4;DLL1	KEGG_2021_Human	True
prerank	TGF-beta Signaling	0.7175186947756707	4.309625092824973	0.0	0.0	0.0	45/54	21.26%	JUNB;RHOA;CDH1;ID3;PPP1CA;IFNGR2;FKBP1A;CDK9;HDAC1;ID1;SPTBN1;ENG;TGFB1;UBE2D3;CTNNB1;PPP1R15A;FURIN;ACVR1;KLF10;NCOR2;XIAP;SLC20A1;LTBP2;ID2;SMURF1;SMAD3;TJP1;RAB31;PMEPA1;SKI;TGIF1;ARID4B;HIPK2;TGFBR1;SKIL;SERPINE1;TRIM33;BMPR2;SMURF2;MAP3K7;BCAR3;THBS1;FNTA;SMAD7;WWTR1	MSigDB_Hallmark_2020	True
prerank	Fructose and mannose metabolism	0.6913762394038078	4.270533417459227	0.0	0.0	0.0	25/33	23.39%	AKR1B1;TPI1;PFKP;PFKFB3;HK2;HK1;GFUS;PFKL;FBP1;GMPPA;ALDOC;ENOSF1;TKFC;PFKFB4;HK3;GMPPB;MPI;PFKFB2;PFKM;FCSK;GMDS;FPGT;PMM1;ALDOA;PMM2	KEGG_2021_Human	False
prerank	Myc Targets V2	0.729682996982111	4.26084934165319	0.0	0.0	0.0	48/57	19.14%	HSPD1;NPM1;CBX3;SRM;HK2;GNL3;PA2G4;DCTPP1;NOP56;FARSA;NOLC1;IMP4;PES1;TFB2M;NOC4L;TMEM97;CDK4;UNG;RRP9;DDX18;MPHOSPH10;MRTO4;TBRG4;HSPE1;EXOSC5;WDR43;MAP3K6;MYBBP1A;MCM4;DUSP2;PPRC1;BYSL;MYC;MCM5;PUS1;RABEPK;RRP12;TCOF1;PLK1;NIP7;GRWD1;SUPV3L1;WDR74;NOP16;LAS1L;AIMP2;SLC29A2;UTP20	MSigDB_Hallmark_2020	True
prerank	Graft-versus-host disease	0.6593905255708783	4.239579030051571	0.0	0.0	0.0	17/38	7.70%	HLA-DRA;HLA-DRB1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DQA1;HLA-DMA;HLA-F;HLA-DMB;HLA-DOA;GZMB;PRF1	KEGG_2021_Human	False
prerank	Nucleotide excision repair	0.6250982618804057	4.221276373577959	0.0	0.0	0.0	35/46	23.52%	PCNA;RAD23B;CETN2;RAD23A;POLD2;DDB1;POLE4;RPA2;POLE3;RBX1;RPA1;CUL4B;RFC1;CUL4A;CDK7;ERCC3;RFC2;GTF2H3;RFC4;RPA3;ERCC1;POLD3;LIG1;DDB2;XPA;RFC5;POLD4;POLD1;GTF2H1;ERCC2;XPC;GTF2H5;CCNH;RFC3;POLE	KEGG_2021_Human	False
