Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Ribosome	0.6515394655622333	5.050798145925733	0.0	0.0	0.0	111/153	11.29%	RPS18;RPS12;RPL8;RPS27;RPS11;RPS4X;RPS6;RPL10A;RPLP2;RPLP1;RPL13A;RPL3;RPS2;RPL7A;RPS25;RPS21;RPL7;RPL10;RPL27;RPS8;RPL19;RPL11;RPS16;RPLP0;RPL29;RPL13;RPL35;RPS9;RPL12;RPL4;RPL5;RPL24;RPS3;RPS14;RPS19;RPL32;RPL41;RPS13;RPL18;RPL34;RPL36AL;RPL36;RPS20;RPS24;RPL31;RPL37A;RPL23;RPS15;RPL37;RPL35A;FAU;RPS4Y1;RPL6;RPL9;RPS3A;RPS5;RPS28;RPS27A;RPL27A;RPL28;RPL30;RPL15;RPL38;RPSA;RPL39;RPS7;RPL18A;RPL23A;RPL21;MRPL14;UBA52;RPL14;MRPS21;RPS26;RPS23;MRPL24;MRPL18;RPS29;MRPL33;MRPL17;MRPL20;MRPL28;RPL22;MRPL10;MRPL34;RPL22L1;MRPL3;MRPS16;RPL26L1;MRPS15;RPL26;MRPL23;RPS15A;MRPS12;MRPS10;MRPL16;MRPL36;MRPL15;MRPL9;MRPS7;MRPL11;MRPS6;MRPS14;MRPL1;MRPL27;RSL24D1;MRPS18A;MRPL32;RPS27L;MRPS2;MRPL21	KEGG_2021_Human	False
prerank	Mitophagy	0.7011316416859026	5.018232232410507	0.0	0.0	0.0	57/68	22.51%	RPS27A;UBB;UBC;ATF4;TOMM7;UBA52;FIS1;CITED2;GABARAPL2;SQSTM1;RRAS;HIF1A;BNIP3L;RHOT2;RAB7A;NBR1;BCL2L1;HRAS;RAB7B;JUN;GABARAPL1;RELA;TAX1BP1;TP53;SRC;CALCOCO2;SP1;ULK1;TFE3;TBC1D17;PGAM5;NRAS;BNIP3;BECN1;MAPK9;MFN2;KRAS;RHOT1;BCL2L13;FUNDC1;ATG5;FOXO3;AMBRA1;MFN1;RRAS2;OPTN;TFEB;ATG9A;CSNK2B;CSNK2A2;TBC1D15;CSNK2A1;PINK1;E2F1;MAPK8;EIF2AK3;USP30	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7304306715088124	5.011323096721932	0.0	0.0	0.0	66/76	22.87%	NFKBIA;CCND1;GADD45B;GADD45G;CDKN1A;CDKN1B;TGFB1;HDAC1;BAX;GRB2;SHC1;MAP2K2;BCL2L1;HRAS;MAPK3;SHC2;CRK;GADD45A;RELA;MAPK1;TGFBR2;CTBP1;TP53;CRKL;ARAF;SMAD3;MAP2K1;CDK4;PTPN11;IKBKB;BCR;NFKB1;BAK1;ABL1;BAD;MECOM;STAT5B;GAB2;NRAS;RUNX1;AKT1;KRAS;AKT2;DDB2;CTBP2;PIK3R1;MYC;HDAC2;SMAD4;MDM2;E2F3;TGFBR1;PIK3CD;SOS1;SOS2;RAF1;RB1;SHC3;CBL;E2F1;CHUK;IKBKG;STAT5A;PIK3R3;PIK3CB;POLK	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.7106903287204454	4.890017682226662	0.0	0.0	0.0	61/76	22.87%	RAC1;CCND1;GADD45B;GADD45G;CDKN1A;ERBB2;VEGFA;STAT3;TGFB1;BAX;BCL2L1;MAPK3;RAC2;GADD45A;RALB;RELA;MAPK1;TGFBR2;STAT1;TP53;ARAF;SMAD3;MAP2K1;CDK4;RALA;IKBKB;TGFA;NFKB1;JAK1;BAK1;CDC42;PLD2;RAC3;BAD;AKT1;RALBP1;MAPK9;KRAS;RPS6KB2;EGFR;AKT2;DDB2;PIK3R1;SMAD4;RPS6KB1;E2F3;TGFBR1;PIK3CD;MTOR;RAF1;RB1;CASP9;E2F1;CHUK;RALGDS;IKBKG;MAPK8;SMAD2;PIK3R3;PIK3CB;POLK	KEGG_2021_Human	False
prerank	B cell receptor signaling pathway	0.6122350066858125	4.731501861598326	0.0	0.0	0.0	50/79	25.35%	IFITM1;NFKBIA;RAC1;FOS;CD81;INPPL1;GRB2;MAP2K2;PPP3CA;HRAS;MAPK3;RAC2;JUN;RELA;MAPK1;LYN;PTPN6;NFKBIB;MAP2K1;IKBKB;NFKB1;VAV2;RAC3;PPP3R1;NRAS;AKT1;KRAS;PPP3CB;CARD11;VAV1;AKT2;BCL10;PIK3R1;SYK;NFKBIE;PPP3CC;PIK3CD;SOS1;SOS2;RAF1;NFATC3;CHUK;IKBKG;PIK3R3;PIK3CB;DAPP1;GSK3B;NFATC2;MALT1;NFATC1	KEGG_2021_Human	False
prerank	Protein Secretion	0.7444407792948163	4.6466752488375285	0.0	0.0	0.0	83/96	19.56%	CD63;ARF1;KRT18;GNAS;ATP1A1;TMED2;TMED10;SCAMP3;AP2M1;SOD1;ERGIC3;CLTC;ARCN1;CLTA;PAM;AP2S1;VAMP3;AP2B1;PPT1;COPB1;RAB2A;SEC31A;RAB14;VAMP7;USO1;COPE;AP3S1;LMAN1;TSG101;RER1;ANP32E;AP1G1;MAPK1;M6PR;LAMP2;SCRN1;STX16;ARFGAP3;RAB5A;AP3B1;TPD52;VPS4B;ARFIP1;CAV2;YIPF6;RPS6KA3;ATP6V1H;OCRL;ARFGEF1;STX12;YKT6;SCAMP1;NAPG;RAB9A;CLCN3;BNIP3;TMX1;SNX2;NAPA;EGFR;SEC24D;TSPAN8;VPS45;IGF2R;COPB2;GOLGA4;ICA1;BET1;DNM1L;TOM1L1;RAB22A;ARFGEF2;GBF1;VAMP4;ZW10;GALC;STAM;ADAM10;CTSC;SGMS1;GLA;SEC22B;ATP7A	MSigDB_Hallmark_2020	False
prerank	Renal cell carcinoma	0.6707222517104875	4.3839590165890705	0.0	0.0	0.0	59/69	24.07%	ELOB;RAC1;EPAS1;CDKN1A;HIF1A;VEGFA;FH;TGFB1;GRB2;MAP2K2;HRAS;MAPK3;MET;JUN;CRK;MAPK1;RBX1;PRCC;CRKL;ARAF;MAP2K1;PTPN11;PAK1;TGFA;SLC2A1;CDC42;ELOC;TFE3;PAK4;BAD;RAP1A;ARNT;NRAS;PAK2;AKT1;VHL;KRAS;EGLN3;EP300;AKT2;RAPGEF1;CREBBP;PIK3R1;ETS1;PIK3CD;CUL2;SOS1;SOS2;RAF1;FLCN;PAK6;EGLN2;PIK3R3;PIK3CB;GAB1;PAK3;PDGFB;ARNT2;RAP1B	KEGG_2021_Human	False
prerank	Phosphatidylinositol signaling system	0.538992890706418	4.334781060372197	0.0	0.0	0.0	68/97	25.93%	CALM2;INPPL1;CDIPT;ITPKC;CALM3;CALM1;ITPR3;PIP4K2C;PI4KB;PLCB3;IMPA2;PIP5K1A;PIP4K2B;IP6K2;MTMR1;OCRL;DGKQ;CDS1;DGKD;BPNT2;ITPKB;IP6K1;PI4K2A;PI4K2B;PIP5K1C;ITPK1;PIP4P1;PLCG1;INPP5A;MTMR6;MTMR4;PTEN;PI4KA;PIP4K2A;MTMR14;CDS2;PIK3C2A;PIK3R1;PRKCA;DGKZ;MTM1;PIK3CD;SACM1L;PIK3C2B;INPP1;IMPA1;DGKA;ITPKA;PLCB2;PLCD1;INPP5E;INPP5F;INPP4A;PIK3R3;PIK3CB;ITPR2;IPMK;PIKFYVE;MTMR2;PPIP5K2;PPIP5K1;PLCB4;PLCE1;SYNJ1;MTMR3;INPP5B;PIK3C3;SYNJ2	KEGG_2021_Human	False
prerank	VEGF signaling pathway	0.6191783946353134	4.304533143097744	0.0	0.0	0.0	40/59	22.29%	HSPB1;RAC1;MAPKAPK2;VEGFA;MAP2K2;PPP3CA;PTGS2;HRAS;MAPK13;MAPK3;SHC2;RAC2;MAPK1;MAPKAPK3;SRC;MAP2K1;CDC42;PTK2;RAC3;BAD;PPP3R1;NRAS;AKT1;KRAS;PPP3CB;PLA2G4A;PLCG1;PXN;AKT2;MAPK14;KDR;PIK3R1;PRKCA;PPP3CC;PIK3CD;RAF1;CASP9;SPHK2;PIK3R3;PIK3CB	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6170276858883013	4.296787855999843	0.0	0.0	0.0	62/90	26.00%	HLA-DRB1;HLA-DRA;HLA-DRB5;NFKBIA;FOS;HLA-DPB1;HLA-DMA;HLA-DPA1;STAT6;HLA-DQB1;IFNGR2;HLA-DOA;IL4R;PPP3CA;MAPK13;MAPK3;JUN;IFNGR1;RELA;MAPK1;TYK2;NOTCH3;STAT1;NFKBIB;MAML1;IKBKB;NFKB1;JAK1;HLA-DQA1;PPP3R1;STAT5B;HLA-DQA2;HLA-DMB;RBPJ;MAPK9;JAG2;PPP3CB;PLCG1;MAPK14;NFKBIE;CD4;MAML2;PPP3CC;NOTCH1;JAK3;NOTCH2;CD3D;JAG1;MAML3;NFATC3;CHUK;IKBKG;STAT5A;MAPK8;DLL4;MAF;CD3E;NFATC2;NFATC1;HLA-DOB;MAPK11;DLL1	KEGG_2021_Human	False
