sample_id	n_ora_pathways	n_gsea_pathways
TCGA-05-4244	0	177
TCGA-05-4245	0	65
TCGA-05-4249	3	175
TCGA-05-4250	0	156
TCGA-05-4382	19	164
TCGA-05-4384	5	162
TCGA-05-4389	3	160
TCGA-05-4390	10	128
TCGA-05-4395	0	135
TCGA-05-4396	0	146
TCGA-05-4397	62	193
TCGA-05-4398	5	173
TCGA-05-4402	1	168
TCGA-05-4403	1	158
TCGA-05-4405	2	139
TCGA-05-4410	38	121
TCGA-05-4415	0	164
TCGA-05-4417	45	125
TCGA-05-4418	0	125
TCGA-05-4420	0	155
TCGA-05-4422	6	152
TCGA-05-4424	1	158
TCGA-05-4425	18	146
TCGA-05-4426	6	174
TCGA-05-4427	8	160
TCGA-05-4430	0	170
TCGA-05-4432	3	163
TCGA-05-4433	38	151
TCGA-05-4434	25	202
TCGA-05-5420	0	85
TCGA-05-5423	2	129
TCGA-05-5425	1	140
TCGA-05-5428	3	114
TCGA-05-5429	4	129
TCGA-05-5715	0	144
TCGA-17-Z000	0	0
TCGA-17-Z001	0	0
TCGA-17-Z002	1	0
TCGA-17-Z003	0	0
TCGA-17-Z004	0	0
TCGA-17-Z005	2	0
TCGA-17-Z007	0	0
TCGA-17-Z009	0	0
TCGA-17-Z010	0	0
TCGA-17-Z011	1	0
TCGA-17-Z013	0	0
TCGA-17-Z015	1	0
TCGA-17-Z016	0	0
TCGA-17-Z017	0	0
TCGA-17-Z018	0	0
TCGA-17-Z019	2	0
TCGA-17-Z020	2	0
TCGA-17-Z021	0	0
TCGA-17-Z022	29	0
TCGA-17-Z023	1	0
TCGA-17-Z025	0	0
TCGA-17-Z026	17	0
TCGA-17-Z027	1	0
TCGA-17-Z028	0	0
TCGA-17-Z032	27	0
TCGA-17-Z033	0	0
TCGA-17-Z036	0	0
TCGA-17-Z037	0	0
TCGA-17-Z041	0	0
TCGA-17-Z042	14	0
TCGA-17-Z043	0	0
TCGA-17-Z044	0	0
TCGA-17-Z045	7	0
TCGA-17-Z047	25	0
TCGA-17-Z048	0	0
TCGA-17-Z049	5	0
TCGA-17-Z050	0	0
TCGA-17-Z051	0	0
TCGA-17-Z052	0	0
TCGA-17-Z053	2	0
TCGA-17-Z054	18	0
TCGA-17-Z055	7	0
TCGA-17-Z056	2	0
TCGA-17-Z057	0	0
TCGA-17-Z058	0	0
TCGA-17-Z059	0	0
TCGA-17-Z061	1	0
TCGA-17-Z062	9	0
TCGA-35-3615	0	142
TCGA-35-4122	0	110
TCGA-35-4123	0	131
TCGA-35-5375	5	103
TCGA-38-4625	16	181
TCGA-38-4626	0	155
TCGA-38-4627	0	155
TCGA-38-4628	0	135
TCGA-38-4629	6	113
TCGA-38-4630	0	211
TCGA-38-4631	13	120
TCGA-38-4632	1	124
TCGA-38-6178	0	156
TCGA-38-7271	4	109
TCGA-38-A44F	14	136
TCGA-44-2655	0	165
TCGA-44-2656	14	142
TCGA-44-2656_3	10	0
TCGA-44-2656_4	16	0
TCGA-44-2656_5	10	0
TCGA-44-2657	0	119
TCGA-44-2659	0	134
TCGA-44-2661	0	129
TCGA-44-2662	2	130
TCGA-44-2662_3	2	0
TCGA-44-2662_4	0	0
TCGA-44-2665	0	165
TCGA-44-2665_3	9	0
TCGA-44-2666	0	130
TCGA-44-2666_3	1	0
TCGA-44-2666_4	0	0
TCGA-44-2668	5	112
TCGA-44-2668_3	1	0
TCGA-44-3396	0	137
TCGA-44-3398	3	156
TCGA-44-3917	5	211
TCGA-44-3918	29	241
TCGA-44-3918_3	34	0
TCGA-44-3919	6	156
TCGA-44-4112	7	149
TCGA-44-4112_3	7	0
TCGA-44-4112_4	5	0
TCGA-44-4112_5	7	0
TCGA-44-4112_6	4	0
TCGA-44-5643	0	138
TCGA-44-5644	15	127
TCGA-44-5645	104	241
TCGA-44-5645_3	116	0
TCGA-44-5645_4	107	0
TCGA-44-5645_5	92	0
TCGA-44-6144	0	0
TCGA-44-6145	2	128
TCGA-44-6146	0	109
TCGA-44-6146_3	0	0
TCGA-44-6146_4	0	0
TCGA-44-6146_5	0	0
TCGA-44-6147	1	166
TCGA-44-6147_3	0	0
TCGA-44-6147_4	0	0
TCGA-44-6147_5	0	0
TCGA-44-6148	19	154
TCGA-44-6774	0	131
TCGA-44-6775	18	259
TCGA-44-6775_3	3	0
TCGA-44-6775_4	9	0
TCGA-44-6775_5	8	0
TCGA-44-6776	0	121
TCGA-44-6777	8	127
TCGA-44-6778	2	157
TCGA-44-6779	0	124
TCGA-44-7659	0	134
TCGA-44-7660	5	156
TCGA-44-7661	0	189
TCGA-44-7662	2	153
TCGA-44-7667	5	130
TCGA-44-7669	0	207
TCGA-44-7670	12	176
TCGA-44-7671	0	152
TCGA-44-7672	0	103
TCGA-44-8117	2	149
TCGA-44-8119	4	165
TCGA-44-8120	6	182
TCGA-44-A479	0	121
TCGA-44-A47A	0	172
TCGA-44-A47B	0	163
TCGA-44-A47G	0	127
TCGA-44-A4SS	6	138
TCGA-44-A4SU	0	149
TCGA-49-4486	2	113
TCGA-49-4487	1	111
TCGA-49-4488	0	136
TCGA-49-4490	0	137
TCGA-49-4494	0	138
TCGA-49-4501	1	148
TCGA-49-4505	4	139
TCGA-49-4506	0	97
TCGA-49-4507	0	121
TCGA-49-4507_3	0	0
TCGA-49-4510	0	136
TCGA-49-4512	0	102
TCGA-49-4514	0	82
TCGA-49-6742	1	138
TCGA-49-6743	16	170
TCGA-49-6744	0	147
TCGA-49-6745	0	150
TCGA-49-6761	0	136
TCGA-49-6767	0	129
TCGA-49-AAQV	1	172
TCGA-49-AAR0	0	143
TCGA-49-AAR2	4	101
TCGA-49-AAR3	0	93
TCGA-49-AAR4	22	111
TCGA-49-AAR9	10	140
TCGA-49-AARE	1	114
TCGA-49-AARN	5	139
TCGA-49-AARO	5	142
TCGA-49-AARQ	0	93
TCGA-49-AARR	0	154
TCGA-4B-A93V	0	110
TCGA-50-5044	0	102
TCGA-50-5045	2	144
TCGA-50-5049	8	100
TCGA-50-5051	0	119
TCGA-50-5055	0	122
TCGA-50-5066	0	232
TCGA-50-5068	0	120
TCGA-50-5072	0	169
TCGA-50-5930	4	97
TCGA-50-5931	5	167
TCGA-50-5932	0	130
TCGA-50-5933	0	148
TCGA-50-5935	0	140
TCGA-50-5936	0	140
TCGA-50-5939	4	123
TCGA-50-5941	12	146
TCGA-50-5942	0	140
TCGA-50-5944	0	141
TCGA-50-5946	6	182
TCGA-50-6590	14	119
TCGA-50-6591	27	150
TCGA-50-6592	12	172
TCGA-50-6593	3	153
TCGA-50-6594	0	128
TCGA-50-6595	2	142
TCGA-50-6597	0	111
TCGA-50-6673	2	158
TCGA-50-7109	0	137
TCGA-50-8457	0	123
TCGA-50-8459	0	126
TCGA-50-8460	0	112
TCGA-53-7624	0	160
TCGA-53-7626	7	154
TCGA-53-7813	1	79
TCGA-53-A4EZ	6	128
TCGA-55-1592	2	190
TCGA-55-1594	0	170
TCGA-55-1595	2	156
TCGA-55-1596	5	170
TCGA-55-5899	18	148
TCGA-55-6543	0	132
TCGA-55-6642	1	106
TCGA-55-6712	0	123
TCGA-55-6968	1	125
TCGA-55-6969	0	124
TCGA-55-6970	0	153
TCGA-55-6971	0	125
TCGA-55-6972	0	106
TCGA-55-6975	1	126
TCGA-55-6978	5	168
TCGA-55-6979	0	127
TCGA-55-6980	76	131
TCGA-55-6981	19	109
TCGA-55-6982	0	132
TCGA-55-6983	0	151
TCGA-55-6984	0	111
TCGA-55-6985	1	137
TCGA-55-6986	0	149
TCGA-55-6987	1	133
TCGA-55-7227	2	146
TCGA-55-7281	9	137
TCGA-55-7283	0	157
TCGA-55-7284	1	183
TCGA-55-7570	3	156
TCGA-55-7573	0	172
TCGA-55-7574	0	152
TCGA-55-7576	4	151
TCGA-55-7724	3	107
TCGA-55-7725	12	118
TCGA-55-7726	0	125
TCGA-55-7727	1	129
TCGA-55-7728	3	122
TCGA-55-7815	0	125
TCGA-55-7816	0	169
TCGA-55-7903	0	161
TCGA-55-7907	0	131
TCGA-55-7910	0	122
TCGA-55-7911	0	157
TCGA-55-7913	0	159
TCGA-55-7914	0	140
TCGA-55-7994	0	162
TCGA-55-7995	0	200
TCGA-55-8085	0	147
TCGA-55-8087	0	207
TCGA-55-8089	0	152
TCGA-55-8090	0	155
TCGA-55-8091	0	143
TCGA-55-8092	0	150
TCGA-55-8094	0	112
TCGA-55-8096	0	182
TCGA-55-8097	0	181
TCGA-55-8203	0	150
TCGA-55-8204	0	141
TCGA-55-8205	0	183
TCGA-55-8206	0	166
TCGA-55-8207	0	159
TCGA-55-8208	0	143
TCGA-55-8299	0	149
TCGA-55-8301	0	121
TCGA-55-8302	0	128
TCGA-55-8505	0	145
TCGA-55-8506	0	130
TCGA-55-8507	0	145
TCGA-55-8508	0	80
TCGA-55-8510	0	124
TCGA-55-8511	0	134
TCGA-55-8512	0	153
TCGA-55-8513	0	160
TCGA-55-8514	0	130
TCGA-55-8614	0	156
TCGA-55-8615	0	130
TCGA-55-8616	0	141
TCGA-55-8619	0	118
TCGA-55-8620	0	144
TCGA-55-8621	0	144
TCGA-55-A48X	0	161
TCGA-55-A48Y	0	113
TCGA-55-A48Z	0	141
TCGA-55-A490	0	103
TCGA-55-A491	0	116
TCGA-55-A492	0	117
TCGA-55-A493	0	158
TCGA-55-A494	0	154
TCGA-55-A4DF	0	181
TCGA-55-A4DG	0	149
TCGA-55-A57B	0	183
TCGA-62-8394	0	165
TCGA-62-8395	0	169
TCGA-62-8397	0	78
TCGA-62-8398	0	159
TCGA-62-8399	0	166
TCGA-62-8402	0	145
TCGA-62-A46O	0	136
TCGA-62-A46P	0	114
TCGA-62-A46R	0	124
TCGA-62-A46S	0	135
TCGA-62-A46U	0	162
TCGA-62-A46V	0	150
TCGA-62-A46Y	0	145
TCGA-62-A470	0	120
TCGA-62-A471	0	136
TCGA-62-A472	0	142
TCGA-64-1676	0	113
TCGA-64-1677	0	114
TCGA-64-1678	0	97
TCGA-64-1679	0	172
TCGA-64-1680	0	125
TCGA-64-1681	0	151
TCGA-64-5774	0	134
TCGA-64-5775	0	142
TCGA-64-5778	0	119
TCGA-64-5779	0	114
TCGA-64-5781	0	109
TCGA-64-5815	0	131
TCGA-67-3770	0	123
TCGA-67-3771	0	163
TCGA-67-3772	0	134
TCGA-67-3773	0	113
TCGA-67-3774	0	148
TCGA-67-4679	0	128
TCGA-67-6215	0	165
TCGA-67-6216	0	131
TCGA-67-6217	0	146
TCGA-69-7760	0	108
TCGA-69-7761	0	125
TCGA-69-7763	0	127
TCGA-69-7764	0	129
TCGA-69-7765	0	136
TCGA-69-7973	0	181
TCGA-69-7974	0	173
TCGA-69-7978	0	150
TCGA-69-7979	0	165
TCGA-69-7980	0	184
TCGA-69-8253	0	139
TCGA-69-8254	0	161
TCGA-69-8255	0	153
