Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
Reactome_2022	Cellular Response To Starvation R-HSA-9711097	2/153	0.0015794846162693	0.0233877128297821	0	0	43.799116997792495	282.53306652560025	SH3BP4;ATF4	Reactome_2022
Reactome_2022	Cellular Responses To Stress R-HSA-2262752	3/722	0.0022899064940722	0.0233877128297821	0	0	16.08317107093185	97.77352597095296	DNAJB1;SH3BP4;ATF4	Reactome_2022
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	3/736	0.0024194185685981	0.0233877128297821	0	0	15.764529331514323	94.96911945644835	DNAJB1;SH3BP4;ATF4	Reactome_2022
Reactome_2022	ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183	1/9	0.0035949086662176	0.0254750174977455	0	0	356.85714285714283	2008.4764659134423	ATF4	Reactome_2022
Reactome_2022	ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033	1/11	0.004392244396163	0.0254750174977455	0	0	285.45714285714286	1549.43708775113	ATF4	Reactome_2022
Reactome_2022	Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895	1/15	0.0059852428364459	0.0289286737094885	0	0	203.8571428571429	1043.434298452164	ATF4	Reactome_2022
Reactome_2022	Cellular Hexose Transport R-HSA-189200	1/21	0.0083705616816055	0.0334752757560486	0	0	142.65714285714284	682.3340060288631	SLC50A1	Reactome_2022
Reactome_2022	Attenuation Phase R-HSA-3371568	1/26	0.0103545017362565	0.0334752757560486	0	0	114.09714285714286	521.4620402892078	DNAJB1	Reactome_2022
Reactome_2022	ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	1/27	0.0107508728609495	0.0334752757560486	0	0	109.7032967032967	497.25962914000377	ATF4	Reactome_2022
Reactome_2022	HSF1 Activation R-HSA-3371511	1/29	0.0115431985365684	0.0334752757560486	0	0	101.85714285714286	454.4518266085444	DNAJB1	Reactome_2022
Reactome_2022	PERK Regulates Gene Expression R-HSA-381042	1/32	0.0127306462090213	0.0335626127328743	0	0	91.98617511520736	401.4040374155011	ATF4	Reactome_2022
Reactome_2022	HSF1-dependent Transactivation R-HSA-3371571	1/36	0.0143119685548053	0.0336886274245691	0	0	81.45714285714286	345.92071940977723	DNAJB1	Reactome_2022
Reactome_2022	HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497	1/38	0.0151017985006689	0.0336886274245691	0	0	77.04633204633204	323.0507581480842	DNAJB1	Reactome_2022
Reactome_2022	Amino Acids Regulate mTORC1 R-HSA-9639288	1/55	0.0217930294836725	0.0451427039304645	0	0	52.74603174603175	201.8150262928954	SH3BP4	Reactome_2022
