Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
KEGG_2021_Human	Glioma	5/75	1.416045202416935e-07	2.194870063746249e-05	0	0	50.75765306122449	800.4597479978322	CAMK2D;PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Melanoma	4/72	5.836837514642769e-06	0.0002807541336903831	0	0	40.3630831643002	486.4284890891413	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Non-small cell lung cancer	4/72	5.836837514642769e-06	0.0002807541336903831	0	0	40.3630831643002	486.4284890891413	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Pancreatic cancer	4/76	7.245267966203435e-06	0.0002807541336903831	0	0	38.11302681992337	451.0738465912044	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Bladder cancer	3/41	4.179933982581115e-05	0.0012957795346001	0	0	52.444736842105264	528.7808776660978	CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Endometrial cancer	3/58	0.0001187019320754608	0.003066466578616	0	0	36.20363636363636	327.2408669675868	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Hepatocellular carcinoma	4/168	0.00016252300227985616	0.0035346892253365	0	0	16.655172413793103	145.31123309058904	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Long-term potentiation	3/67	0.0001824355729205942	0.0035346892253365	0	0	31.0984375	267.7299772506698	CAMK2D;GRM5;GRIN2A	KEGG_2021_Human
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	0.0002077641329197866	0.0035781600669518	0	0	29.70149253731343	251.84213619574777	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Chronic myeloid leukemia	3/76	0.00026503042143807295	0.0041079715322901	0	0	27.252054794520543	224.438819484977	PIK3CA;CDKN2A;TP53	KEGG_2021_Human
KEGG_2021_Human	Proteoglycans in cancer	4/205	0.0003474604850545749	0.0045488310000418	0	0	13.563904614856751	108.03459604108797	CAMK2D;PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	ErbB signaling pathway	3/85	0.0003686196306318272	0.0045488310000418	0	0	24.25	191.71432247912077	CAMK2D;PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Colorectal cancer	3/86	0.00038151485806802734	0.0045488310000418	0	0	23.956626506024097	188.5712498587488	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Lipid and atherosclerosis	4/215	0.0004161113344137118	0.0046069469167232	0	0	12.914528517731656	100.53389244954433	CAMK2D;PIK3CA;TLR6;TP53	KEGG_2021_Human
KEGG_2021_Human	Human cytomegalovirus infection	4/225	0.0004939677459506922	0.0051043333748238	0	0	12.32391948821969	93.82249614301772	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Prostate cancer	3/97	0.0005429020598753149	0.0052593637050421	0	0	21.141489361702128	158.9540133946242	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Calcium signaling pathway	4/240	0.0006295035794681237	0.0057395914598564	0	0	11.531852717708942	84.99643168312998	CAMK2D;GRM5;GRIN2A;EGFR	KEGG_2021_Human
KEGG_2021_Human	HIF-1 signaling pathway	3/109	0.0007626832110449629	0.0065675498728871	0	0	18.736792452830187	134.5052086857245	CAMK2D;PIK3CA;EGFR	KEGG_2021_Human
Reactome_2022	Transcriptional Regulation By VENTX R-HSA-8853884	3/39	3.59159083180929e-05	0.0072370555260957	0	0	55.36388888888889	566.612321815806	CDKN2A;AGO1;TP53	Reactome_2022
Reactome_2022	Oncogene Induced Senescence R-HSA-2559585	3/33	2.158691321306124e-05	0.0072370555260957	0	0	66.45666666666666	713.9721008845755	CDKN2A;AGO1;TP53	Reactome_2022
KEGG_2021_Human	Neurotrophin signaling pathway	3/119	0.0009836855621918115	0.0080248032705121	0	0	17.11293103448276	118.49343001449876	CAMK2D;PIK3CA;TP53	KEGG_2021_Human
KEGG_2021_Human	MicroRNAs in cancer	4/310	0.0016250738062805	0.0120583195766892	0	0	8.862294343024566	56.91544485300712	PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Hepatitis C	3/157	0.0021782770848212	0.0120583195766892	0	0	12.865584415584417	78.85601072687304	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Cellular senescence	3/156	0.0021390467331351	0.0120583195766892	0	0	12.95032679738562	79.61077421553263	PIK3CA;CDKN2A;TP53	KEGG_2021_Human
KEGG_2021_Human	Cushing syndrome	3/155	0.0021002607012347	0.0120583195766892	0	0	13.036184210526317	80.37712014311288	CAMK2D;CDKN2A;EGFR	KEGG_2021_Human
KEGG_2021_Human	Pathways in cancer	5/531	0.0016612856418132	0.0120583195766892	0	0	6.600013579576317	42.241165967624205	CAMK2D;PIK3CA;CDKN2A;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Gastric cancer	3/149	0.0018767727039053	0.0120583195766892	0	0	13.576027397260274	85.23303725465522	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Phospholipase D signaling pathway	3/148	0.0018410454039032	0.0120583195766892	0	0	13.670344827586208	86.08792636063933	GRM5;PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Breast cancer	3/147	0.0018057475671611	0.0120583195766892	0	0	13.765972222222222	86.95662638783391	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Human papillomavirus infection	4/331	0.0020640554892644	0.0120583195766892	0	0	8.284298217863546	51.2224997282516	PATJ;PIK3CA;TP53;EGFR	KEGG_2021_Human
Reactome_2022	MAPK Family Signaling Cascades R-HSA-5683057	5/318	0.00016214420489788606	0.0130688229147696	0	0	11.212916476494753	97.85539641429366	CAMK2D;PIK3CA;AGO1;CDC42EP2;EGFR	Reactome_2022
Reactome_2022	Intracellular Signaling By Second Messengers R-HSA-9006925	5/306	0.00013549739879370769	0.0130688229147696	0	0	11.667062173706691	103.91336728054075	CAMK2D;PIK3CA;AGO1;TP53;EGFR	Reactome_2022
Reactome_2022	Transcriptional Regulation By MECP2 R-HSA-8986944	3/60	0.00013134774707850778	0.0130688229147696	0	0	34.92982456140351	312.19097242647723	CAMK2D;GRIN2A;AGO1	Reactome_2022
Reactome_2022	Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066	2/21	0.0005436359670051372	0.0140903526989815	0	0	67.73514431239389	509.18070720221294	CAMK2D;GRIN2A	Reactome_2022
Reactome_2022	Oxidative Stress Induced Senescence R-HSA-2559580	3/93	0.00047997198992371775	0.0140903526989815	0	0	22.085555555555555	168.77301879574551	CDKN2A;AGO1;TP53	Reactome_2022
Reactome_2022	Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382	2/18	0.0003973053137316762	0.0140903526989815	0	0	80.4475806451613	629.9693586370835	PIK3CA;EGFR	Reactome_2022
Reactome_2022	GAB1 Signalosome R-HSA-180292	2/17	0.0003535248152475582	0.0140903526989815	0	0	85.81505376344086	682.0200206338118	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Disease R-HSA-1643685	10/1736	0.0003400789592132784	0.0140903526989815	0	0	4.594941810670563	36.69673419492626	CYFIP2;CAMK2D;PATJ;PIK3CA;CDKN2A;MAN2A1;TLR6;AGRN;TP53;EGFR	Reactome_2022
Reactome_2022	PI3K Events In ERBB2 Signaling R-HSA-1963642	2/16	0.00031225565053905703	0.0140903526989815	0	0	91.94930875576036	742.1861608649783	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Signaling By ERBB2 ECD Mutants R-HSA-9665348	2/15	0.0002735057307803723	0.0140903526989815	0	0	99.0272952853598	812.4385459521706	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Constitutive Signaling By EGFRvIII R-HSA-5637810	2/14	0.0002372829847686736	0.0140903526989815	0	0	107.28494623655914	895.4277443094898	PIK3CA;EGFR	Reactome_2022
Reactome_2022	SUMOylation Of Transcription Factors R-HSA-3232118	2/19	0.0004435892526548597	0.0140903526989815	0	0	75.71157495256168	584.5396585589853	CDKN2A;TP53	Reactome_2022
Reactome_2022	Visual Phototransduction R-HSA-2187338	3/98	0.0005594184694384716	0.0140903526989815	0	0	20.917894736842104	156.64601346430806	RBP3;AGRN;METAP1	Reactome_2022
Reactome_2022	Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324	2/21	0.0005436359670051372	0.0140903526989815	0	0	67.73514431239389	509.18070720221294	CAMK2D;GRIN2A	Reactome_2022
Reactome_2022	Long-term Potentiation R-HSA-9620244	2/23	0.0006536021659098826	0.0141677459974576	0	0	61.27803379416282	449.3525388028706	CAMK2D;GRIN2A	Reactome_2022
Reactome_2022	Signaling By ERBB2 In Cancer R-HSA-1227990	2/25	0.0007734253398115839	0.0141677459974576	0	0	55.94389901823282	400.8202135872168	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736	2/25	0.0007734253398115839	0.0141677459974576	0	0	55.94389901823282	400.8202135872168	CAMK2D;GRIN2A	Reactome_2022
Reactome_2022	Signaling By ERBB2 KD Mutants R-HSA-9664565	2/24	0.0007122855268112139	0.0141677459974576	0	0	58.489736070381234	423.87697178566015	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Signaling By EGFR In Cancer R-HSA-1643713	2/24	0.0007122855268112139	0.0141677459974576	0	0	58.489736070381234	423.87697178566015	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	2/24	0.0007122855268112139	0.0141677459974576	0	0	58.489736070381234	423.87697178566015	CDKN2A;TP53	Reactome_2022
Reactome_2022	PIP3 Activates AKT Signaling R-HSA-1257604	4/268	0.000950066281756631	0.0166468135455618	0	0	10.294148380355278	71.63676039990817	PIK3CA;AGO1;TP53;EGFR	Reactome_2022
KEGG_2021_Human	Axon guidance	3/182	0.0033085206627211	0.0176834725076475	0	0	11.054748603351957	63.13647849747612	CAMK2D;PIK3CA;EPHA3	KEGG_2021_Human
Reactome_2022	Regulation Of MECP2 Expression And Activity R-HSA-9022692	2/31	0.0011914158391229	0.0200058576319397	0	0	44.3559510567297	298.6314482014049	CAMK2D;AGO1	Reactome_2022
KEGG_2021_Human	Viral carcinogenesis	3/203	0.0044922284241295	0.0232098468580028	0	0	9.8835	53.42433407611074	PIK3CA;CDKN2A;TP53	KEGG_2021_Human
KEGG_2021_Human	Rap1 signaling pathway	3/210	0.0049368685155874	0.024684342577937	0	0	9.545893719806765	50.69847114861187	GRIN2A;PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0055464935045482	0.025285485094264	0	0	9.14398148148148	47.49922883745903	PIK3CA;CDKN2A;TP53	KEGG_2021_Human
KEGG_2021_Human	cAMP signaling pathway	3/216	0.0053384944444584	0.025285485094264	0	0	9.274178403755869	48.53002837803599	CAMK2D;GRIN2A;PIK3CA	KEGG_2021_Human
KEGG_2021_Human	Regulation of actin cytoskeleton	3/218	0.0054766250205539	0.025285485094264	0	0	9.186976744186046	47.839033846848125	CYFIP2;PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Amphetamine addiction	2/69	0.0057803448731786	0.025598670152648	0	0	19.162253249879637	98.74868506077512	CAMK2D;GRIN2A	KEGG_2021_Human
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	2/36	0.0016058795210156	0.0258867778787724	0	0	37.8235294117647	243.35975347159868	CDKN2A;TP53	Reactome_2022
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	2/37	0.0016958957284412	0.0262863837908386	0	0	36.7410138248848	234.3909225442032	CDKN2A;TP53	Reactome_2022
KEGG_2021_Human	Ras signaling pathway	3/232	0.0065040612799515	0.0272467431997971	0	0	8.619213973799127	43.400573639669226	GRIN2A;PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	p53 signaling pathway	2/73	0.0064486177107176	0.0272467431997971	0	0	18.07905497501136	91.18875518880436	CDKN2A;TP53	KEGG_2021_Human
KEGG_2021_Human	Shigellosis	3/246	0.0076395127193595	0.0311611703026506	0	0	8.11687242798354	39.56505713502495	PIK3CA;TP53;EGFR	KEGG_2021_Human
KEGG_2021_Human	Salmonella infection	3/249	0.0078971397688739	0.0313860683121913	0	0	8.016666666666667	38.81072469444461	CYFIP2;PIK3CA;TLR6	KEGG_2021_Human
KEGG_2021_Human	Gap junction	2/88	0.0092496946335544	0.035735561291319	0	0	14.914478619654911	69.84696039587277	GRM5;EGFR	KEGG_2021_Human
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.0094526323415747	0.035735561291319	0	0	14.742306266221728	68.7207007708125	PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Small cell lung cancer	2/92	0.0100733381535618	0.0370708888157836	0	0	14.248745519713262	65.51378170650064	PIK3CA;TP53	KEGG_2021_Human
