Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Unfolded Protein Response	0.7589518568529645	5.665924330966885	0.0	0.0	0.0	105/112	21.61%	EEF2;CALR;HSPA5;HSP90B1;RPS14;ATF4;XBP1;YWHAZ;BANF1;NPM1;SRPRA;EIF4G1;EIF4EBP1;BAG3;PDIA6;FUS;KHSRP;SERP1;HYOU1;KDELR3;YIF1A;TARS1;PREB;LSM4;PDIA5;HERPUD1;SHC1;IFIT1;DNAJC3;H2AX;ATP6V0D1;SLC7A5;EIF4A2;DNAJB9;KIF5B;NOLC1;SPCS3;SEC31A;CEBPB;EXOSC5;ARFGAP1;HSPA9;XPOT;PAIP1;PSAT1;CXXC1;ALDH18A1;NHP2;SRPRB;SSR1;IARS1;RRP9;EDEM1;DKC1;EIF4A3;NOP56;ERO1A;SEC11A;VEGFA;CEBPG;DCTN1;EIF2S1;SDAD1;ATF6;ERN1;SPCS1;WFS1;EXOSC4;TUBB2A;SLC30A5;NFYA;SLC1A4;EXOSC1;DDIT4;PARN;CKS1B;POP4;NOP14;MTREX;TSPYL2;EDC4;MTHFD2;IMP3;ATF3;EXOSC10;WIPI1;GEMIN4;ZBTB17;CNOT6;NABP1;LSM1;EXOSC2;CNOT2;CHAC1;EXOC2;EIF2AK3;EXOSC9;NFYB;DNAJA4;TATDN2;DCP1A;CCL2;GOSR2;DCP2;FKBP14	MSigDB_Hallmark_2020	False
prerank	Cholesterol Homeostasis	0.7249845299490467	5.358220763059597	0.0	0.0	0.0	61/74	20.73%	ACTG1;S100A11;LGALS3;ANXA5;PMVK;CXCL16;LGMN;MAL2;SCD;ECH1;CTNNB1;FASN;ERRFI1;ALDOC;ACSS2;SREBF2;FDFT1;GUSB;PNRC1;CD9;ALCAM;CLU;STX5;DHCR7;TNFRSF12A;PLSCR1;LPL;ATF5;TMEM97;NSDHL;FBXO6;TM7SF2;TRIB3;PLAUR;FDPS;CHKA;LSS;NFIL3;SQLE;TP53INP1;MVD;NIBAN1;IDI1;LDLR;SC5D;EBP;ETHE1;HMGCR;PCYT2;FADS2;ATF3;HMGCS1;FABP5;CPEB2;ABCA2;MVK;ACAT2;ANTXR2;HSD17B7;PDK3;JAG1	MSigDB_Hallmark_2020	False
prerank	Autophagy	0.6472752993610564	5.093574499598476	0.0	0.0	0.0	118/136	26.46%	VAMP8;CTSB;CTSD;SQSTM1;RAB1A;RRAS;LAMP1;VMP1;MAP2K2;BCL2L1;PRKCD;RRAGA;IGBP1;MAP2K1;RAB7A;PPP2CB;HMGB1;MAPK1;HIF1A;GABARAPL2;BNIP3;ATG13;RHEB;LAMP2;PPP2CA;HRAS;SH3GLB1;DAPK3;RAB7B;EIF2S1;MAPK3;MLST8;ERN1;AKT1;RRAS2;AKT1S1;CTSL;PRKAA1;ATG4B;STK11;ATG2A;GABARAPL1;PRKACA;AMBRA1;NRAS;ULK1;DEPTOR;RRAGD;PTEN;MTMR14;TANK;KRAS;NRBF2;DAPK1;DDIT4;AKT2;PIK3CB;IRS1;ATG14;CAMKK2;BAD;WIPI2;ATG3;CFLAR;ATG4D;SNAP29;BECN1;RPS6KB2;WIPI1;MTMR4;TP53INP2;TSC2;ATG4A;ATG16L1;MAPK9;UVRAG;RPTOR;ATG9A;MTOR;MAP3K7;STX17;RB1CC1;ATG5;ATG16L2;ATG101;ATG4C;EIF2AK3;RAF1;ATG12;EIF2AK4;SUPT20H;RPS6KB1;ZFYVE1;PRKAA2;WDR41;PIK3R4;SMCR8;RRAGB;RAB8A;PIK3CD;PDPK1;PRKACB;RRAGC;PRKCQ;ATG7;IRS2;TSC1;ATG2B;PIK3R1;TBK1;MRAS;RAB33B;ATG10;TRAF6;MAPK8;PIK3C3;PIK3R3;ULK2	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6514000788449639	4.980931847584922	0.0	0.0	0.0	49/77	16.38%	ACTG1;ACTB;FN1;RHOA;CDH1;ACTR2;CLTC;ARPC3;CTTN;RAC1;CLTA;CTNNA1;ARPC2;RHOG;SEPTIN2;ELMO3;CTNNB1;CLTB;SEPTIN9;SHC1;ARPC4;ACTR3;DNM2;ARPC5;ARPC5L;HCLS1;CRKL;SRC;CRK;WASF2;DOCK1;SEPTIN6;CDC42;CAV1;ITGB1;VCL;WASL;ELMO2;ARPC1A;CD2AP;ITGA5;PXN;SHC2;PIK3CB;SEPTIN8;MAD2L2;BCAR1;SEPTIN11;PTK2	KEGG_2021_Human	False
prerank	TNF signaling pathway	0.6781430780081582	4.923826596957077	0.0	0.0	0.0	85/112	23.48%	ATF4;NFKBIA;ICAM1;JUN;MMP14;CREB3L1;MMP9;TNFRSF1A;JUNB;FOS;CSF1;MAP2K1;ATF6B;IKBKB;TRADD;CEBPB;CREB3;RELA;BCL3;MAPK1;MAP2K3;MAPK13;TNFRSF1B;RPS6KA4;PGAM5;CSF2;MAPK3;CXCL1;NFKB1;BIRC3;MAP2K7;CREB3L2;CCL5;AKT1;BIRC2;TRAF1;CXCL10;CREB3L4;TNFAIP3;CXCL2;MAPK14;CASP3;MAP3K5;SOCS3;CASP7;TAB1;MLKL;TAB2;CASP8;ATF2;AKT2;TRAF2;PIK3CB;CFLAR;DNM1L;TRAF5;ITCH;MAPK9;CASP10;LIF;IRF1;MAP3K7;RIPK3;TNF;MAP2K4;CCL20;CX3CL1;TRAF3;RIPK1;MAP3K14;FAS;MAP3K8;DAB2IP;CCL2;CREB1;JAG1;PIK3CD;MAP2K6;CHUK;BAG4;EDN1;MAPK11;VCAM1;PIK3R1;TAB3	KEGG_2021_Human	False
prerank	Proteasome	0.743565225961937	4.8664923588541065	0.0	0.0	0.0	39/46	16.22%	PSMB4;PSME1;PSMB3;PSMC3;PSMA7;PSMB5;PSMD4;PSME2;PSMB6;PSMB7;POMP;PSMC4;PSMB8;PSMB1;PSMD8;PSMA3;PSMD13;PSMD2;PSMC5;PSMB9;PSMD3;PSMB2;ADRM1;PSME3;PSMB10;PSMA4;PSMA5;PSMD12;PSMD7;PSMF1;PSMC2;PSMD11;PSME4;PSMC6;PSMD14;PSMD6;SEM1;PSMD1;PSMA1	KEGG_2021_Human	False
prerank	Protein Secretion	0.7322228431814247	4.8216095182070315	0.0	0.0	0.0	83/96	21.08%	CD63;ARF1;KRT18;TMED2;SOD1;TMED10;GNAS;CLTC;ARCN1;PPT1;CLTA;ANP32E;AP2M1;ERGIC3;AP2S1;COPB1;SCAMP3;COPE;LMAN1;ATP1A1;VAMP3;USO1;RAB14;SEC31A;STX16;AP2B1;RER1;TSG101;ARFGAP3;MAPK1;BNIP3;PAM;RAB2A;LAMP2;AP3S1;STX12;M6PR;VPS4B;CTSC;VAMP7;SEC24D;RAB5A;SGMS1;RPS6KA3;TPD52;AP3B1;NAPA;ICA1;RAB22A;YKT6;TMX1;GOLGA4;AP1G1;COPB2;ARFIP1;SNX2;BET1;CLCN3;EGFR;ZW10;IGF2R;RAB9A;NAPG;YIPF6;VPS45;OCRL;DNM1L;ARFGEF1;ATP6V1H;ARFGEF2;GALC;GBF1;STAM;SCRN1;SCAMP1;SEC22B;ADAM10;TOM1L1;VAMP4;MON2;GLA;TSPAN8;GOSR2	MSigDB_Hallmark_2020	False
prerank	Viral myocarditis	0.7490809810008155	4.755854206434885	0.0	0.0	0.0	39/57	12.53%	HLA-DRA;ACTG1;HLA-DRB1;ACTB;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;HLA-DPA1;HLA-DPB1;EIF4G2;ICAM1;HLA-DMA;HLA-DQA1;EIF4G1;RAC1;HLA-DQA2;HLA-DQB1;CCND1;RAC2;CD55;ITGB2;HLA-F;HLA-DOA;CD40;HLA-DMB;PRF1;CYCS;FYN;DAG1;ABL1;CASP3;CAV1;BID;CASP8;CXADR;CD86;EIF4G3	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7113255900144377	4.743497026006544	0.0	0.0	0.0	44/74	12.26%	HLA-DRA;HLA-DRB1;EEF1A1;C3;HLA-DRB5;HLA-DPA1;NFKBIA;MARCKSL1;HLA-DPB1;HLA-DMA;HLA-DQA1;JUN;HLA-DQA2;HLA-DQB1;STAT1;IFNGR1;ITGB2;TGFB1;FOS;IRAK1;IFNGR2;CYBB;PTPN6;MYD88;HLA-DOA;FCGR3A;RELA;TLR2;MAPK1;HLA-DMB;NCF2;CYBA;MAPK13;NCF4;JAK1;NFKBIB;MAPK3;NFKB1;ELK1;MAPK14;ITGB1;TAB1;TAB2;ITGAM	KEGG_2021_Human	False
prerank	Legionellosis	0.6611124382398021	4.703984317243461	0.0	0.0	0.0	37/57	17.68%	EEF1A1;ARF1;HSPA8;C3;NFKBIA;RAB1A;RAB1B;ITGB2;HSPD1;CASP1;CD14;VCP;MYD88;RELA;TLR2;BNIP3;NFKB2;HSPA1B;CYCS;HSPA1A;IL18;CLK1;HSF1;PYCARD;CXCL1;NFKB1;SAR1A;CXCL2;CASP3;CASP7;CASP8;BCL2L13;ITGAM;SAR1B;SEC22B;HSPA6;TNF	KEGG_2021_Human	False
