Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Bacterial invasion of epithelial cells	0.6589104489114005	5.240452103745998	0.0	0.0	0.0	56/77	20.11%	ACTG1;ACTB;RHOA;CTNNB1;CDH1;RAC1;FN1;ARPC3;ACTR2;CTNNA1;SEPTIN2;CLTC;CLTA;CTTN;MET;CLTB;ARPC2;RHOG;SEPTIN9;CRK;ARPC4;CDC42;CD2AP;ITGB1;ARPC5L;SHC1;ACTR3;SRC;VCL;ARPC5;CRKL;WASF2;DNM2;DOCK1;WASL;ELMO3;HCLS1;PTK2;WASF1;PIK3CB;ITGA5;PXN;SEPTIN11;ARPC1A;SEPTIN6;SEPTIN8;PIK3CD;PIK3R1;MAD2L2;GAB1;ARHGEF26;BCAR1;ELMO2;CAV1;SHC2;CBL	KEGG_2021_Human	False
prerank	Colorectal cancer	0.7013066682211114	5.091486414933408	0.0	0.0	0.0	67/86	19.45%	RHOA;CTNNB1;FOS;RAC1;TGFBR2;JUN;CCND1;GADD45B;TGFB1;AREG;BAX;GADD45A;GRB2;GADD45G;ARAF;CDKN1A;TCF7L1;MAPK1;KRAS;NRAS;RALA;MAP2K2;MAP2K1;RALB;BAK1;CASP3;HRAS;AKT1;AXIN1;SMAD3;MAPK3;RAC2;APPL1;TCF7L2;TGFBR1;AKT2;CYCS;SOS2;RAF1;PIK3CB;MAPK9;SMAD4;BIRC5;RPS6KB1;RAC3;TP53;BCL2L11;TGFB3;SOS1;PIK3CD;MAPK8;BAD;RPS6KB2;PIK3R1;BBC3;PMAIP1;GSK3B;MLH1;EGFR;MYC;SMAD2;MSH6;MTOR;DDB2;AXIN2;CASP9;TGFA	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7374233248284381	5.021851621180915	0.0	0.0	0.0	89/97	23.65%	IFITM3;CD74;TXNIP;B2M;LGALS3BP;HLA-C;IFITM1;BST2;IFITM2;PSME1;LY6E;IFI27;ISG15;ADAR;WARS1;NCOA7;CXCL10;PSMA3;PSME2;CD47;STAT2;PARP14;UBE2L6;LAP3;CSF1;C1S;TRAFD1;OAS1;LAMP3;UBA7;IFI35;IL4R;PLSCR1;TAP1;PARP9;SLC25A28;CNP;TRIM21;IRF7;PSMB8;TENT5A;OGFR;ELF1;MOV10;GBP2;IRF2;IFI44;IFIT3;GMPR;TRIM14;PSMB9;TRIM26;CMTR1;HELZ2;NUB1;ISG20;DHX58;NMI;HERC6;EIF2AK2;IFIH1;MVB12A;TDRD7;GBP4;RIPK2;TRIM5;PARP12;LPAR6;BATF2;PNPT1;TMEM140;CCRL2;PROCR;CASP8;MX1;DDX60;EPSTI1;CASP1;SP110;SAMD9L;IRF1;IFI44L;CMPK2;IFIT2;TRIM25;CXCL11;SELL;RSAD2;IRF9	MSigDB_Hallmark_2020	True
prerank	Androgen Response	0.6733862250122261	4.904863143905824	0.0	0.0	0.0	89/100	27.47%	SAT1;KRT8;B2M;KRT19;DHCR24;H1-0;XRCC6;SCD;MYL12A;B4GALT1;ITGAV;CCND1;LMAN1;NCOA4;XRCC5;TMEM50A;SMS;ABCC4;DBI;VAPA;NDRG1;GPD1L;ACSL3;ELOVL5;RAB4A;SLC38A2;TSC22D1;PA2G4;ABHD2;UBE2J1;SPCS3;IDI1;RPS6KA3;ACTN1;PMEPA1;UAP1;STK39;GSR;ADRM1;INSIG1;TPD52;SRF;SGK1;DNAJB9;PLPP1;GNAI3;AKT1;MAP7;CAMKK2;TMPRSS2;CCND3;SEC24D;ELL2;FKBP5;HMGCR;ELK4;ZMIZ1;PDLIM5;UBE2I;FADS1;MERTK;ADAMTS1;LIFR;PGM3;PTK2B;MAF;HMGCS1;APPBP2;HSD17B14;RRP12;NGLY1;ZBTB10;ARID5B;PIAS1;HOMER2;HPGD;CDC14B;ANKH;SPDEF;TNFAIP8;AKAP12;PTPN21;SELENOP;INPP4B;IQGAP2;GUCY1A1;SLC26A2;STEAP4;CENPN	MSigDB_Hallmark_2020	False
prerank	Inositol phosphate metabolism	0.6311109243371391	4.843961247877498	0.0	0.0	0.0	60/73	27.88%	ITPKA;TPI1;ITPKC;IMPA2;PIP4K2C;CDIPT;INPPL1;ISYNA1;PIP4K2B;PIP5K1A;PI4K2B;PI4KB;OCRL;PIK3C2A;MINPP1;MIOX;ITPK1;PTEN;PLCB3;PI4K2A;PLCG1;PIP5K1C;MTMR14;SACM1L;PIK3CB;MTMR1;PI4KA;INPP5A;PIP4K2A;INPP1;MTMR6;PIK3CD;INPP5K;PIP5KL1;ALDH6A1;IMPA1;ITPKB;PLCH1;MTM1;INPP5J;MTMR4;PLCD1;INPP5D;INPP5E;PIKFYVE;PLCB2;IPMK;INPP4A;INPP5F;PIK3C3;MTMR2;PLCD3;INPP5B;PLCB1;PIK3C2B;INPP4B;MTMR3;SYNJ1;SYNJ2;PIK3CA	KEGG_2021_Human	False
prerank	RNA degradation	0.6537955371911437	4.829736396186429	0.0	0.0	0.0	61/76	21.18%	ENO1;PABPC1;BTG1;BTG2;XRN2;HSPD1;TOB2;ENO2;TOB1;HSPA9;CNOT8;DDX6;NUDT16;LSM2;LSM7;LSM4;PATL1;BTG3;PABPC4;EXOSC7;CNOT6;LSM3;PFKL;CNOT3;PARN;CNOT9;CNOT7;EXOSC5;CNOT2;PAN3;EXOSC10;PFKP;DCP1A;CNOT1;LSM1;CNOT6L;CNOT10;MTREX;DHX36;EXOSC4;EXOSC6;PAN2;C1D;TENT4A;EDC3;EDC4;XRN1;EXOSC1;EXOSC8;ZCCHC7;LSM5;PNPT1;MPHOSPH6;EXOSC2;PABPC1L;DCP2;EXOSC9;DIS3L;DIS3;LSM6;PFKM	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7188984812269164	4.827975047354695	0.0	0.0	0.0	44/70	14.03%	HLA-DRA;CD74;B2M;HSP90AB1;CALR;HLA-B;HLA-DRB1;HSPA5;HLA-C;HLA-A;HLA-E;HSP90AA1;HSPA8;CTSB;PDIA3;PSME1;LGMN;CANX;HLA-DPA1;TAPBP;HLA-DRB5;HLA-DPB1;HLA-DMA;HLA-DQB1;CTSS;PSME2;PSME3;HSPA4;HLA-DQA2;CD4;HSPA1B;TAP1;CTSL;HLA-DQA1;RFXANK;HLA-DMB;HLA-F;RFX5;NFYB;CD8A;NFYA;HLA-DOA;HSPA1A;NFYC	KEGG_2021_Human	False
prerank	Phosphatidylinositol signaling system	0.5435350619053324	4.702517294936559	0.0	0.0	0.0	73/97	27.92%	ITPKA;CALM2;ITPKC;IMPA2;ITPR3;PIP4K2C;CALM3;CDIPT;INPPL1;CALM1;DGKD;PIP4K2B;IP6K2;BPNT2;PIP5K1A;PI4K2B;PI4KB;CDS1;OCRL;PIP4P1;PIK3C2A;IP6K1;ITPK1;PTEN;PLCB3;PI4K2A;CDS2;PLCG1;PIP5K1C;MTMR14;SACM1L;PIK3CB;MTMR1;PI4KA;INPP5A;PIP4K2A;INPP1;MTMR6;PIK3CD;PIK3R1;ITPR2;IMPA1;DGKZ;ITPKB;MTM1;MTMR4;PLCD1;INPP5D;INPP5E;DGKQ;PIKFYVE;PLCB2;IPMK;PPIP5K1;INPP4A;INPP5F;PIK3C3;PPIP5K2;MTMR2;PLCD3;INPP5B;DGKA;PLCB1;DGKH;PIK3C2B;PIK3R3;INPP4B;MTMR3;SYNJ1;DGKE;SYNJ2;PIK3CA;IP6K3	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.7000409374517107	4.69850595270343	0.0	0.0	0.0	53/69	17.32%	RAC1;ELOB;HIF1A;EPAS1;JUN;VEGFA;TGFB1;PTPN11;MET;GRB2;ARAF;CRK;CDKN1A;CDC42;TFE3;MAPK1;PAK2;FH;PRCC;KRAS;NRAS;MAP2K2;MAP2K1;CRKL;RAP1A;VHL;RBX1;ARNT;HRAS;AKT1;RAPGEF1;MAPK3;ELOC;ETS1;SLC2A1;PAK4;PAK1;AKT2;CREBBP;EP300;EGLN3;SOS2;RAF1;PIK3CB;CUL2;TGFB3;SOS1;PIK3CD;BAD;PIK3R1;GAB1;RAP1B;EGLN2	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7950115063654652	4.506394351492979	0.0	0.0	0.0	47/54	14.65%	RHOA;CTNNB1;CDH1;JUNB;ID1;FKBP1A;NCOR2;TGFB1;SERPINE1;FURIN;HDAC1;ENG;PPP1R15A;IFNGR2;THBS1;WWTR1;SPTBN1;PPP1CA;UBE2D3;SLC20A1;CDK9;RAB31;SKI;PMEPA1;SKIL;ID3;ACVR1;KLF10;ID2;SMURF2;XIAP;SMAD3;BMPR2;FNTA;TGFBR1;SMAD1;MAP3K7;ARID4B;PPM1A;CDKN1C;TJP1;TRIM33;SMURF1;BMP2;TGIF1;LTBP2;HIPK2	MSigDB_Hallmark_2020	True
