Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Leishmaniasis	0.7217356595973565	5.12934272864989	0.0	0.0	0.0	49/74	13.70%	HLA-DRA;HLA-DRB1;EEF1A1;HLA-DRB5;NFKBIA;MARCKSL1;FOS;HLA-DQA2;JUN;HLA-DPB1;HLA-DQA1;HLA-DPA1;IFNGR2;HLA-DMA;C3;HLA-DQB1;ITGB2;CYBA;FCGR3A;IRAK1;PTPN6;TGFB1;IFNGR1;MAPK3;CYBB;MYD88;NCF2;EEF1A2;RELA;MAPK13;FCGR2A;STAT1;ITGAM;ITGB1;HLA-DMB;HLA-DOA;MAPK1;NCF4;JAK1;NFKB1;MAPK14;ELK1;TAB2;TLR2;TAB1;NFKBIB;TGFB3;MAPK11;IL1B	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7224377989989427	4.897815089527429	0.0	0.0	0.0	44/70	9.87%	HLA-A;HLA-DRA;CD74;HLA-DRB1;HLA-B;HLA-E;HLA-C;B2M;HSP90AB1;CALR;HSPA5;HLA-DRB5;CTSB;HSP90AA1;PDIA3;HSPA8;PSME1;HLA-DQA2;HLA-DPB1;HLA-DQA1;HLA-DPA1;HLA-DMA;TAPBP;CANX;HLA-F;HLA-DQB1;LGMN;PSME2;CTSS;CD4;HLA-G;HSPA1A;HSPA1B;CTSL;TAP1;PSME3;HLA-DMB;HLA-DOA;HSPA4;RFXANK;NFYA;RFX5;HSPA6;TAP2	KEGG_2021_Human	False
prerank	Prostate cancer	0.6642530833170042	4.638403732498079	0.0	0.0	0.0	77/97	25.27%	HSP90AB1;GSTP1;PLAU;NFKBIA;HSP90AA1;HSP90B1;ATF4;SPINT1;MMP9;CDKN1A;CTNNB1;CCND1;PLAT;TGFA;GRB2;CREB3;PDGFRB;MAPK3;ERBB2;ARAF;RELA;TMPRSS2;PDGFB;CDKN1B;MAP2K2;AKT1;MAPK1;EGFR;HRAS;NRAS;TP53;CREB3L2;MAP2K1;CDK2;PDGFA;NFKB1;CREB3L1;PDGFC;PDGFD;E2F1;IKBKB;PIK3CD;CREBBP;FGFR1;BAD;ETV5;EP300;KRAS;PTEN;SOS2;SOS1;AKT2;CREB3L4;TCF7L1;E2F3;TCF7L2;PIK3CB;IGF1R;RB1;MTOR;RAF1;CASP9;CCNE1;FOXO1;ZEB1;LEF1;ERG;GSK3B;MDM2;CREB1;PDGFRA;PDPK1;PIK3R1;CHUK;PIK3R3;SRD5A2;TCF7	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6486016973690842	4.432601459754153	0.0	0.0	0.0	52/70	23.56%	NFKBIA;RAC1;CXCL2;ATP6V1F;ATP6V0E1;JUN;CXCL1;MET;TCIRG1;ATP6AP1;F11R;ATP6V0B;CCL5;CXCL8;ATP6V1E1;CSK;RELA;MAPK13;ATP6V1G1;LYN;GIT1;SRC;ATP6V1B2;PAK1;EGFR;ATP6V1D;CDC42;PLCG1;CASP3;ATP6V0D1;HBEGF;ATP6V1A;NFKB1;PTPN11;ATP6V1C1;MAPK14;TJP1;ATP6V1H;IKBKB;MAPK11;ATP6V0A1;ADAM10;MAP2K4;MAPK9;ADAM17;CXCL3;ATP6V0E2;MAP3K14;NOD1;PLCG2;MAPK8;CHUK	KEGG_2021_Human	False
prerank	Rheumatoid arthritis	0.6613814672309576	4.400596251521682	0.0	0.0	0.0	61/89	19.91%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;CXCL2;ATP6V1F;ATP6V0E1;HLA-DQA2;JUN;HLA-DPB1;HLA-DQA1;ICAM1;VEGFA;CXCL1;HLA-DPA1;HLA-DMA;HLA-DQB1;ITGB2;TCIRG1;ATP6AP1;MMP1;ACP5;LTB;CCL2;ATP6V0B;TGFB1;CCL5;CXCL8;CSF2;ATP6V1E1;CSF1;IL23A;ATP6V1G1;CTSL;HLA-DMB;HLA-DOA;ATP6V1B2;ATP6V1D;ATP6V0D1;IL18;ATP6V1A;CTSK;FLT1;ATP6V1C1;CCL20;ATP6V1H;TLR2;CD86;TGFB3;ATP6V0A1;TNFSF13;ITGAL;IL1B;CXCL6;CTLA4;CCL3L3;CCL3;CXCL3;TGFB2;CXCL12;ATP6V0E2	KEGG_2021_Human	False
prerank	Wnt-beta Catenin Signaling	0.6495885089410438	4.4005368636206255	0.0	0.0	0.0	33/42	27.45%	CTNNB1;NCSTN;PPARD;KAT2A;CSNK1E;NCOR2;CUL1;TP53;RBPJ;AXIN1;MYC;NUMB;HDAC5;DKK1;CCND2;JAG1;WNT5B;HDAC11;DVL2;FZD1;MAML1;JAG2;HDAC2;NOTCH1;ADAM17;NOTCH4;FZD8;LEF1;HEY1;TCF7;DLL1;HEY2;AXIN2	MSigDB_Hallmark_2020	True
prerank	Colorectal cancer	0.685044405188106	4.379106195677899	0.0	0.0	0.0	73/86	25.27%	FOS;RAC1;AREG;RHOA;JUN;GADD45B;CDKN1A;RAC2;CTNNB1;CCND1;TGFA;GRB2;TGFB1;GADD45A;MAPK3;BAX;ARAF;TGFBR2;EREG;RALB;MAP2K2;RALA;AKT1;MAPK1;EGFR;HRAS;NRAS;CASP3;TP53;MAP2K1;RAC3;AXIN1;SMAD3;CYCS;MYC;TGFBR1;BAK1;PMAIP1;PIK3CD;RPS6KB2;TGFB3;BAD;BIRC5;DDB2;KRAS;SOS2;MSH6;GADD45G;SOS1;AKT2;TCF7L1;APPL1;MAPK9;TCF7L2;PIK3CB;BBC3;MTOR;TGFB2;RAF1;CASP9;MLH1;BCL2L11;RPS6KB1;SMAD4;LEF1;MSH3;GSK3B;MAPK8;PIK3R1;RALGDS;PIK3R3;MSH2;TCF7	KEGG_2021_Human	False
prerank	Proteasome	0.7573607045356541	4.3106645062173525	0.0	0.0	0.0	38/46	14.66%	PSMB3;PSMB4;PSME1;PSMB5;PSMA7;PSMB6;PSME2;PSMB1;PSMC3;POMP;PSMD4;PSMB7;PSMD2;PSMB8;PSMD13;PSMD8;PSMC4;ADRM1;PSMB2;PSMC5;PSMA3;PSMD3;PSMB9;PSME3;PSMD11;PSMB10;PSMA5;PSMA4;PSMD12;SEM1;PSMC6;PSMC2;PSME4;PSMF1;PSMD14;PSMD7;PSMD6;PSMA1	KEGG_2021_Human	False
prerank	ErbB signaling pathway	0.6397888273629968	4.294786142271679	0.0	0.0	0.0	62/85	23.51%	AREG;JUN;CDKN1A;TGFA;GRB2;EIF4EBP1;MAPK3;ERBB2;SHC1;ARAF;ERBB3;EREG;CDKN1B;MAP2K2;SRC;AKT1;CRKL;PAK1;MAPK1;EGFR;HRAS;NRAS;PAK2;PLCG1;HBEGF;MAP2K1;NCK2;ABL1;SHC2;MYC;STAT5B;CRK;ELK1;PTK2;PIK3CD;RPS6KB2;STAT5A;CAMK2D;CAMK2G;BAD;PAK4;KRAS;MAP2K7;SOS2;SOS1;AKT2;MAP2K4;BTC;PRKCA;MAPK9;PIK3CB;MTOR;CBLB;RAF1;CBL;RPS6KB1;ABL2;PLCG2;GSK3B;MAPK8;PIK3R1;NCK1	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6126747132098085	4.266999514069757	0.0	0.0	0.0	69/90	25.65%	HLA-DRA;HLA-DRB1;HLA-DRB5;NFKBIA;FOS;HLA-DQA2;JUN;HLA-DPB1;HLA-DQA1;HLA-DPA1;IFNGR2;HLA-DMA;HLA-DQB1;STAT6;IL4R;CD4;IFNGR1;MAPK3;RELA;MAPK13;NOTCH3;STAT1;CD3D;NFKBIE;HLA-DMB;HLA-DOA;TYK2;MAPK1;PLCG1;RBPJ;JAK1;PPP3R1;PPP3CA;CD3E;NFKB1;NOTCH2;STAT5B;JAK3;MAPK14;PPP3CB;IKBKB;IL2RG;NFKBIB;STAT5A;MAPK11;IL2RB;DLL4;MAF;JAG1;LCK;MAML1;MAML2;JAG2;MAPK9;NOTCH1;RUNX3;NFATC2;ZAP70;PPP3CC;MAPK8;CD247;CHUK;IL2RA;HLA-DOB;JAK2;IL12RB1;TBX21;NFATC1;DLL1	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7422603676887376	4.2544479306230985	0.0	0.0	0.0	48/54	21.34%	CDH1;RHOA;JUNB;IFNGR2;PMEPA1;FURIN;THBS1;CTNNB1;SERPINE1;ENG;PPP1CA;RAB31;ID3;LTBP2;PPP1R15A;FKBP1A;TGFB1;HDAC1;CDK9;ID1;SPTBN1;ID2;SMURF2;KLF10;UBE2D3;SKI;SLC20A1;SMURF1;NCOR2;ACVR1;TGIF1;SMAD3;SMAD7;TGFBR1;TJP1;SKIL;WWTR1;BCAR3;FNTA;XIAP;BMPR2;CDKN1C;MAP3K7;PPM1A;HIPK2;ARID4B;TRIM33;BMP2	MSigDB_Hallmark_2020	True
prerank	Amoebiasis	0.6280496800224524	4.104448012373981	0.0	0.0	0.0	60/101	19.18%	COL1A1;HSPB1;COL3A1;FN1;COL1A2;LAMC2;LAMB3;CXCL2;CD14;PRDX1;GNAS;CXCL1;ITGB2;RAB5B;ACTN4;COL4A1;ACTN1;RAB7A;LAMB2;TGFB1;COL4A2;CXCL8;CSF2;LAMC1;RELA;RAB5C;ITGAM;GNA15;IL1R1;VCL;PLCB3;CASP3;LAMA5;RAB5A;LAMB1;PRKACA;SERPINB9;NFKB1;RAB7B;SERPINB6;PLCB2;PTK2;GNA11;TLR2;CD1A;GNAQ;PIK3CD;TGFB3;CD1C;LAMA4;IL1B;CD1B;CD1E;PRKCA;PIK3CB;LAMA3;COL4A3;GNA14;CXCL3;TGFB2	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.689432648659131	4.0605523482396855	0.0	0.0	0.0	66/76	26.40%	RAC1;VEGFA;CDK4;GADD45B;CDKN1A;RAC2;CCND1;TGFA;BCL2L1;TGFB1;GADD45A;MAPK3;ERBB2;BAX;ARAF;TGFBR2;RALB;RELA;STAT1;STAT3;RALA;AKT1;MAPK1;EGFR;CDC42;TP53;MAP2K1;RAC3;JAK1;SMAD3;NFKB1;PLD2;TGFBR1;BAK1;RALBP1;E2F1;IKBKB;CDKN2A;PIK3CD;RPS6KB2;TGFB3;BAD;DDB2;KRAS;GADD45G;ARHGEF6;AKT2;MAPK9;E2F3;PIK3CB;RB1;MTOR;TGFB2;RAF1;CASP9;RPS6KB1;SMAD4;MAPK8;PIK3R1;CHUK;RALGDS;CDK6;PIK3R3;PLD1;RAD51;IKBKG	KEGG_2021_Human	False
prerank	Peroxisome	0.5628456510344435	4.0430922550856865	0.0	0.0	0.0	63/81	28.13%	PRDX5;PRDX1;SOD1;PMVK;IDH2;ACSL5;GSTK1;PEX11B;ACSL1;GNPAT;IDH1;ECH1;MPV17;CAT;PEX6;CRAT;SCP2;PEX19;PEX16;PHYH;PEX5;ACSL4;HMGCL;ACOX1;PEX14;DECR2;ACSL3;ABCD3;SLC25A17;ABCD4;PEX2;PEX13;FAR1;ACAA1;HSD17B4;NUDT19;DHRS4;MPV17L2;ACOT8;AGPS;ABCD1;CROT;PEX10;ACOX3;PEX11G;SLC27A2;ACOX2;PXMP4;HACL1;PECR;XDH;PEX3;MVK;ECI2;PEX26;PEX12;EPHX2;PEX7;PEX1;DDO;EHHADH;PEX11A;NUDT12	KEGG_2021_Human	False
prerank	mRNA surveillance pathway	0.5759397082836986	4.030259984508263	0.0	0.0	0.0	69/98	19.46%	PABPC1;FUS;ALYREF;PPP1CA;PPP1CB;PNN;PYM1;PPP2R1A;ACIN1;RNPS1;SAP18;SMG5;PABPC1L;MAGOH;DDX39B;NXT1;CPSF7;SSU72;WDR82;NXF1;ETF1;PPP2R5A;CPSF1;CPSF3;PPP2CA;CASC3;TARDBP;NCBP2;DAZAP1;SMG7;PPP2CB;UPF1;EIF4A3;PPP1CC;GSPT1;SRRM1;PABPC4;NUDT21;PAPOLA;RBM8A;SYMPK;GLE1;PPP2R5B;CSTF2T;CPSF4;PPP2R5C;CSTF2;CPSF6;CSTF1;PABPN1;PELO;NXT2;CLP1;PPP2R5E;PCF11;NCBP1;PPP2R2A;UPF3B;UPF2;PPP2R1B;UPF3A;PPP2R3B;RNMT;PPP2R2D;PPP2R5D;CSTF3;DDX19B;WDR33;CPSF2	KEGG_2021_Human	False
prerank	Base excision repair	0.7247645665216491	4.0279382007856235	0.0	0.0	0.0	29/33	22.81%	APEX1;PCNA;POLE4;MPG;HMGB1;NTHL1;POLE3;POLD2;APEX2;PARP3;FEN1;UNG;XRCC1;MBD4;PARP4;SMUG1;PARP1;POLD4;PARP2;POLB;POLL;POLD1;NEIL2;LIG1;NEIL1;POLD3;TDG;POLE;LIG3	KEGG_2021_Human	False
prerank	Angiogenesis	0.7591535107223067	4.024127573280877	0.0	0.0	0.0	29/36	19.72%	TIMP1;S100A4;SPP1;COL3A1;LUM;APP;VEGFA;TNFRSF21;POSTN;ITGAV;COL5A2;FSTL1;NRP1;VCAN;OLR1;LPL;VAV2;PDGFA;SLCO2A1;LRPAP1;PTK2;THBD;FGFR1;CCND2;JAG1;CXCL6;JAG2;STC1;KCNJ8	MSigDB_Hallmark_2020	True
