Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	TGF-beta Signaling	0.7252998591234636	5.427903769690571	0.0	0.0	0.0	45/54	22.39%	CDH1;HDAC1;RHOA;IFNGR2;JUNB;SLC20A1;CDK9;PPP1CA;ENG;FKBP1A;CTNNB1;PPP1R15A;UBE2D3;FURIN;ID2;CDKN1C;SKI;SKIL;PMEPA1;TGFB1;SPTBN1;TGIF1;NCOR2;SMURF1;WWTR1;MAP3K7;ID3;ACVR1;SMURF2;ID1;RAB31;FNTA;XIAP;SMAD3;THBS1;BMPR2;SERPINE1;TGFBR1;PPM1A;KLF10;TJP1;SMAD7;TRIM33;HIPK2;ARID4B	MSigDB_Hallmark_2020	True
prerank	Type I diabetes mellitus	0.6043775266361819	4.902042591446328	0.0	0.0	0.0	18/41	7.86%	HLA-B;HLA-A;HLA-DRA;HLA-DRB1;HLA-C;HLA-E;HLA-DMA;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-F;HLA-DRB5;HSPD1;HLA-DQA1;HLA-DMB;GZMB;ICA1;HLA-DOA	KEGG_2021_Human	False
prerank	Vibrio cholerae infection	0.6511911897351996	4.433255522332437	0.0	0.0	0.0	27/50	10.35%	ACTB;ACTG1;GNAS;ATP6V1F;ARF1;SEC61A1;SEC61B;KDELR1;KDELR2;ATP6V0B;PDIA4;ATP6V0E1;TCIRG1;ATP6V1G1;SEC61G;PLCG1;ATP6AP1;ATP6V0D1;ATP6V1E1;ERO1A;PRKACA;ATP6V1D;ATP6V1A;ATP6V1B2;ATP6V1C1;KDELR3;ATP6V0A1	KEGG_2021_Human	False
prerank	Proteasome	0.770176294992808	4.261252914299776	0.0	0.0	0.0	37/46	11.58%	PSMB3;PSMB4;PSME2;PSME1;PSMA7;PSMB7;PSMC3;PSMB6;PSMB1;PSMC4;PSMB8;POMP;PSMD4;PSMA3;PSMB5;ADRM1;PSMB9;PSMD2;PSMC5;PSMD13;PSMB2;PSMD8;SEM1;PSMB10;PSMD3;PSMD11;PSMA4;PSME3;PSMC2;PSMD14;PSMF1;PSMA5;PSMC6;PSMA1;PSME4;PSMD12;PSMD6	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6321238100954011	4.095710992714655	0.0	0.0	0.0	51/77	16.05%	ACTB;ACTG1;RAC1;CLTA;CDH1;ARPC3;RHOA;ARPC1A;ELMO3;ACTR2;CTTN;ARPC4;SEPTIN2;PIK3R3;RHOG;ARPC2;FN1;CLTC;CTNNB1;CLTB;CTNNA1;MAD2L2;ACTR3;ARPC5;ARPC5L;DNM2;CDC42;CRKL;SRC;PIK3CD;SEPTIN6;WASF2;SEPTIN9;WASL;DOCK1;ELMO2;DNM1;CD2AP;MET;HCLS1;CRK;WASF1;SHC2;SHC1;PTK2;SEPTIN8;PIK3R1;SEPTIN11;VCL;SEPTIN3;ITGA5	KEGG_2021_Human	False
prerank	Lysine degradation	0.6370937649320001	4.0823201420065205	0.0	0.0	0.0	52/63	23.93%	ECHS1;ALDH2;HADHA;DLST;COLGALT1;PLOD1;PLOD2;PLOD3;EZH2;GCDH;ACAT2;AASS;NSD2;KMT2E;EHMT2;ALDH9A1;KMT2D;DHTKD1;AADAT;SMYD2;KMT2B;ALDH3A2;EZH1;ALDH1B1;SETD1A;KMT5C;SUV39H1;KMT5A;PHYKPL;SETD2;MECOM;DLD;KMT5B;SETD1B;SMYD3;HADH;KMT2C;SETMAR;CAMKMT;NSD3;ALDH7A1;EHMT1;HYKK;SETDB1;DOT1L;PRDM2;SETD7;ASH1L;NSD1;KMT2A;ACAT1;SETDB2	KEGG_2021_Human	False
prerank	Bladder cancer	0.723240158729421	4.067782179945101	0.0	0.0	0.0	39/41	26.69%	CDKN2A;CDH1;TYMP;E2F1;VEGFA;HRAS;CDKN1A;MAP2K2;ARAF;MMP2;MMP9;ERBB2;SRC;MAPK3;MMP1;MAPK1;MAP2K1;RASSF1;TP53;E2F3;DAPK3;EGFR;NRAS;FGFR3;CXCL8;KRAS;DAPK1;RB1;CDK4;THBS1;EGF;E2F2;MYC;MDM2;RAF1;DAPK2;UPK3A;BRAF;CCND1	KEGG_2021_Human	False
prerank	RNA polymerase	0.7153806548201478	3.9433940389162805	0.0	0.0	0.0	26/31	23.57%	POLR2J;POLR2L;POLR2H;POLR2G;POLR2K;POLR2E;POLR2I;POLR1E;POLR2F;POLR2A;POLR1F;POLR3GL;POLR2C;POLR2D;POLR3C;POLR1D;POLR1C;POLR2B;POLR1A;POLR1H;POLR3K;POLR3F;POLR3A;POLR3D;POLR3H;POLR1B	KEGG_2021_Human	True
prerank	Nucleotide excision repair	0.676010234243291	3.929496578885816	0.0	0.0	0.0	33/46	18.38%	PCNA;RFC2;CETN2;RAD23A;POLD2;POLE4;RBX1;RAD23B;RPA2;RFC4;POLE3;DDB1;CDK7;POLD1;RPA3;LIG1;CUL4A;CUL4B;RPA1;RFC1;ERCC1;POLE;ERCC3;RFC5;ERCC2;CCNH;XPA;DDB2;POLD3;RFC3;MNAT1;POLE2;GTF2H1	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7381903176200661	3.92081759852645	0.0	0.0	0.0	51/57	22.44%	SRM;CBX3;PA2G4;NPM1;HSPD1;RRP9;SLC29A2;MRTO4;HSPE1;IMP4;TBRG4;FARSA;GNL3;TMEM97;MAP3K6;MCM5;EXOSC5;MPHOSPH10;NOP56;UNG;HK2;NOC4L;PES1;MCM4;MYBBP1A;NOLC1;BYSL;NIP7;DDX18;WDR43;PUS1;LAS1L;PPRC1;SUPV3L1;AIMP2;GRWD1;DCTPP1;DUSP2;RRP12;RCL1;NOP16;CDK4;TCOF1;WDR74;NDUFAF4;RABEPK;TFB2M;PLK4;PRMT3;UTP20;PLK1	MSigDB_Hallmark_2020	True
