Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Protein Secretion	0.7353916599387517	5.043291226596709	0.0	0.0	0.0	87/96	22.34%	CD63;ARF1;KRT18;SOD1;TMED10;GNAS;CLTA;TMED2;AP2M1;ERGIC3;TSPAN8;ARCN1;AP2S1;VAMP3;ATP1A1;PPT1;CLTC;RAB14;AP2B1;COPE;COPB1;ARFGAP3;PAM;LMAN1;MAPK1;SCAMP3;STX12;RAB2A;USO1;TSG101;SEC31A;STX16;M6PR;RER1;CTSC;CAV2;LAMP2;ANP32E;VPS4B;VAMP7;CLCN3;SCRN1;RAB5A;AP1G1;YKT6;GALC;AP3S1;COPB2;AP3B1;GOLGA4;SNX2;ARFIP1;EGFR;SEC24D;ATP6V1H;RAB9A;YIPF6;RPS6KA3;NAPA;IGF2R;TMX1;DNM1L;ARFGEF1;SCAMP1;GBF1;ARFGEF2;OCRL;ICA1;NAPG;SGMS1;DST;STAM;ZW10;BNIP3;VPS45;ADAM10;SEC22B;RAB22A;TPD52;STX7;ABCA1;VAMP4;GLA;KIF1B;BET1;DOP1A;MON2	MSigDB_Hallmark_2020	False
prerank	Glycosaminoglycan biosynthesis	0.6089028196929828	4.904951456081289	0.0	0.0	0.0	41/53	28.22%	B4GALT1;B3GNT7;CHPF;B3GAT3;CHPF2;CHST6;B3GNT2;NDST1;ST3GAL1;HS3ST1;CHSY1;CHST14;B4GALT3;B3GALT6;HS6ST1;CHST15;EXT1;B4GALT2;XYLT2;CHST11;CSGALNACT2;EXT2;B4GALT7;GLCE;CHST3;HS3ST2;EXTL2;B4GALT4;EXTL3;CHST2;FUT8;HS2ST1;CSGALNACT1;UST;CHST4;ST3GAL2;HS3ST3B1;CHST1;CHST7;CHST12;DSE	KEGG_2021_Human	False
prerank	Colorectal cancer	0.6712651710031278	4.727975888351181	0.0	0.0	0.0	80/86	31.33%	FOS;RHOA;JUN;GADD45B;RAC1;CDKN1A;CTNNB1;GRB2;TGFBR2;GADD45A;ARAF;RAC2;CCND1;RALB;TGFB1;MAPK3;MAPK1;BAX;MAP2K2;HRAS;RALA;CASP3;MYC;MAP2K1;GADD45G;AKT1;CYCS;AREG;NRAS;TCF7L1;SMAD3;TGFB3;BAK1;EGFR;AKT2;PIK3R3;PIK3CD;TP53;BAD;TGFBR1;MSH3;RAF1;SOS2;PIK3R1;SOS1;MTOR;KRAS;AXIN1;CASP9;DDB2;RPS6KB2;APPL1;MLH1;SMAD4;TCF7L2;PIK3CB;MAPK9;TGFA;RALGDS;BCL2L11;MSH6;AXIN2;GSK3B;RPS6KB1;MAPK8;RAC3;BBC3;APC;SMAD2;AKT3;TCF7;PMAIP1;POLK;LEF1;TGFB2;BCL2;MSH2;PIK3CA;BIRC5;BRAF	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.7035154793885512	4.657227463380834	0.0	0.0	0.0	54/77	17.44%	ACTB;ACTG1;FN1;RHOA;CAV1;RAC1;CTNNA1;CLTA;SEPTIN2;ACTR2;CTNNB1;CLTB;CTTN;CDH1;ARPC3;ARPC2;WASF2;CLTC;RHOG;ARPC4;SEPTIN9;VCL;SHC1;ITGA5;HCLS1;CRK;ITGB1;ACTR3;CAV2;CRKL;DNM2;CDC42;WASL;ARPC5L;ARPC5;ELMO3;PXN;DOCK1;MET;SRC;BCAR1;CD2AP;PTK2;SEPTIN11;PIK3R3;ARPC1A;SHC2;PIK3CD;SEPTIN8;ELMO2;SEPTIN6;PIK3R1;ARHGEF26;MAD2L2	KEGG_2021_Human	False
prerank	Viral myocarditis	0.6852929488543048	4.614847657241058	0.0	0.0	0.0	42/57	18.67%	HLA-DRA;ACTB;ACTG1;HLA-B;HLA-DRB1;HLA-C;HLA-E;HLA-A;HLA-DRB5;HLA-DPA1;HLA-DQA2;EIF4G2;CAV1;HLA-DPB1;HLA-DMA;RAC1;CD55;HLA-DQA1;EIF4G1;ICAM1;HLA-DQB1;HLA-DOA;HLA-F;RAC2;CCND1;ITGB2;DAG1;ABL1;HLA-DMB;CASP3;CD40;CYCS;EIF4G3;SGCB;FYN;PRF1;SGCA;CXADR;CASP9;CASP8;ITGAL;CD86	KEGG_2021_Human	False
prerank	Prostate cancer	0.6169599172082361	4.60179571868567	0.0	0.0	0.0	72/97	23.36%	GSTP1;HSP90AB1;HSP90AA1;HSP90B1;ATF4;NFKBIA;CDKN1A;SPINT1;CTNNB1;GRB2;CREB3;PDGFRB;CREB3L1;ARAF;ERBB2;CCND1;MAPK3;MAPK1;CDKN1B;RELA;MAP2K2;PDGFB;HRAS;TMPRSS2;SRD5A2;MAP2K1;AKT1;CREB3L2;NFKB1;NRAS;TCF7L1;IGF1R;PDGFA;PLAU;EP300;EGFR;AKT2;PIK3R3;IKBKB;PIK3CD;PTEN;CREBBP;TP53;BAD;RB1;CREB3L4;FOXO1;FGFR1;RAF1;SOS2;PIK3R1;SOS1;FGFR2;MTOR;KRAS;CASP9;ERG;PLAT;ETV5;TCF7L2;MDM2;PIK3CB;TGFA;ZEB1;MMP9;CDK2;PDPK1;CHUK;CREB1;PDGFRA;GSK3B;PDGFC	KEGG_2021_Human	False
prerank	Small cell lung cancer	0.6715987180104261	4.475662222669614	0.0	0.0	0.0	74/92	25.84%	FN1;GADD45B;NFKBIA;CDKN1A;LAMB2;COL4A1;COL4A2;LAMB3;BCL2L1;ITGA3;LAMC2;GADD45A;CCND1;CDKN1B;LAMC1;BAX;RELA;LAMA5;RXRB;ITGB1;TRAF4;CKS2;CASP3;MYC;BIRC2;GADD45G;AKT1;NFKB1;ITGAV;CYCS;RXRA;ITGA6;ITGA2;PTK2;BAK1;CDK4;MAX;AKT2;PIK3R3;IKBKB;LAMA4;PIK3CD;LAMB1;PTEN;TP53;ZBTB17;RB1;TRAF3;XIAP;BIRC3;PIK3R1;PTGS2;CASP9;TRAF2;LAMC3;TRAF1;DDB2;RARB;COL4A5;PIK3CB;LAMA2;CDK2;LAMA3;CHUK;CDKN2B;CKS1B;COL4A4;TRAF5;COL4A3;COL4A6;CDK6;TRAF6;E2F3;APAF1	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7362629510897848	4.448460821542054	0.0	0.0	0.0	38/48	15.99%	FTL;PDLIM1;GPX3;JUNB;GPX4;TXN;PRDX1;PRDX6;SOD1;CAT;PRNP;NQO1;PRDX4;PTPA;PRDX2;NDUFB4;SBNO2;NDUFA6;GSR;SELENOS;TXNRD1;G6PD;LAMTOR5;MGST1;HMOX2;STK25;PFKP;ABCC1;NDUFS2;CDKN2D;ATOX1;GCLM;LSP1;FES;OXSR1;SCAF4;GLRX;GCLC	MSigDB_Hallmark_2020	False
prerank	Myc Targets V2	0.7195375986274476	4.306774636879047	0.0	0.0	0.0	51/57	23.70%	NPM1;SRM;HSPD1;FARSA;NOLC1;GNL3;CBX3;PES1;PA2G4;MYC;NOP56;HK2;RRP9;IMP4;MYBBP1A;DCTPP1;PPRC1;NOC4L;MAP3K6;CDK4;MRTO4;DUSP2;BYSL;TBRG4;DDX18;RRP12;UNG;GRWD1;TFB2M;WDR43;MPHOSPH10;EXOSC5;SLC29A2;MCM5;HSPE1;AIMP2;MCM4;RABEPK;SUPV3L1;NIP7;TMEM97;RCL1;SORD;NDUFAF4;TCOF1;PUS1;WDR74;NOP16;UTP20;LAS1L;SLC19A1	MSigDB_Hallmark_2020	True
prerank	SNARE interactions in vesicular transport	0.7276903281970486	4.210499789586165	0.0	0.0	0.0	32/33	26.84%	VAMP8;VAMP5;VAMP3;VAMP2;STX5;STX16;BET1L;VAMP7;STX4;STX2;YKT6;USE1;STX3;STX18;SNAP29;STX8;VTI1B;STX6;GOSR1;SEC22B;STX7;VAMP1;STX11;BNIP1;VAMP4;STX17;BET1;STX19;GOSR2;STX1A;SNAP23;VTI1A	KEGG_2021_Human	False
