Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Nucleotide excision repair	0.6775065979417005	5.125538501195335	0.0	0.0	0.0	37/46	21.40%	PCNA;RAD23B;RAD23A;POLE3;POLD2;DDB1;CETN2;POLE4;RBX1;RPA2;RFC2;RFC3;RPA1;CDK7;CUL4A;ERCC1;ERCC3;XPA;POLD1;RPA3;CUL4B;RFC1;GTF2H3;RFC4;ERCC2;LIG1;DDB2;GTF2H5;RFC5;POLE;POLD4;POLD3;GTF2H1;XPC;CCNH;POLE2;MNAT1	KEGG_2021_Human	False
prerank	NF-kappa B signaling pathway	0.635226359551658	5.0740858673329505	0.0	0.0	0.0	75/101	24.89%	NFKBIA;GADD45G;CD14;IRAK1;CXCL1;TNFRSF1A;TRAF2;TRADD;ICAM1;RELA;NFKB2;LTBR;LY96;IL1R1;GADD45B;GADD45A;PLCG1;CXCL2;BCL2L1;SYK;CXCL8;TNFAIP3;UBE2I;PARP1;LYN;IKBKB;PIDD1;BCL2;MYD88;RELB;TICAM1;TAB1;CCL21;CCL4L2;PIAS4;TAB2;PLAU;CARD11;LTB;CCL4;XIAP;NFKB1;CD40;CSNK2B;BCL2A1;BCL10;CFLAR;EDARADD;MAP3K7;CSNK2A1;TNFSF11;CARD14;TRAF5;TRAF1;CHUK;CCL19;CXCL12;BIRC2;TNFRSF11A;RIPK1;ERC1;LCK;CXCL3;TAB3;PLCG2;TRAF3;CYLD;IKBKG;IRAK4;TRIM25;ZAP70;CSNK2A2;TNFSF13B;PRKCQ;BIRC3	KEGG_2021_Human	False
prerank	VEGF signaling pathway	0.5827294105162389	5.0317092113354684	0.0	0.0	0.0	44/59	24.51%	HSPB1;RAC1;VEGFA;MAPKAPK2;PLA2G4A;RAC3;MAP2K1;MAP2K2;HRAS;MAPK3;PTK2;SRC;PLCG1;MAPK13;NRAS;MAPK1;MAPKAPK3;CDC42;RAC2;AKT1;SHC2;BAD;PPP3R1;PPP3CC;PPP3CB;RAF1;PPP3CA;AKT2;KRAS;CASP9;SPHK1;SPHK2;MAPK14;NOS3;NFATC2;KDR;SH2D2A;PIK3R3;PIK3CD;PXN;PLCG2;MAPK11;PIK3CB;PIK3R1	KEGG_2021_Human	False
prerank	Adherens junction	0.6897387576667606	4.889323194726439	0.0	0.0	0.0	56/71	22.49%	ACTG1;ACTB;RHOA;RAC1;CDH1;CTNNB1;ACTN4;CTNNA1;NECTIN2;RAC3;ACP1;MAPK3;ERBB2;TCF7L1;IQGAP1;YES1;INSR;PARD3;PTPRF;PTPN1;WASF2;SRC;TGFBR1;FGFR1;WASL;MAPK1;CDC42;PTPN6;AFDN;RAC2;ACTN1;TJP1;NECTIN4;CREBBP;TCF7L2;CSNK2B;TGFBR2;MET;LMO7;WAS;SMAD4;IGF1R;MAP3K7;VCL;EP300;NLK;CSNK2A1;PTPRM;FYN;SMAD3;SNAI1;EGFR;CTNND1;WASF1;PTPRB;FARP2	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6408539761532794	4.620368248253029	0.0	0.0	0.0	47/59	24.15%	NCSTN;APH1A;HES1;HDAC1;KAT2A;NCOR2;DVL1;JAG2;NOTCH3;PSENEN;CIR1;LFNG;RBPJ;SNW1;RFNG;CTBP1;DVL3;DTX3L;TLE3;TLE1;DVL2;DTX2;DLL4;TLE2;DLL1;CTBP2;NUMB;CREBBP;DTX4;HDAC2;MAML1;ATXN1L;NUMBL;PSEN1;EP300;JAG1;DTX3;NOTCH1;HEYL;TLE6;HEY1;MAML3;NOTCH4;NOTCH2;TLE4;MFNG;DLL3	KEGG_2021_Human	True
prerank	TGF-beta Signaling	0.7431772412968558	4.581381773727516	0.0	0.0	0.0	47/54	21.36%	ID1;FURIN;JUNB;RHOA;ID3;SERPINE1;ID2;PPP1CA;CDH1;CDK9;PPP1R15A;CTNNB1;FKBP1A;HDAC1;NCOR2;IFNGR2;PMEPA1;TGFB1;SLC20A1;UBE2D3;THBS1;ENG;TGIF1;TGFBR1;SMURF1;SPTBN1;ACVR1;KLF10;WWTR1;SMAD7;TJP1;SKI;BMP2;SKIL;HIPK2;XIAP;RAB31;FNTA;MAP3K7;PPM1A;LTBP2;BMPR2;ARID4B;TRIM33;SMAD3;SMAD1;CDKN1C	MSigDB_Hallmark_2020	True
prerank	N-Glycan biosynthesis	0.6422553348255321	4.284450340058077	0.0	0.0	0.0	33/50	19.20%	DAD1;RPN2;GANAB;DDOST;RPN1;DPM3;DPM2;B4GALT1;MOGS;DPM1;STT3B;B4GALT3;ALG2;DOLK;ALG3;TUSC3;DOLPP1;ALG5;MGAT4B;B4GALT2;MGAT1;MAN1B1;ALG8;STT3A;ST6GAL1;ALG1;MGAT5;DPAGT1;MAN1A1;MAN2A2;FUT8;ALG13;MAN1A2	KEGG_2021_Human	False
prerank	DNA replication	0.7269630914101498	4.279607317421003	0.0	0.0	0.0	27/36	18.34%	PCNA;MCM7;POLE3;MCM3;POLD2;POLE4;FEN1;RPA2;RFC2;MCM6;MCM5;MCM4;RFC3;RPA1;SSBP1;POLD1;RPA3;RFC1;RNASEH2C;RFC4;LIG1;MCM2;RFC5;POLE;RNASEH1;POLD4;POLD3	KEGG_2021_Human	False
prerank	Rheumatoid arthritis	0.5869502330730421	4.271992972991543	0.0	0.0	0.0	58/89	24.43%	HLA-DRA;CCL20;HLA-DRB1;FOS;ATP6V0E1;ATP6V1F;ATP6AP1;ATP6V1G1;JUN;ATP6V0B;VEGFA;TCIRG1;HLA-DRB5;CXCL1;ACP5;ATP6V1E1;CCL5;HLA-DPB1;ICAM1;HLA-DQA1;HLA-DMA;CTSL;HLA-DQA2;ATP6V1A;TGFB1;HLA-DPA1;CXCL2;CXCL8;ATP6V0D1;ITGB2;ATP6V1B2;HLA-DQB1;ATP6V1H;ATP6V1C1;ATP6V1D;TGFB3;CCL2;LTB;FLT1;IL6;HLA-DMB;HLA-DOA;TNFSF13;ATP6V1C2;IL18;TNFSF11;CD86;ATP6V0A1;ATP6V0E2;CSF1;CXCL12;TNFRSF11A;CXCL3;CTLA4;CCL3L3;CTSK;ITGAL;TNFSF13B	KEGG_2021_Human	False
prerank	Protein export	0.8336264574037345	4.191218685653031	0.0	0.0	0.0	21/23	15.40%	HSPA5;SRP14;SEC61B;SEC11C;SRP9;OXA1L;SEC61A1;SEC61G;SRP54;SRPRA;SPCS3;SPCS1;SEC11A;SPCS2;SRPRB;SRP72;SEC62;SEC63;SRP68;SEC61A2;IMMP2L	KEGG_2021_Human	False
