Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Bladder cancer	0.7294239979214194	5.489943873689305	0.0	0.0	0.0	33/41	20.98%	CDH1;ARAF;VEGFA;MAP2K2;CDK4;CCND1;TP53;CDKN2A;MYC;E2F3;ERBB2;MAPK1;NRAS;MAP2K1;MAPK3;TYMP;E2F1;HRAS;SRC;KRAS;DAPK1;DAPK3;THBS1;MMP2;CDKN1A;RASSF1;EGF;EGFR;MMP9;CXCL8;E2F2;RAF1;MDM2	KEGG_2021_Human	False
prerank	RNA degradation	0.6344447888222536	5.015619433048149	0.0	0.0	0.0	62/76	21.20%	ENO1;PABPC1;HSPD1;LSM2;BTG2;PFKP;LSM7;LSM4;PFKL;EXOSC4;BTG1;XRN2;HSPA9;EXOSC5;BTG3;CNOT9;PABPC4;TOB1;PATL1;CNOT3;PNPT1;PFKM;TOB2;CNOT1;LSM5;EXOSC2;PABPC1L;EXOSC10;DDX6;ENO3;CNOT8;NUDT16;TENT4A;PAN3;DHX36;LSM3;ENO2;EXOSC8;EXOSC6;CNOT7;EXOSC1;EXOSC7;DIS3L;C1D;EDC4;ZCCHC7;LSM8;CNOT2;EDC3;CNOT4;MPHOSPH6;CNOT10;LSM1;LSM6;MTREX;PARN;EXOSC9;DCP1A;XRN1;TENT4B;PAN2;DCPS	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7525327599249834	4.920786739223166	0.0	0.0	0.0	39/48	18.22%	FTL;TXN;TXNRD1;PRDX1;PRDX6;G6PD;SOD1;NQO1;GPX4;GCLC;GSR;PDLIM1;PRDX4;NDUFB4;MGST1;PFKP;GCLM;LAMTOR5;GPX3;NDUFA6;PTPA;STK25;PRNP;SELENOS;NDUFS2;CAT;JUNB;ABCC1;SCAF4;HMOX2;CDKN2D;SBNO2;FES;TXNRD2;OXSR1;ERCC2;ATOX1;GLRX;LSP1	MSigDB_Hallmark_2020	False
prerank	Base excision repair	0.7677859355789418	4.8118628431589645	0.0	0.0	0.0	29/33	17.97%	PCNA;APEX1;UNG;HMGB1;POLD2;POLE3;POLE4;FEN1;PARP4;MBD4;APEX2;NTHL1;POLB;XRCC1;POLD1;NEIL3;LIG1;PARP2;TDG;SMUG1;POLE;PARP3;PARP1;MPG;POLE2;POLL;POLD3;NEIL2;LIG3	KEGG_2021_Human	False
prerank	Small cell lung cancer	0.632494508709527	4.769853897375788	0.0	0.0	0.0	73/92	26.99%	GADD45G;CKS2;FN1;NFKBIA;LAMB3;CKS1B;BAX;CYCS;TRAF4;CDK4;LAMC1;BAK1;RXRB;PTK2;CCND1;TP53;MYC;CDKN1B;LAMB2;MAX;E2F3;GADD45A;IKBKB;BCL2L1;CASP3;ZBTB17;E2F1;AKT1;LAMA5;BIRC2;RELA;COL4A1;ITGAV;GADD45B;AKT2;COL4A2;ITGA3;TRAF2;ITGB1;CDK2;XIAP;TRAF5;RXRA;CDKN1A;CCNE1;PTEN;PIK3CD;ITGA2;LAMC3;NFKB1;PIK3CB;CDKN2B;LAMC2;TRAF3;LAMA3;CASP9;E2F2;DDB2;PIK3R1;TRAF1;APAF1;CHUK;PIK3R3;AKT3;IKBKG;LAMB1;TRAF6;RB1;FHIT;BIRC3;PIK3CA;LAMA4;SKP2	KEGG_2021_Human	False
prerank	Sphingolipid metabolism	0.5708569377007839	4.762840122009787	0.0	0.0	0.0	35/48	23.60%	PSAP;NEU1;CERS2;CERS4;SGPP2;UGCG;PLPP1;ASAH1;SGPL1;SGPP1;DEGS1;SMPD4;GLA;GBA2;GLB1;ARSA;CERK;SPTLC1;PLPP2;SPTLC2;PLPP3;SMPD1;SMPD2;KDSR;CERS5;SPHK2;DEGS2;GAL3ST1;SGMS1;SGMS2;ACER3;B4GALT6;NEU3;SPTLC3;GALC	KEGG_2021_Human	False
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6681936135673412	4.677253189028327	0.0	0.0	0.0	52/70	24.22%	ATP6V1F;ATP6V0E1;RAC1;ATP6V0B;NFKBIA;ATP6V1G1;ATP6AP1;JUN;ATP6V1A;F11R;LYN;GIT1;MAPK13;ATP6V0A4;TCIRG1;ATP6V1H;PTPN11;ATP6V1D;ATP6V1C1;IKBKB;ATP6V1E1;ATP6V0D1;CASP3;PAK1;CDC42;CSK;CCL5;SRC;RELA;ATP6V1B2;ATP6V0E2;MAPK14;CXCL2;ATP6V0A1;PLCG1;MET;MAP2K4;NFKB1;EGFR;MAPK8;MAPK12;ADAM10;MAPK9;ADAM17;CXCL8;CHUK;TJP1;IKBKG;MAP3K14;ATP6V1E2;NOD1;HBEGF	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7500552399454524	4.668894154561514	0.0	0.0	0.0	50/57	20.11%	HSPD1;SRM;SLC29A2;UNG;CBX3;IMP4;NPM1;NOP56;BYSL;TMEM97;PA2G4;NOC4L;MRTO4;EXOSC5;GNL3;NOLC1;MCM4;CDK4;FARSA;HSPE1;MYBBP1A;MYC;TBRG4;PES1;WDR43;PUS1;MPHOSPH10;RRP9;DCTPP1;MAP3K6;DDX18;PPRC1;SUPV3L1;MCM5;GRWD1;NDUFAF4;AIMP2;RRP12;TFB2M;NOP16;PLK1;UTP20;WDR74;RABEPK;TCOF1;NIP7;LAS1L;SLC19A1;DUSP2;PLK4	MSigDB_Hallmark_2020	True
prerank	Thyroid cancer	0.7434381066089304	4.602402489766192	0.0	0.0	0.0	26/37	11.98%	GADD45G;TPM3;BAX;CDH1;NCOA4;MAP2K2;CTNNB1;BAK1;RXRB;CCND1;TP53;MYC;TFG;GADD45A;MAPK1;NRAS;MAP2K1;MAPK3;CCDC6;HRAS;KRAS;TCF7L1;GADD45B;TPR;RXRA;CDKN1A	KEGG_2021_Human	False
prerank	Adherens junction	0.6508206440965733	4.518516463114784	0.0	0.0	0.0	59/71	24.87%	ACTG1;ACTB;RAC1;RHOA;ACTN4;CDH1;ACP1;NECTIN2;WASL;PTPRF;WASF2;CTNNA1;CTNNB1;TGFBR2;RAC3;YES1;RAC2;ERBB2;MAPK1;CDC42;MAPK3;ACTN1;SRC;IQGAP1;PTPN6;NECTIN4;AFDN;TCF7L1;PTPN1;IGF1R;NLK;PARD3;TGFBR1;MET;SMAD3;VCL;LMO7;EGFR;EP300;MAP3K7;LEF1;WAS;WASF3;TCF7L2;INSR;CREBBP;CSNK2B;NECTIN1;FARP2;CSNK2A2;PTPRJ;CSNK2A1;TJP1;SNAI1;FYN;WASF1;BAIAP2;SSX2IP;SMAD4	KEGG_2021_Human	False
prerank	RNA polymerase	0.7226228287379111	4.457535871515204	0.0	0.0	0.0	27/31	21.98%	POLR2J;POLR2H;POLR2G;POLR2K;POLR2L;POLR2E;POLR3C;POLR2A;POLR2C;POLR2B;POLR2D;POLR1D;POLR3GL;POLR3F;POLR1C;POLR3K;POLR1E;POLR1H;POLR2F;POLR3A;POLR3D;POLR1B;POLR1F;POLR2I;POLR3B;POLR1A;POLR3E	KEGG_2021_Human	True
prerank	p53 signaling pathway	0.6836836029905653	4.426025492808494	0.0	0.0	0.0	59/73	23.43%	SFN;GADD45G;BAX;PERP;TP53I3;CCNB1;CCND3;ADGRB1;CYCS;EI24;SHISA5;SIVA1;CDK4;CDK1;CCND1;TP53;CDKN2A;AIFM2;IGFBP3;GADD45A;CCNG1;COP1;BCL2L1;CASP3;CCNB2;TNFRSF10B;STEAP3;GADD45B;CASP8;THBS1;MDM4;CDK2;RRM2;CDKN1A;CCNE1;CD82;PTEN;GTSE1;SERPINE1;CHEK2;BBC3;TSC2;SESN2;RRM2B;CHEK1;RPRM;PIDD1;CCNG2;BID;CASP9;DDB2;SESN1;MDM2;SIAH1;APAF1;GORAB;PPM1D;TNFRSF10A;RCHY1	KEGG_2021_Human	True
prerank	Inositol phosphate metabolism	0.6714703251685012	4.423965154582444	0.0	0.0	0.0	57/73	26.85%	TPI1;PI4KB;INPPL1;PIP5K1A;IMPA2;CDIPT;PIP4K2C;ITPK1;PI4K2B;ITPKC;PIP4K2B;PLCB3;ALDH6A1;PLCB2;OCRL;IMPA1;INPP5K;INPP5J;PLCG1;MTMR4;PLCH1;PTEN;PIP5K1C;MINPP1;INPP5D;PIP5KL1;ISYNA1;INPP1;MTMR1;MTMR6;INPP5E;MTMR14;PIK3CD;PIK3C2A;SACM1L;MIOX;PI4KA;PIK3C2B;PIKFYVE;PI4K2A;MTMR2;PIK3CB;INPP5A;PIK3C2G;PLCB1;PIP4K2A;INPP4A;ITPKB;MTM1;SYNJ2;IPMK;INPP4B;INPP5F;PLCD1;INPP5B;SYNJ1;PIK3CA	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.6912848878232252	4.37076541902077	0.0	0.0	0.0	67/76	25.59%	GADD45G;RAC1;BAX;ARAF;VEGFA;STAT1;CDK4;BAK1;CCND1;TP53;CDKN2A;RALA;E2F3;STAT3;TGFBR2;GADD45A;RAC3;IKBKB;RAC2;BCL2L1;ERBB2;MAPK1;RALB;CDC42;MAP2K1;MAPK3;E2F1;AKT1;KRAS;RELA;GADD45B;AKT2;RPS6KB2;JAK1;CDKN1A;TGFBR1;SMAD3;RALBP1;PLD2;TGFB1;EGF;PIK3CD;NFKB1;EGFR;MAPK8;MTOR;RAD51;RPS6KB1;BAD;TGFB3;PIK3CB;MAPK9;CASP9;E2F2;DDB2;PIK3R1;RAF1;CHUK;PIK3R3;TGFA;BRAF;AKT3;IKBKG;SMAD4;RALGDS;RB1;ARHGEF6	KEGG_2021_Human	False
prerank	Pperoxisome	0.6575330307426723	4.236611933096835	0.0	0.0	0.0	75/103	20.31%	PRDX1;CEL;PRDX5;PABPC1;SOD1;CNBP;IDH2;TSPO;DHCR24;ALDH1A1;FIS1;ECH1;ELOVL5;PEX11B;IDH1;ACSL5;CRABP2;SLC35B2;YWHAH;NUDT19;IDI1;MVP;TOP2A;PEX6;ACSL1;HSD17B11;GSTK1;RDH11;ALDH9A1;ABCC5;HMGCL;CAT;SCP2;ISOC1;GNPAT;SMARCC1;DHRS3;SLC25A4;CDK7;HRAS;CRAT;ERCC1;ERCC3;CTBP1;RETSAT;PEX14;PEX13;ABCD1;ECI2;PEX2;CADM1;PEX5;SEMA3C;VPS4B;ABCD3;LONP2;ACOX1;FDPS;SLC23A2;ITGB1BP1;SLC25A17;FADS1;HSD17B4;BCL10;MSH2;TTR;HSD3B7;CTPS1;ACAA1;CLN6;SLC25A19;HSD11B2;ACOT8;IDE;EPHX2	MSigDB_Hallmark_2020	False
