Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Colorectal cancer	0.6953433694838665	5.444834840034023	0.0	0.0	0.0	78/86	27.88%	FOS;RHOA;RAC1;CCND1;JUN;CTNNB1;AREG;GRB2;MAPK1;TGFBR2;TGFB1;RAC2;GADD45A;TP53;MAPK3;EGFR;ARAF;GADD45B;RALB;MAP2K2;NRAS;CDKN1A;RALA;GADD45G;BAX;RAC3;SOS2;CASP3;AKT1;MYC;AXIN2;BCL2L11;MAP2K1;HRAS;RPS6KB2;SOS1;CYCS;AXIN1;BAK1;PIK3CB;EREG;RAF1;AKT2;MTOR;PIK3CD;APPL1;SMAD3;TCF7L1;TGFBR1;PIK3R1;PIK3R3;SMAD4;MAPK9;RPS6KB1;DDB2;CASP9;MLH1;MSH6;TGFB2;BAD;TCF7L2;TGFA;KRAS;GSK3B;PMAIP1;MSH2;BBC3;TGFB3;SMAD2;RALGDS;TCF7;BRAF;MAPK8;APC;PIK3CA;BIRC5;POLK;MSH3	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7415526819433871	4.758392701359432	0.0	0.0	0.0	48/54	20.17%	RHOA;JUNB;ID1;CTNNB1;HDAC1;CDH1;RAB31;PPP1CA;TGFB1;FKBP1A;IFNGR2;LTBP2;PPP1R15A;UBE2D3;FURIN;CDK9;NOG;ID3;THBS1;ENG;SMURF1;SMURF2;NCOR2;SPTBN1;XIAP;ACVR1;SKI;SLC20A1;TGIF1;PMEPA1;ID2;KLF10;ARID4B;SKIL;TRIM33;WWTR1;MAP3K7;BMP2;CDKN1C;PPM1A;SMAD3;BMPR2;TJP1;TGFBR1;SERPINE1;SMAD7;BCAR3;SMAD1	MSigDB_Hallmark_2020	True
prerank	Ubiquitin mediated proteolysis	0.6728555533735642	4.7046952571169545	0.0	0.0	0.0	123/140	25.96%	RPS27A;UBC;UBB;ELOB;UBA52;SOCS3;PIAS3;PRPF19;UBE2J1;UBE2Q1;UBA1;UBE2H;UBE2Z;UBE2L6;UBE2E3;UBA7;CDC34;CDC16;UBE2D3;SAE1;ANAPC13;BIRC3;UBE2M;FBXO4;KEAP1;SYVN1;DDB1;BIRC2;VHL;CBLC;WWP1;UBA2;COP1;SMURF1;SMURF2;RBX1;XIAP;UBE2G2;CUL7;UBE2B;UBE2K;UBE2A;UBE2L3;MAP3K1;MGRN1;CUL4B;CUL4A;UBE2D2;FBXO2;FBXW11;UBE4B;CUL1;HUWE1;TRIP12;UBR5;UBE2G1;UBE2R2;FANCL;UBA3;WWP2;RNF7;UBE2Q2;ANAPC11;CDC27;FZR1;ANAPC2;ELOC;UBE2W;CUL5;STUB1;UBE2J2;ANAPC4;ANAPC5;UBE4A;RHOBTB2;SKP1;ITCH;PPIL2;CUL2;UBE2O;UBE2C;BIRC6;UBE2N;UBE3C;UBE2E2;KLHL9;PIAS4;CDC23;TRIM37;ANAPC7;UBE2I;DDB2;MDM2;UBE2D1;MID1;CUL3;UBE2E1;CBL;UBE3B;UBE2D4;PML;CBLB;CDC20;UBA6;FBXW8;UBOX5;SOCS1;RHOBTB1;TRIM32;HERC1;SKP2;BTRC;PIAS1;NHLRC1;FBXW7;UBE3A;RCHY1;CDC26;NEDD4L;HERC4;TRAF6;NEDD4;HERC2	KEGG_2021_Human	False
prerank	Adherens junction	0.6435290725019542	4.687897661086542	0.0	0.0	0.0	61/71	25.77%	ACTG1;ACTB;RHOA;RAC1;MET;PTPN1;PTPRF;CTNNB1;ACTN4;ERBB2;CDH1;WASF2;MAPK1;TGFBR2;NECTIN4;NECTIN2;CTNNA1;IQGAP1;RAC2;LMO7;AFDN;MAPK3;WASL;EGFR;PTPRM;ACP1;SRC;CDC42;YES1;ACTN1;PTPN6;RAC3;PARD3;CREBBP;EP300;INSR;FYN;MAP3K7;VCL;WASF1;WAS;SMAD3;TJP1;TCF7L1;TGFBR1;SMAD4;NLK;PTPRJ;BAIAP2;TCF7L2;SNAI2;NECTIN1;CSNK2A1;FARP2;SORBS1;NECTIN3;IGF1R;CSNK2B;CTNND1;CSNK2A2;TCF7	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.6943924914479778	4.376112705258224	0.0	0.0	0.0	42/48	24.55%	FTL;PRDX6;GPX4;PRDX1;JUNB;TXN;SOD1;PDLIM1;NQO1;PRNP;NDUFA6;GPX3;CAT;MGST1;PRDX4;PRDX2;NDUFB4;LAMTOR5;NDUFS2;SBNO2;G6PD;PTPA;GSR;GCLC;STK25;OXSR1;SELENOS;ABCC1;SCAF4;HMOX2;FES;TXNRD1;LSP1;ERCC2;PFKP;GCLM;TXNRD2;GLRX2;ATOX1;EGLN2;GLRX;HHEX	MSigDB_Hallmark_2020	False
prerank	Viral myocarditis	0.687659524131524	4.290615255022024	0.0	0.0	0.0	45/57	22.11%	HLA-DRA;HLA-DRB1;ACTG1;ACTB;HLA-B;HLA-A;HLA-C;HLA-E;CD55;HLA-DRB5;HLA-DQB1;HLA-DMA;HLA-DPB1;HLA-DPA1;EIF4G2;RAC1;CCND1;HLA-DQA1;ICAM1;EIF4G1;CAV1;HLA-F;RAC2;HLA-DMB;HLA-DOA;ITGB2;DAG1;EIF4G3;RAC3;HLA-DQA2;CASP3;CXADR;ABL1;FYN;CYCS;CD40;CASP9;CASP8;ITGAL;CD86;HLA-G;BID;HLA-DOB;ABL2;PRF1	KEGG_2021_Human	False
prerank	Allograft rejection	0.7091653856420395	4.264570808475429	0.0	0.0	0.0	15/35	5.00%	HLA-DRA;HLA-DRB1;HLA-B;HLA-A;HLA-C;HLA-E;HLA-DRB5;HLA-DQB1;HLA-DMA;HLA-DPB1;HLA-DPA1;HLA-DQA1;HLA-F;HLA-DMB;HLA-DOA	KEGG_2021_Human	False
prerank	Propanoate metabolism	0.6821471414545746	4.25318787827444	0.0	0.0	0.0	25/34	19.20%	ECHS1;ECHDC1;LDHA;HADHA;ACSS2;SUCLG2;ACSS1;MMUT;SUCLG1;ALDH6A1;LDHB;DLD;BCKDHB;ACAT1;ACOX1;MCEE;ACADS;HIBCH;ACACA;ABAT;ACAT2;ACOX3;PCCB;DBT;PCCA	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6740319667580905	4.176439326000518	0.0	0.0	0.0	54/69	21.51%	RAC1;MET;ELOB;JUN;EPAS1;GRB2;FH;MAPK1;TGFB1;HIF1A;PAK1;ARNT;MAPK3;CRK;PRCC;ARAF;RAP1A;ETS1;VHL;CRKL;VEGFA;RBX1;MAP2K2;NRAS;CDKN1A;CDC42;PAK2;SOS2;CREBBP;RAPGEF1;AKT1;MAP2K1;HRAS;EP300;ELOC;TFE3;PTPN11;SOS1;CUL2;PIK3CB;RAF1;AKT2;PIK3CD;PAK4;PIK3R1;PIK3R3;SLC2A1;TGFB2;GAB1;FLCN;BAD;TGFA;PAK6;KRAS	KEGG_2021_Human	False
prerank	Proteasome	0.7294433607969258	4.174916599314148	0.0	0.0	0.0	36/46	14.86%	PSMB4;PSME1;PSMB3;PSMB5;PSMD4;PSMB1;PSMA7;PSMB6;PSME2;POMP;PSMD2;PSMB7;PSMC3;PSMD3;PSMA3;PSMD8;PSMB2;PSMD13;PSMC4;PSMB8;PSMC5;PSME3;PSMA5;PSMD11;PSMC6;PSMD12;PSMF1;PSMB9;ADRM1;PSME4;PSMC2;PSMB10;PSMD7;PSMA4;PSMD14;PSMD6	KEGG_2021_Human	False
