Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Vibrio cholerae infection	0.6462277454343063	6.102192546466216	0.0	0.0	0.0	28/50	11.24%	ACTB;ACTG1;PDIA4;ARF1;ATP6V0E1;KDELR1;KDELR2;GNAS;SEC61B;ATP6V0B;SEC61G;SEC61A1;ATP6V1G1;ATP6V1F;KDELR3;ATP6V1E1;TCIRG1;ATP6AP1;KCNQ1;PRKACB;ERO1A;ATP6V1H;ATP6V0D1;ATP6V1C1;ATP6V1D;ATP6V1B2;TJP1;ATP6V1A	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6557782772907892	5.927983051115527	0.0	0.0	0.0	46/74	17.94%	C3;HLA-DRA;HLA-DRB1;EEF1A1;CYBA;HLA-DRB5;MARCKSL1;EEF1A2;FOS;NFKBIA;IFNGR2;HLA-DMA;JUN;IRAK1;IFNGR1;HLA-DPA1;HLA-DQB1;MAPK13;MAPK3;RELA;HLA-DPB1;PTPN6;NFKBIB;MYD88;TGFB1;MAPK1;FCGR3A;TAB2;TAB1;ITGB1;JAK2;STAT1;FCGR2A;NFKB1;HLA-DMB;JAK1;MAPK14;HLA-DQA1;CYBB;TLR2;ITGB2;IRAK4;ELK1;TGFB3;NCF4;MAPK11	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7591916273887532	5.211836216832608	0.0	0.0	0.0	48/54	19.06%	ID1;FURIN;RHOA;ENG;ID3;ID2;JUNB;CDH1;IFNGR2;FKBP1A;PPP1CA;CDK9;HDAC1;UBE2D3;PPP1R15A;CTNNB1;NCOR2;PMEPA1;KLF10;SKIL;TGFB1;SKI;HIPK2;XIAP;SLC20A1;SPTBN1;TJP1;LTBP2;FNTA;TGIF1;SMAD7;RAB31;SMAD1;WWTR1;CDKN1C;BMPR2;BMP2;ACVR1;ARID4B;SMURF1;TGFBR1;SMAD3;PPM1A;TRIM33;SMURF2;THBS1;SERPINE1;SMAD6	MSigDB_Hallmark_2020	True
prerank	Allograft rejection	0.6498129701416538	4.885780365908248	0.0	0.0	0.0	12/35	5.96%	HLA-A;HLA-B;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HLA-DRB5;HLA-DMA;HLA-DPA1;HLA-DQB1;HLA-F;HLA-DPB1	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6317787959274601	4.822153890589688	0.0	0.0	0.0	48/58	27.15%	GADD45G;CCND1;CDH1;CTNNA1;BAX;MAP2K2;CDKN1A;ERBB2;TCF7L1;HRAS;ARAF;GRB2;CTNNB1;MAPK3;GADD45B;MAP2K1;TP53;KRAS;MAPK1;AKT1;NRAS;BAD;BAK1;PTEN;AXIN1;PIK3R3;GADD45A;ELK1;MLH1;SOS2;AKT2;SOS1;EGFR;DDB2;TCF7L2;MYC;PIK3R1;PIK3CD;CASP9;FOXO3;AXIN2;RAF1;PDPK1;BRAF;PIK3CB;APC;GSK3B;LEF1	KEGG_2021_Human	False
prerank	Bladder cancer	0.7395378471604943	4.494778519978614	0.0	0.0	0.0	33/41	19.57%	CCND1;CDH1;TYMP;DAPK1;MAP2K2;CDKN1A;VEGFA;ERBB2;HRAS;DAPK3;ARAF;SRC;MMP2;MAPK3;FGFR3;RASSF1;CDK4;MAP2K1;TP53;KRAS;MMP9;MAPK1;NRAS;RB1;MMP1;HBEGF;CXCL8;THBS1;MDM2;EGFR;DAPK2;E2F3;MYC	KEGG_2021_Human	False
prerank	Proteasome	0.7341758068421461	4.474299553787666	0.0	0.0	0.0	38/46	15.68%	PSMB4;PSMA7;PSME1;PSMB3;PSMB6;POMP;PSMB5;PSMB1;PSMD4;PSMB7;PSMC3;PSMD8;PSME2;PSMA3;PSMC4;PSMD13;PSMD2;PSMC5;PSMB8;ADRM1;PSMA4;PSMB2;PSMD3;PSMA5;PSMF1;PSME3;PSMD12;PSMD11;PSMC6;PSMB10;PSMD14;PSMB9;PSMD6;PSMA1;SEM1;PSMD7;PSMC2;PSME4	KEGG_2021_Human	False
prerank	Legionellosis	0.6570362467321343	4.394278827175516	0.0	0.0	0.0	40/57	20.62%	C3;ARF1;EEF1A1;HSPA8;EEF1A2;CXCL2;RAB1A;NFKBIA;CD14;CXCL1;CYCS;VCP;HSPD1;RAB1B;HSF1;PYCARD;BNIP3;SAR1A;RELA;HSPA1A;CLK1;HSPA1B;CASP3;MYD88;NFKB2;SAR1B;CXCL3;CASP7;BCL2L13;NFKB1;CXCL8;SEC22B;TLR2;ITGB2;CASP1;TLR5;CASP8;HBS1L;HSPA6;CASP9	KEGG_2021_Human	False
prerank	Nucleotide excision repair	0.5841485212457037	4.180838895048042	0.0	0.0	0.0	37/46	26.47%	PCNA;RAD23B;CETN2;RPA2;RBX1;CDK7;RAD23A;POLD2;POLE3;POLE4;DDB1;CUL4A;RPA1;RPA3;XPA;GTF2H3;ERCC1;GTF2H5;CUL4B;RFC2;ERCC2;ERCC3;GTF2H1;RFC1;CCNH;DDB2;POLD3;POLD1;MNAT1;LIG1;RFC5;RFC4;RFC3;POLD4;XPC;POLE;POLE2	KEGG_2021_Human	False
prerank	Fatty acid degradation	0.5633613827318131	4.169536184911067	0.0	0.0	0.0	26/43	18.13%	ACADVL;ECHS1;ACSL5;ALDH3A2;HADHA;ALDH2;HADHB;ADH5;ECI1;ACSL3;ALDH9A1;ACAT1;ACADS;ACSL1;ACADM;ACOX1;ACOX3;CPT1A;ACAA2;ACAT2;ACAA1;ALDH1B1;ACADSB;HADH;ACSL4;ECI2	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.5946101642343795	4.156864112112859	0.0	0.0	0.0	64/90	26.07%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;NFKBIA;IFNGR2;HLA-DMA;JUN;STAT6;IFNGR1;JAG2;HLA-DPA1;HLA-DQB1;MAPK13;MAPK3;RELA;HLA-DPB1;IL4R;NFKBIB;IKBKB;TYK2;RBPJ;NFKBIE;PPP3R1;MAPK1;PPP3CA;PPP3CB;NOTCH3;CD4;DLL4;MAPK9;JAK2;STAT1;NFKB1;MAML1;HLA-DMB;JAK1;MAPK14;HLA-DQA1;NOTCH1;PPP3CC;MAF;STAT5B;DLL1;PLCG1;CHUK;DLL3;IL2RG;MAPK11;CD3D;MAPK8;NOTCH2;JAK3;HLA-DOA;JAG1;STAT5A;CD3E;IL2RB;MAPK12;MAML3;PRKCQ;NFATC2;NFATC1;HLA-DQA2	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6399619501881408	4.147707972152518	0.0	0.0	0.0	48/77	15.71%	ACTB;ACTG1;RAC1;ARPC3;CLTA;RHOA;SHC2;CDH1;CTNNA1;ACTR2;ARPC4;CLTB;ELMO3;CTTN;SEPTIN2;CLTC;RHOG;ARPC2;ARPC5L;SEPTIN9;SRC;CTNNB1;FN1;CRK;CDC42;ACTR3;DOCK1;CD2AP;SHC1;ARPC5;MAD2L2;CRKL;DNM2;WASF2;CAV1;BCAR1;SEPTIN6;WASL;PTK2;ARPC1A;ITGB1;ELMO2;ITGA5;ELMO1;PXN;SEPTIN8;HCLS1;PIK3R3	KEGG_2021_Human	False
